Symbol,Date,Close,High,Low,Open,Volume
A,2006-01-02,22.4303,22.5448,22.2955,22.4235,0
A,2006-01-03,22.5718,22.6257,22.1102,22.5044,5634151
A,2006-01-04,22.6324,22.7941,22.4842,22.6054,4055454
A,2006-01-05,23.2253,23.2253,22.5381,22.5381,5064086
A,2006-01-06,23.3466,23.4409,22.9693,23.2455,6126445
A,2006-01-09,23.2792,23.4477,23.1916,23.3466,4318150
A,2006-01-10,23.5824,23.5824,22.976,23.0771,3144331
A,2006-01-11,23.5757,23.6363,23.3129,23.5824,3011796
A,2006-01-12,23.0569,23.4814,23.0299,23.414,5725129
A,2006-01-13,22.8817,23.0771,22.6324,22.9962,4303308
A,2006-01-16,22.8817,23.0771,22.6324,22.9962,0
A,2006-01-17,22.7469,22.7469,22.437,22.6863,3693617
A,2006-01-18,22.5852,23.2994,22.5111,22.7335,4198676
A,2006-01-19,23.5824,23.7509,23.2388,23.2455,4640657
A,2006-01-20,23.0771,23.5824,22.9086,23.4814,5514676
A,2006-01-23,23.0771,23.2994,23.003,23.0434,2337989
A,2006-01-24,23.1243,23.2792,23.0097,23.0771,2438021
A,2006-01-25,23.0906,23.1647,23.0165,23.131,2033588
A,2006-01-26,22.9828,23.2388,22.6998,23.2051,3305510
A,2006-01-27,23.003,23.2455,22.9625,22.976,2969646
A,2006-01-30,23.1782,23.2253,22.976,22.976,1935040
A,2006-01-31,22.848,23.1243,22.848,23.0771,4111703
A,2006-02-01,23.5555,23.5824,22.7604,22.7604,4287724
A,2006-02-02,23.0906,23.4477,22.9086,23.2455,2257399
A,2006-02-03,23.131,23.3062,22.9289,23.0097,2118927
A,2006-02-06,23.4072,23.5757,22.9962,23.0906,2402550
A,2006-02-07,22.9086,23.3668,22.5852,23.2792,3170897
A,2006-02-08,23.2725,23.3062,22.9423,22.9423,2649662
A,2006-02-09,23.67,23.8519,23.5487,23.5487,6727231
A,2006-02-10,24.1686,24.1686,23.5824,23.5824,8191054
A,2006-02-13,23.2118,23.798,22.9208,23.7172,9432254
A,2006-02-14,23.4477,23.7374,23.1377,23.2994,5362847
A,2006-02-15,23.5757,23.6565,22.976,23.2792,5091988
A,2006-02-16,23.4342,23.7172,23.3803,23.5083,3475149
A,2006-02-17,23.5757,23.6768,23.2658,23.3129,4748258
