Symbol,Date,Close,High,Low,Open,Volume
AAL,2006-01-02,59.5181,60.0535,59.2236,59.7055,0
AAL,2006-01-03,58.4739,59.9732,56.6265,59.5716,2797552
AAL,2006-01-04,59.8126,60.8568,58.8755,58.8755,2395367
AAL,2006-01-05,60.2677,60.7764,59.2771,59.7858,1374554
AAL,2006-01-06,60.6693,61.4458,58.9826,59.8661,1668798
AAL,2006-01-09,61.0174,61.5797,59.5448,59.7858,1337354
AAL,2006-01-10,59.8394,60.7497,59.3574,59.8929,1230084
AAL,2006-01-11,57.8313,60.6693,57.0549,59.8929,2244361
AAL,2006-01-12,55.8501,56.7604,55.1539,56.2249,2600867
AAL,2006-01-13,54.4043,56.8942,52.8782,55.7724,2289816
AAL,2006-01-16,54.4043,56.8942,52.8782,55.7724,0
AAL,2006-01-17,50.4953,53.0388,49.2637,52.2624,4242511
AAL,2006-01-18,50.0937,54.6185,48.8353,49.9063,4298462
AAL,2006-01-19,55.0201,56.091,53.1459,54.7523,2666080
AAL,2006-01-20,50.2276,53.8953,49.2369,53.2262,4342684
AAL,2006-01-23,50.6292,51.245,49.1834,49.1834,2423155
AAL,2006-01-24,52.9853,53.2262,51.3548,51.9679,1935962
AAL,2006-01-25,53.2262,53.7349,51.5395,53.5475,1528474
AAL,2006-01-26,53.5475,53.8688,53.1459,53.5475,1442008
AAL,2006-01-27,54.0295,54.2169,52.4766,53.5475,1826863
AAL,2006-01-30,59.5181,59.9732,53.9491,53.9491,2949193
AAL,2006-01-31,60.7764,62.008,59.5181,60.4552,2278574
AAL,2006-02-01,60.5087,60.7764,58.4471,59.759,1635220
AAL,2006-02-02,62.3561,62.6506,59.4378,59.5716,2757401
AAL,2006-02-03,60.8835,62.1419,60.1071,62.1151,1199457
AAL,2006-02-06,60.6158,61.4726,59.5181,59.9732,1255669
AAL,2006-02-07,59.9197,61.4458,59.5181,60.6158,1579531
AAL,2006-02-08,62.4364,63.1861,59.5716,59.5716,2479180
AAL,2006-02-09,65.8367,66.2343,62.0616,62.4096,3597066
AAL,2006-02-10,66.8273,67.0683,64.257,65.0602,2902281
AAL,2006-02-13,64.3373,66.0776,64.0161,65.328,1453699
AAL,2006-02-14,66.8273,67.0415,64.5248,64.5783,2374040
AAL,2006-02-15,69.0763,69.344,66.2651,66.9344,1866080
AAL,2006-02-16,67.6305,68.9424,67.577,68.407,1297539
AAL,2006-02-17,67.2021,67.4967,66.3989,67.4699,1353601
AAL,2006-02-20,67.2021,67.4967,66.3989,67.4699,0
AAL,2006-02-21,65.7296,67.0683,65.087,66.988,1366449
AAL,2006-02-22,69.1566,69.3976,66.3722,66.8005,1655688
AAL,2006-02-23,69.2637,71.3521,68.8889,69.2102,2282458
AAL,2006-02-24,67.5502,68.2463,66.8273,68.1392,1810541
AAL,2006-02-27,68.3266,69.5839,67.7376,68.2195,1466622
AAL,2006-02-28,67.2021,68.7015,66.4257,67.8983,1219925
AAL,2006-03-01,67.925,68.2463,66.6667,67.3092,1040048
AAL,2006-03-02,66.6399,68.1928,66.1312,66.9344,1390727
AAL,2006-03-03,66.6131,66.9076,64.8461,66.6667,1413473
AAL,2006-03-06,66.6667,66.8005,65.5957,66.6131,905065
AAL,2006-03-07,66.3186,68.407,65.7831,66.8541,1278004
AAL,2006-03-08,69.5047,70.1473,65.1941,66.3186,2232633
AAL,2006-03-09,67.2825,69.1566,66.9612,69.1566,1497510
AAL,2006-03-10,69.2102,69.4779,67.5234,67.9518,1161360
AAL,2006-03-13,67.7376,70.0402,67.3628,68.5676,1021074
AAL,2006-03-14,69.4779,69.4779,66.9344,67.6787,996834
AAL,2006-03-15,72.2624,72.6104,69.6118,69.6118,2466407
AAL,2006-03-16,71.9143,72.5569,71.3788,71.7269,1209654
AAL,2006-03-17,72.2892,73.1191,71.4324,71.7537,1566384
