Symbol,Date,Close,High,Low,Open,Volume
ABC,2006-01-02,20.0858,20.2459,19.8772,20.013,0
ABC,2006-01-03,20.503,20.5321,20.0518,20.0809,4059866
ABC,2006-01-04,20.3672,20.6098,20.2071,20.372,3103900
ABC,2006-01-05,20.1149,20.3963,20.0373,20.3769,2945397
ABC,2006-01-06,19.8917,20.1974,19.6879,20.1828,3700812
ABC,2006-01-09,19.8917,19.9305,19.5569,19.8238,2754740
ABC,2006-01-10,19.8966,20.11,19.8189,19.8772,3459657
ABC,2006-01-11,19.8917,20.0664,19.8869,19.9451,1874831
ABC,2006-01-12,20.047,20.1488,19.8092,19.8917,3695865
ABC,2006-01-13,20.0955,20.1246,19.8723,20.013,1682731
ABC,2006-01-16,20.0955,20.1246,19.8723,20.013,0
ABC,2006-01-17,19.848,20.0955,19.7607,20.0955,2149583
ABC,2006-01-18,19.9257,20.11,19.8675,19.8917,3348972
ABC,2006-01-19,19.8723,20.013,19.7898,19.9257,3351240
ABC,2006-01-20,19.9063,19.9499,19.7413,19.8675,3193767
ABC,2006-01-23,19.882,19.9645,19.7268,19.8432,2654155
ABC,2006-01-24,20.2556,20.309,19.8917,19.916,2832239
ABC,2006-01-25,20.8038,20.93,20.4496,20.6195,6616323
ABC,2006-01-26,20.8911,20.9882,20.8378,20.862,6312714
ABC,2006-01-27,21.386,21.5413,21.0124,21.0755,4996251
ABC,2006-01-30,21.2356,21.2793,20.4399,21.1046,5578735
ABC,2006-01-31,21.1725,21.3569,21.0998,21.2987,3651344
ABC,2006-02-01,21.2938,21.3521,21.2017,21.2938,3050310
ABC,2006-02-02,21.2162,21.3375,21.0852,21.3375,3268175
ABC,2006-02-03,21.1531,21.2647,21.0804,21.2405,2154942
ABC,2006-02-06,21.0998,21.1774,20.7602,21.1774,3905898
ABC,2006-02-07,21.0221,21.3035,20.9785,21.0998,2568823
ABC,2006-02-08,21.0804,21.0998,20.8038,20.9445,3007644
ABC,2006-02-09,20.9882,21.1677,20.9057,21.1046,3404005
ABC,2006-02-10,21.1822,21.2259,20.9688,21.0804,2276963
ABC,2006-02-13,21.1871,21.2744,21.0464,21.1046,1747657
ABC,2006-02-14,21.1289,21.2259,21.0561,21.1774,2706303
ABC,2006-02-15,21.3084,21.3763,21.1337,21.1677,3055257
ABC,2006-02-16,21.5461,21.5461,21.2356,21.2987,2107948
ABC,2006-02-17,21.3326,21.4685,21.2017,21.4685,1798980
ABC,2006-02-20,21.3326,21.4685,21.2017,21.4685,0
ABC,2006-02-21,21.5558,21.6383,21.289,21.3084,2336118
