Symbol,Date,Close,High,Low,Open,Volume
ADBE,2006-01-02,36.96,37.12,36.61,36.76,0
ADBE,2006-01-03,38.49,38.8,36.13,37.2,11692473
ADBE,2006-01-04,38.42,38.8,37.8,38.7,6584895
ADBE,2006-01-05,38.07,38.49,37.54,38.26,6428740
ADBE,2006-01-06,39.0,39.02,38.45,38.5,8064104
ADBE,2006-01-09,38.38,39.06,37.87,39.05,5780212
ADBE,2006-01-10,38.61,39.42,38.09,38.1,7469690
ADBE,2006-01-11,39.33,39.73,38.5,39.14,6560994
ADBE,2006-01-12,39.49,39.97,39.08,39.37,5846746
ADBE,2006-01-13,38.84,39.9,38.53,39.64,4825246
ADBE,2006-01-16,38.84,39.9,38.53,39.64,0
ADBE,2006-01-17,39.44,39.47,38.62,38.7,4190105
ADBE,2006-01-18,39.73,40.1,38.78,38.95,5334889
ADBE,2006-01-19,40.46,40.85,39.54,39.71,4440412
ADBE,2006-01-20,38.43,40.62,38.27,40.54,6834923
ADBE,2006-01-23,37.82,38.86,37.79,38.63,7172328
ADBE,2006-01-24,39.09,39.3,37.89,37.95,5726414
ADBE,2006-01-25,38.96,39.04,38.14,38.57,4698699
ADBE,2006-01-26,39.45,39.45,38.77,39.15,4958316
ADBE,2006-01-27,40.08,40.13,38.72,38.84,6403871
ADBE,2006-01-30,39.35,40.19,39.16,39.91,4618276
ADBE,2006-01-31,39.73,40.05,39.06,39.29,4837967
ADBE,2006-02-01,40.51,40.59,39.17,39.32,4517947
ADBE,2006-02-02,40.15,40.15,39.39,40.02,5782028
ADBE,2006-02-03,39.2,39.44,38.38,39.15,3511444
ADBE,2006-02-06,39.52,39.88,38.92,38.93,2687787
ADBE,2006-02-07,39.26,39.98,38.87,39.29,3574773
ADBE,2006-02-08,38.8,39.76,38.64,39.43,3789757
ADBE,2006-02-09,38.12,38.92,37.93,38.8,3848820
ADBE,2006-02-10,38.69,38.94,37.25,37.98,6571591
ADBE,2006-02-13,38.23,39.06,37.62,38.35,4405707
ADBE,2006-02-14,38.36,38.36,38.13,38.25,3617601
ADBE,2006-02-15,37.65,38.48,37.05,37.97,4358667
ADBE,2006-02-16,38.58,38.59,37.67,37.71,6345604
ADBE,2006-02-17,37.8,38.69,37.68,38.4,3245626
ADBE,2006-02-20,37.8,38.69,37.68,38.4,0
ADBE,2006-02-21,38.1,38.36,37.52,37.71,4924994
ADBE,2006-02-22,38.76,39.07,38.09,38.26,3372045
ADBE,2006-02-23,38.77,39.34,38.29,38.57,2700464
ADBE,2006-02-24,38.34,39.01,38.09,38.76,2442625
ADBE,2006-02-27,39.19,39.5,38.27,38.49,2776175
ADBE,2006-02-28,38.55,39.14,38.2,38.93,3558350
ADBE,2006-03-01,39.04,39.17,38.4,38.52,2705522
ADBE,2006-03-02,38.81,39.26,38.5,38.8,2338717
ADBE,2006-03-03,39.05,39.5,38.3,38.5,4497839
ADBE,2006-03-06,38.43,39.31,38.2,39.05,2926933
ADBE,2006-03-07,38.1,38.5,37.96,38.36,2826360
ADBE,2006-03-08,38.24,38.24,37.78,37.99,2891288
ADBE,2006-03-09,37.44,38.52,37.33,38.01,3261576
ADBE,2006-03-10,37.21,37.89,36.6,37.2,3616929
ADBE,2006-03-13,37.14,37.38,36.73,37.11,3517822
ADBE,2006-03-14,37.4,38.01,36.96,37.1,3567199
ADBE,2006-03-15,37.76,37.76,37.08,37.64,4336514
ADBE,2006-03-16,35.93,37.35,35.91,37.0,6385855
ADBE,2006-03-17,35.98,36.24,35.61,36.0,6151085
ADBE,2006-03-20,36.55,36.88,35.94,36.03,3798336
ADBE,2006-03-21,36.35,37.36,36.2,36.42,5120005
ADBE,2006-03-22,36.62,36.86,36.18,36.7,4716892
ADBE,2006-03-23,36.61,36.61,35.58,35.58,16923160
ADBE,2006-03-24,36.85,36.85,36.33,36.33,5143849
ADBE,2006-03-27,35.79,36.48,35.69,36.25,5171135
ADBE,2006-03-28,35.52,36.15,35.31,35.81,4930506
ADBE,2006-03-29,36.29,36.29,35.56,35.56,4559422
ADBE,2006-03-30,35.31,36.37,35.2,36.37,10472698
ADBE,2006-03-31,34.95,35.75,34.91,35.31,4651534
ADBE,2006-04-03,35.7,36.2,34.97,35.18,4858797
ADBE,2006-04-04,36.21,36.3,35.7,35.87,3582377
ADBE,2006-04-05,35.99,36.27,35.88,36.14,3779770
ADBE,2006-04-06,36.41,36.41,35.94,35.94,3077052
ADBE,2006-04-07,37.21,37.21,36.1,36.1,6005543
ADBE,2006-04-10,37.5,37.75,36.79,36.89,5538938
ADBE,2006-04-11,37.28,37.65,37.0,37.35,3617663
ADBE,2006-04-12,37.35,37.35,36.97,37.0,2682317
ADBE,2006-04-13,37.15,37.15,36.83,36.88,3127008
ADBE,2006-04-14,37.15,37.15,36.83,36.88,0
ADBE,2006-04-17,36.89,37.43,36.51,36.57,4465812
ADBE,2006-04-18,37.35,37.57,36.5,36.94,3346465
ADBE,2006-04-19,37.57,37.67,37.18,37.35,2539825
ADBE,2006-04-20,37.68,38.24,37.0,37.79,2824508
ADBE,2006-04-21,37.46,38.2,37.25,38.0,3517479
ADBE,2006-04-24,37.52,37.52,37.2,37.43,2525819
ADBE,2006-04-25,37.66,37.92,37.42,37.56,3808521
ADBE,2006-04-26,38.37,38.37,37.81,37.81,3117153
ADBE,2006-04-27,39.87,39.87,37.83,37.83,7725141
ADBE,2006-04-28,39.78,39.78,39.2,39.47,7137987
ADBE,2006-05-01,38.17,39.21,37.71,39.15,6008154
ADBE,2006-05-02,38.35,39.05,38.25,38.35,4767273
ADBE,2006-05-03,35.06,36.09,34.31,35.98,26416066
ADBE,2006-05-04,34.32,35.0,33.82,34.95,11746436
ADBE,2006-05-05,34.72,34.72,34.18,34.69,5556549
ADBE,2006-05-08,33.69,34.4,33.62,34.18,4705533
ADBE,2006-05-09,33.24,33.987,33.17,33.75,5325772
ADBE,2006-05-10,33.38,33.87,33.1,33.16,5679825
ADBE,2006-05-11,32.63,33.52,32.4,33.3,5440000
ADBE,2006-05-12,31.92,32.59,31.58,32.26,3761895
ADBE,2006-05-15,32.19,32.391,31.7,31.86,4093459
ADBE,2006-05-16,32.93,32.93,32.3,32.7,6041372
ADBE,2006-05-17,31.2,32.2,31.16,32.01,8507244
ADBE,2006-05-18,30.17,31.43,29.95,31.35,11499126
ADBE,2006-05-19,30.31,30.889,29.96,30.25,8829448
ADBE,2006-05-22,29.91,30.35,29.75,30.1,6012885
ADBE,2006-05-23,29.02,30.3,28.81,30.03,10123537
ADBE,2006-05-24,29.27,29.87,28.78,29.01,8202109
ADBE,2006-05-25,29.14,29.58,28.88,29.58,5908741
ADBE,2006-05-26,28.98,29.34,28.79,29.32,4746505
ADBE,2006-05-29,28.98,29.34,28.79,29.32,0
ADBE,2006-05-30,28.35,28.95,28.3,28.78,6209470
ADBE,2006-05-31,28.63,28.84,28.42,28.47,10741931
ADBE,2006-06-01,28.85,28.85,28.68,28.68,6658208
ADBE,2006-06-02,29.0,29.2,28.75,28.97,6143659
ADBE,2006-06-05,29.47,29.69,28.79,28.98,13881744
ADBE,2006-06-06,29.84,29.98,29.25,29.5,9235587
ADBE,2006-06-07,28.81,29.99,28.67,29.99,9065037
ADBE,2006-06-08,27.84,29.03,27.5,28.47,11344003
ADBE,2006-06-09,27.99,28.67,27.88,28.03,5666314
ADBE,2006-06-12,28.84,29.39,28.31,28.69,9267248
ADBE,2006-06-13,28.98,29.41,28.77,29.14,8309400
ADBE,2006-06-14,28.57,29.1,28.35,29.1,7208977
ADBE,2006-06-15,28.96,29.09,27.75,28.88,13379815
ADBE,2006-06-16,29.12,29.93,28.59,28.67,30288360
ADBE,2006-06-19,28.78,29.25,28.5,29.13,10651787
ADBE,2006-06-20,29.53,29.83,28.77,28.77,6536730
ADBE,2006-06-21,29.88,30.22,29.52,29.64,7209614
ADBE,2006-06-22,30.79,30.91,29.94,30.5,11003206
ADBE,2006-06-23,30.6,31.08,30.34,30.71,5443645
ADBE,2006-06-26,30.69,30.9,30.34,30.57,3753616
ADBE,2006-06-27,29.94,31.0,29.74,30.79,5384992
ADBE,2006-06-28,30.22,30.22,30.06,30.2,4336985
ADBE,2006-06-29,30.4,30.48,29.85,30.35,6893272
ADBE,2006-06-30,30.36,30.9,30.33,30.82,3376367
ADBE,2006-07-03,30.65,30.78,30.4,30.61,1246887
ADBE,2006-07-04,30.65,30.78,30.4,30.61,0
ADBE,2006-07-05,29.86,30.515,29.54,30.31,4711579
ADBE,2006-07-06,29.59,30.05,29.27,29.81,2542125
ADBE,2006-07-07,29.66,29.66,29.42,29.42,4108962
ADBE,2006-07-10,29.26,29.8,29.12,29.54,3084471
ADBE,2006-07-11,29.55,29.7,28.9,28.98,4288949
ADBE,2006-07-12,28.56,29.65,27.84,29.59,8501727
ADBE,2006-07-13,28.1,28.67,27.69,28.25,6291607
ADBE,2006-07-14,28.01,28.99,27.94,27.95,3961662
ADBE,2006-07-17,28.1,28.1,27.59,27.85,4195493
ADBE,2006-07-18,28.07,28.07,27.52,27.52,4542225
ADBE,2006-07-19,28.69,28.69,27.62,27.62,4027945
ADBE,2006-07-20,28.02,28.34,27.66,28.25,3515651
ADBE,2006-07-21,27.65,28.09,27.59,27.83,4417561
ADBE,2006-07-24,27.38,27.9,26.92,27.67,6345542
ADBE,2006-07-25,27.22,27.63,26.7,27.33,6731740
