Symbol,Date,Close,High,Low,Open,Volume
ADI,2006-01-02,35.87,36.06,35.61,35.97,0
ADI,2006-01-03,36.7,36.78,35.34,36.13,3573100
ADI,2006-01-04,37.04,37.12,36.55,36.55,3315500
ADI,2006-01-05,38.22,38.46,37.16,37.16,3951300
ADI,2006-01-06,38.37,38.96,37.92,38.62,3176700
ADI,2006-01-09,38.91,39.03,38.31,38.39,3099600
ADI,2006-01-10,38.91,38.99,38.495,38.8,2220800
ADI,2006-01-11,39.1,39.39,38.72,39.09,2301500
ADI,2006-01-12,38.77,39.27,38.69,39.16,3099700
ADI,2006-01-13,39.02,39.16,38.53,38.77,2001100
ADI,2006-01-16,39.02,39.16,38.53,38.77,0
ADI,2006-01-17,37.82,39.01,37.56,39.0,3636800
ADI,2006-01-18,37.65,37.84,36.99,37.49,4945100
ADI,2006-01-19,38.72,38.94,38.0,38.05,4088899
ADI,2006-01-20,37.77,38.77,37.48,38.72,4187100
ADI,2006-01-23,37.87,38.12,37.35,37.86,3196600
ADI,2006-01-24,38.59,39.05,38.02,38.11,4754300
ADI,2006-01-25,38.93,39.05,38.14,38.94,3454700
ADI,2006-01-26,39.76,39.79,38.63,39.08,3588000
ADI,2006-01-27,39.67,40.23,39.45,39.9,3471800
ADI,2006-01-30,40.0,40.2,39.6,39.67,4436200
ADI,2006-01-31,39.77,40.27,39.68,40.24,3436300
ADI,2006-02-01,40.33,40.41,39.45,39.6,3570000
ADI,2006-02-02,40.0,40.73,39.64,40.39,2602900
ADI,2006-02-03,39.77,40.28,39.66,40.01,3498200
ADI,2006-02-06,40.18,40.7,39.55,39.65,3080100
ADI,2006-02-07,40.38,40.44,39.83,40.16,2394700
ADI,2006-02-08,41.0,41.0,40.38,40.38,3385600
ADI,2006-02-09,40.91,41.48,40.44,40.91,5211300
ADI,2006-02-10,39.26,40.0,38.9,40.0,8114000
ADI,2006-02-13,39.35,39.42,38.83,39.11,2595100
ADI,2006-02-14,39.82,39.85,38.81,39.36,2606200
ADI,2006-02-15,38.83,39.76,38.7,39.69,4289000
ADI,2006-02-16,39.58,39.58,38.71,39.13,2472600
ADI,2006-02-17,38.79,39.55,38.79,39.47,2331400
ADI,2006-02-20,38.79,39.55,38.79,39.47,0
ADI,2006-02-21,37.88,39.0,37.6,38.79,3433200
ADI,2006-02-22,38.08,38.46,37.48,37.79,3264500
ADI,2006-02-23,38.21,38.88,37.79,38.12,2734900
ADI,2006-02-24,38.36,38.8,37.92,38.11,2129000
ADI,2006-02-27,38.47,38.7,38.15,38.33,2388200
ADI,2006-02-28,38.14,38.72,37.71,38.42,3386500
ADI,2006-03-01,39.2,39.41,38.34,38.39,3308100
ADI,2006-03-02,38.91,39.53,38.46,39.09,3628900
ADI,2006-03-03,38.52,38.95,38.4,38.84,3031200
ADI,2006-03-06,38.71,38.95,38.35,38.72,2856500
ADI,2006-03-07,37.76,38.46,37.39,38.06,2813200
ADI,2006-03-08,37.88,38.24,37.5,37.6,3044100
ADI,2006-03-09,37.18,38.29,37.12,37.88,3179000
ADI,2006-03-10,36.85,37.27,36.61,37.0,3890900
ADI,2006-03-13,36.94,37.39,36.88,37.11,2284400
ADI,2006-03-14,37.61,37.8,36.83,36.85,3088300
ADI,2006-03-15,37.99,38.38,37.67,37.8,3113000
ADI,2006-03-16,37.23,38.03,37.23,38.02,3656300
ADI,2006-03-17,37.23,37.45,36.62,37.29,3146700
ADI,2006-03-20,37.51,37.76,37.32,37.38,2405400
ADI,2006-03-21,37.1,38.28,37.07,37.56,3008200
ADI,2006-03-22,37.66,37.7,36.81,37.1,2878800
ADI,2006-03-23,37.83,38.18,37.49,37.55,2678300
ADI,2006-03-24,38.08,38.25,37.47,37.76,2645300
ADI,2006-03-27,37.77,38.25,37.75,37.83,1835500
ADI,2006-03-28,37.06,37.95,36.98,37.59,2378900
ADI,2006-03-29,37.69,38.04,37.04,37.25,2993800
ADI,2006-03-30,38.3,38.85,37.9,37.95,3796900
ADI,2006-03-31,38.29,38.8,37.98,38.49,2347200
ADI,2006-04-03,38.36,38.85,38.18,38.64,2056500
ADI,2006-04-04,38.2,38.59,37.93,38.26,2426700
ADI,2006-04-05,38.91,39.11,38.14,38.15,2264700
ADI,2006-04-06,39.23,39.49,38.76,38.78,2039699
ADI,2006-04-07,38.47,39.62,38.25,39.34,2154900
ADI,2006-04-10,38.09,38.48,37.8,38.47,1577600
ADI,2006-04-11,37.73,38.6,37.56,38.25,2094700
ADI,2006-04-12,37.97,38.03,37.5,37.73,2020800
ADI,2006-04-13,38.14,38.41,37.81,37.9,1078400
ADI,2006-04-14,38.14,38.41,37.81,37.9,0
ADI,2006-04-17,37.51,38.5,37.26,38.07,2031400
ADI,2006-04-18,38.74,39.0,37.64,37.7,3040400
ADI,2006-04-19,39.0,39.33,38.43,38.75,2841500
ADI,2006-04-20,39.08,39.81,38.5,38.85,2057000
ADI,2006-04-21,38.45,39.3,38.13,39.3,2450400
ADI,2006-04-24,38.39,38.47,37.79,38.36,1860200
ADI,2006-04-25,37.9,38.54,37.73,38.33,3016700
ADI,2006-04-26,37.7,38.29,37.47,38.03,2513500
ADI,2006-04-27,37.82,38.13,37.16,37.6,3412700
ADI,2006-04-28,37.92,38.34,37.6,37.6,2411800
ADI,2006-05-01,37.14,37.96,36.95,37.93,2594400
ADI,2006-05-02,36.61,37.59,36.3,37.19,4500900
ADI,2006-05-03,36.6,36.74,36.17,36.61,3425000
ADI,2006-05-04,36.81,37.16,36.5901,36.65,2782200
ADI,2006-05-05,35.82,36.78,35.17,36.01,7413100
ADI,2006-05-08,36.08,36.18,35.58,35.63,3593400
ADI,2006-05-09,35.67,35.92,35.45,35.89,2677000
ADI,2006-05-10,35.28,35.57,34.73,35.51,4409200
ADI,2006-05-11,34.68,35.53,34.36,35.29,4680300
ADI,2006-05-12,36.03,36.4,35.18,35.51,8899900
ADI,2006-05-15,36.24,36.65,35.55,35.98,4109200
ADI,2006-05-16,35.56,36.27,35.18,36.15,3523100
ADI,2006-05-17,35.8,36.18,35.34,35.56,4289500
ADI,2006-05-18,34.91,36.05,34.91,35.9,3316400
ADI,2006-05-19,35.33,35.48,34.7,34.79,3707100
ADI,2006-05-22,34.69,35.33,34.11,35.33,3460800
ADI,2006-05-23,33.64,35.27,33.57,34.84,4132600
ADI,2006-05-24,33.39,33.8,32.75,33.43,6627100
ADI,2006-05-25,33.53,33.9,33.26,33.75,4296400
ADI,2006-05-26,33.8,34.14,33.58,33.75,3040200
ADI,2006-05-29,33.8,34.14,33.58,33.75,0
