Symbol,Date,Close,High,Low,Open,Volume
ADM,2006-01-02,24.66,25.07,24.582,25.0,0
ADM,2006-01-03,24.38,24.75,24.05,24.75,4270500
ADM,2006-01-04,25.92,26.0,24.6,24.62,9876000
ADM,2006-01-05,25.3,26.0,25.25,26.0,4896600
ADM,2006-01-06,26.05,26.05,25.48,25.72,3368400
ADM,2006-01-09,26.37,26.9,26.11,26.11,5988400
ADM,2006-01-10,26.2,26.67,26.11,26.45,2757200
ADM,2006-01-11,26.76,26.8,26.31,26.35,3438400
ADM,2006-01-12,27.08,27.25,26.57,26.95,3745600
ADM,2006-01-13,26.79,27.45,26.69,27.08,3004700
ADM,2006-01-16,26.79,27.45,26.69,27.08,0
ADM,2006-01-17,26.78,27.17,26.55,26.95,3289900
ADM,2006-01-18,27.5,28.1,26.4,26.4,6560100
ADM,2006-01-19,28.11,28.2,27.85,28.0,4313700
ADM,2006-01-20,27.52,28.25,27.51,28.2,4113200
ADM,2006-01-23,27.94,28.15,27.75,27.77,3177800
ADM,2006-01-24,28.34,28.56,28.13,28.25,2639000
ADM,2006-01-25,27.98,28.6,27.8,28.45,4494400
ADM,2006-01-26,28.44,28.54,28.16,28.2,2684300
ADM,2006-01-27,28.87,28.97,28.48,28.5,3384200
ADM,2006-01-30,28.74,29.2,28.671,29.15,3954800
ADM,2006-01-31,31.5,32.22,29.8,29.8,15661300
ADM,2006-02-01,30.19,30.61,29.88,30.61,12564400
ADM,2006-02-02,30.25,30.9,30.09,30.27,5869900
ADM,2006-02-03,30.0,30.65,30.0,30.35,4305500
ADM,2006-02-06,29.84,30.39,29.79,30.3,3660400
ADM,2006-02-07,29.99,30.2,29.5,29.8,4169100
ADM,2006-02-08,30.62,30.68,29.66,30.2,4799800
ADM,2006-02-09,31.3,31.5,30.9,31.25,6155200
ADM,2006-02-10,30.72,31.5,30.72,31.5,4255800
ADM,2006-02-13,30.75,30.93,30.5,30.88,2542300
ADM,2006-02-14,30.9,31.18,30.7,30.75,4148900
ADM,2006-02-15,30.6,30.89,30.0,30.89,4336000
ADM,2006-02-16,30.57,30.67,30.28,30.67,3415100
ADM,2006-02-17,30.08,30.8,30.02,30.57,3263600
ADM,2006-02-20,30.08,30.8,30.02,30.57,0
ADM,2006-02-21,31.19,31.32,30.19,30.3,6574600
ADM,2006-02-22,31.02,31.33,31.01,31.29,3412900
ADM,2006-02-23,30.99,31.27,30.91,31.1,2786700
ADM,2006-02-24,30.96,31.15,30.68,31.0,2771600
ADM,2006-02-27,31.89,32.07,31.28,31.28,4990000
ADM,2006-02-28,31.72,31.9,31.24,31.9,3589600
ADM,2006-03-01,31.2,32.1,31.16,31.72,3432900
ADM,2006-03-02,31.94,32.18,30.75,30.8,3904700
ADM,2006-03-03,32.27,32.4,31.6,31.95,3232100
ADM,2006-03-06,32.15,32.6,31.66,32.34,3989600
ADM,2006-03-07,31.73,32.1,31.26,32.09,3719300
ADM,2006-03-08,31.57,32.04,31.31,31.7,3433600
ADM,2006-03-09,32.22,32.37,31.553,31.57,3026000
ADM,2006-03-10,32.22,32.33,31.87,32.2,2241600
ADM,2006-03-13,33.45,33.77,32.22,32.25,5565200
ADM,2006-03-14,34.45,34.47,33.22,33.55,4887900
ADM,2006-03-15,34.05,34.8,33.64,34.5,5863500
ADM,2006-03-16,34.63,34.96,34.05,34.2,3903200
ADM,2006-03-17,35.26,35.39,34.8,34.9,5838600
ADM,2006-03-20,35.0,35.5,34.86,35.4,4356300
ADM,2006-03-21,34.93,35.28,34.6,35.2,3177900
ADM,2006-03-22,35.25,35.25,34.68,34.83,2682300
ADM,2006-03-23,34.7,35.25,34.39,35.25,3361200
ADM,2006-03-24,35.15,35.22,34.25,35.0,2428200
ADM,2006-03-27,35.03,35.25,34.75,34.9,2090100
ADM,2006-03-28,34.53,35.175,34.24,35.175,2761900
ADM,2006-03-29,34.34,34.71,33.3,34.7,5652000
ADM,2006-03-30,33.9,34.5,33.53,34.38,3610300
ADM,2006-03-31,33.65,33.9,32.8,33.8,5043900
ADM,2006-04-03,35.21,35.61,34.6,34.75,6618700
ADM,2006-04-04,35.96,36.1,35.27,35.4,4903500
ADM,2006-04-05,37.19,37.26,36.09,36.16,6669100
ADM,2006-04-06,36.92,37.6,36.62,37.33,4357000
ADM,2006-04-07,36.05,37.29,36.02,37.15,3024100
ADM,2006-04-10,36.2,36.82,36.1,36.52,2667900
ADM,2006-04-11,36.55,36.79,36.29,36.45,4223600
ADM,2006-04-12,37.39,37.5,36.64,36.93,5960300
ADM,2006-04-13,36.85,37.513,36.7,37.49,2613400
ADM,2006-04-14,36.85,37.513,36.7,37.49,0
ADM,2006-04-17,36.24,37.31,36.06,37.2,3303200
ADM,2006-04-18,36.78,37.1,36.31,36.62,4747900
ADM,2006-04-19,37.7,38.1,36.88,36.88,4782900
ADM,2006-04-20,37.3,38.06,36.85,38.03,3527700
ADM,2006-04-21,37.86,38.2,37.6,37.68,3737100
ADM,2006-04-24,38.21,38.7,38.0,38.24,5198800
ADM,2006-04-25,36.67,39.01,36.58,39.01,6889800
ADM,2006-04-26,36.93,37.55,36.4,36.75,4240600
ADM,2006-04-27,36.19,36.94,36.09,36.94,5025000
ADM,2006-04-28,36.34,36.68,36.01,36.3,3418200
ADM,2006-05-01,38.0,38.66,36.85,36.85,7755500
ADM,2006-05-02,41.9,42.05,38.37,39.24,19282900
ADM,2006-05-03,43.32,43.61,40.9,41.9,17255300
ADM,2006-05-04,40.0,42.6654,39.7,42.3,16190700
ADM,2006-05-05,40.7,41.47,40.43,40.77,8337500
ADM,2006-05-08,43.22,43.5,41.08,41.12,9756300
ADM,2006-05-09,45.22,45.75,43.55,44.0,16580900
ADM,2006-05-10,45.0,45.95,44.3,45.95,9212100
ADM,2006-05-11,45.25,46.71,44.71,45.5,11303300
ADM,2006-05-12,44.1,45.98,43.031,45.5,11890500
ADM,2006-05-15,43.24,43.6,41.26,42.6,10249900
ADM,2006-05-16,44.13,44.5499,42.13,43.03,8712000
ADM,2006-05-17,42.19,44.04,42.0,44.03,6641000
ADM,2006-05-18,39.8,42.85,39.55,41.5,10486000
ADM,2006-05-19,40.2,40.25,38.81,40.0,9525200
ADM,2006-05-22,40.0,40.2,38.87,40.2,8132099
ADM,2006-05-23,40.05,41.6,39.97,41.0,7147000
ADM,2006-05-24,40.3,41.059,40.0,40.14,5708700
ADM,2006-05-25,41.38,41.75,40.73,41.0,4942800
ADM,2006-05-26,42.71,43.09,41.68,42.0,4519700
ADM,2006-05-29,42.71,43.09,41.68,42.0,0
ADM,2006-05-30,40.86,43.1,40.7,43.1,4984200
ADM,2006-05-31,41.57,41.97,41.2,41.5,4737400
ADM,2006-06-01,43.23,43.34,41.72,42.22,4442000
ADM,2006-06-02,42.34,43.74,41.86,43.7,4171999
ADM,2006-06-05,41.5,42.59,41.36,42.3,3565500
ADM,2006-06-06,41.84,42.05,40.25,41.75,4283400
ADM,2006-06-07,41.57,42.47,41.25,41.84,4490600
ADM,2006-06-08,40.01,41.45,38.31,41.45,10898800
ADM,2006-06-09,41.26,41.83,40.77,41.2,6594300
ADM,2006-06-12,40.29,42.15,40.0,42.0,4810600
ADM,2006-06-13,38.21,40.0,37.45,40.0,10516400
ADM,2006-06-14,38.77,39.4,38.1,38.72,5263000
ADM,2006-06-15,39.74,39.9,38.4,39.0,5497200
ADM,2006-06-16,39.08,39.9,38.77,39.8,4302000
ADM,2006-06-19,38.37,39.64,37.86,39.1,4194800
ADM,2006-06-20,39.39,39.5,38.4,38.45,3558700
