Symbol,Date,Close,High,Low,Open,Volume
ADP,2006-01-02,36.1694,36.4136,36.1221,36.3348,0
ADP,2006-01-03,36.5082,36.7998,36.0984,36.7998,2379049
ADP,2006-01-04,36.6264,36.7761,36.5003,36.5949,1391490
ADP,2006-01-05,36.3191,36.6106,36.3112,36.5476,2254557
ADP,2006-01-06,36.6343,36.7446,36.2403,36.3191,1750498
ADP,2006-01-09,36.5397,36.6737,36.4373,36.5161,1702529
ADP,2006-01-10,36.2403,36.4688,36.1457,36.193,1924863
ADP,2006-01-11,36.3506,36.4294,36.1851,36.2245,2320039
ADP,2006-01-12,35.8148,36.39,35.7517,36.2876,2725240
ADP,2006-01-13,36.0512,36.0906,35.799,35.8148,1841488
ADP,2006-01-16,36.0512,36.0906,35.799,35.8148,0
ADP,2006-01-17,35.7202,35.933,35.6966,35.7675,2750748
ADP,2006-01-18,35.8148,35.9487,35.271,35.6178,2235395
ADP,2006-01-19,36.1457,36.2009,35.6729,35.7911,2836154
ADP,2006-01-20,35.7044,36.1851,35.5626,36.1851,3122447
ADP,2006-01-23,35.7675,35.9093,35.6572,35.7754,2661281
ADP,2006-01-24,36.2954,36.3506,35.6178,35.736,3870921
ADP,2006-01-25,35.7202,36.4688,35.3262,36.4058,4513050
ADP,2006-01-26,35.3814,36.2482,35.342,36.1142,2971051
ADP,2006-01-27,35.2789,35.4286,34.9637,35.3026,5846547
ADP,2006-01-30,35.3892,35.4602,35.0346,35.2632,1703037
ADP,2006-01-31,34.6249,35.3971,34.6249,35.3498,3550364
ADP,2006-02-01,34.814,34.8613,34.4909,34.5776,3754297
ADP,2006-02-02,34.7746,34.9479,34.5224,34.8297,1968391
ADP,2006-02-03,34.6721,34.7115,34.4751,34.5855,3020417
ADP,2006-02-06,34.7194,34.7951,34.0811,34.0811,2594276
ADP,2006-02-07,34.9401,35.3735,34.7982,34.8691,3500872
ADP,2006-02-08,35.5705,35.6178,35.0189,35.145,4241224
ADP,2006-02-09,35.9566,36.0906,35.5153,35.6178,5008099
ADP,2006-02-10,36.0118,36.0748,35.5941,35.933,3205441
ADP,2006-02-13,35.7832,35.996,35.3892,35.3892,2315344
ADP,2006-02-14,35.9251,35.9408,35.5862,35.7675,2551003
ADP,2006-02-15,35.4759,35.9251,35.3183,35.7832,2953539
ADP,2006-02-16,35.4208,35.6099,35.2868,35.342,3488816
ADP,2006-02-17,35.3341,35.4523,35.1844,35.4208,2560013
ADP,2006-02-20,35.3341,35.4523,35.1844,35.4208,0
ADP,2006-02-21,35.0346,35.405,34.9873,35.3341,2687677
ADP,2006-02-22,35.1765,35.3223,35.0898,35.1686,2101258
ADP,2006-02-23,35.3262,35.6178,35.0504,35.0504,3176888
ADP,2006-02-24,35.3735,35.5941,35.0662,35.271,1974609
ADP,2006-02-27,36.453,36.5712,35.5232,35.5232,4697948
ADP,2006-02-28,36.3979,36.587,36.1063,36.2403,3172447
ADP,2006-03-01,36.4215,36.5712,36.0906,36.2403,2106081
ADP,2006-03-02,36.3033,36.39,36.0748,36.3664,1585398
ADP,2006-03-03,36.4688,36.7052,35.9802,36.0118,2318389
ADP,2006-03-06,36.256,36.5318,36.1063,36.3585,1730701
ADP,2006-03-07,36.0906,36.1772,35.8542,35.9724,2268516
ADP,2006-03-08,36.5318,36.6028,35.9724,36.0512,1842249
ADP,2006-03-09,37.0598,37.2332,36.847,37.0362,3152396
ADP,2006-03-10,37.5799,37.706,36.6816,36.9022,3737165
ADP,2006-03-13,37.4853,37.6823,37.375,37.5799,1807985
ADP,2006-03-14,37.438,37.7848,37.0756,37.3671,2061791
ADP,2006-03-15,37.0046,37.4302,36.8392,37.2804,3053285
ADP,2006-03-16,37.0046,37.115,36.7682,36.918,3170162
ADP,2006-03-17,37.1622,37.3514,37.0834,37.2016,3164452
ADP,2006-03-20,36.9416,37.2253,36.6816,37.0834,1753163
ADP,2006-03-21,36.8549,37.2174,36.8076,37.1386,2369785
ADP,2006-03-22,36.7761,36.8786,36.5082,36.721,1561540
ADP,2006-03-23,36.9416,36.9889,36.3821,36.587,1622326
ADP,2006-03-24,36.8392,36.9101,36.4058,36.7446,2411790
ADP,2006-03-27,36.8234,37.0362,36.8076,36.9574,2260522
ADP,2006-03-28,36.2876,36.8273,36.2166,36.8273,2428287
