Symbol,Date,Close,High,Low,Open,Volume
AEP,2006-01-02,37.09,37.29,36.8,37.2,0
AEP,2006-01-03,37.36,37.39,36.65,37.27,1878100
AEP,2006-01-04,37.3,37.4,36.83,37.15,2091100
AEP,2006-01-05,37.09,37.4,37.0,37.29,1016799
AEP,2006-01-06,37.67,37.78,37.06,37.34,1130300
AEP,2006-01-09,37.11,37.59,36.97,37.57,1830900
AEP,2006-01-10,37.12,37.25,36.91,37.0,1656200
AEP,2006-01-11,37.19,37.25,36.94,37.06,1088100
AEP,2006-01-12,36.92,37.17,36.83,37.05,994700
AEP,2006-01-13,37.18,37.31,36.9,36.96,986000
AEP,2006-01-16,37.18,37.31,36.9,36.96,0
AEP,2006-01-17,37.47,37.47,36.95,36.95,875100
AEP,2006-01-18,37.39,37.67,37.27,37.5,1156500
AEP,2006-01-19,37.91,37.99,37.18,37.37,1369300
AEP,2006-01-20,37.37,38.06,37.33,37.95,1424000
AEP,2006-01-23,37.43,37.67,37.37,37.39,1082500
AEP,2006-01-24,37.94,37.99,37.4,37.45,1557600
AEP,2006-01-25,37.4,38.05,37.2,37.93,1610000
AEP,2006-01-26,36.99,38.48,36.95,38.48,1732500
AEP,2006-01-27,37.35,37.51,37.0,37.01,1259100
AEP,2006-01-30,37.23,37.39,37.09,37.35,1127800
AEP,2006-01-31,37.32,37.4,37.01,37.33,1322400
AEP,2006-02-01,36.94,37.35,36.85,37.32,915500
AEP,2006-02-02,36.17,36.76,36.0,36.75,1856400
AEP,2006-02-03,36.1,36.29,35.8,35.85,1508800
AEP,2006-02-06,36.22,36.31,35.95,35.95,928400
AEP,2006-02-07,36.01,36.7,35.98,36.5,2080499
AEP,2006-02-08,35.95,35.95,35.56,35.85,1444800
AEP,2006-02-09,35.92,36.14,35.71,35.95,1360500
AEP,2006-02-10,36.03,36.19,35.74,35.77,1172800
AEP,2006-02-13,36.08,36.13,35.87,36.03,590500
AEP,2006-02-14,35.75,36.19,35.6,36.08,1178400
AEP,2006-02-15,35.58,35.97,35.48,35.63,1298200
AEP,2006-02-16,36.02,36.02,35.5,35.5,1093700
AEP,2006-02-17,36.37,36.43,35.95,36.02,1847200
AEP,2006-02-20,36.37,36.43,35.95,36.02,0
AEP,2006-02-21,36.16,36.64,36.11,36.52,1356500
AEP,2006-02-22,36.43,36.44,36.1,36.24,1840200
AEP,2006-02-23,36.29,36.45,36.11,36.39,1108300
AEP,2006-02-24,36.42,36.58,35.95,36.23,1061000
AEP,2006-02-27,36.45,36.75,36.44,36.55,1541100
AEP,2006-02-28,36.5,36.91,36.41,36.9,2538500
AEP,2006-03-01,36.54,36.65,36.39,36.65,1465000
AEP,2006-03-02,36.34,36.54,36.11,36.48,914100
AEP,2006-03-03,36.46,36.64,36.18,36.26,1241600
AEP,2006-03-06,35.63,36.5,35.6,36.46,1363300
