Symbol,Date,Close,High,Low,Open,Volume
AFL,2006-01-02,23.21,23.4,23.155,23.365,0
AFL,2006-01-03,23.285,23.37,23.125,23.325,3503200
AFL,2006-01-04,23.415,23.46,23.3,23.35,4319200
AFL,2006-01-05,23.605,23.665,23.425,23.455,3548400
AFL,2006-01-06,24.45,24.575,24.18,24.45,4125200
AFL,2006-01-09,24.565,24.7,24.485,24.515,3693600
AFL,2006-01-10,24.585,24.625,24.375,24.545,3147800
AFL,2006-01-11,24.65,24.675,24.53,24.645,2055000
AFL,2006-01-12,24.32,24.615,24.29,24.555,2918200
AFL,2006-01-13,24.36,24.46,24.305,24.42,2523200
AFL,2006-01-16,24.36,24.46,24.305,24.42,0
AFL,2006-01-17,24.165,24.23,24.04,24.16,2266800
AFL,2006-01-18,24.11,24.2425,23.875,24.17,2552800
AFL,2006-01-19,23.94,24.19,23.86,24.165,2080600
AFL,2006-01-20,23.585,23.94,23.45,23.915,5582400
AFL,2006-01-23,23.58,23.755,23.525,23.635,2303000
AFL,2006-01-24,23.495,23.745,23.475,23.615,3040800
AFL,2006-01-25,23.675,23.73,23.48,23.635,4167200
AFL,2006-01-26,23.75,23.805,23.5,23.675,5387400
AFL,2006-01-27,23.75,23.94,23.67,23.735,2540200
AFL,2006-01-30,23.745,23.865,23.61,23.695,2774000
AFL,2006-01-31,23.475,24.225,23.47,23.85,5576800
AFL,2006-02-01,23.585,23.625,23.16,23.41,4924800
AFL,2006-02-02,23.64,23.75,23.52,23.585,4142800
AFL,2006-02-03,23.58,23.645,23.41,23.5,5638600
AFL,2006-02-06,23.4,23.695,23.385,23.525,3257600
AFL,2006-02-07,23.435,23.52,23.3,23.3,2934200
AFL,2006-02-08,23.39,23.455,23.255,23.37,2808800
AFL,2006-02-09,23.34,23.5,23.31,23.425,3141200
AFL,2006-02-10,23.475,23.55,23.325,23.425,2554400
AFL,2006-02-13,23.39,23.475,23.305,23.475,1455000
AFL,2006-02-14,23.77,23.88,23.37,23.465,2864400
AFL,2006-02-15,24.01,24.07,23.735,23.9,3170000
AFL,2006-02-16,23.84,23.96,23.645,23.93,2179400
AFL,2006-02-17,23.5,23.83,23.49,23.81,3217800
AFL,2006-02-20,23.5,23.83,23.49,23.81,0
AFL,2006-02-21,23.285,23.555,23.22,23.5,3074200
AFL,2006-02-22,23.745,23.785,23.27,23.42,4113200
AFL,2006-02-23,23.735,23.955,23.474,23.625,4307600
AFL,2006-02-24,23.5,23.575,23.385,23.5,4565000
AFL,2006-02-27,23.505,23.7,23.505,23.535,2846800
AFL,2006-02-28,23.125,23.525,23.06,23.5,6835000
AFL,2006-03-01,22.91,23.225,22.8,23.225,5889600
AFL,2006-03-02,22.9,22.995,22.875,22.905,3568400
