Symbol,Date,Close,High,Low,Open,Volume
AGN,2006-01-02,32.51,32.6,32.31,32.4,0
AGN,2006-01-03,32.94,32.98,32.4,32.6,1062700
AGN,2006-01-04,32.91,33.3,32.84,33.01,834100
AGN,2006-01-05,33.02,33.14,32.6,32.75,830900
AGN,2006-01-06,33.42,33.5,32.95,33.07,470200
AGN,2006-01-09,33.55,33.68,33.33,33.36,750900
AGN,2006-01-10,34.76,35.27,33.6,33.66,1705500
AGN,2006-01-11,34.21,34.55,34.05,34.5,1081900
AGN,2006-01-12,34.0,34.28,33.84,34.25,576200
AGN,2006-01-13,33.88,34.16,33.72,33.94,365800
AGN,2006-01-16,33.88,34.16,33.72,33.94,0
AGN,2006-01-17,33.56,33.72,33.38,33.61,691800
AGN,2006-01-18,33.48,33.6,33.35,33.5,396900
AGN,2006-01-19,33.37,33.55,33.1,33.32,591700
AGN,2006-01-20,33.5,33.69,33.29,33.47,952800
AGN,2006-01-23,33.38,33.68,33.3,33.47,728800
AGN,2006-01-24,33.28,33.45,32.98,33.37,955700
AGN,2006-01-25,33.51,33.53,33.01,33.24,746700
AGN,2006-01-26,33.55,33.89,33.24,33.59,712300
AGN,2006-01-27,33.55,33.75,33.36,33.45,758300
AGN,2006-01-30,33.47,33.53,33.27,33.47,343000
AGN,2006-01-31,33.09,33.45,32.81,33.37,1008599
AGN,2006-02-01,33.22,33.25,32.62,33.03,877900
AGN,2006-02-02,32.33,32.9,32.14,32.85,1245500
AGN,2006-02-03,32.06,32.61,31.93,32.26,957900
AGN,2006-02-06,31.75,32.09,31.63,32.06,987000
AGN,2006-02-07,31.95,32.22,31.65,31.67,593300
AGN,2006-02-08,32.39,32.54,31.96,32.03,1067100
AGN,2006-02-09,32.19,32.58,32.05,32.34,746700
AGN,2006-02-10,32.13,32.2,31.73,32.19,582500
AGN,2006-02-13,32.12,32.29,31.92,32.05,737900
AGN,2006-02-14,32.4,32.55,32.15,32.19,1162600
AGN,2006-02-15,32.59,32.59,32.1,32.39,775900
AGN,2006-02-16,32.5,32.67,32.17,32.5,696500
AGN,2006-02-17,30.76,31.95,30.37,31.9,3979700
AGN,2006-02-20,30.76,31.95,30.37,31.9,0
AGN,2006-02-21,29.83,30.6,29.42,29.42,1763300
AGN,2006-02-22,30.41,30.61,29.91,29.91,1448100
AGN,2006-02-23,30.0,30.5,29.92,30.31,1735400
AGN,2006-02-24,30.1,30.33,30.08,30.17,982700
AGN,2006-02-27,30.36,30.65,30.24,30.25,840900
AGN,2006-02-28,29.98,30.29,29.85,30.25,1089000
AGN,2006-03-01,30.08,30.08,29.75,30.01,989300
AGN,2006-03-02,30.02,30.33,29.95,30.08,562000
AGN,2006-03-03,30.1,30.45,29.83,29.96,538100
AGN,2006-03-06,30.11,30.39,30.07,30.14,673900
AGN,2006-03-07,29.97,30.46,29.88,30.17,518200
AGN,2006-03-08,30.44,30.49,29.97,30.0,520800
AGN,2006-03-09,29.55,30.45,29.4,30.41,1360000
AGN,2006-03-10,29.55,29.94,29.53,29.56,695200
AGN,2006-03-13,29.0,29.25,27.9,29.25,4503900
AGN,2006-03-14,29.04,29.28,28.69,28.8,1287300
AGN,2006-03-15,29.32,29.39,29.1,29.18,726100
AGN,2006-03-16,29.5,29.9299,29.17,29.31,1529800
AGN,2006-03-17,29.08,29.46,28.94,29.4,1116000
AGN,2006-03-20,29.35,29.66,29.03,29.05,1235800
AGN,2006-03-21,29.0,29.48,28.9,29.42,663900
AGN,2006-03-22,28.96,29.02,28.77,28.93,753600
AGN,2006-03-23,28.77,29.0,28.72,28.87,517000
AGN,2006-03-24,28.85,28.9,28.67,28.76,800600
AGN,2006-03-27,28.62,28.85,28.23,28.65,1195800
AGN,2006-03-28,28.52,28.72,28.41,28.54,665500
AGN,2006-03-29,28.77,28.87,28.51,28.51,393000
AGN,2006-03-30,28.67,28.98,28.53,28.77,555900
AGN,2006-03-31,28.74,29.0176,28.65,28.66,734600
AGN,2006-04-03,29.01,29.19,28.82,28.91,1020999
AGN,2006-04-04,28.95,29.09,28.64,29.05,578800
AGN,2006-04-05,29.03,29.2,28.86,28.95,612800
AGN,2006-04-06,28.44,29.03,28.41,29.0,897100
AGN,2006-04-07,27.93,28.51,27.87,28.46,522700
AGN,2006-04-10,27.58,28.0,27.39,28.0,734500
AGN,2006-04-11,27.35,27.61,27.21,27.57,961500
AGN,2006-04-12,27.41,27.49,27.29,27.31,507900
AGN,2006-04-13,27.33,27.47,27.14,27.44,354900
AGN,2006-04-14,27.33,27.47,27.14,27.44,0
AGN,2006-04-17,27.29,27.63,27.2,27.29,440300
AGN,2006-04-18,27.82,27.82,27.32,27.33,525600
AGN,2006-04-19,28.06,28.06,27.726,27.88,927400
AGN,2006-04-20,28.15,28.2,27.66,28.02,529900
AGN,2006-04-21,28.56,28.88,28.3156,28.35,2012500
AGN,2006-04-24,28.7,28.79,28.21,28.55,866400
AGN,2006-04-25,28.55,28.8,28.31,28.75,837600
AGN,2006-04-26,28.64,28.91,28.56,28.7,692700
AGN,2006-04-27,28.33,28.73,28.29,28.6,563300
AGN,2006-04-28,28.44,28.59,28.02,28.37,567900
AGN,2006-05-01,29.02,29.18,28.45,28.45,1128700
AGN,2006-05-02,29.25,29.56,28.94,29.13,1166500
AGN,2006-05-03,29.31,29.5,29.09,29.15,806200
AGN,2006-05-04,29.03,29.49,28.96,29.28,1074500
AGN,2006-05-05,29.18,29.45,29.04,29.22,1080000
AGN,2006-05-08,29.99,30.48,29.21,29.21,1599900
AGN,2006-05-09,27.45,28.0,26.65,27.75,6788500
AGN,2006-05-10,26.95,27.6,26.8,27.5,2658000
AGN,2006-05-11,26.79,27.1,26.75,27.0,1020400
AGN,2006-05-12,26.63,27.25,26.6,26.79,1056200
AGN,2006-05-15,26.71,26.89,26.57,26.67,822700
AGN,2006-05-16,26.53,26.9,26.5,26.76,614400
AGN,2006-05-17,25.8,26.46,25.74,26.36,1263500
AGN,2006-05-18,25.6,25.96,25.56,25.8,924100
AGN,2006-05-19,25.55,25.92,25.46,25.73,914500
AGN,2006-05-22,25.43,25.6,25.39,25.47,853900
AGN,2006-05-23,25.11,25.6,25.08,25.5,1055500
AGN,2006-05-24,25.28,25.42,25.02,25.12,729000
AGN,2006-05-25,25.37,25.58,25.32,25.5,648800
AGN,2006-05-26,25.57,25.74,25.32,25.41,459900
AGN,2006-05-29,25.57,25.74,25.32,25.41,0
AGN,2006-05-30,25.29,25.66,25.26,25.54,488300
AGN,2006-05-31,25.33,25.59,25.21,25.34,823800
AGN,2006-06-01,25.8,25.88,25.29,25.29,683600
AGN,2006-06-02,25.46,25.88,25.31,25.8,618100
AGN,2006-06-05,24.93,25.44,24.88,25.41,975600
AGN,2006-06-06,24.65,25.06,24.6,25.0,1139000
AGN,2006-06-07,24.62,24.87,24.54,24.68,800500
AGN,2006-06-08,24.57,24.69,24.2,24.52,888600
AGN,2006-06-09,24.84,24.88,24.62,24.66,905800
AGN,2006-06-12,24.7,25.2,24.66,24.99,605000
AGN,2006-06-13,24.36,24.78,24.24,24.73,676100
AGN,2006-06-14,24.35,24.8,24.07,24.43,811900
AGN,2006-06-15,25.01,25.06,24.27,24.27,699200
AGN,2006-06-16,24.58,25.2,24.51,25.1,1024700
AGN,2006-06-19,24.7,24.98,24.52,24.72,1204100
AGN,2006-06-20,24.3,24.73,24.24,24.59,738700
AGN,2006-06-21,23.67,24.23,23.51,24.17,1538100
AGN,2006-06-22,23.1,23.47,22.87,23.43,1585700
AGN,2006-06-23,23.21,23.3,22.86,22.87,1043500
AGN,2006-06-26,23.38,23.61,23.12,23.12,683500
AGN,2006-06-27,23.27,23.63,23.23,23.38,823100
AGN,2006-06-28,23.32,23.44,23.1,23.38,1369900
AGN,2006-06-29,23.44,23.6,23.24,23.39,1166600
AGN,2006-06-30,23.28,23.62,23.23,23.42,1234700
AGN,2006-07-03,23.73,23.85,23.39,23.4,597300
AGN,2006-07-04,23.73,23.85,23.39,23.4,0
AGN,2006-07-05,23.55,23.67,23.33,23.55,1124100
AGN,2006-07-06,23.31,23.7,23.25,23.47,678800
AGN,2006-07-07,22.75,23.29,22.67,23.29,1153900
AGN,2006-07-10,22.7,23.0,22.58,22.75,912800
AGN,2006-07-11,22.62,22.83,22.56,22.65,679000
AGN,2006-07-12,22.74,22.95,22.5,22.69,1035800
AGN,2006-07-13,22.77,22.89,22.55,22.55,805200
AGN,2006-07-14,22.18,22.6,22.03,22.55,920400
AGN,2006-07-17,22.34,22.68,22.19,22.21,763000
AGN,2006-07-18,21.95,22.42,21.75,22.3,1043199
AGN,2006-07-19,22.03,22.36,21.88,21.97,870300
AGN,2006-07-20,21.67,22.231,21.55,22.1,1028400
AGN,2006-07-21,21.42,21.69,21.35,21.67,744500
AGN,2006-07-24,21.63,21.74,21.43,21.43,1140700
AGN,2006-07-25,21.6,21.77,21.49,21.52,1104900
AGN,2006-07-26,22.0,22.22,21.68,21.82,1456900
AGN,2006-07-27,22.02,22.22,21.87,22.0,816100
AGN,2006-07-28,22.49,22.49,21.98,21.98,795100
AGN,2006-07-31,22.39,22.56,22.22,22.35,665000
AGN,2006-08-01,22.25,22.681,22.14,22.3,605400
AGN,2006-08-02,22.73,22.85,22.21,22.25,797000
AGN,2006-08-03,22.55,22.85,22.39,22.73,946400
AGN,2006-08-04,22.59,22.95,22.5,22.62,377700
AGN,2006-08-07,21.99,22.49,21.77,22.44,1606500
AGN,2006-08-08,22.4,22.78,22.1,22.1,1595100
AGN,2006-08-09,23.85,24.36,23.51,23.92,2288200
AGN,2006-08-10,23.94,24.11,23.79,23.8,1174300
AGN,2006-08-11,24.28,24.41,23.86,23.98,902400
AGN,2006-08-14,24.43,24.77,24.38,24.58,1132600
AGN,2006-08-15,24.68,24.89,24.32,24.51,1250300
AGN,2006-08-16,25.27,25.43,24.88,24.91,909500
AGN,2006-08-17,25.39,25.5,25.09,25.2,712500
AGN,2006-08-18,25.6,25.78,25.28,25.43,706500
AGN,2006-08-21,25.29,25.7,25.27,25.52,805600
AGN,2006-08-22,25.66,25.76,25.31,25.33,663700
AGN,2006-08-23,25.16,25.88,25.16,25.57,554500
AGN,2006-08-24,25.64,25.78,25.33,25.33,545000
AGN,2006-08-25,25.52,25.68,25.42,25.56,382000
AGN,2006-08-28,25.53,25.65,25.47,25.5,473900
AGN,2006-08-29,25.55,25.82,25.43,25.62,578400
AGN,2006-08-30,25.61,25.92,25.54,25.59,781100
AGN,2006-08-31,25.64,25.74,25.42,25.66,407100
AGN,2006-09-01,25.86,26.04,25.7,25.81,413900
AGN,2006-09-04,25.86,26.04,25.7,25.81,0
AGN,2006-09-05,25.78,26.05,25.75,26.0,474200
AGN,2006-09-06,25.71,25.8,25.38,25.6,401900
AGN,2006-09-07,25.73,26.0,25.61,25.79,753900
AGN,2006-09-08,26.02,26.12,25.66,25.73,684700
AGN,2006-09-11,26.01,26.21,25.76,25.82,675800
AGN,2006-09-12,26.09,26.26,25.85,25.93,589400
AGN,2006-09-13,26.09,26.09,25.82,25.99,419700
AGN,2006-09-14,26.36,26.39,26.02,26.15,456700
AGN,2006-09-15,27.07,27.17,26.49,26.67,1259800
AGN,2006-09-18,26.75,27.03,26.72,26.96,467000
AGN,2006-09-19,26.82,26.94,26.7,26.92,425900
AGN,2006-09-20,26.59,27.05,26.59,26.79,888400
AGN,2006-09-21,26.22,26.48,25.89,26.44,919400
AGN,2006-09-22,25.91,26.29,25.8,26.29,434500
AGN,2006-09-25,25.96,26.42,25.87,26.1,605500
AGN,2006-09-26,25.93,26.22,25.88,25.88,431700
AGN,2006-09-27,25.95,26.0,25.56,25.91,551900
AGN,2006-09-28,25.95,26.14,25.86,25.99,372000
AGN,2006-09-29,26.17,26.17,25.92,26.06,1248300
AGN,2006-10-02,25.93,26.36,25.92,26.3,442800
AGN,2006-10-03,26.3,26.53,25.88,25.94,512000
AGN,2006-10-04,26.47,26.52,26.1,26.43,383500
AGN,2006-10-05,26.48,26.68,26.32,26.42,419400
AGN,2006-10-06,26.86,26.9,26.4,26.57,518599
AGN,2006-10-09,26.75,26.89,26.54,26.8,415700
AGN,2006-10-10,25.79,26.8,25.6,26.8,1263800
AGN,2006-10-11,25.92,26.15,25.8,25.88,1055200
AGN,2006-10-12,25.92,26.13,25.71,26.1,645800
AGN,2006-10-13,26.3,26.37,25.9,26.02,712700
AGN,2006-10-16,26.46,26.64,26.34,26.44,610500
AGN,2006-10-17,26.41,26.65,26.39,26.56,531500
AGN,2006-10-18,26.71,26.94,26.41,26.56,872800
AGN,2006-10-19,26.34,26.67,26.24,26.66,589200
AGN,2006-10-20,26.4,26.45,26.2,26.34,677300
AGN,2006-10-23,26.86,26.87,26.35,26.46,798100
AGN,2006-10-24,26.86,26.92,26.49,26.76,577200
AGN,2006-10-25,26.97,27.04,26.6,26.97,609600
AGN,2006-10-26,26.84,26.99,26.6,26.98,484000
AGN,2006-10-27,26.67,26.81,26.46,26.75,575900
AGN,2006-10-30,26.55,26.84,26.39,26.7,506200
AGN,2006-10-31,26.91,26.94,26.52,26.52,612700
AGN,2006-11-01,26.43,27.13,26.43,27.0,600500
AGN,2006-11-02,26.2,26.33,26.0,26.3,929900
AGN,2006-11-03,26.2,26.4,26.08,26.2,546200
AGN,2006-11-06,26.34,26.34,26.17,26.23,835100
AGN,2006-11-07,26.25,26.4,25.92,26.34,847500
AGN,2006-11-08,24.56,25.45,24.31,25.45,2651900
AGN,2006-11-09,24.56,24.99,24.5,24.52,1913700
AGN,2006-11-10,24.84,24.95,24.69,24.72,804900
AGN,2006-11-13,24.71,24.97,24.54,24.9,1061800
AGN,2006-11-14,24.98,25.1,24.6,24.71,721100
AGN,2006-11-15,24.78,25.0,24.69,24.86,893400
AGN,2006-11-16,25.28,25.35,24.75,24.76,1021300
AGN,2006-11-17,25.17,25.46,25.02,25.03,1231300
AGN,2006-11-20,25.13,25.338,25.11,25.17,724300
AGN,2006-11-21,24.99,25.3,24.89,25.19,959000
AGN,2006-11-22,25.1,25.15,24.76,24.86,1526200
AGN,2006-11-23,25.1,25.15,24.76,24.86,0
AGN,2006-11-24,25.07,25.2,24.95,24.97,288500
AGN,2006-11-27,25.0,25.12,24.89,25.01,1260800
AGN,2006-11-28,25.14,25.27,25.03,25.03,656300
AGN,2006-11-29,25.76,25.92,25.08,25.14,1055100
AGN,2006-11-30,25.67,25.81,25.44,25.71,982900
AGN,2006-12-01,25.69,25.84,25.28,25.66,1001900
AGN,2006-12-04,26.01,26.31,25.6,25.85,1137100
AGN,2006-12-05,25.77,26.08,25.64,25.96,943500
AGN,2006-12-06,25.6,25.81,25.44,25.8,840500
AGN,2006-12-07,25.48,25.8,25.35,25.66,774100
AGN,2006-12-08,25.62,25.7,25.3,25.53,867600
AGN,2006-12-11,25.63,25.69,25.47,25.67,923600
AGN,2006-12-12,25.84,25.89,25.62,25.64,1026100
AGN,2006-12-13,26.06,27.33,25.92,26.74,1393300
AGN,2006-12-14,26.4,26.54,26.03,26.05,1068600
AGN,2006-12-15,26.38,26.52,26.3,26.4,824500
AGN,2006-12-18,25.98,26.4,25.9,26.32,755200
AGN,2006-12-19,25.95,26.09,25.8,25.83,882300
AGN,2006-12-20,26.14,26.21,26.0,26.04,823700
AGN,2006-12-21,26.1,26.23,26.07,26.12,569200
AGN,2006-12-22,26.01,26.23,25.93,26.02,427900
AGN,2006-12-25,26.01,26.23,25.93,26.02,0
AGN,2006-12-26,26.14,26.24,26.01,26.01,348200
AGN,2006-12-27,25.91,26.25,25.88,26.05,643600
AGN,2006-12-28,26.05,26.1,25.86,25.9,494300
AGN,2006-12-29,26.03,26.2,25.95,26.07,636600
AGN,2007-01-01,26.03,26.2,25.95,26.07,0
AGN,2007-01-02,26.03,26.2,25.95,26.07,0
AGN,2007-01-03,26.3,26.71,26.11,26.11,867000
AGN,2007-01-04,26.83,26.93,26.3,26.3,751900
AGN,2007-01-05,26.31,26.83,26.15,26.83,785200
AGN,2007-01-08,26.28,26.54,26.11,26.26,582100
AGN,2007-01-09,26.34,26.5,26.19,26.35,813200
AGN,2007-01-10,26.21,26.33,26.17,26.23,770400
AGN,2007-01-11,26.02,26.19,25.32,26.19,1571600
AGN,2007-01-12,25.98,26.04,25.88,26.02,1165500
AGN,2007-01-15,25.98,26.04,25.88,26.02,0
AGN,2007-01-16,25.79,26.1,25.66,26.04,813700
AGN,2007-01-17,25.78,25.86,25.66,25.8,871800
AGN,2007-01-18,25.75,25.84,25.68,25.77,592900
AGN,2007-01-19,26.52,26.63,25.83,25.89,1363100
AGN,2007-01-22,26.55,26.64,26.25,26.55,1437900
AGN,2007-01-23,26.59,26.73,26.41,26.46,888000
AGN,2007-01-24,26.6,26.65,26.46,26.63,1014600
AGN,2007-01-25,26.6,26.73,26.42,26.61,1048800
AGN,2007-01-26,26.58,26.71,26.47,26.6,1025700
AGN,2007-01-29,26.76,26.92,26.5,26.53,797100
AGN,2007-01-30,27.13,27.38,26.84,26.89,1183300
AGN,2007-01-31,27.22,27.26,26.85,27.06,781000
AGN,2007-02-01,27.62,27.71,27.06,27.22,1365700
AGN,2007-02-02,27.81,27.85,27.46,27.57,681800
AGN,2007-02-05,27.56,27.78,27.47,27.78,740000
AGN,2007-02-06,27.85,27.85,27.61,27.71,883900
AGN,2007-02-07,28.08,28.19,27.74,27.85,805500
AGN,2007-02-08,28.21,28.29,27.99,28.1,765200
AGN,2007-02-09,28.17,28.48,28.03,28.25,780000
AGN,2007-02-12,28.35,28.44,28.11,28.25,728173
AGN,2007-02-13,28.47,28.5,28.24,28.45,752343
AGN,2007-02-14,28.53,28.73,28.42,28.42,587814
AGN,2007-02-15,28.85,28.85,28.53,28.54,663700
AGN,2007-02-16,28.98,29.04,28.51,28.83,745300
AGN,2007-02-19,28.98,29.04,28.51,28.83,0
AGN,2007-02-20,29.19,29.33,28.89,29.05,1203700
AGN,2007-02-21,29.31,29.34,29.04,29.19,908000
AGN,2007-02-22,29.28,29.43,29.09,29.32,1117500
AGN,2007-02-23,29.22,29.282,28.88,29.22,1291700
AGN,2007-02-26,28.41,29.35,28.41,29.21,1727669
AGN,2007-02-27,28.07,28.4,27.77,28.17,1638400
AGN,2007-02-28,26.36,28.13,26.27,26.75,5230900
AGN,2007-03-01,25.71,26.28,25.59,26.1,4244449
AGN,2007-03-02,25.72,25.92,25.45,25.6,1541500
AGN,2007-03-05,25.61,25.85,25.21,25.59,2206313
AGN,2007-03-06,25.94,25.96,25.54,25.69,1617900
AGN,2007-03-07,25.47,25.95,25.47,25.8,1701000
AGN,2007-03-08,25.58,25.72,25.51,25.6,971600
AGN,2007-03-09,25.88,25.91,25.5,25.62,1109100
AGN,2007-03-12,25.94,26.06,25.86,25.86,797800
AGN,2007-03-13,25.46,25.9,25.42,25.78,998800
AGN,2007-03-14,25.51,25.51,25.36,25.36,1028799
AGN,2007-03-15,25.58,25.64,25.16,25.4,1147333
AGN,2007-03-16,25.52,25.77,25.5,25.64,796500
AGN,2007-03-19,25.41,25.54,25.216,25.52,845800
AGN,2007-03-20,25.28,25.38,25.02,25.29,1690000
AGN,2007-03-21,25.55,25.55,25.16,25.38,971333
AGN,2007-03-22,25.75,25.81,25.6,25.64,840500
AGN,2007-03-23,25.99,26.03,25.57,25.61,1375834
AGN,2007-03-26,26.47,26.84,26.3,26.3,1288600
AGN,2007-03-27,26.39,26.47,26.15,26.47,1048900
AGN,2007-03-28,26.25,26.38,26.01,26.31,949400
AGN,2007-03-29,26.58,26.58,26.3,26.3,1237750
AGN,2007-03-30,26.43,26.82,26.34,26.71,930000
AGN,2007-04-02,26.37,26.5,26.16,26.44,1065300
AGN,2007-04-03,26.46,26.6,26.4,26.49,1151500
AGN,2007-04-04,26.49,26.51,26.28,26.45,1213300
AGN,2007-04-05,26.68,26.75,26.43,26.43,567400
AGN,2007-04-06,26.68,26.75,26.43,26.43,0
AGN,2007-04-09,26.49,26.74,26.45,26.67,851500
AGN,2007-04-10,27.13,27.25,26.53,26.53,1407551
AGN,2007-04-11,27.12,27.26,26.99,27.13,552100
AGN,2007-04-12,27.25,27.4,27.03,27.11,817443
AGN,2007-04-13,27.15,27.42,27.03,27.28,604569
AGN,2007-04-16,27.39,27.43,27.15,27.25,438100
AGN,2007-04-17,27.61,27.67,27.42,27.42,554400
AGN,2007-04-18,27.51,27.58,27.27,27.56,989400
AGN,2007-04-19,27.31,27.67,27.18,27.45,929313
AGN,2007-04-20,27.65,27.68,27.43,27.5,906771
AGN,2007-04-23,27.55,27.72,27.46,27.62,460200
AGN,2007-04-24,27.55,27.65,27.45,27.55,413000
AGN,2007-04-25,27.78,27.85,27.43,27.63,472400
AGN,2007-04-26,27.59,27.91,27.45,27.76,611000
AGN,2007-04-27,27.45,27.65,27.31,27.55,534354
AGN,2007-04-30,27.3,27.57,27.27,27.42,747200
AGN,2007-05-01,29.52,30.16,27.29,27.3,4696300
AGN,2007-05-02,30.7,31.47,29.76,30.01,5940900
AGN,2007-05-03,30.72,30.72,30.08,30.62,1730105
AGN,2007-05-04,31.2,31.38,30.38,30.75,1837100
AGN,2007-05-07,30.96,31.41,30.89,31.2,1157050
AGN,2007-05-08,31.01,31.2,30.86,30.94,1161600
AGN,2007-05-09,31.33,31.52,30.93,31.0,1005900
AGN,2007-05-10,30.8,31.4,30.8,31.35,829000
AGN,2007-05-11,31.19,31.19,30.64,30.81,588200
AGN,2007-05-14,30.82,32.52,30.56,31.85,1024000
AGN,2007-05-15,30.96,31.05,30.86,30.94,775000
AGN,2007-05-16,31.2,31.23,30.83,31.01,835400
AGN,2007-05-17,31.22,31.38,30.93,31.03,1072053
AGN,2007-05-18,31.66,31.84,31.39,31.39,812700
AGN,2007-05-21,30.9,31.75,30.69,31.63,1486292
AGN,2007-05-22,31.05,31.15,30.74,30.99,1199100
AGN,2007-05-23,31.02,31.34,30.93,31.06,673200
AGN,2007-05-24,30.98,31.3,30.89,31.2,1045800
AGN,2007-05-25,30.9,31.11,30.85,31.0,521599
AGN,2007-05-28,30.9,31.11,30.85,31.0,0
AGN,2007-05-29,30.93,31.13,30.77,30.99,554100
AGN,2007-05-30,30.72,30.92,30.69,30.85,858100
AGN,2007-05-31,30.86,31.15,30.67,30.83,778300
AGN,2007-06-01,31.53,31.58,31.02,31.02,1010300
AGN,2007-06-04,31.53,31.71,31.38,31.5,1225898
AGN,2007-06-05,31.65,31.73,31.38,31.5,1362800
AGN,2007-06-06,31.26,31.58,31.08,31.49,987800
AGN,2007-06-07,31.19,31.41,30.86,31.26,1271000
AGN,2007-06-08,31.45,31.45,30.94,31.1,772540
AGN,2007-06-11,31.23,31.48,31.18,31.35,897300
AGN,2007-06-12,30.77,31.19,30.28,30.34,933500
AGN,2007-06-13,31.39,31.39,30.86,31.03,1213000
AGN,2007-06-14,31.83,32.22,31.55,31.56,1431500
AGN,2007-06-15,31.93,32.25,31.82,32.2,824400
AGN,2007-06-18,32.14,32.14,31.89,31.89,678500
AGN,2007-06-19,32.35,32.35,32.12,32.12,1106773
AGN,2007-06-20,32.23,32.6,32.055,32.36,1281700
AGN,2007-06-21,32.88,33.28,32.08,32.27,1471511
AGN,2007-06-22,32.28,32.81,32.08,32.71,950807
AGN,2007-06-25,32.3,32.41,32.11,32.32,975800
AGN,2007-06-26,32.14,32.43,32.09,32.35,971993
AGN,2007-06-27,32.26,32.31,31.91,32.0,1222500
AGN,2007-06-28,32.79,33.17,32.26,32.28,1188609
AGN,2007-06-29,32.53,33.14,32.28,32.91,1383400
AGN,2007-07-02,33.07,33.16,32.56,32.7,1649900
AGN,2007-07-03,33.0,33.24,32.91,33.24,596800
AGN,2007-07-04,33.0,33.24,32.91,33.24,0
AGN,2007-07-05,32.79,33.03,32.59,33.01,750398
AGN,2007-07-06,32.92,32.95,32.61,32.8,616784
AGN,2007-07-09,33.03,33.13,32.7,32.9,889196
AGN,2007-07-10,32.92,33.25,32.8,32.97,641386
AGN,2007-07-11,32.89,33.05,32.72,32.89,674200
AGN,2007-07-12,33.35,33.35,32.66,32.9,939366
AGN,2007-07-13,33.04,33.38,32.97,33.35,673600
AGN,2007-07-16,33.69,33.89,33.06,33.06,1020899
AGN,2007-07-17,33.63,33.91,33.49,33.57,730826
AGN,2007-07-18,33.1,33.63,32.83,33.6,723498
AGN,2007-07-19,33.21,33.46,33.14,33.14,886500
AGN,2007-07-20,32.68,33.22,32.62,33.22,980400
AGN,2007-07-23,33.05,33.58,32.89,32.9,919900
AGN,2007-07-24,32.61,33.25,32.6,32.96,625070
AGN,2007-07-25,32.1,32.7,31.94,32.7,1347758
AGN,2007-07-26,31.78,32.15,30.27,31.73,1602097
AGN,2007-07-27,30.81,31.94,30.79,30.89,1044300
AGN,2007-07-30,30.76,31.09,29.1,29.1,1158734
AGN,2007-07-31,30.42,31.21,30.31,31.03,1201493
AGN,2007-08-01,30.35,30.52,29.29,30.37,2050387
AGN,2007-08-02,31.74,33.34,30.95,32.3,2546155
AGN,2007-08-03,31.3,32.69,31.15,32.28,2095589
AGN,2007-08-06,32.03,32.08,31.32,31.39,1324801
AGN,2007-08-07,32.26,32.66,31.76,31.77,1357300
AGN,2007-08-08,30.54,32.46,30.29,32.22,2312400
AGN,2007-08-09,29.59,30.22,28.77,29.78,2656496
AGN,2007-08-10,31.24,31.24,30.48,30.48,2104303
AGN,2007-08-13,32.25,32.83,31.09,31.2,2084000
AGN,2007-08-14,31.52,32.4,31.36,32.38,1048500
AGN,2007-08-15,31.33,31.94,31.31,31.54,734518
AGN,2007-08-16,30.52,31.12,29.9,30.95,1638500
AGN,2007-08-17,30.24,31.28,29.55,30.7,1312300
AGN,2007-08-20,29.8,30.32,29.5,30.32,877300
AGN,2007-08-21,29.76,30.49,29.65,29.88,1541000
AGN,2007-08-22,30.51,30.52,29.95,30.13,1381000
AGN,2007-08-23,31.03,31.03,30.78,30.78,899200
AGN,2007-08-24,30.91,31.14,30.68,30.86,871200
AGN,2007-08-27,30.66,31.04,30.5,30.7,674800
AGN,2007-08-28,29.81,30.64,29.77,30.49,903500
AGN,2007-08-29,29.73,29.92,29.27,29.81,2052700
AGN,2007-08-30,29.53,29.85,29.31,29.64,654900
AGN,2007-08-31,29.82,30.03,29.5,29.82,645100
AGN,2007-09-03,29.82,30.03,29.5,29.82,0
AGN,2007-09-04,30.66,30.66,28.93,28.93,804056
AGN,2007-09-05,30.64,32.07,30.32,31.38,1323800
AGN,2007-09-06,30.95,31.0,30.64,30.64,670500
AGN,2007-09-07,30.49,30.9,30.21,30.38,890700
AGN,2007-09-10,30.48,30.89,30.36,30.6,725300
AGN,2007-09-11,30.52,30.76,30.21,30.72,899200
AGN,2007-09-12,30.55,30.81,30.34,30.48,842200
AGN,2007-09-13,31.39,31.52,30.83,30.9,1189100
AGN,2007-09-14,31.11,31.31,30.88,31.23,1044300
AGN,2007-09-17,30.99,31.25,30.75,31.05,554700
AGN,2007-09-18,31.47,31.54,30.68,31.01,782200
AGN,2007-09-19,31.96,32.08,31.55,31.56,992500
AGN,2007-09-20,31.74,32.01,31.74,31.87,414000
AGN,2007-09-21,31.7,32.09,31.41,32.09,684300
AGN,2007-09-24,31.72,31.88,31.44,31.52,582600
