Symbol,Date,Close,High,Low,Open,Volume
AIZ,2006-01-02,43.49,43.55,43.21,43.45,0
AIZ,2006-01-03,44.07,44.13,43.21,43.65,581400
AIZ,2006-01-04,44.67,45.03,44.1,44.1,594800
AIZ,2006-01-05,44.72,44.95,44.47,44.87,823200
AIZ,2006-01-06,44.26,45.08,44.14,45.02,827000
AIZ,2006-01-09,44.04,44.49,43.95,44.25,483100
AIZ,2006-01-10,44.09,44.35,43.9,44.01,769000
AIZ,2006-01-11,44.56,44.67,44.2,44.2,500700
AIZ,2006-01-12,44.38,44.63,44.32,44.56,229700
AIZ,2006-01-13,44.41,44.48,44.16,44.37,293900
AIZ,2006-01-16,44.41,44.48,44.16,44.37,0
AIZ,2006-01-17,43.31,44.57,43.2,44.35,410300
AIZ,2006-01-18,43.53,43.68,42.72,42.91,419600
AIZ,2006-01-19,44.38,45.2,43.58,43.73,2483700
AIZ,2006-01-20,44.16,44.8,44.1,44.36,631500
AIZ,2006-01-23,43.88,44.27,43.66,44.05,1002100
AIZ,2006-01-24,43.83,44.17,43.6,44.0,348700
AIZ,2006-01-25,44.11,44.19,43.79,44.0,665300
AIZ,2006-01-26,46.05,46.05,44.2,44.21,1245600
AIZ,2006-01-27,45.48,46.3,45.19,46.05,1075000
AIZ,2006-01-30,45.42,45.9,45.3,45.48,546900
AIZ,2006-01-31,45.92,46.23,45.0,45.3,809300
AIZ,2006-02-01,45.4,45.75,45.07,45.75,968700
AIZ,2006-02-02,44.4,45.09,44.1,45.0,856300
AIZ,2006-02-03,44.12,44.42,43.82,44.4,637900
AIZ,2006-02-06,44.56,44.65,44.02,44.05,428800
AIZ,2006-02-07,44.82,44.87,44.27,44.4,368700
AIZ,2006-02-08,45.5,45.9,44.62,44.98,841200
AIZ,2006-02-09,43.42,45.75,43.2,45.75,3747700
AIZ,2006-02-10,44.15,44.28,43.6,43.6,982500
AIZ,2006-02-13,43.23,43.85,42.9,43.85,513000
AIZ,2006-02-14,44.23,44.32,43.23,43.24,573700
AIZ,2006-02-15,44.05,44.6,44.04,44.35,752400
AIZ,2006-02-16,45.0,45.02,44.05,44.05,508399
AIZ,2006-02-17,44.74,45.03,44.61,44.92,378600
AIZ,2006-02-20,44.74,45.03,44.61,44.92,0
AIZ,2006-02-21,44.45,45.0,44.26,44.77,607200
AIZ,2006-02-22,45.0,45.29,44.48,44.48,590400
AIZ,2006-02-23,45.01,45.08,44.61,44.88,339400
