Symbol,Date,Close,High,Low,Open,Volume
AJG,2006-01-02,30.88,30.93,30.66,30.82,0
AJG,2006-01-03,31.34,31.34,30.66,30.98,318200
AJG,2006-01-04,31.76,31.76,31.2,31.2,342700
AJG,2006-01-05,31.12,31.77,30.98,31.76,412500
AJG,2006-01-06,31.01,31.22,30.84,31.22,327000
AJG,2006-01-09,31.35,31.4,30.9,31.13,461800
AJG,2006-01-10,31.18,31.24,30.94,31.23,331900
AJG,2006-01-11,31.28,31.29,31.01,31.28,227600
AJG,2006-01-12,31.26,31.36,30.93,31.29,422100
AJG,2006-01-13,31.23,31.43,31.06,31.2,277500
AJG,2006-01-16,31.23,31.43,31.06,31.2,0
AJG,2006-01-17,30.94,31.19,30.92,31.0,354000
AJG,2006-01-18,30.57,30.99,30.51,30.82,333700
AJG,2006-01-19,30.74,30.9,30.61,30.61,368600
AJG,2006-01-20,29.9,30.73,29.9,30.73,420300
AJG,2006-01-23,30.0,30.21,29.88,29.91,407400
AJG,2006-01-24,29.79,30.26,29.79,30.0,656000
AJG,2006-01-25,29.92,30.03,29.83,29.94,627200
AJG,2006-01-26,29.53,30.08,29.5,29.93,1197600
AJG,2006-01-27,29.68,29.97,29.27,29.65,838700
AJG,2006-01-30,29.1,29.83,29.1,29.68,884100
AJG,2006-01-31,29.16,29.31,28.85,29.2,924100
AJG,2006-02-01,29.45,29.75,28.75,29.16,854400
AJG,2006-02-02,28.28,29.25,28.1,29.25,1095500
AJG,2006-02-03,28.4,28.6,28.24,28.28,1348300
AJG,2006-02-06,28.44,28.48,28.13,28.39,714600
AJG,2006-02-07,28.37,28.6,28.13,28.35,480500
AJG,2006-02-08,28.47,28.47,28.1,28.39,869900
AJG,2006-02-09,28.57,28.72,28.3,28.4,747900
AJG,2006-02-10,28.9,29.0,28.43,28.57,614300
AJG,2006-02-13,28.65,28.93,28.58,28.9,750200
AJG,2006-02-14,29.0,29.38,28.8,28.8,621600
AJG,2006-02-15,29.31,29.39,29.04,29.05,765600
