Symbol,Date,Close,High,Low,Open,Volume
AKAM,2006-01-02,19.93,20.09,19.77,20.05,0
AKAM,2006-01-03,20.8,20.94,19.57,20.0,3349834
AKAM,2006-01-04,21.32,21.58,20.771,20.9,3318119
AKAM,2006-01-05,21.6,21.73,20.82,21.35,3192857
AKAM,2006-01-06,22.47,22.69,21.68,21.68,3263131
AKAM,2006-01-09,22.13,22.6474,21.96,22.585,1921224
AKAM,2006-01-10,23.01,23.1,21.8,22.0,3491337
AKAM,2006-01-11,22.92,23.29,22.59,23.0,1924520
AKAM,2006-01-12,22.93,23.97,22.81,22.82,2452012
AKAM,2006-01-13,22.8,23.39,22.73,23.11,1991195
AKAM,2006-01-16,22.8,23.39,22.73,23.11,0
AKAM,2006-01-17,22.58,22.78,22.35,22.6,1380176
AKAM,2006-01-18,22.91,23.0,21.68,21.98,1823417
AKAM,2006-01-19,23.68,24.14,23.26,23.5,3117946
AKAM,2006-01-20,22.71,23.86,22.45,23.85,2273003
AKAM,2006-01-23,22.54,23.05,22.27,22.92,1423570
AKAM,2006-01-24,22.97,23.21,22.67,22.8,1453816
AKAM,2006-01-25,22.4,23.25,22.22,23.19,1356789
AKAM,2006-01-26,22.38,22.73,22.25,22.73,1936638
AKAM,2006-01-27,22.39,22.94,22.25,22.5,1929844
AKAM,2006-01-30,22.29,22.9,22.15,22.52,1248469
AKAM,2006-01-31,21.88,22.42,21.53,22.31,2494432
AKAM,2006-02-01,21.84,21.94,21.54,21.71,1669794
AKAM,2006-02-02,21.49,22.54,21.41,21.87,2736762
AKAM,2006-02-03,21.83,21.91,20.49,21.41,2955400
AKAM,2006-02-06,21.95,22.19,21.81,21.895,1458530
AKAM,2006-02-07,22.12,22.44,21.84,21.84,2575008
AKAM,2006-02-08,22.0,22.48,21.75,22.48,3872816
AKAM,2006-02-09,26.01,27.59,24.76,24.99,15911678
AKAM,2006-02-10,25.54,26.68,25.281,26.67,4801204
AKAM,2006-02-13,24.93,25.52,24.52,25.4,2804135
AKAM,2006-02-14,25.1,25.33,24.74,25.0,2048277
AKAM,2006-02-15,25.77,26.19,24.9,24.925,2799055
AKAM,2006-02-16,26.67,26.85,25.85,26.47,2517436
AKAM,2006-02-17,26.72,26.93,26.39,26.85,1838740
AKAM,2006-02-20,26.72,26.93,26.39,26.85,0
AKAM,2006-02-21,26.7,27.0,26.67,26.99,1798016
AKAM,2006-02-22,27.31,27.45,26.91,27.34,2146735
AKAM,2006-02-23,27.06,27.36,26.39,26.64,2987239
AKAM,2006-02-24,27.08,27.19,26.86,27.0,1216841
AKAM,2006-02-27,26.39,27.09,26.3,27.08,2121980
AKAM,2006-02-28,26.5,26.75,25.6,26.63,2031386
AKAM,2006-03-01,27.01,27.05,26.52,26.64,1904630
AKAM,2006-03-02,26.09,27.69,25.87,26.48,4704010
AKAM,2006-03-03,26.11,26.34,25.7776,26.3,2102510
AKAM,2006-03-06,26.05,26.71,25.9,26.305,1721321
AKAM,2006-03-07,25.23,25.87,24.96,25.8,2498919
AKAM,2006-03-08,25.18,25.45,24.96,25.16,1927260
AKAM,2006-03-09,25.29,25.9,25.12,25.12,1105583
AKAM,2006-03-10,25.53,25.61,25.02,25.1,1230285
AKAM,2006-03-13,25.37,26.23,25.3,25.76,998359
AKAM,2006-03-14,26.26,26.3,25.4,25.68,1251229
AKAM,2006-03-15,27.38,27.38,26.3,26.3,2336605
AKAM,2006-03-16,27.19,28.44,27.15,27.6,2618831
AKAM,2006-03-17,28.42,28.46,26.8,27.27,2311250
AKAM,2006-03-20,28.99,29.49,28.37,28.765,3348607
AKAM,2006-03-21,29.08,29.2,28.6101,28.905,2658822
AKAM,2006-03-22,28.74,29.2,28.6,29.04,3642284
AKAM,2006-03-23,28.68,29.18,28.56,29.09,1745133
AKAM,2006-03-24,28.59,28.9,28.18,28.725,1526584
AKAM,2006-03-27,29.22,29.22,28.6,28.6,2472868
AKAM,2006-03-28,28.96,29.39,28.84,29.295,1894569
AKAM,2006-03-29,31.42,32.02,29.08,29.28,8090633
AKAM,2006-03-30,30.77,31.98,30.51,31.55,3198852
AKAM,2006-03-31,32.89,33.17,31.42,31.5,7773544
AKAM,2006-04-03,33.19,33.98,32.91,33.15,4423912
AKAM,2006-04-04,31.93,33.39,31.65,33.2,3764612
AKAM,2006-04-05,31.78,32.18,31.33,32.0,3340205
AKAM,2006-04-06,31.79,32.03,31.4,31.6,2528341
AKAM,2006-04-07,30.89,31.98,30.8,31.9,2000295
