Symbol,Date,Close,High,Low,Open,Volume
AMAT,2006-01-02,17.94,18.14,17.87,18.0,0
AMAT,2006-01-03,18.33,18.39,17.64,18.04,17113062
AMAT,2006-01-04,18.49,18.59,18.21,18.35,16163031
AMAT,2006-01-05,18.7,18.76,18.46,18.46,18232800
AMAT,2006-01-06,19.37,19.44,18.79,18.9,27227651
AMAT,2006-01-09,19.52,19.59,19.32,19.37,18604143
AMAT,2006-01-10,19.79,19.84,19.43,19.49,26375829
AMAT,2006-01-11,20.65,20.77,19.67,19.89,47430244
AMAT,2006-01-12,20.82,21.063,20.26,20.56,48210177
AMAT,2006-01-13,20.15,20.41,19.93,20.4,43418080
AMAT,2006-01-16,20.15,20.41,19.93,20.4,0
AMAT,2006-01-17,19.76,19.77,19.41,19.7,33079479
AMAT,2006-01-18,19.74,20.2,19.53,19.72,44700032
AMAT,2006-01-19,19.99,20.44,19.82,20.27,44966548
AMAT,2006-01-20,19.07,20.0,19.0,19.89,36851696
AMAT,2006-01-23,18.98,19.31,18.91,19.22,25805266
AMAT,2006-01-24,19.34,19.34,18.98,19.02,31776092
AMAT,2006-01-25,18.97,19.21,18.79,19.18,25673060
AMAT,2006-01-26,19.73,19.75,19.03,19.25,38663402
AMAT,2006-01-27,19.75,20.0,19.49,19.97,30338513
AMAT,2006-01-30,19.58,19.91,19.45,19.86,16210829
AMAT,2006-01-31,19.05,19.5,18.88,19.48,36705504
AMAT,2006-02-01,19.33,19.44,18.85,18.965,35822990
AMAT,2006-02-02,18.86,19.54,18.82,19.24,25791591
AMAT,2006-02-03,18.68,18.96,18.27,18.9,30175200
AMAT,2006-02-06,19.08,19.17,18.59,18.64,26989853
AMAT,2006-02-07,19.5,19.53,19.05,19.12,33657071
AMAT,2006-02-08,20.1,20.1,19.7,19.9,36639291
AMAT,2006-02-09,20.08,20.69,20.01,20.19,42512635
AMAT,2006-02-10,20.11,20.11,19.96,20.11,26658258
AMAT,2006-02-13,19.86,20.04,19.56,19.79,22811558
AMAT,2006-02-14,20.26,20.27,19.8,19.99,24053353
AMAT,2006-02-15,20.46,20.5,20.09,20.29,28491929
AMAT,2006-02-16,19.96,20.901,19.81,20.81,58397684
AMAT,2006-02-17,19.72,20.0,19.53,19.91,41502144
AMAT,2006-02-20,19.72,20.0,19.53,19.91,0
AMAT,2006-02-21,19.29,19.79,19.08,19.72,33865600
AMAT,2006-02-22,19.23,19.59,19.03,19.22,30422002
AMAT,2006-02-23,19.06,19.48,19.0,19.22,21565892
