Symbol,Date,Close,High,Low,Open,Volume
AMGN,2006-01-02,78.86,79.35,78.34,78.59,0
AMGN,2006-01-03,80.42,81.24,78.1,79.36,8994756
AMGN,2006-01-04,79.98,80.5,79.52,80.19,6723454
AMGN,2006-01-05,78.82,80.36,78.74,79.91,6883402
AMGN,2006-01-06,78.1,79.72,77.89,79.36,8549111
AMGN,2006-01-09,78.98,79.09,78.11,78.24,8205306
AMGN,2006-01-10,77.98,78.95,77.6,78.61,7509845
AMGN,2006-01-11,77.81,78.57,77.37,77.92,7126921
AMGN,2006-01-12,77.5,77.5,77.2,77.48,7869084
AMGN,2006-01-13,77.6,78.51,77.12,77.46,6046968
AMGN,2006-01-16,77.6,78.51,77.12,77.46,0
AMGN,2006-01-17,78.22,78.4,77.09,77.37,4582186
AMGN,2006-01-18,78.83,79.15,77.68,78.3,6932593
AMGN,2006-01-19,78.39,78.7,77.4,78.7,6918872
AMGN,2006-01-20,75.68,78.89,75.49,78.45,9604477
AMGN,2006-01-23,74.9,76.0,73.52,75.97,15982409
AMGN,2006-01-24,75.85,75.85,74.94,75.09,9276321
AMGN,2006-01-25,75.45,76.27,74.97,75.67,8248336
AMGN,2006-01-26,71.9,74.93,71.44,74.35,34255906
AMGN,2006-01-27,71.31,71.84,70.65,71.54,21469180
AMGN,2006-01-30,72.32,73.34,71.73,71.75,15767153
AMGN,2006-01-31,72.89,73.19,71.76,72.67,10159119
AMGN,2006-02-01,76.19,80.03,75.59,80.01,34417514
AMGN,2006-02-02,74.66,76.45,74.35,76.28,9349474
AMGN,2006-02-03,74.62,75.1,73.76,74.51,6808123
AMGN,2006-02-06,73.5,74.6,73.4,74.42,6208388
AMGN,2006-02-07,72.94,73.73,72.03,73.44,8573716
AMGN,2006-02-08,72.05,73.13,71.44,72.9,7741440
AMGN,2006-02-09,71.01,72.37,70.79,72.05,10324805
AMGN,2006-02-10,71.45,71.91,70.03,71.23,7336092
AMGN,2006-02-13,71.14,71.67,70.48,71.45,5503274
AMGN,2006-02-14,71.93,72.52,71.85,71.99,11361474
AMGN,2006-02-15,72.97,73.5,71.93,72.15,94246606
AMGN,2006-02-16,73.97,74.049,72.8,73.21,12202139
AMGN,2006-02-17,74.89,74.95,73.91,73.97,9319478
AMGN,2006-02-20,74.89,74.95,73.91,73.97,0
AMGN,2006-02-21,74.53,75.6,74.26,75.21,9396221
AMGN,2006-02-22,75.08,75.48,74.49,74.94,7086721
AMGN,2006-02-23,74.69,75.12,74.32,75.12,7272093
AMGN,2006-02-24,74.87,74.87,74.5,74.5,6933982
AMGN,2006-02-27,75.48,75.97,74.7,74.71,7531780
AMGN,2006-02-28,75.48,75.8,74.94,75.55,6551117
AMGN,2006-03-01,76.05,76.35,74.92,75.86,5987989
AMGN,2006-03-02,76.47,76.53,75.52,75.75,5796000
AMGN,2006-03-03,76.88,76.88,75.39,76.39,6977283
AMGN,2006-03-06,73.55,75.5,73.5,75.4,6934496
AMGN,2006-03-07,73.79,74.25,73.31,73.65,6578418
AMGN,2006-03-08,74.2,74.69,73.27,73.39,6670566
AMGN,2006-03-09,73.58,74.45,73.58,74.23,6957335
AMGN,2006-03-10,73.49,73.8,72.82,73.29,7543729
AMGN,2006-03-13,73.59,73.937,73.29,73.75,6000868
AMGN,2006-03-14,75.01,75.06,73.31,73.47,8399219
AMGN,2006-03-15,74.89,75.48,74.3822,75.05,5168423
AMGN,2006-03-16,73.84,74.71,73.65,74.53,8853625
AMGN,2006-03-17,73.25,73.84,72.52,73.66,16564636
AMGN,2006-03-20,72.85,73.45,72.37,73.36,6039607
AMGN,2006-03-21,71.97,73.09,71.55,73.03,8617697
AMGN,2006-03-22,72.43,72.74,71.35,71.745,6616410
AMGN,2006-03-23,72.8,72.88,71.8,72.2,4934203
AMGN,2006-03-24,73.57,73.57,72.57,72.57,4590332
AMGN,2006-03-27,73.1,73.36,72.26,72.75,5235016
AMGN,2006-03-28,72.61,73.82,72.25,73.42,9209967
AMGN,2006-03-29,73.15,73.15,72.02,72.63,6690013
AMGN,2006-03-30,72.72,73.32,72.12,72.15,7328714
AMGN,2006-03-31,72.75,73.35,72.66,72.89,8354588
AMGN,2006-04-03,71.88,73.5,71.68,73.46,10449665
AMGN,2006-04-04,72.02,72.28,71.61,71.93,9540273
AMGN,2006-04-05,72.86,73.07,71.9,72.1,12765493
AMGN,2006-04-06,71.85,73.12,71.41,72.56,9600024
AMGN,2006-04-07,71.03,72.49,70.61,72.28,8178188
AMGN,2006-04-10,70.74,71.53,70.34,71.35,6098327
AMGN,2006-04-11,70.24,71.05,69.48,70.94,8503900
AMGN,2006-04-12,69.97,70.99,69.53,70.03,8257109
AMGN,2006-04-13,70.07,70.21,69.56,69.85,7197660
AMGN,2006-04-14,70.07,70.21,69.56,69.85,0
AMGN,2006-04-17,69.61,70.52,69.1,70.0,9382255
AMGN,2006-04-18,70.9699,71.2,69.6,70.0,10190030
AMGN,2006-04-19,68.3,69.65,67.45,69.38,22600452
