Symbol,Date,Close,High,Low,Open,Volume
AMT,2006-01-02,27.1,27.27,26.67,26.86,0
AMT,2006-01-03,27.3,27.31,26.66,27.27,3613600
AMT,2006-01-04,28.14,28.2,27.22,27.22,3519900
AMT,2006-01-05,28.05,28.3,27.98,28.2,2324300
AMT,2006-01-06,28.48,28.5,28.15,28.29,1968500
AMT,2006-01-09,29.1,29.18,28.8,28.85,4116399
AMT,2006-01-10,29.06,29.21,28.74,29.11,4511400
AMT,2006-01-11,29.55,29.61,29.13,29.14,3177900
AMT,2006-01-12,29.12,29.65,28.95,29.65,2602800
AMT,2006-01-13,28.85,29.29,28.74,29.12,1668000
AMT,2006-01-16,28.85,29.29,28.74,29.12,0
AMT,2006-01-17,28.5,28.85,28.37,28.85,3319900
AMT,2006-01-18,28.41,29.34,28.23,28.5,2812400
AMT,2006-01-19,29.5,29.8,29.23,29.46,2438400
AMT,2006-01-20,28.8,29.55,28.76,29.5,3059500
AMT,2006-01-23,28.74,28.94,28.58,28.82,1454300
AMT,2006-01-24,29.59,29.7,28.58,28.83,3383500
AMT,2006-01-25,29.1,29.7,28.96,29.65,2643500
AMT,2006-01-26,29.18,29.28,29.0,29.21,2271900
AMT,2006-01-27,29.41,29.5,29.05,29.23,2700000
AMT,2006-01-30,29.59,29.69,29.45,29.5,2271800
AMT,2006-01-31,30.94,31.11,29.92,29.98,5150300
AMT,2006-02-01,31.06,31.4,30.55,30.73,3296100
AMT,2006-02-02,30.73,31.16,30.5,31.16,2284700
AMT,2006-02-03,30.72,30.74,30.15,30.74,3488800
AMT,2006-02-06,31.24,31.29,30.72,30.72,2831700
AMT,2006-02-07,31.05,32.05,31.0,31.25,2718100
AMT,2006-02-08,31.35,31.62,31.01,31.05,2464200
AMT,2006-02-09,30.49,31.4,30.404,31.35,2831800
AMT,2006-02-10,31.27,31.49,30.47,30.48,2563300
AMT,2006-02-13,30.5,31.18,30.33,31.06,1550900
AMT,2006-02-14,30.41,30.91,30.3,30.5,2019400
AMT,2006-02-15,31.25,31.45,30.41,30.41,2208800
AMT,2006-02-16,31.6,31.73,31.06,31.25,1211700
AMT,2006-02-17,31.45,31.75,31.45,31.64,1022700
AMT,2006-02-20,31.45,31.75,31.45,31.64,0
AMT,2006-02-21,31.7,31.91,31.39,31.39,1946800
AMT,2006-02-22,31.73,31.9,31.58,31.77,3077800
AMT,2006-02-23,31.48,32.18,31.31,32.0,4757900
AMT,2006-02-24,32.21,32.68,31.59,31.9,5317900
AMT,2006-02-27,31.79,32.54,31.77,32.4,1874000
AMT,2006-02-28,31.83,31.86,31.38,31.79,2918300
AMT,2006-03-01,31.5,32.19,31.17,31.91,3785400
AMT,2006-03-02,31.5,31.73,31.23,31.3,2216500
AMT,2006-03-03,30.83,31.36,30.73,31.16,2307900
AMT,2006-03-06,30.61,31.04,30.16,30.85,6007600
AMT,2006-03-07,30.09,30.7,29.72,30.61,2992700
AMT,2006-03-08,30.21,30.2399,29.3,30.0,2880800
AMT,2006-03-09,29.83,30.53,29.62,30.19,2784800
AMT,2006-03-10,30.4,30.51,29.82,29.83,2986500
AMT,2006-03-13,30.31,30.69,29.96,30.65,3175200
AMT,2006-03-14,30.63,30.65,30.01,30.35,2490500
AMT,2006-03-15,30.6,30.85,30.52,30.65,2886000
AMT,2006-03-16,30.59,31.23,30.55,30.66,2156100
AMT,2006-03-17,31.16,31.16,30.59,30.59,2504800
AMT,2006-03-20,30.91,31.4,30.76,31.35,3003300
AMT,2006-03-21,30.95,31.28,30.6,30.66,3249500
AMT,2006-03-22,30.98,31.09,30.66,30.82,1806100
AMT,2006-03-23,30.9,31.08,30.69,31.02,1722300
AMT,2006-03-24,30.87,31.03,30.668,30.9,1241600
AMT,2006-03-27,30.23,30.66,30.15,30.66,2439800
AMT,2006-03-28,29.72,30.13,29.6,30.08,4522000
AMT,2006-03-29,29.92,29.99,29.3,29.64,4989400
AMT,2006-03-30,29.69,30.3,29.5,29.97,3060900
AMT,2006-03-31,30.32,30.5,29.66,29.83,3404900
AMT,2006-04-03,30.55,30.87,30.2401,30.31,2774700
AMT,2006-04-04,30.33,30.6,30.2,30.45,2291500
AMT,2006-04-05,30.11,30.23,29.71,30.2,4809100
AMT,2006-04-06,31.21,31.22,29.88,29.92,3454000
AMT,2006-04-07,31.7,31.74,30.97,31.25,3343600
AMT,2006-04-10,32.3,32.97,31.45,31.55,5322400
AMT,2006-04-11,31.95,32.47,31.84,32.3,2693300
