Symbol,Date,Close,High,Low,Open,Volume
ANSS,2006-01-02,21.345,21.615,21.295,21.595,0
ANSS,2006-01-03,19.795,21.27,19.55,21.27,1443020
ANSS,2006-01-04,19.5,19.665,18.955,19.555,1845094
ANSS,2006-01-05,19.29,20.41,19.2,19.385,1256734
ANSS,2006-01-06,19.28,19.785,19.25,19.31,809190
ANSS,2006-01-09,18.9845,19.595,18.95,19.175,1650146
ANSS,2006-01-10,18.09,18.95,17.885,18.89,1343046
ANSS,2006-01-11,18.75,18.77,17.955,17.985,1100786
ANSS,2006-01-12,19.33,19.67,18.66,18.66,1335010
ANSS,2006-01-13,19.635,19.71,19.22,19.22,668408
ANSS,2006-01-16,19.635,19.71,19.22,19.22,0
ANSS,2006-01-17,19.675,19.725,19.455,19.55,641624
ANSS,2006-01-18,19.735,19.855,19.245,19.55,792222
ANSS,2006-01-19,20.08,20.225,19.64,19.78,428936
ANSS,2006-01-20,19.825,20.24,19.705,20.215,512756
ANSS,2006-01-23,20.17,20.3,19.815,19.825,688992
ANSS,2006-01-24,20.75,20.77,20.15,20.15,584920
ANSS,2006-01-25,21.23,21.25,20.64,20.885,1151680
ANSS,2006-01-26,21.9,22.06,21.25,21.26,829182
ANSS,2006-01-27,22.075,22.235,21.75,21.925,697732
ANSS,2006-01-30,22.015,22.2,21.75,22.13,1336846
ANSS,2006-01-31,21.93,22.05,21.645,21.925,568364
ANSS,2006-02-01,22.12,22.3,21.625,21.79,685234
ANSS,2006-02-02,21.575,22.07,21.45,21.98,912210
ANSS,2006-02-03,21.33,21.555,21.04,21.415,746204
ANSS,2006-02-06,21.48,21.635,21.035,21.235,298104
ANSS,2006-02-07,21.01,21.555,20.95,21.34,304998
ANSS,2006-02-08,21.33,21.33,21.025,21.025,424580
ANSS,2006-02-09,21.365,21.7,21.185,21.265,378392
ANSS,2006-02-10,21.25,21.535,20.625,21.285,391906
ANSS,2006-02-13,21.18,21.18,20.99,21.055,512022
ANSS,2006-02-14,21.645,21.75,20.95,21.0,385932
ANSS,2006-02-15,22.055,22.055,21.575,21.575,341964
ANSS,2006-02-16,23.72,23.72,22.5,22.5,1250014
ANSS,2006-02-17,24.05,24.565,23.23,23.7,839822
ANSS,2006-02-20,24.05,24.565,23.23,23.7,0
ANSS,2006-02-21,24.765,24.99,23.97,23.97,797118
ANSS,2006-02-22,24.56,24.9,24.365,24.695,549380
ANSS,2006-02-23,24.2,24.6,24.06,24.56,538652
ANSS,2006-02-24,23.905,24.315,23.75,24.315,627042
ANSS,2006-02-27,24.52,24.52,23.865,23.865,362776
ANSS,2006-02-28,23.71,24.215,23.56,24.18,297878
ANSS,2006-03-01,24.5,24.5,23.69,23.85,297556
ANSS,2006-03-02,23.985,24.895,23.78,24.39,412688
ANSS,2006-03-03,24.325,24.325,23.85,23.85,176156
ANSS,2006-03-06,23.625,23.88,23.48,23.8,278726
ANSS,2006-03-07,23.86,23.86,23.495,23.495,262070
ANSS,2006-03-08,23.745,23.745,23.56,23.56,300382
ANSS,2006-03-09,24.365,24.575,23.7,23.725,417584
ANSS,2006-03-10,24.235,24.555,24.0,24.29,129828
ANSS,2006-03-13,23.875,24.595,23.83,24.19,365070
ANSS,2006-03-14,24.4,24.615,23.765,23.765,455868
ANSS,2006-03-15,25.195,25.195,24.475,24.475,587454
ANSS,2006-03-16,25.335,25.435,25.125,25.16,316156
ANSS,2006-03-17,25.115,25.465,24.85,25.45,686494
ANSS,2006-03-20,25.0,25.245,24.79,25.05,217242
ANSS,2006-03-21,24.39,25.025,24.28,24.755,386236
ANSS,2006-03-22,24.8,24.985,24.245,24.265,344072
ANSS,2006-03-23,24.89,24.89,24.72,24.72,240852
ANSS,2006-03-24,25.0,25.05,24.715,24.855,307826
ANSS,2006-03-27,25.83,25.89,24.92,25.02,567754
ANSS,2006-03-28,26.04,26.415,25.85,25.975,378488
ANSS,2006-03-29,27.045,27.045,25.975,25.975,405180
ANSS,2006-03-30,27.02,27.02,26.36,26.36,603274
ANSS,2006-03-31,27.075,27.3,26.9,26.9,647366
ANSS,2006-04-03,26.66,27.435,26.6,27.135,333308
ANSS,2006-04-04,26.675,27.275,26.4,26.585,355490
ANSS,2006-04-05,26.74,26.895,26.375,26.685,410358
ANSS,2006-04-06,26.755,26.755,26.38,26.66,331948
ANSS,2006-04-07,25.97,26.5,25.88,26.315,589094
ANSS,2006-04-10,26.145,26.37,25.855,25.985,478916
ANSS,2006-04-11,25.945,26.24,25.775,26.17,767748
ANSS,2006-04-12,26.545,26.6,25.825,25.865,394282
ANSS,2006-04-13,26.72,26.875,26.375,26.445,214286
ANSS,2006-04-14,26.72,26.875,26.375,26.445,0
ANSS,2006-04-17,26.87,26.95,26.55,26.565,1076874
ANSS,2006-04-18,27.795,27.81,26.9,26.93,524316
ANSS,2006-04-19,27.845,28.16,27.64,27.715,304854
ANSS,2006-04-20,27.9335,27.9335,27.59,27.765,351568
ANSS,2006-04-21,27.295,27.835,27.14,27.835,281250
ANSS,2006-04-24,27.225,27.34,26.895,27.14,229410
ANSS,2006-04-25,27.851,27.851,27.225,27.225,332010
ANSS,2006-04-26,28.63,28.63,27.835,27.835,458038
ANSS,2006-04-27,29.12,29.12,28.37,28.37,663236
ANSS,2006-04-28,28.225,28.68,28.0,28.68,446858
ANSS,2006-05-01,27.685,28.45,27.605,28.25,426596
ANSS,2006-05-02,28.5,28.575,27.775,27.785,1496802
ANSS,2006-05-03,28.425,28.645,28.22,28.5,529880
ANSS,2006-05-04,28.59,28.59,28.28,28.345,554844
ANSS,2006-05-05,28.65,28.65,28.44,28.44,468094
ANSS,2006-05-08,28.295,28.43,27.84,28.27,407772
ANSS,2006-05-09,28.555,28.585,28.1,28.125,363094
ANSS,2006-05-10,28.635,28.635,28.42,28.625,606082
ANSS,2006-05-11,28.29,28.29,27.805,28.26,538400
ANSS,2006-05-12,27.52,27.805,27.405,27.79,367860
ANSS,2006-05-15,27.59,27.645,27.25,27.335,521234
ANSS,2006-05-16,27.6,27.735,27.215,27.57,373500
ANSS,2006-05-17,26.475,27.4,26.45,27.275,471414
ANSS,2006-05-18,25.64,26.92,25.595,26.425,523462
ANSS,2006-05-19,25.275,25.715,24.785,25.575,856040
ANSS,2006-05-22,25.205,25.515,24.95,25.025,531430
ANSS,2006-05-23,24.585,25.465,24.485,25.095,580124
ANSS,2006-05-24,24.96,25.07,24.275,24.72,434684
ANSS,2006-05-25,25.26,25.29,24.79,25.095,296950
ANSS,2006-05-26,25.645,25.645,25.08,25.08,255309
ANSS,2006-05-29,25.645,25.645,25.08,25.08,0
ANSS,2006-05-30,24.455,25.23,24.43,25.14,392792
ANSS,2006-05-31,25.22,25.615,24.375,24.62,1223176
ANSS,2006-06-01,25.28,25.525,25.02,25.44,461694
ANSS,2006-06-02,24.03,25.565,23.75,25.53,1392296
ANSS,2006-06-05,23.42,24.18,23.35,23.95,947716
ANSS,2006-06-06,24.025,24.025,23.535,23.535,880786
ANSS,2006-06-07,23.98,24.84,23.78,23.855,863464
ANSS,2006-06-08,23.975,24.165,22.945,23.875,794420
ANSS,2006-06-09,24.185,24.185,23.745,24.005,597848
ANSS,2006-06-12,23.225,23.87,23.08,23.655,1123872
ANSS,2006-06-13,22.865,23.61,22.65,23.235,731728
ANSS,2006-06-14,22.68,22.95,22.45,22.785,780070
ANSS,2006-06-15,23.675,23.85,22.55,22.715,596186
ANSS,2006-06-16,23.55,23.825,23.37,23.615,1234534
ANSS,2006-06-19,23.035,23.605,22.91,23.56,420420
ANSS,2006-06-20,22.765,23.375,22.75,22.975,417918
ANSS,2006-06-21,23.125,23.305,22.75,22.795,474204
ANSS,2006-06-22,22.69,23.295,22.52,23.295,739998
ANSS,2006-06-23,22.92,23.325,22.245,22.56,391304
ANSS,2006-06-26,22.545,23.075,22.46,23.015,680060
ANSS,2006-06-27,22.165,22.6975,22.065,22.485,736516
ANSS,2006-06-28,22.802,22.802,22.26,22.26,417754
ANSS,2006-06-29,23.785,23.925,22.8,22.805,477300
ANSS,2006-06-30,23.91,24.19,23.57,23.95,1097738
ANSS,2006-07-03,24.08,24.11,23.725,24.11,155944
ANSS,2006-07-04,24.08,24.11,23.725,24.11,0
ANSS,2006-07-05,23.9,23.9,23.67,23.735,482130
ANSS,2006-07-06,23.03,24.14,23.03,23.765,539752
ANSS,2006-07-07,22.47,23.06,22.465,22.91,689248
ANSS,2006-07-10,22.075,22.475,22.005,22.475,436388
ANSS,2006-07-11,22.06,22.14,21.87,21.99,1098180
ANSS,2006-07-12,21.295,22.06,21.25,21.97,566010
ANSS,2006-07-13,20.86,21.265,20.685,21.25,651404
ANSS,2006-07-14,20.53,20.91,20.43,20.87,477572
ANSS,2006-07-17,20.34,20.685,20.19,20.45,289230
ANSS,2006-07-18,20.365,20.765,19.88,20.44,225010
ANSS,2006-07-19,22.3,22.815,20.77,20.77,1006042
ANSS,2006-07-20,21.73,22.515,21.635,22.32,503930
ANSS,2006-07-21,21.34,21.72,21.11,21.6,524470
ANSS,2006-07-24,22.325,22.405,21.405,21.405,382988
ANSS,2006-07-25,22.735,22.825,22.145,22.435,384956
ANSS,2006-07-26,22.76,22.76,22.52,22.52,222740
ANSS,2006-07-27,22.255,23.0,22.005,22.6,311214
ANSS,2006-07-28,23.145,23.175,22.26,22.43,244828
ANSS,2006-07-31,22.945,23.33,22.715,23.17,360950
ANSS,2006-08-01,22.235,22.905,22.155,22.72,264450
ANSS,2006-08-02,22.81,22.81,22.49,22.49,288138
ANSS,2006-08-03,25.195,25.195,20.5,21.05,2055530
ANSS,2006-08-04,24.975,25.81,24.56,25.205,657328
ANSS,2006-08-07,24.505,24.855,24.05,24.735,399942
ANSS,2006-08-08,24.93,25.485,24.525,24.525,646596
ANSS,2006-08-09,25.05,26.26,25.005,25.095,655104
ANSS,2006-08-10,24.965,24.965,24.605,24.9,657928
ANSS,2006-08-11,24.12,24.505,23.925,24.505,307554
ANSS,2006-08-14,23.78,24.495,23.475,24.265,659656
ANSS,2006-08-15,24.49,24.5,23.795,23.965,475018
ANSS,2006-08-16,24.795,24.86,24.325,24.835,623998
ANSS,2006-08-17,24.835,25.18,24.66,24.7,845792
ANSS,2006-08-18,24.385,24.97,24.09,24.97,258838
ANSS,2006-08-21,23.625,24.18,23.5,24.18,530330
ANSS,2006-08-22,23.725,23.725,23.45,23.545,500536
ANSS,2006-08-23,22.625,23.565,22.515,23.485,338478
ANSS,2006-08-24,22.585,22.755,22.45,22.625,608152
ANSS,2006-08-25,22.28,23.025,22.175,22.62,345670
ANSS,2006-08-28,22.886,22.886,22.15,22.15,339340
ANSS,2006-08-29,22.53,22.925,22.055,22.74,800296
ANSS,2006-08-30,22.775,22.85,22.5,22.53,289378
ANSS,2006-08-31,23.37,23.415,22.825,22.89,566956
ANSS,2006-09-01,22.99,23.625,22.98,23.405,271292
ANSS,2006-09-04,22.99,23.625,22.98,23.405,0
ANSS,2006-09-05,23.175,23.43,22.605,22.825,350128
ANSS,2006-09-06,22.5,23.0,22.41,23.0,439780
ANSS,2006-09-07,22.17,22.79,22.135,22.41,409264
ANSS,2006-09-08,22.345,22.38,22.115,22.135,435684
ANSS,2006-09-11,22.475,22.71,22.05,22.135,493592
ANSS,2006-09-12,22.92,23.1,22.5,22.6,272160
ANSS,2006-09-13,23.3295,23.3295,22.955,22.955,373998
ANSS,2006-09-14,23.2885,23.2885,22.925,23.125,225318
ANSS,2006-09-15,22.485,23.19,22.4,23.095,745664
ANSS,2006-09-18,22.845,23.06,22.375,22.415,521964
ANSS,2006-09-19,22.87,23.0,22.31,22.965,496672
ANSS,2006-09-20,22.955,23.25,22.73,23.07,308996
ANSS,2006-09-21,22.66,23.04,22.535,23.0,262622
ANSS,2006-09-22,22.825,22.825,22.525,22.525,467858
ANSS,2006-09-25,23.25,23.25,22.63,22.63,469306
ANSS,2006-09-26,22.99,23.325,22.905,23.155,612422
ANSS,2006-09-27,22.915,23.12,22.76,22.795,885744
ANSS,2006-09-28,22.845,23.28,22.795,23.05,369388
ANSS,2006-09-29,22.09,22.83,22.085,22.775,619004
ANSS,2006-10-02,21.63,22.21,21.21,22.005,713430
ANSS,2006-10-03,21.585,21.895,21.375,21.485,422260
ANSS,2006-10-04,22.57,22.62,21.46,21.485,396720
ANSS,2006-10-05,22.69,22.78,22.25,22.415,272374
ANSS,2006-10-06,22.405,22.82,22.16,22.525,168922
ANSS,2006-10-09,22.535,22.535,22.275,22.275,173444
ANSS,2006-10-10,22.485,22.485,22.23,22.4,264546
ANSS,2006-10-11,21.855,22.185,21.78,22.055,368592
ANSS,2006-10-12,23.09,23.09,22.05,22.05,396554
ANSS,2006-10-13,23.14,23.23,22.8,22.97,488086
ANSS,2006-10-16,23.23,23.355,22.84,23.075,369036
ANSS,2006-10-17,23.3,23.335,23.005,23.08,356860
ANSS,2006-10-18,23.48,23.49,23.18,23.255,523144
ANSS,2006-10-19,23.45,23.495,23.29,23.305,298892
ANSS,2006-10-20,23.47,23.51,23.275,23.51,320616
ANSS,2006-10-23,23.35,23.79,23.3,23.42,241542
ANSS,2006-10-24,23.45,23.495,23.275,23.28,222034
ANSS,2006-10-25,23.895,23.895,23.45,23.45,297352
ANSS,2006-10-26,24.0,24.05,23.275,23.64,398006
ANSS,2006-10-27,23.265,23.895,23.18,23.83,320366
ANSS,2006-10-30,23.215,23.425,22.81,23.215,458046
ANSS,2006-10-31,23.0,23.34,22.835,23.34,271032
ANSS,2006-11-01,22.625,23.16,22.28,23.16,614716
ANSS,2006-11-02,25.265,25.96,24.565,24.565,1346224
ANSS,2006-11-03,25.38,25.6,25.08,25.445,612344
ANSS,2006-11-06,24.825,25.355,24.6,25.315,803388
ANSS,2006-11-07,24.6045,25.11,24.36,24.78,581926
ANSS,2006-11-08,24.8,25.155,24.275,24.405,507171
ANSS,2006-11-09,24.67,25.11,24.635,24.845,431464
ANSS,2006-11-10,25.01,25.01,24.511,24.615,329954
ANSS,2006-11-13,25.005,25.635,24.935,24.935,506295
ANSS,2006-11-14,25.44,25.525,24.965,24.965,406584
ANSS,2006-11-15,25.625,25.775,25.205,25.205,497226
ANSS,2006-11-16,25.265,25.66,25.135,25.66,334606
ANSS,2006-11-17,24.02,24.21,23.76,24.0,2498992
ANSS,2006-11-20,24.01,24.12,23.9,24.0,1030090
ANSS,2006-11-21,23.96,24.075,23.655,23.98,477022
ANSS,2006-11-22,23.82,23.98,23.595,23.91,265970
ANSS,2006-11-23,23.82,23.98,23.595,23.91,0
ANSS,2006-11-24,23.25,23.655,23.25,23.635,248154
ANSS,2006-11-27,22.805,23.48,22.76,23.25,498412
