Symbol,Date,Close,High,Low,Open,Volume
APC,2006-01-02,47.375,47.785,46.485,46.575,0
APC,2006-01-03,48.7,48.76,47.49,47.75,5291800
APC,2006-01-04,49.135,49.175,48.175,48.45,4489800
APC,2006-01-05,47.75,48.925,47.35,48.925,5944400
APC,2006-01-06,49.445,50.355,48.745,48.85,7446400
APC,2006-01-09,49.785,50.15,49.15,49.5,4547000
APC,2006-01-10,50.64,50.945,49.58,49.61,5611200
APC,2006-01-11,50.65,51.2,50.025,50.55,5836400
APC,2006-01-12,50.455,51.67,50.3,50.95,4906800
APC,2006-01-13,51.225,51.225,50.155,50.175,3253800
APC,2006-01-16,51.225,51.225,50.155,50.175,0
APC,2006-01-17,52.76,52.765,51.87,52.5,4807800
APC,2006-01-18,52.49,53.025,51.45,52.6,6020800
APC,2006-01-19,53.925,54.125,51.545,51.545,5026400
APC,2006-01-20,53.425,54.955,52.805,54.25,7132400
APC,2006-01-23,54.06,54.3,52.525,53.125,6375200
APC,2006-01-24,53.65,54.49,53.43,53.7,3587400
APC,2006-01-25,52.525,54.13,51.875,53.9,5887000
APC,2006-01-26,52.185,52.825,50.525,52.69,5644400
APC,2006-01-27,53.57,53.74,52.875,53.0,3209600
APC,2006-01-30,54.515,55.075,53.775,53.825,3893200
APC,2006-01-31,53.91,54.265,53.37,53.975,4065400
APC,2006-02-01,52.28,54.565,52.28,53.91,4798400
APC,2006-02-02,51.85,52.845,51.0,52.125,5970000
APC,2006-02-03,51.85,52.725,51.075,52.1,4714600
APC,2006-02-06,52.795,53.4,52.4,52.45,3863400
APC,2006-02-07,51.065,52.4,50.575,52.4,6607600
APC,2006-02-08,51.5,51.905,49.755,51.875,6447800
APC,2006-02-09,49.545,52.475,49.27,51.85,7770600
APC,2006-02-10,49.31,49.945,48.38,49.67,6742600
APC,2006-02-13,48.53,49.995,48.1,49.185,5210400
APC,2006-02-14,48.535,49.24,47.4,48.0,7187000
APC,2006-02-15,48.6,49.525,48.11,48.685,6215800
APC,2006-02-16,50.1,50.365,48.825,48.825,5897600
APC,2006-02-17,50.535,51.2,50.035,50.2,4783200
APC,2006-02-20,50.535,51.2,50.035,50.2,0
APC,2006-02-21,51.39,51.945,50.63,51.75,4532400
APC,2006-02-22,50.75,51.015,50.35,51.0,4419200
APC,2006-02-23,50.27,51.725,49.955,50.775,4391200
APC,2006-02-24,51.045,51.83,50.7,51.505,3501600
APC,2006-02-27,49.93,50.8,49.85,50.775,3128200
APC,2006-02-28,49.58,49.635,48.715,49.515,5313800
APC,2006-03-01,49.49,50.03,49.03,49.8,4225800
APC,2006-03-02,50.865,51.175,49.15,49.49,6881600
APC,2006-03-03,51.035,51.485,50.52,50.525,3220600
APC,2006-03-06,49.175,50.6,49.05,50.575,4604800
APC,2006-03-07,48.43,49.23,47.945,49.05,5179200
APC,2006-03-08,47.985,48.605,47.25,47.9,7504200
APC,2006-03-09,47.145,48.425,47.125,48.25,8809400
APC,2006-03-10,47.505,47.89,46.425,47.0,5983800
APC,2006-03-13,48.725,48.8,47.75,47.75,4412200
APC,2006-03-14,49.63,49.69,48.16,48.8,4860200
APC,2006-03-15,49.75,49.79,48.75,49.275,4085000
APC,2006-03-16,50.25,50.49,49.0,49.65,4769200
APC,2006-03-17,49.955,50.515,49.695,50.5,4566000
APC,2006-03-20,48.595,49.88,48.425,49.665,4142200
APC,2006-03-21,48.175,49.3,47.85,48.465,4640000
APC,2006-03-22,48.935,49.91,48.2,48.25,4766600
APC,2006-03-23,49.675,50.115,49.05,49.15,3509800
APC,2006-03-24,50.275,50.985,49.645,49.65,4072800
APC,2006-03-27,50.2,50.415,49.307,50.275,4096599
APC,2006-03-28,50.55,51.225,50.405,50.49,4209200
APC,2006-03-29,51.325,51.445,50.41,50.6,3118000
APC,2006-03-30,51.5,52.35,51.405,51.625,3937200
APC,2006-03-31,50.505,50.845,49.955,50.675,4844000
APC,2006-04-03,51.935,52.4,51.025,51.025,5836200
APC,2006-04-04,51.96,52.09,51.11,51.5,3943800
APC,2006-04-05,52.5,52.75,51.47,52.15,3721200
APC,2006-04-06,52.055,53.04,51.76,52.575,4352000
APC,2006-04-07,51.075,51.87,50.85,51.615,3702200
APC,2006-04-10,53.085,53.15,51.675,52.5,4402200
APC,2006-04-11,52.89,53.97,52.655,53.45,3783000
APC,2006-04-12,51.835,53.37,51.745,52.8,3883600
APC,2006-04-13,52.57,52.62,51.15,51.5,2823200
APC,2006-04-14,52.57,52.62,51.15,51.5,0
APC,2006-04-17,54.11,54.32,52.91,53.06,3950600
APC,2006-04-18,55.3,55.495,54.26,54.3,4319600
APC,2006-04-19,56.705,56.975,54.795,55.025,5123400
APC,2006-04-20,55.305,56.385,54.51,56.25,5063400
APC,2006-04-21,56.62,56.745,55.155,55.5,4034799
APC,2006-04-24,55.635,56.245,55.315,56.225,3801000
APC,2006-04-25,54.815,56.54,54.205,56.4,4680200
APC,2006-04-26,53.64,55.745,53.35,54.55,4155200
APC,2006-04-27,53.365,54.5,52.4,52.78,5036800
APC,2006-04-28,52.41,53.345,52.375,53.01,5465400
APC,2006-05-01,53.96,54.645,52.7,52.875,4919400
APC,2006-05-02,54.455,54.555,53.7,54.255,3846000
APC,2006-05-03,53.04,54.225,52.6,54.125,4680200
APC,2006-05-04,52.29,52.79,51.515,52.7,6534000
APC,2006-05-05,53.27,53.305,52.12,52.625,3671800
APC,2006-05-08,52.925,52.945,52.075,52.165,2868600
