Symbol,Date,Close,High,Low,Open,Volume
AXP,2006-01-02,51.46,51.66,50.78,50.82,0
AXP,2006-01-03,52.58,52.58,51.05,51.7,7672000
AXP,2006-01-04,51.95,52.57,51.81,52.44,5624700
AXP,2006-01-05,52.5,52.51,51.9,51.9,3783200
AXP,2006-01-06,52.68,52.87,52.28,52.64,4035599
AXP,2006-01-09,53.99,53.99,52.82,52.82,6088200
AXP,2006-01-10,53.83,53.91,53.51,53.58,4773200
AXP,2006-01-11,53.54,53.82,53.42,53.7,4427100
AXP,2006-01-12,53.55,53.7,53.25,53.58,2871800
AXP,2006-01-13,53.44,53.92,53.4,53.7,7442200
AXP,2006-01-16,53.44,53.92,53.4,53.7,0
AXP,2006-01-17,52.96,53.25,52.83,53.08,4873800
AXP,2006-01-18,52.77,53.07,52.6,52.65,5601600
AXP,2006-01-19,52.59,53.1,52.48,53.06,4627900
AXP,2006-01-20,51.4,52.59,51.28,52.59,11725400
AXP,2006-01-23,51.44,52.35,51.38,51.5,10235400
AXP,2006-01-24,52.82,52.97,51.81,51.9,8337999
AXP,2006-01-25,52.9,53.251,52.5,52.5,7472100
AXP,2006-01-26,53.32,53.48,52.95,53.15,5251600
AXP,2006-01-27,53.3,53.49,53.05,53.22,6897000
AXP,2006-01-30,52.68,53.22,52.52,53.15,5880600
AXP,2006-01-31,52.45,52.91,52.25,52.51,5391100
AXP,2006-02-01,52.62,52.82,52.32,52.45,3836700
AXP,2006-02-02,52.56,52.86,52.32,52.6,5395300
AXP,2006-02-03,52.33,52.88,52.28,52.57,3981800
AXP,2006-02-06,52.22,52.4,51.8,52.22,2892300
AXP,2006-02-07,52.07,52.45,52.02,52.1,3388100
AXP,2006-02-08,52.86,52.86,51.97,51.97,5284600
AXP,2006-02-09,53.04,53.74,52.77,52.95,4871400
AXP,2006-02-10,53.0,53.44,52.72,53.14,3739300
AXP,2006-02-13,53.02,53.49,52.94,53.0,3812100
AXP,2006-02-14,53.51,53.95,53.15,53.3,4848900
AXP,2006-02-15,54.19,54.24,53.56,53.68,4185200
AXP,2006-02-16,54.48,54.48,53.82,54.05,4216200
AXP,2006-02-17,54.45,54.49,54.1,54.48,4200200
AXP,2006-02-20,54.45,54.49,54.1,54.48,0
AXP,2006-02-21,53.86,54.57,53.83,54.5,3917600
AXP,2006-02-22,54.84,54.95,53.95,53.97,6179600
AXP,2006-02-23,54.57,55.0,54.18,54.28,4303000
AXP,2006-02-24,54.87,54.95,54.51,54.59,2853200
AXP,2006-02-27,54.74,54.94,54.6,54.87,2581800
AXP,2006-02-28,53.88,54.49,53.88,54.3,7371700
AXP,2006-03-01,54.12,54.2,53.77,53.95,2818600
