Symbol,Date,Close,High,Low,Open,Volume
BA,2006-01-02,70.24,71.06,70.16,71.05,0
BA,2006-01-03,70.44,70.6,69.33,70.4,4943000
BA,2006-01-04,71.17,71.27,69.86,70.08,2964600
BA,2006-01-05,70.33,70.55,69.58,70.55,4462300
BA,2006-01-06,69.35,70.5,69.05,70.34,4715100
BA,2006-01-09,68.77,69.4,68.66,69.28,4545500
BA,2006-01-10,69.1,69.24,68.57,68.8,3861700
BA,2006-01-11,70.1,70.3,69.11,69.97,4924100
BA,2006-01-12,69.69,70.45,69.54,70.25,2346000
BA,2006-01-13,69.48,70.2,68.79,69.64,2894100
BA,2006-01-16,69.48,70.2,68.79,69.64,0
BA,2006-01-17,68.69,69.4,68.66,69.07,2708200
BA,2006-01-18,68.33,68.92,68.05,68.55,2649200
BA,2006-01-19,68.17,68.49,67.72,68.16,2635800
BA,2006-01-20,66.5,68.16,66.49,68.1,6423300
BA,2006-01-23,67.02,67.34,65.9,65.9,4066900
BA,2006-01-24,67.66,67.88,67.13,67.41,3412400
BA,2006-01-25,66.91,67.91,66.91,67.71,3663900
BA,2006-01-26,68.72,68.75,67.32,67.44,4749600
BA,2006-01-27,68.56,69.25,67.99,68.39,3944300
BA,2006-01-30,69.03,69.05,68.2,68.52,2046800
BA,2006-01-31,68.31,69.05,68.31,69.0,3956900
BA,2006-02-01,71.62,72.17,70.0,70.0,11797300
BA,2006-02-02,71.7,72.3,71.3,71.35,6546200
BA,2006-02-03,70.87,72.09,70.86,71.7,3775600
BA,2006-02-06,71.14,71.64,70.3,70.65,3159400
BA,2006-02-07,71.55,72.05,71.16,71.3,4120599
BA,2006-02-08,71.76,71.93,71.0,71.76,2890700
BA,2006-02-09,72.01,72.76,71.37,71.77,3858000
BA,2006-02-10,72.53,72.7,72.03,72.1,2812000
BA,2006-02-13,72.11,72.64,71.82,71.95,3294600
BA,2006-02-14,72.71,72.86,71.93,72.35,4157499
BA,2006-02-15,72.45,72.74,72.05,72.37,2765200
BA,2006-02-16,72.55,72.93,72.2,72.65,2183500
BA,2006-02-17,72.96,73.0,72.28,72.55,2532300
BA,2006-02-20,72.96,73.0,72.28,72.55,0
BA,2006-02-21,73.05,73.4,72.65,73.15,3242700
BA,2006-02-22,74.39,74.61,73.06,73.06,4937500
BA,2006-02-23,73.9,74.2,73.78,73.95,2572800
BA,2006-02-24,74.31,74.59,73.31,73.65,2611700
BA,2006-02-27,74.13,74.89,74.0,74.05,1961000
BA,2006-02-28,72.69,74.0,72.36,73.9,3685700
BA,2006-03-01,72.95,73.08,72.25,72.56,2038600
BA,2006-03-02,72.8,73.35,72.342,72.75,1745000
BA,2006-03-03,73.39,74.4,72.51,72.81,2652800
BA,2006-03-06,72.63,73.71,72.3,73.7,2138500
BA,2006-03-07,73.16,73.23,72.37,72.66,1885400
BA,2006-03-08,72.82,72.86,71.9,72.85,2257000
BA,2006-03-09,73.76,74.25,72.5,72.75,2959600
BA,2006-03-10,74.79,74.9,73.2,73.77,3022000
BA,2006-03-13,74.84,75.9,74.5,75.21,3658400
BA,2006-03-14,75.45,75.63,74.72,74.84,2582600
BA,2006-03-15,76.05,76.3,75.27,75.4,2552800
BA,2006-03-16,76.73,77.05,76.1,76.25,2632800
BA,2006-03-17,77.85,78.08,77.05,77.2,4535400
BA,2006-03-20,78.18,78.86,77.83,78.5,3347400
BA,2006-03-21,78.26,79.2,78.25,78.8,3905500
BA,2006-03-22,78.61,78.8,78.0,78.6,2522200
BA,2006-03-23,77.9,78.62,77.51,78.61,2259100
BA,2006-03-24,78.73,79.11,78.05,78.05,2939100
BA,2006-03-27,78.39,78.75,77.82,78.73,3110100
BA,2006-03-28,77.51,79.0,77.37,78.505,2873000
BA,2006-03-29,79.18,79.48,77.86,77.95,4042900
BA,2006-03-30,78.42,79.5,78.06,78.95,2973500
BA,2006-03-31,77.93,78.92,77.81,78.6,2259900
BA,2006-04-03,78.01,79.13,78.01,78.25,3293200
BA,2006-04-04,78.6,78.85,77.5,78.575,2597200
BA,2006-04-05,79.11,79.19,77.82,78.85,3071300
BA,2006-04-06,79.82,80.13,79.22,79.22,2864400
BA,2006-04-07,79.57,80.37,78.72,79.99,2672400
