Symbol,Date,Close,High,Low,Open,Volume
BAC,2006-01-02,46.15,46.36,45.91,46.02,0
BAC,2006-01-03,47.08,47.18,46.15,46.92,16197900
BAC,2006-01-04,46.58,47.24,46.45,47.0,17427400
BAC,2006-01-05,46.64,46.83,46.32,46.58,14668900
BAC,2006-01-06,46.57,46.91,46.35,46.8,11965700
BAC,2006-01-09,46.6,46.97,46.36,46.72,15536300
BAC,2006-01-10,46.21,46.51,45.88,46.4,15507500
BAC,2006-01-11,46.1,46.25,45.75,46.06,14562000
BAC,2006-01-12,45.8,46.23,45.71,46.22,10394900
BAC,2006-01-13,45.8,46.0,45.68,45.83,10742100
BAC,2006-01-16,45.8,46.0,45.68,45.83,0
BAC,2006-01-17,45.31,45.58,45.0,45.4,14550200
BAC,2006-01-18,45.26,45.65,44.92,45.32,10843900
BAC,2006-01-19,45.14,45.88,44.85,45.88,14294900
BAC,2006-01-20,44.19,45.15,44.17,45.0,24930500
BAC,2006-01-23,43.96,44.39,43.49,43.5,23160700
BAC,2006-01-24,44.24,44.68,44.04,44.08,13314800
BAC,2006-01-25,44.63,44.65,44.15,44.15,14566300
BAC,2006-01-26,44.9,45.16,44.67,45.0,16044200
BAC,2006-01-27,44.8,45.11,44.61,44.9,12121400
BAC,2006-01-30,44.48,45.35,44.25,44.75,14450200
BAC,2006-01-31,44.23,44.73,44.12,44.65,16895700
BAC,2006-02-01,43.95,44.24,43.86,44.1,15794500
BAC,2006-02-02,43.44,43.97,43.37,43.95,14302900
BAC,2006-02-03,43.09,43.55,42.75,43.3,17017100
BAC,2006-02-06,43.37,43.65,43.24,43.4,12224200
BAC,2006-02-07,43.49,43.87,43.46,43.6,13831200
BAC,2006-02-08,43.72,43.72,43.55,43.55,12564600
BAC,2006-02-09,43.83,44.05,43.7,43.75,13495700
BAC,2006-02-10,43.92,44.02,43.41,43.77,9030900
BAC,2006-02-13,43.7,43.96,43.3,43.7,8328799
BAC,2006-02-14,44.16,44.49,43.73,43.92,16827200
BAC,2006-02-15,44.36,44.6,43.93,44.07,12537300
BAC,2006-02-16,44.69,44.73,44.28,44.39,10697000
BAC,2006-02-17,44.66,45.32,44.52,44.78,11736500
BAC,2006-02-20,44.66,45.32,44.52,44.78,0
BAC,2006-02-21,44.55,44.83,44.51,44.71,10215000
BAC,2006-02-22,45.08,45.172,44.42,44.45,14218000
BAC,2006-02-23,45.37,45.7,45.0,45.19,17193900
BAC,2006-02-24,45.72,45.89,44.94,44.94,13685500
BAC,2006-02-27,45.98,46.0,45.7,45.84,17980500
BAC,2006-02-28,45.85,46.05,45.75,45.77,19882000
BAC,2006-03-01,45.6,45.67,45.31,45.6,14389500
BAC,2006-03-02,45.15,45.36,44.9,45.25,14026100
BAC,2006-03-03,45.19,45.49,44.98,45.08,12174200
BAC,2006-03-06,45.21,45.3,44.91,45.1,11279200
BAC,2006-03-07,45.62,45.69,45.05,45.09,12553500
BAC,2006-03-08,45.71,45.89,45.42,45.42,12559500
BAC,2006-03-09,45.55,45.81,45.49,45.7,11425900
BAC,2006-03-10,45.95,46.0,45.45,45.5,12523700
BAC,2006-03-13,45.94,46.2,45.79,45.96,10083700
BAC,2006-03-14,46.26,46.4,45.94,46.0,13780100
BAC,2006-03-15,46.4,46.53,45.87,46.05,11343400
BAC,2006-03-16,46.76,46.9,46.48,46.48,12996800
BAC,2006-03-17,46.9,46.98,46.64,46.97,18749700
BAC,2006-03-20,46.9,47.0,46.56,46.71,11105400
BAC,2006-03-21,46.57,46.98,46.52,46.75,11702800
BAC,2006-03-22,46.99,47.14,46.4,46.4,11116900
BAC,2006-03-23,46.7,46.98,46.61,46.87,10694200
BAC,2006-03-24,46.9,47.0,46.66,46.78,10363800
BAC,2006-03-27,46.82,46.93,46.67,46.79,9974200
BAC,2006-03-28,46.06,47.01,45.95,46.62,16047200
BAC,2006-03-29,45.97,46.3,45.72,46.17,11449700
BAC,2006-03-30,45.61,46.09,40.93,45.8,12004200
BAC,2006-03-31,45.54,45.92,45.45,45.73,10708200
BAC,2006-04-03,45.68,46.22,45.66,45.85,11805900
BAC,2006-04-04,46.29,46.4,45.7,45.77,8808000
BAC,2006-04-05,46.55,46.57,46.21,46.21,10238200
BAC,2006-04-06,46.2,46.6,46.05,46.33,7674500
BAC,2006-04-07,45.74,46.47,45.66,46.41,9371700
BAC,2006-04-10,45.68,46.08,45.641,45.9,8986300
BAC,2006-04-11,45.56,46.0,45.45,45.75,8542100
BAC,2006-04-12,45.72,45.92,45.57,45.62,7139600
BAC,2006-04-13,45.73,45.93,45.6,45.73,7600400
BAC,2006-04-14,45.73,45.93,45.6,45.73,0
BAC,2006-04-17,45.48,45.95,45.26,45.95,10618100
BAC,2006-04-18,45.96,46.3,45.37,45.45,16265999
BAC,2006-04-19,46.05,46.24,45.79,45.87,10489400
BAC,2006-04-20,46.28,46.85,46.11,46.6,17037500
BAC,2006-04-21,46.87,46.95,46.35,46.35,16473299
BAC,2006-04-24,47.07,47.14,46.71,46.85,12562400
BAC,2006-04-25,47.09,47.17,46.83,47.02,12598400
BAC,2006-04-26,47.71,47.78,47.05,47.1,19057300
BAC,2006-04-27,49.04,49.18,46.82,47.59,34040600
BAC,2006-04-28,49.92,49.98,48.9,48.93,29379100
BAC,2006-05-01,49.18,50.0,49.1,49.84,20221300
BAC,2006-05-02,49.46,49.6599,49.26,49.26,19148500
BAC,2006-05-03,49.3,49.6,49.22,49.27,13314300
BAC,2006-05-04,49.94,49.95,49.53,49.55,15782300
BAC,2006-05-05,50.47,50.5,49.95,50.0,19205900
BAC,2006-05-08,50.11,50.32,50.0,50.2,10690000
BAC,2006-05-09,50.19,50.35,50.04,50.11,10216700
BAC,2006-05-10,50.17,50.44,49.74,50.03,11411500
BAC,2006-05-11,49.69,50.3,49.44,50.3,10997700
BAC,2006-05-12,49.2,49.85,49.13,49.69,15232200
BAC,2006-05-15,49.55,49.77,48.6,49.0,12829200
BAC,2006-05-16,49.64,49.8,49.39,49.62,8060800
BAC,2006-05-17,48.56,49.31,48.3,49.3,19432700
BAC,2006-05-18,48.12,49.04,48.09,48.65,12226300
BAC,2006-05-19,48.27,49.17,48.0,48.35,15526600
BAC,2006-05-22,48.26,48.73,48.11,48.27,15540500
BAC,2006-05-23,48.23,48.89,48.18,48.75,12435200
BAC,2006-05-24,48.48,48.71,48.01,48.2,16996200
BAC,2006-05-25,48.91,49.07,48.42,48.75,13595700
BAC,2006-05-26,49.38,49.61,48.86,49.15,15219600
BAC,2006-05-29,49.38,49.61,48.86,49.15,0
BAC,2006-05-30,48.7,49.23,48.65,49.18,13190300
BAC,2006-05-31,48.4,48.57,47.9,48.35,14754000
BAC,2006-06-01,48.7,48.74,48.34,48.4,11068500
BAC,2006-06-02,49.26,49.43,48.92,49.22,13229200
BAC,2006-06-05,48.74,49.48,48.66,49.2,10615500
BAC,2006-06-06,48.53,49.08,48.03,48.8,15414200
BAC,2006-06-07,48.85,49.24,48.32,48.5,12380800
BAC,2006-06-08,49.03,49.2,48.52,48.66,15170700
BAC,2006-06-09,48.79,49.2,48.63,48.85,11685300
BAC,2006-06-12,48.41,49.01,48.35,48.8,9499200
BAC,2006-06-13,47.07,48.65,46.75,48.15,22191500
BAC,2006-06-14,46.64,47.26,45.86,46.98,20861500
BAC,2006-06-15,47.91,48.07,46.8,46.86,19974100
BAC,2006-06-16,47.42,47.89,47.42,47.7,20829200
BAC,2006-06-19,47.14,47.93,47.05,47.93,10102600
BAC,2006-06-20,47.08,47.46,47.0,47.01,12850900
BAC,2006-06-21,47.31,47.57,47.03,47.03,11395600
BAC,2006-06-22,47.54,47.7,47.13,47.31,9808800
BAC,2006-06-23,47.41,47.73,47.12,47.4,10618500
BAC,2006-06-26,47.46,47.53,47.16,47.35,8833800
BAC,2006-06-27,47.3,47.7,47.29,47.46,10096900
BAC,2006-06-28,47.65,47.82,47.4,47.4,12496700
BAC,2006-06-29,48.6,48.7,47.57,47.71,15836800
BAC,2006-06-30,48.1,48.81,48.01,48.8,14146000
BAC,2006-07-03,48.81,49.03,48.18,48.19,6660400
BAC,2006-07-04,48.81,49.03,48.18,48.19,0
BAC,2006-07-05,48.87,49.1,48.32,48.5,11910500
BAC,2006-07-06,49.06,49.31,48.79,48.87,7602300
BAC,2006-07-07,49.222,49.222,48.8,48.9,7583700
BAC,2006-07-10,49.14,49.27,49.04,49.12,7306500
BAC,2006-07-11,49.15,49.24,48.66,48.97,11343200
BAC,2006-07-12,48.57,49.208,48.5,49.18,7929200
BAC,2006-07-13,47.98,48.77,47.9,48.57,12009700
BAC,2006-07-14,48.31,48.5,47.59,48.0,10562300
BAC,2006-07-17,48.22,48.46,47.87,48.11,10401700
BAC,2006-07-18,48.44,48.58,47.79,48.16,9290000
BAC,2006-07-19,49.95,49.97,48.85,48.98,23970600
BAC,2006-07-20,49.65,50.07,49.6,49.83,15345000
BAC,2006-07-21,50.14,50.26,49.77,49.85,19239000
BAC,2006-07-24,50.57,50.7,50.14,50.15,13066400
