Symbol,Date,Close,High,Low,Open,Volume
BBT,2006-01-02,41.91,42.09,41.67,42.05,0
BBT,2006-01-03,42.31,42.49,41.58,42.13,2352800
BBT,2006-01-04,42.64,42.79,42.2,42.2,1623100
BBT,2006-01-05,42.64,42.7,42.42,42.52,819000
BBT,2006-01-06,42.53,42.85,42.26,42.79,1112100
BBT,2006-01-09,42.63,42.66,42.34,42.51,1853500
BBT,2006-01-10,42.58,42.7,42.19,42.38,1907600
BBT,2006-01-11,41.94,42.2,41.7,42.2,1804200
BBT,2006-01-12,41.36,41.83,41.33,41.8,1537100
BBT,2006-01-13,41.87,41.97,41.58,41.75,1725500
BBT,2006-01-16,41.87,41.97,41.58,41.75,0
BBT,2006-01-17,41.67,41.77,41.35,41.62,1084800
BBT,2006-01-18,41.75,42.16,41.46,41.65,1272500
BBT,2006-01-19,41.08,41.41,40.61,41.25,2095700
BBT,2006-01-20,39.63,41.08,39.38,41.08,3523700
BBT,2006-01-23,39.59,39.97,39.5,39.64,1809500
BBT,2006-01-24,39.39,39.82,39.24,39.59,1629700
BBT,2006-01-25,39.3,39.54,39.19,39.38,1169300
BBT,2006-01-26,40.03,40.22,39.59,39.65,1567700
BBT,2006-01-27,40.04,40.69,40.01,40.19,1965900
BBT,2006-01-30,39.58,40.09,39.52,39.99,1166200
BBT,2006-01-31,39.04,39.57,38.9,39.57,2547000
BBT,2006-02-01,39.03,39.26,38.75,39.2,2210400
BBT,2006-02-02,38.37,39.14,38.24,39.14,2461600
BBT,2006-02-03,38.63,39.0,38.51,39.0,2572000
BBT,2006-02-06,38.58,38.7,38.52,38.6,1144500
BBT,2006-02-07,38.43,38.76,38.3,38.54,1522400
BBT,2006-02-08,38.88,38.89,38.25,38.38,1375400
BBT,2006-02-09,39.02,39.34,38.82,38.88,1760900
BBT,2006-02-10,39.29,39.32,38.85,38.98,1442700
BBT,2006-02-13,38.91,39.231,38.76,39.09,1051300
BBT,2006-02-14,39.59,39.82,38.91,39.02,1482100
BBT,2006-02-15,39.41,39.76,39.17,39.42,2160700
BBT,2006-02-16,40.08,40.09,39.25,39.36,1689500
BBT,2006-02-17,39.73,40.09,39.61,40.09,1272900
BBT,2006-02-20,39.73,40.09,39.61,40.09,0
BBT,2006-02-21,39.62,39.99,39.42,39.9,1364200
BBT,2006-02-22,40.48,40.58,39.8,39.86,1467600
BBT,2006-02-23,39.94,40.39,39.82,40.32,1277600
BBT,2006-02-24,39.94,40.23,39.75,40.01,676600
BBT,2006-02-27,40.04,40.39,39.96,39.99,696100
BBT,2006-02-28,39.53,40.02,39.48,39.76,1894000
BBT,2006-03-01,39.7,39.8,39.41,39.52,1442000
BBT,2006-03-02,39.45,39.71,39.29,39.46,1388700
BBT,2006-03-03,39.1,39.46,39.1,39.25,1068500
BBT,2006-03-06,38.93,39.2,38.8,39.2,1229800
BBT,2006-03-07,39.34,39.37,38.79,38.9,1043099
BBT,2006-03-08,39.62,39.67,39.14,39.28,1118900
BBT,2006-03-09,39.26,39.75,39.25,39.61,1211300
BBT,2006-03-10,39.49,39.59,39.3,39.3,821300
BBT,2006-03-13,39.71,39.93,39.56,39.6,1137500
BBT,2006-03-14,40.38,40.47,39.55,39.55,1517900
BBT,2006-03-15,40.55,40.6,40.11,40.33,1434900
BBT,2006-03-16,40.34,40.71,40.33,40.6,1721500
BBT,2006-03-17,40.57,40.8,40.44,40.72,1905300
BBT,2006-03-20,40.6,40.79,40.42,40.65,890600
BBT,2006-03-21,40.1,40.5,40.08,40.5,1419200
BBT,2006-03-22,40.19,40.32,39.87,40.0,1363800
BBT,2006-03-23,39.82,40.17,39.74,40.14,1046800
BBT,2006-03-24,39.7,39.85,39.53,39.74,1071000
BBT,2006-03-27,39.88,39.93,39.55,39.58,871000
BBT,2006-03-28,39.39,40.0,39.3,39.63,1146700
BBT,2006-03-29,39.58,39.68,39.1,39.39,1084100
BBT,2006-03-30,39.2,39.75,39.15,39.56,869200
BBT,2006-03-31,39.2,39.53,39.12,39.12,1229300
BBT,2006-04-03,39.49,39.8,39.13,39.3,1608200
BBT,2006-04-04,39.79,39.94,39.49,39.53,1224000
BBT,2006-04-05,39.89,40.03,39.7,39.89,1100800
BBT,2006-04-06,39.62,39.85,39.4,39.67,950700
BBT,2006-04-07,39.61,39.95,39.4,39.75,1509800
BBT,2006-04-10,40.19,40.47,39.94,40.0,1724100
BBT,2006-04-11,39.61,40.02,39.55,39.91,1051000
BBT,2006-04-12,39.25,39.82,39.13,39.58,1139300
BBT,2006-04-13,39.59,39.65,39.09,39.14,965600
BBT,2006-04-14,39.59,39.65,39.09,39.14,0
BBT,2006-04-17,39.28,39.75,39.22,39.4,1264200
BBT,2006-04-18,40.42,40.49,39.18,39.22,1636500
BBT,2006-04-19,40.1,40.4,39.8,40.29,1391500
BBT,2006-04-20,41.69,42.14,40.94,41.23,3973700
BBT,2006-04-21,41.93,42.02,41.59,41.98,2148000
BBT,2006-04-24,41.88,42.03,41.56,41.69,1619600
BBT,2006-04-25,41.71,42.09,41.49,41.71,1247700
BBT,2006-04-26,41.98,42.07,41.8,41.81,1405700
BBT,2006-04-27,42.45,42.67,41.54,41.74,2136300
