Symbol,Date,Close,High,Low,Open,Volume
BBY,2006-01-02,43.48,44.11,43.42,43.59,0
BBY,2006-01-03,44.73,44.99,43.45,43.75,5056800
BBY,2006-01-04,44.05,44.61,43.63,44.6,4377100
BBY,2006-01-05,43.5,44.5,43.32,44.1,5189900
BBY,2006-01-06,47.05,47.33,46.15,46.97,15183600
BBY,2006-01-09,47.8,48.05,46.67,46.84,5008000
BBY,2006-01-10,48.26,48.43,47.5,47.55,2893700
BBY,2006-01-11,48.23,48.45,47.77,48.15,2992300
BBY,2006-01-12,47.84,48.38,47.53,47.85,2991200
BBY,2006-01-13,47.86,47.97,47.21,47.79,3721200
BBY,2006-01-16,47.86,47.97,47.21,47.79,0
BBY,2006-01-17,48.03,48.79,47.13,47.2,6469900
BBY,2006-01-18,48.57,49.5,47.25,47.43,7347800
BBY,2006-01-19,48.93,49.89,48.92,49.01,4175500
BBY,2006-01-20,48.81,49.49,48.75,49.13,6785700
BBY,2006-01-23,48.7,49.34,48.47,48.81,2477200
BBY,2006-01-24,48.44,49.15,48.34,48.72,3545300
BBY,2006-01-25,48.71,49.23,48.38,48.44,4158000
BBY,2006-01-26,50.1,50.18,49.46,49.55,4367300
BBY,2006-01-27,49.99,50.64,49.7,50.05,3026600
BBY,2006-01-30,50.22,51.25,49.71,49.76,3400100
BBY,2006-01-31,50.66,50.98,49.9,50.01,3163200
BBY,2006-02-01,50.03,50.61,49.4,50.41,3816200
BBY,2006-02-02,48.94,50.39,48.75,50.2,3355500
BBY,2006-02-03,48.59,49.46,47.6,48.45,2392500
BBY,2006-02-06,48.85,49.1,48.41,48.6,2296700
BBY,2006-02-07,48.61,49.2,48.0,48.55,2595400
BBY,2006-02-08,48.9,48.9,48.8,48.8,3701100
BBY,2006-02-09,52.96,53.29,52.25,52.96,13307900
BBY,2006-02-10,52.55,52.96,52.08,52.15,4743000
BBY,2006-02-13,52.48,52.64,51.83,52.1,3256200
BBY,2006-02-14,52.86,53.1,52.4,52.6,4218800
BBY,2006-02-15,53.78,53.89,52.38,52.55,3693200
BBY,2006-02-16,54.57,55.05,53.55,53.6,4972400
BBY,2006-02-17,54.32,54.7,54.02,54.57,2830700
BBY,2006-02-20,54.32,54.7,54.02,54.57,0
BBY,2006-02-21,54.32,56.0,53.84,54.25,5822600
BBY,2006-02-22,55.11,55.21,54.25,54.8,2747800
BBY,2006-02-23,54.65,55.51,54.62,54.86,2413400
