Symbol,Date,Close,High,Low,Open,Volume
BDX,2006-01-02,60.08,60.33,59.91,60.33,0
BDX,2006-01-03,60.45,60.61,59.353,59.99,809500
BDX,2006-01-04,61.35,61.57,60.44,60.45,1175400
BDX,2006-01-05,60.92,61.62,60.76,61.35,678200
BDX,2006-01-06,62.05,62.13,61.0,61.0,704800
BDX,2006-01-09,62.2,62.23,61.91,62.0,486000
BDX,2006-01-10,62.3,62.38,61.8,61.8,729500
BDX,2006-01-11,61.11,62.35,60.96,62.3,1085000
BDX,2006-01-12,60.9,61.03,60.4,60.9,793500
BDX,2006-01-13,61.43,61.45,61.05,61.1,471900
BDX,2006-01-16,61.43,61.45,61.05,61.1,0
BDX,2006-01-17,60.84,61.26,60.7,61.18,760700
BDX,2006-01-18,60.82,60.99,60.37,60.6,969500
BDX,2006-01-19,60.5,60.82,60.1,60.81,1050600
BDX,2006-01-20,58.97,60.3,58.7,60.23,1363800
BDX,2006-01-23,59.21,59.4,58.9,59.18,962600
BDX,2006-01-24,59.46,59.52,58.88,59.01,1161000
BDX,2006-01-25,59.11,59.46,58.692,59.46,1097200
BDX,2006-01-26,64.41,64.5,62.5,62.5,2866000
BDX,2006-01-27,64.2,64.7,61.87,63.15,1996200
BDX,2006-01-30,63.84,64.6,63.75,64.0,1101000
BDX,2006-01-31,64.8,64.8,63.69,63.7,1772200
BDX,2006-02-01,63.85,64.57,63.73,64.14,1059600
BDX,2006-02-02,63.64,63.94,63.1,63.43,894800
BDX,2006-02-03,63.27,63.88,63.08,63.6,683700
BDX,2006-02-06,63.07,63.18,62.35,62.87,985000
BDX,2006-02-07,63.49,63.49,62.95,63.06,752800
BDX,2006-02-08,63.52,63.66,62.97,63.49,643500
BDX,2006-02-09,63.93,64.26,63.25,63.48,771400
BDX,2006-02-10,64.33,64.46,63.83,63.85,667900
BDX,2006-02-13,64.4,64.52,63.9,64.1,533000
BDX,2006-02-14,65.24,65.54,64.4,64.45,905800
BDX,2006-02-15,65.29,65.49,64.9,65.15,773100
BDX,2006-02-16,65.52,65.66,64.8,65.04,616100
BDX,2006-02-17,65.36,65.49,65.1,65.42,553000
BDX,2006-02-20,65.36,65.49,65.1,65.42,0
BDX,2006-02-21,64.44,65.55,64.1,65.55,885600
BDX,2006-02-22,65.76,65.77,64.8,64.8,1021600
BDX,2006-02-23,65.46,65.6,65.05,65.31,633900
