Symbol,Date,Close,High,Low,Open,Volume
BEN,2006-01-02,31.3367,31.5,31.2133,31.41,0
BEN,2006-01-03,31.9667,32.0333,31.1,31.6667,2907900
BEN,2006-01-04,32.0067,32.11,31.7633,32.0,2525400
BEN,2006-01-05,31.6333,31.95,31.5233,31.94,2487900
BEN,2006-01-06,31.9467,32.19,31.8167,32.0,2424000
BEN,2006-01-09,32.59,32.6567,31.9833,32.0,1881900
BEN,2006-01-10,32.6033,32.64,32.3033,32.3033,1894500
BEN,2006-01-11,33.1933,33.3933,32.6,32.6,2972700
BEN,2006-01-12,32.91,33.5233,32.8,33.2467,2521800
BEN,2006-01-13,32.6767,33.0933,32.51,32.99,1468800
BEN,2006-01-16,32.6767,33.0933,32.51,32.99,0
BEN,2006-01-17,32.3,32.6,32.2,32.47,1965000
BEN,2006-01-18,32.07,32.5933,31.94,32.2233,2314200
BEN,2006-01-19,32.6267,32.8167,32.2533,32.2533,1946700
BEN,2006-01-20,32.3233,33.5433,32.2,32.9133,3450900
BEN,2006-01-23,32.43,32.9933,32.3333,32.3367,1674600
BEN,2006-01-24,32.6433,32.7133,32.36,32.46,2250300
BEN,2006-01-25,32.4333,32.7667,32.4067,32.66,3057300
BEN,2006-01-26,33.6,33.79,32.9667,33.1,3894600
BEN,2006-01-27,33.6333,34.2667,33.48,34.2667,2938500
BEN,2006-01-30,33.3,33.8767,33.28,33.7667,1419900
BEN,2006-01-31,32.8333,33.4,32.64,33.3833,3093000
BEN,2006-02-01,32.9833,33.0833,32.56,32.66,2934900
BEN,2006-02-02,32.7067,33.0667,32.5467,33.0333,2498700
BEN,2006-02-03,32.0233,32.55,31.83,32.3333,3180900
BEN,2006-02-06,32.3,32.3533,31.8767,32.0,2575500
BEN,2006-02-07,31.5267,32.5433,31.5267,32.3667,3877800
BEN,2006-02-08,31.7333,31.7967,31.37,31.5167,2407800
BEN,2006-02-09,31.3933,31.86,31.2933,31.76,2730900
