Symbol,Date,Close,High,Low,Open,Volume
BK,2006-01-02,31.85,31.95,31.54,31.79,0
BK,2006-01-03,32.51,32.68,31.64,31.95,3265500
BK,2006-01-04,32.67,32.79,32.18,32.34,3208800
BK,2006-01-05,32.83,33.0,32.55,32.65,2602000
BK,2006-01-06,33.26,33.41,32.9,33.25,4112599
BK,2006-01-09,33.45,33.53,33.15,33.2,3063400
BK,2006-01-10,33.39,33.45,33.18,33.35,2291800
BK,2006-01-11,33.74,33.79,33.35,33.47,2576200
BK,2006-01-12,33.44,33.72,33.44,33.62,2977600
BK,2006-01-13,33.33,33.73,33.24,33.55,2959900
BK,2006-01-16,33.33,33.73,33.24,33.55,0
BK,2006-01-17,32.94,33.2,32.76,33.1,2698700
BK,2006-01-18,32.32,33.06,31.9,32.75,4869200
BK,2006-01-19,31.73,32.5,31.68,32.5,5541800
BK,2006-01-20,31.47,31.65,31.08,31.57,5927700
BK,2006-01-23,31.3,31.74,31.22,31.51,3763800
BK,2006-01-24,31.4,31.9,31.34,31.34,2777800
BK,2006-01-25,31.54,31.82,31.39,31.55,2578700
BK,2006-01-26,31.75,31.99,31.73,31.79,2979300
BK,2006-01-27,31.59,32.02,31.36,31.82,2778800
BK,2006-01-30,31.68,31.8,31.35,31.52,2696500
BK,2006-01-31,31.81,32.27,31.71,31.78,2718900
BK,2006-02-01,31.87,31.87,31.47,31.62,2387100
BK,2006-02-02,32.11,32.35,31.74,31.75,4439300
BK,2006-02-03,32.25,32.55,31.75,32.05,3702100
BK,2006-02-06,32.23,32.39,32.08,32.26,2352700
BK,2006-02-07,32.24,32.38,32.08,32.24,2923100
BK,2006-02-08,32.5,32.5,32.14,32.14,2611800
BK,2006-02-09,32.8,32.8,32.45,32.45,1757600
BK,2006-02-10,32.94,32.94,32.17,32.42,3119900
BK,2006-02-13,33.32,33.33,32.7,32.94,3744600
BK,2006-02-14,33.49,33.76,33.18,33.45,4474600
BK,2006-02-15,33.86,34.017,33.53,33.8,4432400
BK,2006-02-16,34.2,34.23,33.46,33.7,3830400
BK,2006-02-17,34.59,34.62,33.93,34.2,4912700
BK,2006-02-20,34.59,34.62,33.93,34.2,0
BK,2006-02-21,34.31,34.52,34.16,34.45,3326200
BK,2006-02-22,34.88,34.98,34.25,34.25,3372800
BK,2006-02-23,34.49,34.88,34.19,34.88,3966600
BK,2006-02-24,34.4,34.57,34.19,34.4,2850800
BK,2006-02-27,34.62,34.8,34.31,34.57,2097800
BK,2006-02-28,34.24,34.55,33.96,34.38,3636700
BK,2006-03-01,34.55,34.88,34.25,34.4,4654400
BK,2006-03-02,34.74,34.82,34.2,34.3,8518800
BK,2006-03-03,34.38,34.64,34.04,34.54,6825100
BK,2006-03-06,34.21,34.55,34.07,34.28,2131100
BK,2006-03-07,34.25,34.36,33.91,33.99,1905600
BK,2006-03-08,34.47,34.51,34.02,34.07,2609100
BK,2006-03-09,33.95,34.67,33.9,34.36,3215800
BK,2006-03-10,34.3,34.58,33.85,34.09,3346800
BK,2006-03-13,34.79,34.85,34.35,34.35,3812500
BK,2006-03-14,34.99,35.0,34.6,34.8,3448200
BK,2006-03-15,34.85,34.95,34.51,34.9,2674400
BK,2006-03-16,34.69,34.95,34.68,34.85,3001000
BK,2006-03-17,35.52,35.68,34.74,34.89,6735700
BK,2006-03-20,35.18,35.5,35.15,35.35,3936500
BK,2006-03-21,35.0,35.39,34.9,35.22,4732300
BK,2006-03-22,35.03,35.06,34.5,34.5,2902200
BK,2006-03-23,34.95,35.12,34.74,34.89,2357000
BK,2006-03-24,35.0,35.17,34.7,35.03,1517300
BK,2006-03-27,34.76,35.02,34.66,34.8,2175600
BK,2006-03-28,34.29,34.95,34.25,34.79,2806800
BK,2006-03-29,34.42,34.49,33.85,34.21,2167700
BK,2006-03-30,35.92,36.05,35.65,35.99,14269800
BK,2006-03-31,36.04,36.2,35.8,36.07,8444400
BK,2006-04-03,35.85,36.41,35.79,36.0,3973900
BK,2006-04-04,35.7,35.93,35.58,35.78,4127100
BK,2006-04-05,36.36,36.42,35.71,35.75,5925800
BK,2006-04-06,36.41,36.53,36.02,36.2,4070600
BK,2006-04-07,36.83,38.0,36.01,36.41,4706400
BK,2006-04-10,35.04,35.9,34.7,35.59,13363400
BK,2006-04-11,34.69,35.46,34.45,35.25,6600400
BK,2006-04-12,34.99,35.49,34.6,35.49,6724800
BK,2006-04-13,35.11,35.4,35.0,35.0,3097800
BK,2006-04-14,35.11,35.4,35.0,35.0,0
BK,2006-04-17,34.76,35.1,34.63,34.95,3084900
BK,2006-04-18,35.7,36.1,34.71,34.76,6215500
BK,2006-04-19,35.61,35.95,35.49,35.8,5155900
BK,2006-04-20,34.84,35.0,34.0,34.25,8077900
BK,2006-04-21,34.22,34.92,34.07,34.92,4862200
BK,2006-04-24,33.98,34.44,33.55,34.1,6512200
BK,2006-04-25,34.03,34.19,33.84,33.99,2895200
BK,2006-04-26,34.46,34.55,34.0,34.03,3107200
BK,2006-04-27,34.83,35.17,33.64,33.64,3634400
BK,2006-04-28,35.15,35.43,34.84,34.85,3251700
BK,2006-05-01,34.91,35.42,34.8,35.1,2927000
BK,2006-05-02,34.71,35.09,34.53,34.99,3092600
BK,2006-05-03,34.94,35.01,34.4,34.6,3905600
BK,2006-05-04,35.45,35.5,34.95,34.98,3772300
BK,2006-05-05,35.2,35.55,35.12,35.5,3334800
BK,2006-05-08,35.29,35.54,35.11,35.4,3106100
BK,2006-05-09,35.26,35.28,35.0,35.14,1757700
BK,2006-05-10,34.82,35.23,34.57,35.22,4337900
BK,2006-05-11,34.25,34.98,34.23,34.82,3125400
