Symbol,Date,Close,High,Low,Open,Volume
BLK,2006-01-02,108.48,108.48,107.2,107.75,0
BLK,2006-01-03,109.0,109.53,105.741,109.48,124500
BLK,2006-01-04,109.18,109.74,108.66,109.25,78200
BLK,2006-01-05,108.0,109.43,107.83,109.43,35800
BLK,2006-01-06,110.42,110.42,107.79,107.79,68600
BLK,2006-01-09,111.7,112.489,110.51,111.79,95800
BLK,2006-01-10,112.16,113.11,111.1,111.47,76800
BLK,2006-01-11,110.52,112.55,110.39,111.26,88200
BLK,2006-01-12,111.99,111.99,110.02,110.32,89000
BLK,2006-01-13,112.65,112.87,111.74,111.74,47400
BLK,2006-01-16,112.65,112.87,111.74,111.74,0
BLK,2006-01-17,111.79,114.5,111.03,113.65,111000
BLK,2006-01-18,110.9,111.35,109.033,111.29,129099
BLK,2006-01-19,119.35,120.74,114.85,114.85,553600
BLK,2006-01-20,127.0,130.77,125.06,130.4,673000
BLK,2006-01-23,128.18,128.59,122.82,125.0,245100
BLK,2006-01-24,128.96,129.07,127.72,128.99,121000
BLK,2006-01-25,129.49,130.72,128.72,129.77,126300
BLK,2006-01-26,135.01,136.56,129.59,129.59,284700
BLK,2006-01-27,133.12,135.02,131.67,135.02,228500
BLK,2006-01-30,133.4,134.0,132.03,133.28,228900
BLK,2006-01-31,132.8,133.99,132.22,133.8,83000
BLK,2006-02-01,129.54,131.75,123.0,123.99,385300
BLK,2006-02-02,129.06,129.46,128.24,128.24,96200
BLK,2006-02-03,129.66,129.86,128.05,128.82,80500
BLK,2006-02-06,130.55,131.39,129.27,129.41,67200
BLK,2006-02-07,130.19,131.53,129.56,130.9,97700
BLK,2006-02-08,131.11,131.4,130.01,130.44,82400
BLK,2006-02-09,134.31,138.0,132.5,132.5,247900
BLK,2006-02-10,131.51,134.31,131.13,134.31,211500
BLK,2006-02-13,141.99,150.0,141.75,144.9,1449400
BLK,2006-02-14,145.96,147.01,141.24,142.25,450600
BLK,2006-02-15,151.25,161.49,151.25,155.55,2533800
BLK,2006-02-16,150.9,153.0,148.5,151.0,338500
BLK,2006-02-17,146.58,149.81,144.01,149.8,442300
BLK,2006-02-20,146.58,149.81,144.01,149.8,0
BLK,2006-02-21,145.27,149.418,144.96,148.5,209700
BLK,2006-02-22,144.42,146.8,143.101,143.75,266100
BLK,2006-02-23,141.8,144.2,140.29,144.2,469100
BLK,2006-02-24,143.5,144.5,142.35,144.5,243700
BLK,2006-02-27,143.5,144.49,142.24,143.39,168300
BLK,2006-02-28,142.1,143.76,141.07,143.25,184300
BLK,2006-03-01,142.61,144.19,141.0,142.35,204000
BLK,2006-03-02,142.5,143.66,141.15,142.84,108300
BLK,2006-03-03,141.35,142.6,140.35,142.08,115000
BLK,2006-03-06,137.53,141.6,137.34,141.15,205800
BLK,2006-03-07,136.35,137.3,135.26,137.3,109800
BLK,2006-03-08,133.72,135.5,133.05,135.0,130500
BLK,2006-03-09,132.05,135.3,130.8501,133.4,392000
BLK,2006-03-10,132.25,133.28,131.82,131.9,195500
BLK,2006-03-13,134.25,135.04,132.25,132.25,235400
BLK,2006-03-14,137.56,138.2,134.29,134.4,482800
BLK,2006-03-15,138.82,139.51,136.1,137.0,554200
BLK,2006-03-16,139.99,141.8399,138.94,140.9,267400
BLK,2006-03-17,140.46,141.15,139.85,140.0,219600
BLK,2006-03-20,139.99,140.83,139.61,140.0,234300
BLK,2006-03-21,139.45,140.0,138.65,139.74,178000
BLK,2006-03-22,139.69,140.42,138.44,139.49,172100
BLK,2006-03-23,138.89,139.7,138.06,139.53,71600
BLK,2006-03-24,139.45,140.0,138.76,139.0,115200
BLK,2006-03-27,139.6,139.8,138.2901,139.25,107900
BLK,2006-03-28,138.1,140.15,137.0,137.0,181400
BLK,2006-03-29,139.7,139.98,138.02,138.02,196600
BLK,2006-03-30,139.75,140.48,138.8301,139.8,123400
BLK,2006-03-31,140.0,140.89,139.565,139.99,143300
BLK,2006-04-03,142.26,144.18,140.25,140.25,226400
BLK,2006-04-04,145.1,146.18,142.7,142.7,206400
BLK,2006-04-05,146.91,147.99,145.12,145.12,141300
BLK,2006-04-06,147.66,147.99,145.8,146.66,69100
BLK,2006-04-07,147.56,149.4999,146.55,147.66,148300
BLK,2006-04-10,147.98,149.41,147.39,148.0,152100
BLK,2006-04-11,142.41,148.67,141.75,147.98,255600
BLK,2006-04-12,144.89,145.5,141.19,141.65,160300
BLK,2006-04-13,143.0,145.02,142.71,145.02,92300
BLK,2006-04-14,143.0,145.02,142.71,145.02,0
BLK,2006-04-17,143.17,144.45,142.74,143.0,78200
BLK,2006-04-18,147.5,147.65,143.2,143.2,200500
BLK,2006-04-19,156.31,159.36,151.1,152.0,626200
BLK,2006-04-20,152.0,156.5,152.0,156.5,267500
BLK,2006-04-21,150.8,152.9999,149.0001,152.0,148300
BLK,2006-04-24,148.14,151.1,147.2,150.8,177000
BLK,2006-04-25,147.73,148.12,146.001,147.85,69900
BLK,2006-04-26,152.9,153.8,147.45,147.5,195100
BLK,2006-04-27,153.48,155.4,149.75,152.7,217200
BLK,2006-04-28,151.54,154.6495,151.33,154.0,225700
BLK,2006-05-01,142.85,152.49,142.366,151.54,408300
BLK,2006-05-02,145.0,145.9,142.72,143.1,145200
