Symbol,Date,Close,High,Low,Open,Volume
BRK.B,2006-01-02,58.71,59.02,58.58,59.0,0
BRK.B,2006-01-03,59.3,59.3,58.42,58.5,718500
BRK.B,2006-01-04,59.34,59.98,59.26,59.26,619500
BRK.B,2006-01-05,59.2,59.48,59.08,59.26,559000
BRK.B,2006-01-06,59.4,59.6,59.22,59.36,539000
BRK.B,2006-01-09,59.58,59.64,59.02,59.202,606500
BRK.B,2006-01-10,59.4,59.6,59.3,59.4,424500
BRK.B,2006-01-11,59.28,59.64,59.08,59.4,619000
BRK.B,2006-01-12,58.9,59.3,58.78,59.1,722500
BRK.B,2006-01-13,59.04,59.24,58.82,58.9,587000
BRK.B,2006-01-16,59.04,59.24,58.82,58.9,0
BRK.B,2006-01-17,58.86,59.0,58.6,59.0,509499
BRK.B,2006-01-18,58.84,59.298,58.6788,58.68,687000
BRK.B,2006-01-19,59.27,59.76,59.12,59.5,835000
BRK.B,2006-01-20,58.84,59.36,58.8,59.28,482500
BRK.B,2006-01-23,58.79,59.18,58.7,58.8,385500
BRK.B,2006-01-24,58.96,59.12,58.78,58.78,553000
BRK.B,2006-01-25,59.3,59.3,58.78,58.92,633000
BRK.B,2006-01-26,58.8198,59.2,58.74,59.2,530000
BRK.B,2006-01-27,58.76,58.9994,58.6002,58.92,644500
BRK.B,2006-01-30,58.5602,58.9,58.5602,58.76,458500
BRK.B,2006-01-31,58.64,58.78,58.2202,58.7,731000
BRK.B,2006-02-01,58.3,58.52,58.16,58.4,602000
BRK.B,2006-02-02,58.14,58.36,57.92,58.3,534000
BRK.B,2006-02-03,57.84,58.2,57.7,58.2,551000
BRK.B,2006-02-06,57.7,57.84,57.52,57.62,434500
BRK.B,2006-02-07,57.53,57.8,57.22,57.54,380500
BRK.B,2006-02-08,57.84,57.91,57.4,57.58,457500
BRK.B,2006-02-09,57.82,58.1,57.82,57.9,354000
BRK.B,2006-02-10,57.921,58.26,57.8004,57.92,472500
BRK.B,2006-02-13,58.34,58.34,57.97,58.12,409500
BRK.B,2006-02-14,58.54,58.6,58.12,58.34,532000
BRK.B,2006-02-15,58.3,58.6,58.16,58.54,520499
BRK.B,2006-02-16,58.1,58.34,57.9,58.2,398000
BRK.B,2006-02-17,58.0,58.16,57.84,57.94,393500
BRK.B,2006-02-20,58.0,58.16,57.84,57.94,0
BRK.B,2006-02-21,57.68,58.09,57.66,58.0,487000
BRK.B,2006-02-22,57.64,57.94,57.2,57.2,834000
BRK.B,2006-02-23,57.62,57.82,57.5,57.7,550000
BRK.B,2006-02-24,57.58,57.76,57.42,57.76,428500
BRK.B,2006-02-27,57.94,58.15,57.4,57.4,787000
BRK.B,2006-02-28,57.76,58.1,57.2004,58.1,670000
BRK.B,2006-03-01,57.83,58.0196,57.56,57.84,713000
BRK.B,2006-03-02,57.86,57.98,57.68,57.74,363000
BRK.B,2006-03-03,58.228,58.42,57.8004,57.9,500000
BRK.B,2006-03-06,58.77,58.9,58.4,58.56,979000
