Symbol,Date,Close,High,Low,Open,Volume
BSX,2006-01-02,24.49,24.64,24.26,24.35,0
BSX,2006-01-03,24.46,24.67,24.06,24.56,3967600
BSX,2006-01-04,25.31,25.38,24.56,24.6,8685100
BSX,2006-01-05,25.87,25.89,25.22,25.4,6892900
BSX,2006-01-06,26.24,26.26,25.96,26.17,7581600
BSX,2006-01-09,25.88,26.36,25.67,26.21,16831900
BSX,2006-01-10,26.48,26.56,25.47,25.88,15271700
BSX,2006-01-11,25.41,26.4,25.15,26.0,14059500
BSX,2006-01-12,25.05,25.42,24.97,25.41,6221800
BSX,2006-01-13,25.2,25.34,24.79,25.0,7977800
BSX,2006-01-16,25.2,25.34,24.79,25.0,0
BSX,2006-01-17,23.9,24.32,23.7,24.0,17815500
BSX,2006-01-18,23.93,24.31,23.72,23.89,8658500
BSX,2006-01-19,23.95,24.35,23.87,24.05,6370600
BSX,2006-01-20,23.59,24.02,23.05,23.9,11466800
BSX,2006-01-23,23.34,23.75,23.28,23.59,6190700
BSX,2006-01-24,24.0,24.0,23.28,23.45,8327900
BSX,2006-01-25,23.54,23.9,23.4,23.89,20242500
BSX,2006-01-26,23.15,23.83,23.142,23.55,9207000
BSX,2006-01-27,21.63,22.1,21.44,22.0,30947800
BSX,2006-01-30,20.9,21.82,20.64,21.69,23024900
BSX,2006-01-31,21.87,21.96,20.57,20.8,20674600
BSX,2006-02-01,21.89,22.37,21.53,21.95,11435800
BSX,2006-02-02,21.74,22.26,21.72,22.01,8125299
BSX,2006-02-03,21.8,21.95,21.31,21.7,7200700
BSX,2006-02-06,21.62,21.97,21.3,21.77,6493500
BSX,2006-02-07,22.26,22.28,21.52,21.55,12023400
BSX,2006-02-08,22.23,23.36,22.05,22.23,13827100
BSX,2006-02-09,21.97,22.49,21.73,22.35,10109500
BSX,2006-02-10,21.86,22.14,21.68,22.09,6687600
BSX,2006-02-13,21.77,21.95,21.68,21.86,4639700
BSX,2006-02-14,22.03,22.03,21.39,21.75,8793600
BSX,2006-02-15,22.61,22.69,21.88,22.06,12625500
BSX,2006-02-16,24.58,24.74,23.5,23.59,27684400
BSX,2006-02-17,24.45,24.6,24.03,24.59,8725500
BSX,2006-02-20,24.45,24.6,24.03,24.59,0
BSX,2006-02-21,24.37,24.5,24.05,24.45,7183300
BSX,2006-02-22,24.13,24.4,23.99,24.34,7719800
BSX,2006-02-23,24.2,24.57,23.93,24.16,5338800
BSX,2006-02-24,24.3,24.44,24.06,24.25,3382700
BSX,2006-02-27,24.93,25.0,24.55,24.6,8314999
BSX,2006-02-28,24.42,24.85,24.25,24.85,8958900
BSX,2006-03-01,24.37,24.37,24.0,24.37,8705300
BSX,2006-03-02,23.8,23.98,23.2,23.97,10655900
BSX,2006-03-03,23.53,23.77,23.42,23.75,6204200
BSX,2006-03-06,23.6,23.95,23.54,23.63,7769000
BSX,2006-03-07,23.33,23.8,23.3,23.59,5756600
BSX,2006-03-08,22.96,23.3,22.76,23.29,10328400
BSX,2006-03-09,22.51,23.46,22.51,22.96,12559000
BSX,2006-03-10,22.62,22.76,22.49,22.58,10444200
BSX,2006-03-13,22.76,23.01,22.73,23.0,6946600
BSX,2006-03-14,22.95,23.05,22.66,22.75,9357100
BSX,2006-03-15,22.78,22.96,22.55,22.95,10295000
BSX,2006-03-16,22.5,22.88,22.5,22.85,8428800
BSX,2006-03-17,22.62,22.72,22.51,22.65,10345100
BSX,2006-03-20,23.5,23.59,22.65,22.7,15701400
BSX,2006-03-21,23.57,23.79,23.4,23.59,12054400
BSX,2006-03-22,23.47,23.61,23.4,23.57,7623800
BSX,2006-03-23,23.47,23.6,23.2,23.54,9598400
BSX,2006-03-24,23.49,23.96,23.45,23.6,8709400
BSX,2006-03-27,23.43,23.7,23.38,23.6,6436200
BSX,2006-03-28,23.54,23.66,23.37,23.43,6261200
BSX,2006-03-29,23.25,23.9,23.12,23.52,8986900
BSX,2006-03-30,23.32,23.46,23.0,23.0,6909400
BSX,2006-03-31,23.05,23.32,23.01,23.32,9387900
BSX,2006-04-03,22.63,23.255,22.61,22.98,8360600
BSX,2006-04-04,22.14,22.75,22.1,22.55,13660300
BSX,2006-04-05,21.69,22.0,21.5,21.75,25849800
BSX,2006-04-06,21.93,22.42,21.9,22.25,19451800
BSX,2006-04-07,21.57,22.0,21.5,21.98,15255900
BSX,2006-04-10,21.53,21.65,21.33,21.51,12504600
BSX,2006-04-11,21.36,21.6,21.2,21.5,18154000
BSX,2006-04-12,22.16,22.18,21.3,21.3,20192500
BSX,2006-04-13,21.55,21.76,21.28,21.55,25870300
BSX,2006-04-14,21.55,21.76,21.28,21.55,0
BSX,2006-04-17,21.48,21.87,21.25,21.55,8555100
BSX,2006-04-18,21.74,21.96,21.43,21.75,16244599
BSX,2006-04-19,21.79,21.87,21.66,21.74,11660900
BSX,2006-04-20,22.26,22.55,21.87,21.98,20917900
BSX,2006-04-21,22.49,22.8,22.4,22.79,29719900
BSX,2006-04-24,22.08,22.45,22.03,22.45,8785700
BSX,2006-04-25,22.44,22.48,21.7,22.09,18360600
BSX,2006-04-26,23.06,23.08,22.55,22.58,25966600
BSX,2006-04-27,23.3,23.36,22.911,23.05,22405000
BSX,2006-04-28,23.24,23.58,23.16,23.38,13900100
BSX,2006-05-01,23.49,23.49,22.28,23.47,15692800
BSX,2006-05-02,22.07,22.62,21.96,22.38,12144600
BSX,2006-05-03,21.66,22.0,21.6,22.0,10670100
BSX,2006-05-04,21.86,22.12,21.74,21.83,9479700
