Symbol,Date,Close,High,Low,Open,Volume
BWA,2006-01-02,15.1575,15.2675,15.075,15.1825,0
BWA,2006-01-03,15.44,15.4425,15.045,15.1825,1356400
BWA,2006-01-04,15.2325,15.2525,14.8775,15.125,2422400
BWA,2006-01-05,14.94,15.15,14.765,15.0825,2223600
BWA,2006-01-06,14.5525,14.69,14.275,14.375,3085200
BWA,2006-01-09,14.625,14.8575,14.555,14.64,2211200
BWA,2006-01-10,14.6125,14.6475,14.375,14.575,1946400
BWA,2006-01-11,14.575,14.7075,14.4775,14.625,1872800
BWA,2006-01-12,14.0,14.1975,13.8725,14.1725,5084800
BWA,2006-01-13,14.145,14.22,13.928,14.0,2374000
BWA,2006-01-16,14.145,14.22,13.928,14.0,0
BWA,2006-01-17,14.0,14.1475,13.9025,14.0875,2509600
BWA,2006-01-18,14.065,14.3025,13.985,14.0,1931200
BWA,2006-01-19,14.225,14.2775,14.02,14.12,2161200
BWA,2006-01-20,13.9,14.2,13.8875,14.1975,2058399
BWA,2006-01-23,14.04,14.075,13.86,13.9025,1579200
BWA,2006-01-24,14.1125,14.2375,14.0375,14.065,1222000
BWA,2006-01-25,14.0775,14.325,13.95,14.055,1448000
BWA,2006-01-26,13.7225,14.08,13.695,14.08,2887200
BWA,2006-01-27,13.76,13.8,13.485,13.725,3619200
BWA,2006-01-30,13.8025,13.8325,13.6425,13.7,2560000
BWA,2006-01-31,13.7825,13.875,13.5738,13.775,1512000
BWA,2006-02-01,13.9975,14.0325,13.715,13.7825,1921200
BWA,2006-02-02,13.755,13.85,13.615,13.85,1825600
BWA,2006-02-03,13.6925,13.795,13.6,13.755,1375200
BWA,2006-02-06,13.825,13.83,13.675,13.7175,1554000
BWA,2006-02-07,13.84,13.8975,13.7375,13.8175,2043200
BWA,2006-02-08,13.5875,13.84,13.49,13.84,2156000
BWA,2006-02-09,13.45,13.7075,13.325,13.5,2232000
BWA,2006-02-10,13.5875,13.6275,13.445,13.4525,1880800
BWA,2006-02-13,13.3725,13.6625,13.305,13.555,1610800
BWA,2006-02-14,13.9025,13.9325,13.39,13.595,2174400
BWA,2006-02-15,13.9575,14.0075,13.8368,13.905,1425600
BWA,2006-02-16,13.9375,14.025,13.9,13.9725,1887200
BWA,2006-02-17,14.26,14.35,13.9325,13.9375,1318000
BWA,2006-02-20,14.26,14.35,13.9325,13.9375,0
BWA,2006-02-21,14.135,14.3475,14.12,14.205,1669600
BWA,2006-02-22,14.245,14.31,14.115,14.16,776400
BWA,2006-02-23,14.2975,14.575,14.1525,14.185,2267600
BWA,2006-02-24,14.0375,14.225,14.0,14.1875,1714400
BWA,2006-02-27,14.1125,14.2175,14.025,14.05,1236000
BWA,2006-02-28,13.9425,14.105,13.895,14.0375,928400
BWA,2006-03-01,14.3,14.3,13.9775,13.9925,1714400
BWA,2006-03-02,13.84,14.2625,13.7825,14.25,2880800
BWA,2006-03-03,13.745,13.85,13.67,13.81,2530800
BWA,2006-03-06,13.7175,13.8375,13.69,13.745,882800
BWA,2006-03-07,13.73,13.78,13.66,13.7,1190800
BWA,2006-03-08,13.7375,13.7375,13.6475,13.6875,2197600
BWA,2006-03-09,13.9375,13.9575,13.7375,13.7375,1694800
BWA,2006-03-10,14.06,14.2,13.935,13.9375,1098400
BWA,2006-03-13,13.9625,14.1125,13.9,14.07,1020799
BWA,2006-03-14,14.08,14.125,13.8775,13.925,762400
BWA,2006-03-15,14.255,14.2625,14.0525,14.08,826800
BWA,2006-03-16,14.4475,14.475,14.2,14.2675,1430400
BWA,2006-03-17,14.6775,14.7125,14.5275,14.575,2019600
BWA,2006-03-20,14.85,14.8825,14.635,14.67,1290800
BWA,2006-03-21,14.86,15.0,14.7525,14.85,2269600
BWA,2006-03-22,15.05,15.0625,14.675,14.75,2327600
BWA,2006-03-23,14.925,15.085,14.81,15.05,1594400
BWA,2006-03-24,15.0725,15.0875,14.9125,14.9275,1151600
BWA,2006-03-27,15.0825,15.15,14.94,14.975,1233200
BWA,2006-03-28,15.1025,15.245,15.0125,15.095,980800
BWA,2006-03-29,15.2025,15.2725,15.0875,15.165,864000
BWA,2006-03-30,15.0975,15.2525,15.0575,15.2,1402400
BWA,2006-03-31,15.01,15.0407,14.715,15.0375,1788800
