Symbol,Date,Close,High,Low,Open,Volume
BXP,2006-01-02,74.13,74.48,73.45,73.8,0
BXP,2006-01-03,75.36,75.5,72.98,74.38,675000
BXP,2006-01-04,75.64,76.0,75.12,75.36,433400
BXP,2006-01-05,76.8,77.03,75.43,75.69,703200
BXP,2006-01-06,78.35,78.35,76.68,77.24,462500
BXP,2006-01-09,79.41,79.41,78.2,78.35,618000
BXP,2006-01-10,79.5,80.95,78.0,78.0,776100
BXP,2006-01-11,78.36,79.81,78.15,79.51,992100
BXP,2006-01-12,77.84,78.46,77.39,78.36,773300
BXP,2006-01-13,76.91,77.73,76.471,77.72,480600
BXP,2006-01-16,76.91,77.73,76.471,77.72,0
BXP,2006-01-17,76.68,76.94,76.03,76.92,355300
BXP,2006-01-18,76.66,77.27,75.6707,76.55,797000
BXP,2006-01-19,76.61,77.06,76.02,76.14,666600
BXP,2006-01-20,76.29,77.1,76.17,76.67,659500
BXP,2006-01-23,76.82,77.1,76.3,76.3,196600
BXP,2006-01-24,77.58,78.0,76.98,77.0,622400
BXP,2006-01-25,77.34,78.15,76.67,77.59,778900
BXP,2006-01-26,77.71,78.37,76.98,77.59,646400
BXP,2006-01-27,78.21,78.65,77.84,78.09,652000
BXP,2006-01-30,78.0,78.3,77.72,78.21,338900
BXP,2006-01-31,78.26,78.29,77.52,77.6,888800
BXP,2006-02-01,78.8,79.63,78.06,78.26,1677500
BXP,2006-02-02,79.07,79.21,78.11,78.8,721000
BXP,2006-02-03,78.22,78.74,77.36,78.24,429500
BXP,2006-02-06,78.63,78.66,78.0,78.23,322000
BXP,2006-02-07,78.59,79.06,78.46,78.68,525600
BXP,2006-02-08,77.8,78.84,77.04,78.84,595700
BXP,2006-02-09,78.31,78.37,76.96,77.79,323500
BXP,2006-02-10,78.36,78.92,77.79,78.38,349500
BXP,2006-02-13,79.18,79.34,78.39,78.5,447100
BXP,2006-02-14,79.71,79.77,78.35,79.18,606400
BXP,2006-02-15,81.21,81.64,79.52,80.0,653300
BXP,2006-02-16,81.82,81.85,80.594,81.31,419100
BXP,2006-02-17,83.96,83.97,82.1,82.1,793700
BXP,2006-02-20,83.96,83.97,82.1,82.1,0
BXP,2006-02-21,84.98,85.01,83.2,83.6,764500
BXP,2006-02-22,85.25,86.18,84.25,84.85,715800
BXP,2006-02-23,85.25,85.65,84.94,85.5,443000
BXP,2006-02-24,85.43,85.58,84.92,85.25,344800
BXP,2006-02-27,85.41,85.62,84.66,85.3,268100
BXP,2006-02-28,84.67,85.55,84.32,85.41,502000
BXP,2006-03-01,84.75,85.25,84.44,84.9,362000
BXP,2006-03-02,85.3,85.39,84.27,84.75,462700
BXP,2006-03-03,85.66,85.92,84.65,85.05,456700
BXP,2006-03-06,87.53,88.22,85.76,85.97,619400
BXP,2006-03-07,87.41,87.81,87.16,87.44,760500
BXP,2006-03-08,88.36,88.36,86.9,87.35,492100
BXP,2006-03-09,89.02,89.24,88.08,88.34,381400
BXP,2006-03-10,89.83,90.24,88.46,88.77,638800
BXP,2006-03-13,89.85,90.17,89.27,90.0,574000
BXP,2006-03-14,89.67,90.81,89.43,89.88,731800
BXP,2006-03-15,93.06,93.21,90.65,91.62,1049600
BXP,2006-03-16,93.5,94.34,92.95,93.15,473200
BXP,2006-03-17,96.02,96.52,93.17,93.5,717000
BXP,2006-03-20,93.69,95.92,93.55,95.92,547700
BXP,2006-03-21,93.08,94.45,92.39,93.55,590900
BXP,2006-03-22,92.94,93.87,92.5,93.08,559800
BXP,2006-03-23,92.75,93.51,92.24,92.94,646600
BXP,2006-03-24,92.33,93.0,91.9,92.84,400600
BXP,2006-03-27,90.9,92.29,90.68,92.28,831300
BXP,2006-03-28,91.3,92.29,90.73,90.91,692900
BXP,2006-03-29,96.87,96.87,94.5,94.65,4000899
BXP,2006-03-30,96.31,97.18,95.52,96.7,1891700
BXP,2006-03-31,93.25,94.75,92.64,94.75,7359400
BXP,2006-04-03,91.55,93.15,91.09,93.15,2932100
BXP,2006-04-04,89.94,91.55,89.07,91.5,2359100
BXP,2006-04-05,90.38,90.75,90.0,90.0,1135000
BXP,2006-04-06,89.93,90.4,89.4,90.13,881100
BXP,2006-04-07,88.41,90.0,88.17,89.76,751300
BXP,2006-04-10,88.27,88.73,86.04,87.1,1010000
BXP,2006-04-11,87.12,88.26,86.86,88.02,762000
