Symbol,Date,Close,High,Low,Open,Volume
C,2006-01-02,485.3,487.1,482.2,483.5,0
C,2006-01-03,492.9,493.8,481.1,490.0,1536700
C,2006-01-04,483.8,491.0,483.5,488.6,1852790
C,2006-01-05,486.2,487.8,484.0,484.4,1015470
C,2006-01-06,486.2,489.0,482.0,488.8,1358930
C,2006-01-09,483.9,487.4,483.0,486.0,1625400
C,2006-01-10,485.4,485.5,480.8,483.0,1335690
C,2006-01-11,489.8,495.8,485.8,495.8,1684440
C,2006-01-12,490.3,491.0,488.8,491.0,1225090
C,2006-01-13,489.2,491.9,487.3,491.0,907880
C,2006-01-16,489.2,491.9,487.3,491.0,0
C,2006-01-17,484.3,487.0,482.7,485.1,1215460
C,2006-01-18,483.6,486.7,481.1,484.3,1162400
C,2006-01-19,479.4,485.8,477.0,485.6,1692020
C,2006-01-20,456.9,474.0,456.3,472.1,4770690
C,2006-01-23,460.0,463.8,457.0,460.0,2004379
C,2006-01-24,460.1,463.6,459.9,462.9,2047470
C,2006-01-25,462.3,463.7,460.1,461.4,1585120
C,2006-01-26,470.1,475.5,464.5,465.5,1899050
C,2006-01-27,468.7,473.7,466.0,470.1,1304960
C,2006-01-30,468.2,469.9,466.6,468.7,1035330
C,2006-01-31,465.8,470.5,465.5,468.3,1687270
C,2006-02-01,463.3,467.2,461.1,465.9,1840720
C,2006-02-02,451.8,461.0,451.0,459.0,2172530
C,2006-02-03,450.6,456.1,448.1,450.7,1654740
C,2006-02-06,451.7,456.1,450.9,452.6,1101940
C,2006-02-07,450.5,453.8,450.0,450.9,1192790
C,2006-02-08,453.6,455.3,450.7,453.3,1051340
C,2006-02-09,457.9,461.0,454.3,455.0,1345900
C,2006-02-10,459.6,460.7,452.5,457.0,1270200
C,2006-02-13,456.8,462.3,454.1,460.6,1151130
C,2006-02-14,461.2,462.5,457.1,457.8,1516580
C,2006-02-15,462.5,464.7,457.6,460.4,1665780
C,2006-02-16,464.4,464.4,460.4,463.0,1303750
C,2006-02-17,462.4,465.7,461.3,465.0,1272010
C,2006-02-20,462.4,465.7,461.3,465.0,0
C,2006-02-21,461.7,463.7,459.7,462.0,1376380
C,2006-02-22,468.8,469.8,462.4,463.8,1511370
C,2006-02-23,468.0,471.2,466.0,468.8,1062390
C,2006-02-24,468.5,470.9,467.3,467.3,1242980
C,2006-02-27,467.8,471.3,467.1,470.0,993510
C,2006-02-28,463.7,469.4,463.1,465.8,1427970
C,2006-03-01,466.5,466.5,463.9,463.9,1006990
C,2006-03-02,460.5,464.0,458.8,462.7,1251850
C,2006-03-03,459.2,463.4,458.0,460.0,1389950
C,2006-03-06,460.9,464.8,458.3,459.2,1204660
C,2006-03-07,464.0,464.4,458.0,458.5,1507890
C,2006-03-08,466.8,468.1,463.1,463.5,1076700
C,2006-03-09,464.9,469.8,464.6,466.8,1320870
C,2006-03-10,469.9,471.9,465.8,466.0,1351140
C,2006-03-13,468.4,471.9,466.3,469.9,1043820
C,2006-03-14,471.8,472.7,468.9,469.4,1300180
C,2006-03-15,470.1,472.0,468.8,471.3,1147750
C,2006-03-16,473.2,476.5,471.3,471.7,1751440
C,2006-03-17,474.1,475.2,472.5,475.2,2066510
C,2006-03-20,474.0,477.1,473.0,474.5,1024450
C,2006-03-21,472.2,474.8,471.1,473.0,1486020
C,2006-03-22,476.7,478.0,469.0,469.0,1375390
C,2006-03-23,477.7,479.8,474.699,475.8,1376920
C,2006-03-24,478.1,480.0,475.5,477.5,816450
C,2006-03-27,476.4,478.2,474.9,476.3,1138740
C,2006-03-28,476.0,480.1,474.4,475.2,1751740
C,2006-03-29,476.3,479.1,474.0,476.1,1387340
C,2006-03-30,472.8,476.8,472.7,475.2,1351470
C,2006-03-31,472.3,475.6,472.1,473.5,1222060
C,2006-04-03,474.1,478.6,473.0,474.1,1136670
C,2006-04-04,482.1,483.8,474.1,474.3,1611150
C,2006-04-05,482.6,484.7,481.3,483.0,1184810
C,2006-04-06,478.5,481.7,476.6,480.6,1163770
C,2006-04-07,476.6,483.4,474.6,480.4,1252680
C,2006-04-10,479.3,482.5,477.0,479.0,1260100
C,2006-04-11,474.7,480.9159,473.679,477.0,1020659
C,2006-04-12,476.0,478.3,474.8,475.0,783000
