Symbol,Date,Close,High,Low,Open,Volume
CA,2006-01-02,28.19,28.24,28.06,28.12,0
CA,2006-01-03,27.88,28.2,27.67,28.12,2445000
CA,2006-01-04,28.32,28.42,27.85,27.86,1827200
CA,2006-01-05,28.37,28.42,28.14,28.26,1710100
CA,2006-01-06,28.64,28.67,28.4,28.46,1196600
CA,2006-01-09,29.04,29.09,28.7,28.71,1864300
CA,2006-01-10,28.75,28.89,28.59,28.81,12743100
CA,2006-01-11,29.07,29.1,28.61,28.75,1902500
CA,2006-01-12,29.36,29.5,29.0,29.08,3546200
CA,2006-01-13,29.36,29.39,29.12,29.22,1556100
CA,2006-01-16,29.36,29.39,29.12,29.22,0
CA,2006-01-17,29.06,29.08,28.84,29.01,2069700
CA,2006-01-18,28.95,29.02,28.754,29.0,1154400
CA,2006-01-19,29.24,29.29,28.89,28.96,1530100
CA,2006-01-20,29.01,29.23,28.69,29.15,3923300
CA,2006-01-23,28.96,29.26,28.92,29.01,1911600
CA,2006-01-24,28.88,29.07,28.54,28.95,2917900
CA,2006-01-25,27.73,28.51,27.66,28.5,5925900
CA,2006-01-26,27.99,28.3,27.85,27.85,4900600
CA,2006-01-27,27.45,27.91,27.38,27.89,3037000
CA,2006-01-30,27.73,27.78,27.43,27.44,2329000
CA,2006-01-31,27.3,27.81,27.29,27.6,2486800
CA,2006-02-01,27.46,27.55,27.1,27.3,2209800
CA,2006-02-02,27.41,29.5,27.24,29.5,1795700
CA,2006-02-03,27.28,27.44,27.15,27.24,1860000
CA,2006-02-06,27.1,27.28,27.0,27.24,1769800
CA,2006-02-07,26.95,27.19,26.83,27.0,2248600
CA,2006-02-08,27.16,27.19,26.99,27.1,1560900
CA,2006-02-09,27.08,27.14,26.92,27.1,1713400
CA,2006-02-10,27.07,27.11,26.76,27.03,1932300
CA,2006-02-13,26.99,27.09,26.68,27.02,1005900
CA,2006-02-14,27.03,27.2,26.97,26.99,3097900
CA,2006-02-15,27.3,27.35,26.96,27.0,2234400
CA,2006-02-16,27.25,27.33,26.96,27.25,1005800
CA,2006-02-17,27.08,27.19,27.05,27.19,1044400
