Symbol,Date,Close,High,Low,Open,Volume
CAG,2006-01-02,15.7809,15.8353,15.7031,15.7653,0
CAG,2006-01-03,15.9676,15.991,15.7809,15.9132,3050313
CAG,2006-01-04,16.0221,16.1466,15.9365,15.9676,3898864
CAG,2006-01-05,15.9365,16.1388,15.9287,16.0688,3022812
CAG,2006-01-06,15.8976,16.0999,15.8353,16.0299,3351412
CAG,2006-01-09,15.9988,16.0999,15.8431,15.8743,3371588
CAG,2006-01-10,15.8353,16.0688,15.8198,15.9521,3562554
CAG,2006-01-11,15.7497,15.9132,15.7342,15.8431,2803574
CAG,2006-01-12,15.8665,15.8898,15.7186,15.7186,5241537
CAG,2006-01-13,15.9676,15.9988,15.8743,15.9132,4272057
CAG,2006-01-16,15.9676,15.9988,15.8743,15.9132,0
CAG,2006-01-17,15.991,16.0377,15.8743,15.8976,2924373
CAG,2006-01-18,16.0999,16.131,15.9521,15.991,3122535
CAG,2006-01-19,16.1699,16.2089,16.061,16.0766,4056418
CAG,2006-01-20,16.1233,16.2011,16.0921,16.1855,2874383
CAG,2006-01-23,16.24,16.2633,16.1077,16.1466,3252973
CAG,2006-01-24,16.4267,16.4812,16.2011,16.2945,4149330
CAG,2006-01-25,16.4812,16.5046,16.3645,16.4968,3247704
CAG,2006-01-26,15.8976,16.4501,15.8509,16.4112,5478766
CAG,2006-01-27,16.1933,16.1933,15.882,16.0143,2508772
CAG,2006-01-30,16.1699,16.2555,16.0454,16.1544,2299686
CAG,2006-01-31,16.131,16.2089,15.9521,16.0844,3098504
CAG,2006-02-01,16.3256,16.3645,16.0688,16.0688,2992483
CAG,2006-02-02,16.1388,16.3022,16.0688,16.3022,2975263
CAG,2006-02-03,16.4579,16.5746,16.2244,16.2633,6310997
CAG,2006-02-06,16.2555,16.4812,16.1544,16.419,3566923
CAG,2006-02-07,16.0766,16.2633,15.9287,16.2011,3014073
CAG,2006-02-08,16.1155,16.1155,16.0299,16.0299,1847331
CAG,2006-02-09,16.0065,16.131,15.882,16.0532,2223480
CAG,2006-02-10,15.9287,16.1155,15.8509,15.9521,3267495
CAG,2006-02-13,15.9132,16.0143,15.7653,15.8665,1968901
CAG,2006-02-14,15.9598,16.0221,15.8431,15.9287,2006298
CAG,2006-02-15,16.0299,16.0844,15.8353,15.9598,2194565
CAG,2006-02-16,16.0299,16.0532,15.9676,16.0299,2138020
CAG,2006-02-17,16.0377,16.1155,15.9365,16.0143,1838721
CAG,2006-02-20,16.0377,16.1155,15.9365,16.0143,0
CAG,2006-02-21,16.0065,16.1622,15.9209,16.0688,1946540
CAG,2006-02-22,16.2867,16.4112,16.061,16.0844,2388872
CAG,2006-02-23,16.0532,16.3567,15.9754,16.2633,2732508
CAG,2006-02-24,16.3022,16.3878,16.0999,16.1466,2609909
CAG,2006-02-27,16.6446,16.6524,16.4656,16.4968,3104544
CAG,2006-02-28,16.3645,16.6524,16.3022,16.6446,3026153
CAG,2006-03-01,16.6135,16.6291,16.419,16.4501,2606439
CAG,2006-03-02,16.3956,16.6913,16.31,16.6602,3480693
CAG,2006-03-03,16.4345,16.559,16.31,16.3489,2011052
CAG,2006-03-06,16.1933,16.4968,16.1233,16.4423,2639980
CAG,2006-03-07,16.1622,16.2711,16.0766,16.1855,1898349
CAG,2006-03-08,16.1466,16.2555,15.9521,16.1622,2572127
CAG,2006-03-09,16.1544,16.2711,16.1233,16.1466,2224122
CAG,2006-03-10,16.2011,16.2711,16.0999,16.1855,2455569
CAG,2006-03-13,16.3178,16.4267,16.0844,16.1699,3775880
CAG,2006-03-14,16.1466,16.2555,15.9676,16.2089,3572192
CAG,2006-03-15,15.882,16.3334,15.8042,16.0999,4725441
CAG,2006-03-16,15.1739,15.1739,14.6681,14.9794,31028482
CAG,2006-03-17,15.2829,15.3607,15.0416,15.1973,8855881
CAG,2006-03-20,15.3685,15.3685,15.1739,15.2829,5099148
CAG,2006-03-21,15.5552,15.5708,15.2673,15.3685,6279898
CAG,2006-03-22,15.7653,15.8665,15.4463,15.4696,6660544
CAG,2006-03-23,15.9832,16.0454,15.7653,15.8898,4998396
CAG,2006-03-24,16.2555,16.2633,16.0299,16.0299,4445289
CAG,2006-03-27,16.4034,16.419,16.2011,16.2867,5165844
CAG,2006-03-28,16.2867,16.5046,16.2089,16.4345,5344859
CAG,2006-03-29,16.5901,16.6602,16.3334,16.38,4413161
CAG,2006-03-30,16.559,16.6135,16.38,16.4734,6311640
CAG,2006-03-31,16.6991,16.8002,16.5746,16.6135,5144383
CAG,2006-04-03,16.8469,16.8936,16.6835,16.7302,4815141
CAG,2006-04-04,16.8158,16.8392,16.6602,16.8158,5083470
CAG,2006-04-05,16.9325,16.9714,16.738,16.8158,3558827
CAG,2006-04-06,16.8781,16.9248,16.738,16.9248,3477994
CAG,2006-04-07,16.7613,16.8936,16.7536,16.8547,3334063
CAG,2006-04-10,16.7769,16.7925,16.6524,16.6991,3121379
CAG,2006-04-11,16.7691,17.0259,16.7069,16.738,5054683
CAG,2006-04-12,16.5201,16.738,16.4734,16.738,3299494
CAG,2006-04-13,16.489,16.6446,16.3723,16.5201,3045044
CAG,2006-04-14,16.489,16.6446,16.3723,16.5201,0
CAG,2006-04-17,16.5979,16.6991,16.489,16.4968,2342737
CAG,2006-04-18,16.6524,16.7536,16.5279,16.5357,3488789
CAG,2006-04-19,16.738,16.7458,16.5746,16.6135,2618391
CAG,2006-04-20,16.8936,16.9014,16.6291,16.6757,3386238
CAG,2006-04-21,16.9792,17.0026,16.808,17.0026,3025125
CAG,2006-04-24,17.3294,17.3994,16.9637,16.9637,4732509
CAG,2006-04-25,17.3916,17.4306,17.2516,17.306,3426205
CAG,2006-04-26,17.6095,17.6562,17.4228,17.4306,3587870
CAG,2006-04-27,17.5784,17.7185,17.3527,17.4695,3242564
CAG,2006-04-28,17.6484,17.6873,17.5084,17.5473,3784233
CAG,2006-05-01,17.6796,17.8118,17.551,17.6173,3214677
CAG,2006-05-02,17.9441,18.0375,17.5474,17.7262,3838336
CAG,2006-05-03,17.8041,17.9441,17.734,17.8974,2771189
CAG,2006-05-04,17.7963,17.8974,17.7729,17.8585,1606760
CAG,2006-05-05,17.8974,17.9597,17.7963,17.8041,3513848
CAG,2006-05-08,17.9286,18.0375,17.7418,17.913,2059244
CAG,2006-05-09,18.0998,18.1153,17.8585,17.9363,3001865
CAG,2006-05-10,17.9675,18.1153,17.8585,18.0297,1731929
CAG,2006-05-11,17.843,17.9597,17.8041,17.9519,1784618
CAG,2006-05-12,17.7029,17.843,17.6796,17.8274,2357644
CAG,2006-05-15,17.7418,17.7418,17.5551,17.7029,2706420
CAG,2006-05-16,17.594,17.7262,17.5161,17.7185,2901755
CAG,2006-05-17,17.4695,17.5862,17.2983,17.5239,3832296
CAG,2006-05-18,17.5473,17.7496,17.2516,17.4617,3208766
CAG,2006-05-19,17.415,17.6017,17.3683,17.5862,2554650
CAG,2006-05-22,17.4461,17.5551,17.306,17.415,2753969
CAG,2006-05-23,17.4461,17.6251,17.3994,17.4695,1954123
CAG,2006-05-24,17.4539,17.5473,17.1504,17.3994,2676863
CAG,2006-05-25,17.6873,17.6951,17.4306,17.5084,2129282
CAG,2006-05-26,17.6796,17.7496,17.5862,17.6873,2587934
CAG,2006-05-29,17.6796,17.7496,17.5862,17.6873,0
CAG,2006-05-30,17.485,17.655,17.4772,17.6017,2099981
CAG,2006-05-31,17.5862,17.594,17.4306,17.4928,1732186
CAG,2006-06-01,17.6873,17.7807,17.5084,17.5862,2166807
CAG,2006-06-02,17.6407,17.6873,17.5161,17.6484,1430830
CAG,2006-06-05,17.664,17.7418,17.5551,17.594,1947569
CAG,2006-06-06,17.5473,17.7107,17.3839,17.6718,2235045
CAG,2006-06-07,17.4539,17.7107,17.415,17.5395,2708348
CAG,2006-06-08,17.0493,17.4695,16.8936,17.4617,5337148
CAG,2006-06-09,17.2204,17.3294,16.9403,17.0026,1661120
CAG,2006-06-12,17.2827,17.3605,17.1738,17.2127,1539678
CAG,2006-06-13,17.0882,17.3605,17.0415,17.3605,2343379
CAG,2006-06-14,17.1271,17.306,16.9403,17.0415,3659836
CAG,2006-06-15,17.1893,17.1893,16.8936,17.1815,2207673
CAG,2006-06-16,17.2127,17.3683,17.1115,17.1115,2510956
CAG,2006-06-19,17.1193,17.3294,17.1037,17.2516,1933175
CAG,2006-06-20,17.2983,17.4306,16.9637,17.1193,3306819
CAG,2006-06-21,17.2516,17.4306,17.1971,17.3138,1656879
CAG,2006-06-22,17.0026,17.2127,17.0026,17.166,2312922
CAG,2006-06-23,16.9714,17.0959,16.8002,16.917,1999872
CAG,2006-06-26,17.0103,17.1193,16.9248,16.987,2037526
CAG,2006-06-27,16.987,17.0882,16.8547,16.9248,2574826
CAG,2006-06-28,16.9248,17.1893,16.5046,16.5357,3291912
