Symbol,Date,Close,High,Low,Open,Volume
CAH,2006-01-02,49.3656,49.5595,49.3369,49.4805,0
CAH,2006-01-03,50.2703,50.2703,50.1124,50.1124,2590784
CAH,2006-01-04,50.2775,50.5647,49.8754,50.0621,2235792
CAH,2006-01-05,50.0118,50.5073,49.9688,50.2632,2409736
CAH,2006-01-06,49.7534,50.4283,49.7174,50.2847,1858378
CAH,2006-01-09,51.2971,51.4192,49.5236,49.5738,3156904
CAH,2006-01-10,50.5935,51.1176,50.5001,51.0171,2580478
CAH,2006-01-11,50.3924,50.9094,50.1985,50.7658,2650947
CAH,2006-01-12,50.3062,50.4714,50.1296,50.335,1133772
CAH,2006-01-13,50.0262,50.1626,49.6456,50.1196,1927316
CAH,2006-01-16,50.0262,50.1626,49.6456,50.1196,0
CAH,2006-01-17,49.1861,50.0047,49.1143,49.5451,2282725
CAH,2006-01-18,49.6385,49.8323,49.1143,49.1574,2523657
CAH,2006-01-19,49.2076,49.8323,48.8414,49.6313,2257657
CAH,2006-01-20,48.7624,49.1717,48.6476,49.0568,2689245
CAH,2006-01-23,49.8682,50.0118,49.0856,49.1143,3693778
CAH,2006-01-24,50.0549,50.2632,49.7031,49.7103,1733595
CAH,2006-01-25,50.694,50.773,50.1052,50.2344,2917365
CAH,2006-01-26,51.2182,51.8429,50.694,50.8232,3784162
CAH,2006-01-27,52.7404,54.2124,51.4767,54.2124,3852125
CAH,2006-01-30,52.0726,52.5609,51.9147,52.5178,2193315
CAH,2006-01-31,51.728,52.0367,51.4199,51.9865,2162955
CAH,2006-02-01,51.7423,52.1875,51.4264,51.6634,1979262
CAH,2006-02-02,51.1033,51.6993,51.0171,51.6993,1548509
CAH,2006-02-03,51.2325,51.6059,50.8663,50.9309,1881497
CAH,2006-02-06,50.098,50.9453,49.8754,50.9094,1717579
CAH,2006-02-07,50.2847,50.4714,49.8036,49.9257,2424638
CAH,2006-02-08,50.2201,50.2775,49.8108,50.2775,1897652
CAH,2006-02-09,49.7246,50.177,49.6528,50.098,2237324
CAH,2006-02-10,50.0908,50.2344,49.4302,49.4733,2130506
CAH,2006-02-13,50.4355,50.4929,49.8467,49.8754,1110932
CAH,2006-02-14,51.0746,51.1679,50.1483,50.5647,1977034
CAH,2006-02-15,51.649,51.7711,50.8204,51.0889,1596835
CAH,2006-02-16,51.6131,51.6131,50.8448,51.2684,1470102
CAH,2006-02-17,51.5197,51.5844,50.9525,51.3402,1895563
CAH,2006-02-20,51.5197,51.5844,50.9525,51.3402,0
CAH,2006-02-21,51.57,51.9003,51.3331,51.3833,1626499
CAH,2006-02-22,51.8788,52.0511,51.7639,51.807,1638754
CAH,2006-02-23,51.6993,51.9218,51.6346,51.8788,1317048
CAH,2006-02-24,51.9793,52.0798,51.6418,51.7352,1006343
CAH,2006-02-27,52.5753,52.8768,51.7244,51.9147,2026195
CAH,2006-02-28,52.1301,52.3311,51.9075,52.3311,1819105
CAH,2006-03-01,52.4173,52.5394,52.1014,52.1157,1624967
CAH,2006-03-02,52.1373,52.3383,51.8788,52.1301,1690422
CAH,2006-03-03,51.7711,52.0726,51.6059,51.85,1703374
CAH,2006-03-06,51.3761,51.6993,51.1607,51.6418,1950991
CAH,2006-03-07,51.5485,51.8859,51.1248,51.2325,2395392
CAH,2006-03-08,51.4982,51.6274,51.1176,51.369,2035944
CAH,2006-03-09,51.7208,51.9865,51.4767,51.6562,1724125
CAH,2006-03-10,52.0798,52.2019,51.6274,51.649,2082737
CAH,2006-03-13,52.2162,52.3613,51.7711,52.0583,1528873
CAH,2006-03-14,52.7332,52.7763,51.9506,52.0511,1702399
CAH,2006-03-15,53.6164,53.8175,52.7763,52.7763,2771691
CAH,2006-03-16,54.0401,54.1693,53.2861,53.559,2754701
CAH,2006-03-17,53.8175,54.0329,53.6667,53.997,2991733
CAH,2006-03-20,53.8678,54.3847,53.6811,53.997,1674267
CAH,2006-03-21,53.3508,53.9755,53.3436,53.8678,1489042
CAH,2006-03-22,53.5734,53.6739,53.2143,53.4226,1447262
CAH,2006-03-23,53.4369,53.5015,52.8984,53.4585,1609090
CAH,2006-03-24,53.4872,53.6954,53.0923,53.279,1200342
CAH,2006-03-27,53.7241,53.8534,53.1712,53.4154,1736241
CAH,2006-03-28,54.0975,54.3704,53.5518,53.7241,2205850
CAH,2006-03-29,53.9683,54.3345,53.6595,54.0042,2534241
CAH,2006-03-30,53.717,54.2986,53.4944,53.7888,1743622
CAH,2006-03-31,53.5087,53.9108,53.3292,53.6452,1430550
CAH,2006-04-03,53.5518,54.1406,53.5303,53.8534,1756713
CAH,2006-04-04,53.7457,53.8893,53.2431,53.4944,1488346
CAH,2006-04-05,53.7888,53.9898,53.3723,53.6523,1709641
CAH,2006-04-06,52.7907,53.6021,52.2881,53.6021,2091511
CAH,2006-04-07,51.4264,52.9702,51.2684,52.7332,2620169
CAH,2006-04-10,51.3259,51.5485,50.9956,51.4264,1359802
CAH,2006-04-11,50.3206,51.5628,50.0908,51.3833,3081282
CAH,2006-04-12,50.3134,50.9094,50.0334,50.6365,2244287
CAH,2006-04-13,50.2632,50.6437,50.0693,50.1698,1124998
CAH,2006-04-14,50.2632,50.6437,50.0693,50.1698,0
CAH,2006-04-17,50.1555,50.256,49.6313,50.0837,2595240
CAH,2006-04-18,50.5647,50.6078,49.7749,50.1914,2546914
CAH,2006-04-19,49.4015,50.7586,49.222,50.0262,3100640
CAH,2006-04-20,49.0568,49.3225,48.5183,49.222,2558056
CAH,2006-04-21,48.4465,49.3297,47.9582,49.222,3516909
CAH,2006-04-24,48.6978,48.8558,48.3388,48.626,2184402
CAH,2006-04-25,48.7624,49.2364,48.7265,49.1717,3485853
CAH,2006-04-26,49.4374,49.4446,48.109,48.4824,3247010
CAH,2006-04-27,49.0927,49.4805,48.3819,49.4015,3827614
CAH,2006-04-28,48.3603,48.9348,48.0588,48.863,2658467
CAH,2006-05-01,48.1521,48.6476,47.7141,48.3603,2555270
CAH,2006-05-02,48.6619,48.8199,47.9295,48.0444,2381604
CAH,2006-05-03,48.2885,48.6835,48.0229,48.6763,2245123
CAH,2006-05-04,48.1521,48.6763,47.987,48.4824,970830
CAH,2006-05-05,48.9635,49.0425,48.0731,48.6117,1512439
CAH,2006-05-08,48.9922,49.301,48.7337,48.9635,1096588
