Symbol,Date,Close,High,Low,Open,Volume
CAT,2006-01-02,57.77,58.1,57.571,57.85,0
CAT,2006-01-03,57.8,58.11,57.05,57.87,3697500
CAT,2006-01-04,59.27,59.43,57.55,57.95,4545700
CAT,2006-01-05,59.27,59.86,59.0,59.02,4449400
CAT,2006-01-06,60.45,60.76,59.38,59.47,5587100
CAT,2006-01-09,61.55,61.68,60.45,60.45,4408700
CAT,2006-01-10,61.3,61.523,60.64,61.35,3081900
CAT,2006-01-11,61.33,61.64,60.7,60.87,2702200
CAT,2006-01-12,62.21,62.66,61.11,61.23,5306300
CAT,2006-01-13,62.33,62.49,61.87,62.02,1874900
CAT,2006-01-16,62.33,62.49,61.87,62.02,0
CAT,2006-01-17,62.96,63.15,61.65,61.69,3603800
CAT,2006-01-18,61.87,62.72,61.7,62.36,3637700
CAT,2006-01-19,62.51,63.0,61.9,62.05,2369800
CAT,2006-01-20,60.78,62.51,60.48,62.51,4433900
CAT,2006-01-23,61.04,61.44,60.26,60.75,2625300
CAT,2006-01-24,61.35,61.86,60.75,60.79,3211700
CAT,2006-01-25,62.07,63.25,61.11,61.5,4750800
CAT,2006-01-26,65.17,65.439,62.3,63.3,10173700
CAT,2006-01-27,67.53,68.37,65.15,65.9,7576300
CAT,2006-01-30,67.01,68.12,66.32,66.53,5074800
CAT,2006-01-31,67.9,68.17,66.64,67.0,5574800
CAT,2006-02-01,69.24,69.34,67.9,68.1,4820200
CAT,2006-02-02,68.39,69.1,67.99,68.75,4421600
CAT,2006-02-03,68.13,68.97,67.75,68.2,3218900
CAT,2006-02-06,68.7,68.82,68.0,68.5,3691700
CAT,2006-02-07,67.16,68.34,66.93,68.3,4821400
CAT,2006-02-08,68.81,68.89,67.36,68.81,3518000
CAT,2006-02-09,68.45,69.75,68.233,69.0,3680100
CAT,2006-02-10,68.75,68.87,67.78,68.15,3166900
CAT,2006-02-13,68.62,69.06,67.88,68.3,2838400
CAT,2006-02-14,70.22,70.41,68.23,69.0,4524400
CAT,2006-02-15,71.6,71.65,69.902,69.93,4223300
CAT,2006-02-16,71.96,72.0,71.39,71.79,3362200
CAT,2006-02-17,72.05,72.39,71.71,72.0,4608900
CAT,2006-02-20,72.05,72.39,71.71,72.0,0
CAT,2006-02-21,72.59,72.79,71.68,72.0,3951300
CAT,2006-02-22,73.06,73.73,72.54,72.59,5476200
CAT,2006-02-23,72.35,73.09,71.9,73.07,4974100
CAT,2006-02-24,72.7,72.92,71.76,72.5,2816300
CAT,2006-02-27,73.5,73.99,73.0,73.3,3188600
CAT,2006-02-28,73.08,73.36,72.4,73.1,4324200
CAT,2006-03-01,74.39,74.94,72.9457,73.13,4193399
CAT,2006-03-02,74.34,74.62,73.81,74.14,2226400
CAT,2006-03-03,74.61,75.5,74.11,74.35,3166700
CAT,2006-03-06,73.22,74.88,72.5,74.63,5395300
CAT,2006-03-07,73.04,74.02,72.21,73.01,4855200
CAT,2006-03-08,72.4,73.05,70.3432,73.04,7484900
CAT,2006-03-09,71.4,72.52,71.25,72.43,4932800
CAT,2006-03-10,70.95,72.01,70.38,71.35,5912800
CAT,2006-03-13,71.0,71.75,70.79,71.45,3391000
CAT,2006-03-14,71.94,72.28,71.0,71.0,3917900
