Symbol,Date,Close,High,Low,Open,Volume
CERN,2006-01-02,11.46,11.46,11.3638,11.4062,0
CERN,2006-01-03,11.4962,11.54,11.225,11.41,4643120
CERN,2006-01-04,11.6188,11.6188,11.5438,11.5438,3121736
CERN,2006-01-05,11.7,11.7888,11.6088,11.625,3718744
CERN,2006-01-06,11.7962,11.8762,11.6613,11.735,2743712
CERN,2006-01-09,12.345,12.345,11.8712,11.8712,4564896
CERN,2006-01-10,12.05,12.12,11.9025,11.975,5173888
CERN,2006-01-11,11.7575,12.0925,11.64,12.0375,3304696
CERN,2006-01-12,11.56,11.7925,11.5075,11.7375,2150584
CERN,2006-01-13,11.5675,11.6875,11.5,11.52,1215164
CERN,2006-01-16,11.5675,11.6875,11.5,11.52,0
CERN,2006-01-17,11.405,11.6275,11.3075,11.5225,1939240
CERN,2006-01-18,11.4525,11.53,11.2625,11.3875,1441428
CERN,2006-01-19,11.6875,11.6875,11.435,11.5325,1804652
CERN,2006-01-20,11.515,11.75,11.3825,11.6975,2061100
CERN,2006-01-23,11.45,11.63,11.3172,11.515,3544520
CERN,2006-01-24,11.5,11.625,11.3875,11.6175,3154816
CERN,2006-01-25,11.185,11.565,11.04,11.565,3590988
CERN,2006-01-26,10.9825,11.25,10.825,11.25,5817872
CERN,2006-01-27,11.2,11.2575,10.99,11.0775,2281344
CERN,2006-01-30,11.135,11.3225,11.085,11.1525,2218744
CERN,2006-01-31,11.25,11.2725,11.01,11.095,2729456
CERN,2006-02-01,11.8225,11.8375,11.1225,11.1875,4734616
CERN,2006-02-02,12.0875,12.14,11.7125,11.7125,5654328
CERN,2006-02-03,11.0275,11.8375,10.52,11.7125,18427308
CERN,2006-02-06,11.25,11.475,10.0825,11.075,6284404
CERN,2006-02-07,11.185,11.46,11.145,11.2125,3729304
CERN,2006-02-08,11.0,11.335,10.8775,11.335,3824508
CERN,2006-02-09,10.9175,11.1175,10.8895,11.03,1974712
CERN,2006-02-10,10.74,10.7925,10.455,10.79,4696280
CERN,2006-02-13,10.81,10.86,10.705,10.7725,1524244
CERN,2006-02-14,10.6375,10.875,10.52,10.7575,2489132
CERN,2006-02-15,10.67,10.67,10.51,10.67,3959664
CERN,2006-02-16,10.75,10.8325,10.44,10.45,2789328
CERN,2006-02-17,10.9075,10.92,10.72,10.735,1678260
CERN,2006-02-20,10.9075,10.92,10.72,10.735,0
CERN,2006-02-21,10.8375,10.94,10.7775,10.9075,1791628
CERN,2006-02-22,10.685,10.8475,10.5675,10.8025,2011476
CERN,2006-02-23,10.475,10.65,10.43,10.625,4334112
CERN,2006-02-24,10.45,10.4825,10.24,10.455,6268432
CERN,2006-02-27,10.7325,10.86,10.475,10.525,4039971
CERN,2006-02-28,10.4075,10.8048,10.375,10.7375,2622904
CERN,2006-03-01,10.8175,10.83,10.4025,10.4025,2409932
CERN,2006-03-02,10.675,10.845,10.6275,10.8375,1585868
CERN,2006-03-03,11.0875,11.23,10.65,10.7275,4095820
CERN,2006-03-06,11.315,11.315,11.0975,11.1125,2837396
CERN,2006-03-07,10.88,11.0925,10.8275,11.0925,1933388
CERN,2006-03-08,10.9875,11.0375,10.7625,10.84,1923456
CERN,2006-03-09,10.8775,10.99,10.7525,10.945,1547308
CERN,2006-03-10,10.905,10.9875,10.7775,10.85,1662684
CERN,2006-03-13,11.0,11.085,10.87,10.895,1926952
CERN,2006-03-14,11.185,11.215,10.9125,11.025,2233428
CERN,2006-03-15,11.49,11.5625,11.1575,11.16,2690044
CERN,2006-03-16,11.68,11.73,11.47,11.5475,3221492
CERN,2006-03-17,11.7775,11.7925,11.6175,11.645,1783744
CERN,2006-03-20,11.7975,11.8125,11.6275,11.76,1755056
CERN,2006-03-21,11.69,11.75,11.53,11.71,2170652
CERN,2006-03-22,11.67,11.79,11.515,11.625,2553892
CERN,2006-03-23,11.645,11.73,11.5275,11.645,1503352
CERN,2006-03-24,11.67,11.75,11.475,11.5925,2056860
CERN,2006-03-27,11.6675,11.725,11.57,11.65,2676608
CERN,2006-03-28,11.6675,11.7425,11.5,11.6075,3563592
CERN,2006-03-29,11.78,11.8725,11.4825,11.6125,2100060
CERN,2006-03-30,11.8725,11.8725,11.7575,11.7575,1323356
CERN,2006-03-31,11.8625,11.9,11.7525,11.8425,1876524
CERN,2006-04-03,11.9,11.9975,11.82,11.92,2560928
CERN,2006-04-04,11.775,11.955,11.7525,11.8875,1975596
CERN,2006-04-05,11.74,11.7875,11.68,11.7575,1741708
CERN,2006-04-06,11.825,11.825,11.7025,11.7025,1834212
CERN,2006-04-07,11.565,11.795,11.45,11.7175,1480596
CERN,2006-04-10,11.6,11.6,11.49,11.5575,1257940
CERN,2006-04-11,11.2525,11.4975,11.095,11.475,1725844
CERN,2006-04-12,11.135,11.3225,11.0725,11.225,1726664
CERN,2006-04-13,11.4075,11.455,11.2025,11.315,2221540
CERN,2006-04-14,11.4075,11.455,11.2025,11.315,0
CERN,2006-04-17,11.565,11.565,11.4925,11.4925,1862488
CERN,2006-04-18,11.74,11.75,11.3775,11.55,1601240
CERN,2006-04-19,11.6875,11.81,11.6275,11.81,2260756
CERN,2006-04-20,11.9125,11.9125,11.4675,11.4675,4415576
CERN,2006-04-21,10.645,11.6225,10.355,11.6225,12641180
CERN,2006-04-24,10.61,10.8475,10.4775,10.8475,5631956
CERN,2006-04-25,10.21,10.6813,10.095,10.6125,7462424
CERN,2006-04-26,10.2325,10.4,10.1475,10.2475,4681264
CERN,2006-04-27,9.7925,10.2425,9.6975,10.2425,7793672
CERN,2006-04-28,9.9125,9.96,9.575,9.7325,4825516
CERN,2006-05-01,10.1575,10.25,9.86,9.8775,4659232
CERN,2006-05-02,9.9775,10.1625,9.945,10.1375,3812492
CERN,2006-05-03,10.1225,10.1225,9.9525,9.9525,3684400
CERN,2006-05-04,10.12,10.12,10.05,10.05,1769380
CERN,2006-05-05,10.3625,10.3625,10.0875,10.0875,2802828
CERN,2006-05-08,10.3025,10.425,10.2125,10.295,1302820
CERN,2006-05-09,10.1475,10.3075,10.1,10.305,1397124
CERN,2006-05-10,9.9525,10.154,9.945,10.0975,1189208
CERN,2006-05-11,9.3025,9.9765,9.2675,9.9375,7891728
CERN,2006-05-12,9.275,9.365,9.0325,9.305,4095760
CERN,2006-05-15,9.185,9.2775,9.0325,9.2225,3998280
CERN,2006-05-16,9.4975,9.4975,9.1625,9.1625,3880372
CERN,2006-05-17,9.22,9.375,9.1275,9.375,4298012
CERN,2006-05-18,9.39,9.39,9.2375,9.2375,5415948
CERN,2006-05-19,9.4425,9.4425,9.2525,9.2525,4035231
CERN,2006-05-22,9.3633,9.3633,9.305,9.3575,4006243
CERN,2006-05-23,9.33,9.3975,9.305,9.3475,2810652
CERN,2006-05-24,8.745,9.3225,8.675,9.3225,6043500
CERN,2006-05-25,8.9125,8.9425,8.7125,8.77,3240724
CERN,2006-05-26,9.1525,9.1575,8.8525,8.975,4277800
CERN,2006-05-29,9.1525,9.1575,8.8525,8.975,0
CERN,2006-05-30,9.4375,9.735,9.325,9.3625,4312472
CERN,2006-05-31,9.495,9.5425,9.3625,9.4675,2157908
CERN,2006-06-01,9.85,9.89,9.525,9.525,5857824
CERN,2006-06-02,9.595,9.925,9.5275,9.8425,5891052
CERN,2006-06-05,9.3275,9.5825,9.31,9.525,2966456
CERN,2006-06-06,9.2,9.3625,9.045,9.33,2948772
CERN,2006-06-07,9.125,9.2636,9.0675,9.2125,3234352
CERN,2006-06-08,9.12,9.185,8.7075,9.1125,6575320
CERN,2006-06-09,9.5975,9.5975,9.0575,9.0575,7283808
CERN,2006-06-12,9.5825,9.5825,9.4125,9.5825,3051200
CERN,2006-06-13,9.1725,9.39,9.1,9.39,2540724
CERN,2006-06-14,9.2125,9.3375,9.1475,9.2225,1967088
CERN,2006-06-15,9.5575,9.615,9.215,9.2575,3578752
CERN,2006-06-16,9.655,9.6775,9.5125,9.52,2419340
CERN,2006-06-19,9.435,9.7275,9.36,9.65,1989860
CERN,2006-06-20,9.495,9.495,9.405,9.4175,1174896
CERN,2006-06-21,9.62,9.62,9.4025,9.4025,1748792
CERN,2006-06-22,9.3875,9.5825,9.255,9.5375,3502544
CERN,2006-06-23,9.52,9.625,9.32,9.355,3320240
CERN,2006-06-26,9.435,9.5475,9.405,9.49,2700060
CERN,2006-06-27,9.3625,9.49,9.25,9.4225,3174156
CERN,2006-06-28,9.1725,9.4125,9.0375,9.4125,2188304
CERN,2006-06-29,9.3975,9.3975,9.1625,9.1625,2361368
CERN,2006-06-30,9.4225,9.4225,9.2775,9.365,4160783
CERN,2006-07-03,9.25,9.3375,9.215,9.2725,1191092
CERN,2006-07-04,9.25,9.3375,9.215,9.2725,0
CERN,2006-07-05,9.16,9.25,9.06,9.2,1930996
CERN,2006-07-06,9.71,9.8675,9.2775,9.2775,7998344
CERN,2006-07-07,9.2475,9.68,9.125,9.64,5216820
CERN,2006-07-10,9.1875,9.4025,9.1625,9.25,1936268
CERN,2006-07-11,9.1525,9.19,9.05,9.1875,2496032
CERN,2006-07-12,8.8525,9.235,8.8375,9.155,3149748
CERN,2006-07-13,8.5875,8.875,8.205,8.825,5687712
CERN,2006-07-14,8.5,8.6225,8.125,8.6225,4302480
CERN,2006-07-17,8.605,8.8575,8.45,8.45,3113464
CERN,2006-07-18,8.875,8.915,8.645,8.645,4844632
CERN,2006-07-19,8.9,8.9075,8.66,8.8875,2343592
CERN,2006-07-20,8.5675,9.005,8.5675,8.86,2992208
CERN,2006-07-21,9.75,9.9875,9.25,9.2975,19670464
CERN,2006-07-24,9.5925,9.8075,9.44,9.705,6422288
CERN,2006-07-25,9.6875,9.725,9.5025,9.5325,2103792
CERN,2006-07-26,9.7075,9.7075,9.62,9.6475,1554804
