Symbol,Date,Close,High,Low,Open,Volume
CHD,2006-01-02,8.2575,8.2975,8.18,8.2375,0
CHD,2006-01-03,8.3775,8.39,8.2025,8.2825,1541600
CHD,2006-01-04,8.41,8.4525,8.3675,8.395,832000
CHD,2006-01-05,8.33,8.4125,8.3225,8.395,727200
CHD,2006-01-06,8.3125,8.36,8.28,8.3325,665600
CHD,2006-01-09,8.29,8.315,8.26,8.275,697600
CHD,2006-01-10,8.345,8.3525,8.25,8.2875,1139200
CHD,2006-01-11,8.375,8.3925,8.315,8.3325,707200
CHD,2006-01-12,8.2575,8.3625,8.2375,8.3625,793600
CHD,2006-01-13,8.29,8.3925,8.2575,8.275,595600
CHD,2006-01-16,8.29,8.3925,8.2575,8.275,0
CHD,2006-01-17,8.24,8.275,8.175,8.2375,601600
CHD,2006-01-18,8.2525,8.275,8.19,8.19,668400
CHD,2006-01-19,8.5175,8.5225,8.3,8.3,1134800
CHD,2006-01-20,8.3875,8.51,8.3875,8.4925,945600
CHD,2006-01-23,8.455,8.525,8.3125,8.3875,959200
CHD,2006-01-24,8.5,8.53,8.425,8.505,1019600
CHD,2006-01-25,8.6125,8.6525,8.4775,8.51,1829200
CHD,2006-01-26,8.7375,8.75,8.6325,8.6625,1852000
CHD,2006-01-27,8.7475,8.8375,8.725,8.75,1459600
CHD,2006-01-30,8.6525,8.7375,8.6175,8.725,816000
CHD,2006-01-31,9.2,9.295,8.7875,8.7875,3922400
CHD,2006-02-01,9.1025,9.1925,9.045,9.1925,2323600
CHD,2006-02-02,9.0475,9.1325,9.045,9.09,979600
CHD,2006-02-03,9.0275,9.1775,9.0125,9.05,911600
CHD,2006-02-06,9.045,9.1,9.0,9.0375,849600
CHD,2006-02-07,8.325,8.82,8.2375,8.82,5210800
CHD,2006-02-08,8.355,8.55,8.265,8.5025,2624800
CHD,2006-02-09,8.32,8.4225,8.3125,8.3725,952400
CHD,2006-02-10,8.335,8.39,8.26,8.3,1025199
CHD,2006-02-13,8.3025,8.36,8.28,8.3125,581200
CHD,2006-02-14,8.29,8.3722,8.2875,8.31,911200
CHD,2006-02-15,8.3475,8.4,8.2925,8.325,1520400
CHD,2006-02-16,8.5775,8.5925,8.35,8.3775,1695600
CHD,2006-02-17,8.675,8.675,8.565,8.5925,1508000
CHD,2006-02-20,8.675,8.675,8.565,8.5925,0
CHD,2006-02-21,8.6975,8.6975,8.585,8.6625,2158000
CHD,2006-02-22,8.75,8.76,8.685,8.6988,829200
CHD,2006-02-23,8.6425,8.765,8.6225,8.72,1092000
CHD,2006-02-24,8.7925,8.7925,8.625,8.6425,1116000
CHD,2006-02-27,8.6425,8.81,8.625,8.81,2293200
CHD,2006-02-28,8.6325,8.6925,8.565,8.6275,1513200
CHD,2006-03-01,8.6525,8.7375,8.625,8.6775,1885600
CHD,2006-03-02,8.7625,8.795,8.5975,8.6125,1025199
CHD,2006-03-03,8.705,8.805,8.6975,8.7625,659600
CHD,2006-03-06,8.7325,8.79,8.7,8.79,961200
CHD,2006-03-07,8.7525,8.795,8.695,8.7325,815600
CHD,2006-03-08,8.7725,8.83,8.6975,8.725,617200
CHD,2006-03-09,9.0075,9.0725,8.825,8.865,2114800
CHD,2006-03-10,9.0825,9.125,9.0025,9.0375,1023200
CHD,2006-03-13,9.0375,9.125,9.03,9.09,1111200
CHD,2006-03-14,9.06,9.0725,8.975,9.04,1064000
CHD,2006-03-15,9.125,9.1425,9.055,9.0675,869200
CHD,2006-03-16,9.255,9.2875,9.1375,9.1625,1774000
CHD,2006-03-17,9.2575,9.2925,9.225,9.25,1215600
CHD,2006-03-20,9.2175,9.3125,9.17,9.225,722800
CHD,2006-03-21,9.2125,9.295,9.165,9.2,831200
CHD,2006-03-22,9.325,9.3475,9.1825,9.2325,903200
CHD,2006-03-23,9.34,9.3725,9.2875,9.3,646000
CHD,2006-03-24,9.3775,9.3775,9.3,9.3425,411200
CHD,2006-03-27,9.3075,9.4175,9.29,9.3775,562000
CHD,2006-03-28,9.28,9.3425,9.25,9.3075,713200
CHD,2006-03-29,9.35,9.4,9.2775,9.3,961600
CHD,2006-03-30,9.3675,9.3725,9.3025,9.35,698800
CHD,2006-03-31,9.23,9.3725,9.2075,9.3625,1456800
CHD,2006-04-03,9.16,9.27,9.16,9.245,1158800
CHD,2006-04-04,9.13,9.1825,9.045,9.1325,933600
CHD,2006-04-05,9.0625,9.1425,8.9875,9.1375,552800
CHD,2006-04-06,8.9675,9.0875,8.8875,9.0875,816800
CHD,2006-04-07,8.9,9.025,8.8525,9.0,663200
CHD,2006-04-10,8.875,8.94,8.8375,8.9375,1000799
CHD,2006-04-11,8.9425,8.955,8.84,8.8525,950400
CHD,2006-04-12,9.0125,9.015,8.9425,8.9425,708400
CHD,2006-04-13,8.9675,9.04,8.93,8.9475,400800
CHD,2006-04-14,8.9675,9.04,8.93,8.9475,0
CHD,2006-04-17,8.9875,8.99,8.92,8.9325,524800
CHD,2006-04-18,9.015,9.02,8.9625,8.9975,1328800
CHD,2006-04-19,9.1625,9.1625,9.0075,9.0125,1078800
CHD,2006-04-20,9.2025,9.2025,9.1325,9.14,584400
CHD,2006-04-21,9.075,9.2525,9.025,9.2375,1568000
CHD,2006-04-24,9.045,9.11,9.0,9.075,590800
CHD,2006-04-25,9.0525,9.0625,8.9925,9.015,1221200
CHD,2006-04-26,9.075,9.1175,9.045,9.0625,716400
CHD,2006-04-27,9.16,9.1875,9.035,9.05,667600
CHD,2006-04-28,9.1675,9.1775,9.0825,9.115,568800
CHD,2006-05-01,8.8525,9.16,8.8525,9.15,1322800
CHD,2006-05-02,8.9025,8.915,8.8225,8.85,1441200
CHD,2006-05-03,9.0,9.0375,8.785,8.9025,1104800
CHD,2006-05-04,9.0425,9.14,9.0375,9.0375,786400
CHD,2006-05-05,9.22,9.2325,9.035,9.0625,803600
CHD,2006-05-08,9.315,9.35,9.1825,9.22,1101600
CHD,2006-05-09,9.475,9.635,9.4,9.475,3086000
CHD,2006-05-10,9.4225,9.5525,9.4075,9.43,1308400
CHD,2006-05-11,9.375,9.46,9.3575,9.3925,944400
CHD,2006-05-12,9.1975,9.3575,9.195,9.3225,1353200
CHD,2006-05-15,9.2125,9.25,9.125,9.1625,893200
CHD,2006-05-16,9.33,9.4075,9.2375,9.275,1982000
CHD,2006-05-17,9.23,9.3525,9.2225,9.295,1249200
CHD,2006-05-18,9.1575,9.27,9.155,9.22,1333200
CHD,2006-05-19,9.1075,9.2075,9.0625,9.1825,1862400
CHD,2006-05-22,9.03,9.17,9.0175,9.055,1446000
CHD,2006-05-23,9.1125,9.215,9.0475,9.075,2074800
CHD,2006-05-24,9.12,9.13,9.05,9.1125,2040000
CHD,2006-05-25,9.13,9.1925,9.0975,9.175,853600
CHD,2006-05-26,9.165,9.2125,9.0925,9.1625,622800
