Symbol,Date,Close,High,Low,Open,Volume
CHRW,2006-01-02,37.03,38.08,37.0,37.9,0
CHRW,2006-01-03,37.3,37.46,35.55,37.23,1341325
CHRW,2006-01-04,38.06,38.56,37.29,37.5,772739
CHRW,2006-01-05,38.21,38.27,37.31,37.96,592899
CHRW,2006-01-06,38.08,38.78,37.65,38.18,657757
CHRW,2006-01-09,37.32,37.5,36.5,36.74,975702
CHRW,2006-01-10,36.91,37.13,36.51,37.09,850017
CHRW,2006-01-11,36.58,37.15,36.37,36.85,661245
CHRW,2006-01-12,36.48,36.87,36.15,36.36,348009
CHRW,2006-01-13,36.54,37.1,36.43,36.55,453444
CHRW,2006-01-16,36.54,37.1,36.43,36.55,0
CHRW,2006-01-17,36.33,36.55,35.66,36.55,839078
CHRW,2006-01-18,36.98,37.32,35.8,36.34,933257
CHRW,2006-01-19,37.96,37.99,36.8,36.83,985601
CHRW,2006-01-20,36.83,38.29,36.7,37.73,1214504
CHRW,2006-01-23,37.0,37.27,36.25,37.0,564410
CHRW,2006-01-24,39.09,39.09,37.0,37.0,1028415
CHRW,2006-01-25,38.85,39.47,38.76,39.21,847037
CHRW,2006-01-26,40.39,40.4,39.0,39.33,1141033
CHRW,2006-01-27,40.44,40.71,39.92,40.36,910894
CHRW,2006-01-30,40.43,41.29,40.34,40.65,805578
CHRW,2006-01-31,40.46,40.65,39.57,40.31,692403
CHRW,2006-02-01,39.75,40.6,39.66,40.49,807147
CHRW,2006-02-02,39.65,40.13,39.48,39.56,616868
CHRW,2006-02-03,39.61,40.01,38.64,39.58,611347
CHRW,2006-02-06,40.42,40.68,39.36,39.81,699654
CHRW,2006-02-07,40.71,41.6,40.5,40.83,1256075
CHRW,2006-02-08,42.03,42.3,40.0,42.17,1455186
CHRW,2006-02-09,41.94,43.32,41.7,42.12,1381184
CHRW,2006-02-10,41.96,42.06,40.883,41.9,771826
CHRW,2006-02-13,41.65,42.11,41.39,42.08,548143
CHRW,2006-02-14,42.68,42.88,40.86,41.6,1190034
CHRW,2006-02-15,42.95,43.4,42.0,42.5,1209443
CHRW,2006-02-16,42.83,43.29,42.22,42.96,1161440
CHRW,2006-02-17,43.12,43.3,42.47,42.75,765849
CHRW,2006-02-20,43.12,43.3,42.47,42.75,0
CHRW,2006-02-21,42.48,43.08,42.05,43.05,1034319
CHRW,2006-02-22,44.02,44.11,42.45,42.75,1032021
CHRW,2006-02-23,44.2,44.51,43.39,43.97,1100692
CHRW,2006-02-24,44.26,44.5,43.83,44.14,635937
CHRW,2006-02-27,45.35,45.87,44.25,44.5,1001934
CHRW,2006-02-28,44.82,45.38,44.32,45.38,885874
CHRW,2006-03-01,45.81,46.16,44.81,45.11,1184843
CHRW,2006-03-02,45.5,46.07,45.24,45.78,799304
CHRW,2006-03-03,45.27,46.36,44.9,45.55,653983
CHRW,2006-03-06,45.34,45.34,44.89,45.27,723088
CHRW,2006-03-07,44.55,44.9,44.25,44.695,509325
CHRW,2006-03-08,44.08,44.479,43.13,44.12,1091715
CHRW,2006-03-09,44.07,44.97,43.92,44.21,589594
CHRW,2006-03-10,44.85,45.16,43.51,43.97,670122
CHRW,2006-03-13,44.59,45.2,44.55,44.65,452876
CHRW,2006-03-14,45.84,45.96,44.41,44.54,628567
CHRW,2006-03-15,46.26,46.4,45.58,45.89,563932
CHRW,2006-03-16,45.46,46.5,45.4,46.19,502630
CHRW,2006-03-17,45.29,45.64,44.48,45.56,1114785
CHRW,2006-03-20,45.73,46.06,45.01,45.24,584557
CHRW,2006-03-21,45.83,46.4,45.14,45.68,957724
CHRW,2006-03-22,47.3,47.75,45.51,45.67,1297703
CHRW,2006-03-23,46.97,47.36,46.36,46.72,1053492
CHRW,2006-03-24,47.56,47.56,47.03,47.15,987525
CHRW,2006-03-27,49.37,49.43,47.0,47.15,1949571
CHRW,2006-03-28,49.4,50.44,48.852,49.16,2271350
CHRW,2006-03-29,50.09,50.09,49.6,49.67,999862
CHRW,2006-03-30,49.46,50.07,49.05,49.77,720661
CHRW,2006-03-31,49.09,49.5,48.56,49.47,1029315
CHRW,2006-04-03,49.38,50.0,49.09,49.47,750134
CHRW,2006-04-04,50.11,50.4,49.46,49.68,1182589
CHRW,2006-04-05,51.44,51.65,49.62,49.96,933523
CHRW,2006-04-06,52.3,52.3,51.47,51.47,1063243
CHRW,2006-04-07,52.29,52.94,51.79,52.39,1088389
CHRW,2006-04-10,52.28,52.5,51.83,52.43,1665139
CHRW,2006-04-11,53.13,53.13,52.38,52.87,918250
CHRW,2006-04-12,52.5,52.83,52.01,52.6,606228
CHRW,2006-04-13,51.43,51.96,50.68,51.63,1257780
CHRW,2006-04-14,51.43,51.96,50.68,51.63,0
CHRW,2006-04-17,49.09,50.64,47.91,50.23,2422502
CHRW,2006-04-18,48.77,49.25,48.57,49.25,2573746
CHRW,2006-04-19,49.39,49.391,48.57,48.75,1674794
CHRW,2006-04-20,49.79,50.17,49.4,49.54,925125
CHRW,2006-04-21,48.72,49.8,47.98,49.59,1438690
CHRW,2006-04-24,48.68,50.0,48.11,49.8,1480666
CHRW,2006-04-25,50.04,50.17,48.59,49.15,1401021
CHRW,2006-04-26,45.89,49.75,45.79,49.03,2984335
CHRW,2006-04-27,45.19,46.07,43.84,45.66,2582509
CHRW,2006-04-28,44.35,45.308,43.95,45.24,1908756
CHRW,2006-05-01,45.2,46.08,44.39,44.57,1280178
CHRW,2006-05-02,46.3,46.5,44.78,45.36,1185409
CHRW,2006-05-03,46.46,46.46,46.09,46.15,764895
CHRW,2006-05-04,48.24,49.18,46.37,46.52,1774424
CHRW,2006-05-05,48.98,48.98,48.66,48.9,1018690
CHRW,2006-05-08,49.99,49.99,48.92,48.92,1291473
CHRW,2006-05-09,49.75,49.75,49.61,49.75,1123448
CHRW,2006-05-10,49.49,49.94,49.21,49.52,723143
CHRW,2006-05-11,48.86,49.75,48.81,49.27,1142161
CHRW,2006-05-12,47.2,48.96,47.1,48.96,1957557
CHRW,2006-05-15,46.7,47.1,45.87,47.03,1209041
CHRW,2006-05-16,46.45,46.54,45.69,46.18,1324150
CHRW,2006-05-17,45.7,46.82,45.42,46.52,1099226
CHRW,2006-05-18,44.57,45.85,44.5,45.7,991114
CHRW,2006-05-19,44.07,45.11,43.47,44.61,1863621
CHRW,2006-05-22,44.96,45.5,42.43,43.52,1813397
CHRW,2006-05-23,44.83,46.29,44.75,45.5,1500251
CHRW,2006-05-24,45.0,45.3,43.37,44.11,1493010
CHRW,2006-05-25,45.2,45.59,44.73,45.05,557965
CHRW,2006-05-26,45.44,45.44,45.15,45.31,602430
CHRW,2006-05-29,45.44,45.44,45.15,45.31,0
CHRW,2006-05-30,44.03,45.1,44.02,44.88,597650
CHRW,2006-05-31,44.04,44.43,43.43,44.02,1172482
CHRW,2006-06-01,45.65,45.89,44.15,44.15,1197640
CHRW,2006-06-02,46.578,46.578,45.99,46.11,684468
CHRW,2006-06-05,44.33,46.29,44.19,46.14,795959
