Symbol,Date,Close,High,Low,Open,Volume
CINF,2006-01-02,44.68,44.97,44.39,44.61,0
CINF,2006-01-03,44.9,45.0,43.8,44.96,561612
CINF,2006-01-04,45.44,45.53,44.45,44.45,351537
CINF,2006-01-05,45.08,45.49,44.88,45.2,402500
CINF,2006-01-06,45.5,45.5,45.05,45.5,255354
CINF,2006-01-09,45.34,45.64,45.23,45.28,311131
CINF,2006-01-10,45.39,45.44,44.9,45.4,241907
CINF,2006-01-11,45.45,45.49,45.12,45.21,212362
CINF,2006-01-12,45.13,45.5,45.0,45.35,198792
CINF,2006-01-13,45.56,45.64,45.28,45.52,330524
CINF,2006-01-16,45.56,45.64,45.28,45.52,0
CINF,2006-01-17,45.4,45.94,45.03,45.9,372923
CINF,2006-01-18,45.33,46.0,45.18,45.49,270309
CINF,2006-01-19,45.3,45.64,45.28,45.45,261809
CINF,2006-01-20,44.51,45.4,44.44,45.21,418860
CINF,2006-01-23,44.56,45.09,44.33,44.33,275053
CINF,2006-01-24,44.55,44.76,44.28,44.75,248235
CINF,2006-01-25,44.44,44.69,44.15,44.5,257462
CINF,2006-01-26,45.05,45.39,44.79,44.955,446791
CINF,2006-01-27,44.95,45.37,44.72,45.01,282756
CINF,2006-01-30,45.49,45.49,44.9,44.9,276816
CINF,2006-01-31,45.54,45.75,44.96,45.5,421168
CINF,2006-02-01,45.26,45.68,44.89,45.27,458004
CINF,2006-02-02,44.34,45.34,44.28,45.29,367078
CINF,2006-02-03,44.25,44.25,43.92,44.23,386788
CINF,2006-02-06,44.23,44.47,43.75,43.845,476396
CINF,2006-02-07,44.76,44.88,44.19,44.27,469582
CINF,2006-02-08,45.3,45.7,44.78,45.12,586617
CINF,2006-02-09,43.46,45.08,43.4,44.6,661671
CINF,2006-02-10,43.92,43.92,43.35,43.49,323001
CINF,2006-02-13,43.48,43.86,43.3,43.73,455491
CINF,2006-02-14,43.91,44.17,43.41,43.72,457804
CINF,2006-02-15,44.18,44.18,44.08,44.16,368567
CINF,2006-02-16,44.27,44.27,43.72,43.95,275564
CINF,2006-02-17,44.26,44.45,43.99,44.28,359276
CINF,2006-02-20,44.26,44.45,43.99,44.28,0
CINF,2006-02-21,44.02,44.48,43.9,44.48,295085
CINF,2006-02-22,44.75,44.92,44.15,44.19,266037
CINF,2006-02-23,44.51,44.79,44.23,44.79,246946
CINF,2006-02-24,44.57,44.61,44.15,44.44,261038
CINF,2006-02-27,44.52,44.91,44.36,44.71,251703
CINF,2006-02-28,44.36,44.56,44.15,44.27,419166
CINF,2006-03-01,44.34,44.41,44.15,44.15,276574
CINF,2006-03-02,43.92,44.23,43.87,44.1,274641
CINF,2006-03-03,43.78,44.17,43.65,43.75,267896
