Symbol,Date,Close,High,Low,Open,Volume
CL,2006-01-02,27.425,27.615,27.415,27.47,0
CL,2006-01-03,27.455,27.5595,27.255,27.49,3674000
CL,2006-01-04,27.78,27.83,27.415,27.42,3715400
CL,2006-01-05,27.365,27.971,27.35,27.855,3775600
CL,2006-01-06,27.41,27.535,27.29,27.425,3788600
CL,2006-01-09,27.735,27.81,27.31,27.34,3394800
CL,2006-01-10,27.455,27.655,27.405,27.58,3869200
CL,2006-01-11,27.34,27.585,27.273,27.425,4297800
CL,2006-01-12,27.125,27.325,27.05,27.325,3996400
CL,2006-01-13,27.375,27.5,27.165,27.19,2623200
CL,2006-01-16,27.375,27.5,27.165,27.19,0
CL,2006-01-17,27.245,27.43,27.205,27.36,2693000
CL,2006-01-18,27.26,27.305,27.06,27.185,2911600
CL,2006-01-19,27.505,27.55,27.22,27.375,5205800
CL,2006-01-20,26.85,27.47,26.76,27.425,8190200
CL,2006-01-23,26.96,27.145,26.815,26.95,4156600
CL,2006-01-24,26.875,27.04,26.705,26.86,3444800
CL,2006-01-25,27.825,27.9,27.33,27.37,8505400
CL,2006-01-26,27.305,27.9,27.195,27.89,6299000
CL,2006-01-27,27.995,28.05,27.55,28.0,6088400
CL,2006-01-30,27.675,28.05,27.65,28.035,3835600
CL,2006-01-31,27.445,27.59,27.22,27.5,7169000
CL,2006-02-01,27.65,27.71,27.4,27.4,4030599
CL,2006-02-02,27.42,27.65,27.39,27.65,4545800
CL,2006-02-03,27.27,27.445,27.165,27.225,2863400
CL,2006-02-06,27.075,27.195,26.995,27.1,2733200
CL,2006-02-07,26.91,27.05,26.795,27.0,3191000
CL,2006-02-08,26.94,27.09,26.78,26.86,2634000
CL,2006-02-09,26.88,27.135,26.82,26.84,3068200
CL,2006-02-10,27.01,27.14,26.88,26.925,2950800
CL,2006-02-13,27.045,27.065,26.85,27.0,2314600
CL,2006-02-14,27.125,27.225,27.0,27.08,2702600
CL,2006-02-15,27.255,27.3,26.855,27.135,3169800
CL,2006-02-16,27.405,27.405,27.175,27.25,2299000
CL,2006-02-17,27.4,27.45,27.25,27.385,3055000
CL,2006-02-20,27.4,27.45,27.25,27.385,0
CL,2006-02-21,27.16,27.295,27.115,27.25,2693600
CL,2006-02-22,27.285,27.49,27.01,27.085,2838400
CL,2006-02-23,27.325,27.495,27.125,27.175,2954600
CL,2006-02-24,27.31,27.5,27.25,27.4,2834000
CL,2006-02-27,27.715,27.765,27.15,27.185,3423200
CL,2006-02-28,27.24,27.87,27.225,27.65,3559600
CL,2006-03-01,27.475,27.475,27.34,27.34,2252800
CL,2006-03-02,27.255,27.37,27.05,27.275,1931000
CL,2006-03-03,27.43,27.645,27.17,27.18,2734800
CL,2006-03-06,27.15,27.49,27.06,27.365,2327400
CL,2006-03-07,27.32,27.425,27.01,27.035,2882000
CL,2006-03-08,28.27,28.28,27.36,27.375,6955000
CL,2006-03-09,28.64,28.835,28.01,28.125,8612800
CL,2006-03-10,28.86,29.0,28.575,28.75,5000600
CL,2006-03-13,28.905,29.145,28.84,29.0,3917400
CL,2006-03-14,28.325,28.67,28.21,28.66,9041800
CL,2006-03-15,28.335,28.585,28.29,28.325,4097000
CL,2006-03-16,28.325,28.54,28.155,28.35,5663200
CL,2006-03-17,28.345,28.445,28.185,28.44,3992800
CL,2006-03-20,28.5,28.545,28.405,28.47,3081200
CL,2006-03-21,28.79,28.945,28.5,28.5,4153600
CL,2006-03-22,29.01,29.045,28.445,28.445,3317600
CL,2006-03-23,28.67,28.925,28.45,28.9,3380000
CL,2006-03-24,28.9,28.905,28.515,28.65,3614400
CL,2006-03-27,28.885,29.05,28.81,28.935,2526000
CL,2006-03-28,28.605,29.0,28.55,29.0,3562200
CL,2006-03-29,28.83,28.995,28.51,28.73,4657600
CL,2006-03-30,29.14,29.205,28.6,28.705,4897200
CL,2006-03-31,28.55,29.1,28.55,29.01,5227200
CL,2006-04-03,28.915,29.22,28.655,28.75,4164200
CL,2006-04-04,28.935,29.065,28.795,29.05,3564400
CL,2006-04-05,28.99,29.08,28.86,29.0,3385200
CL,2006-04-06,29.015,29.085,28.85,28.99,2635400
CL,2006-04-07,28.775,29.055,28.735,29.015,3138400
CL,2006-04-10,28.9,28.955,28.575,28.65,2187600
CL,2006-04-11,28.53,28.86,28.405,28.775,4133600
CL,2006-04-12,28.44,28.7,28.41,28.6,2542200
CL,2006-04-13,28.3,28.36,28.105,28.2,3192600
CL,2006-04-14,28.3,28.36,28.105,28.2,0
CL,2006-04-17,28.13,28.36,28.0,28.25,2929600
CL,2006-04-18,28.37,28.41,28.1,28.14,3035200
CL,2006-04-19,28.465,28.5,28.22,28.335,2424400
CL,2006-04-20,28.47,28.725,28.3034,28.305,3426400
CL,2006-04-21,28.43,28.67,28.275,28.65,2683000
CL,2006-04-24,28.67,28.965,28.515,28.545,3609200
CL,2006-04-25,28.675,28.95,28.625,28.8,4324000
CL,2006-04-26,29.475,29.635,29.0,29.025,7631800
CL,2006-04-27,29.72,29.87,29.445,29.87,6646400
CL,2006-04-28,29.56,29.64,29.3,29.525,6384000
CL,2006-05-01,29.375,29.7,29.29,29.625,4346800
CL,2006-05-02,29.69,29.845,29.445,29.475,4681600
CL,2006-05-03,29.675,29.73,29.14,29.47,3779200
CL,2006-05-04,29.895,30.0,29.55,29.55,4144400
CL,2006-05-05,30.165,30.31,29.7,29.895,4455400
CL,2006-05-08,30.405,30.5,30.075,30.075,4315400
CL,2006-05-09,30.035,30.465,29.73,30.31,3916400
CL,2006-05-10,29.745,29.98,29.7,29.95,4024400
CL,2006-05-11,29.535,29.765,29.235,29.735,4668800
CL,2006-05-12,29.62,29.79,29.51,29.565,5320800
CL,2006-05-15,29.825,29.835,29.405,29.55,4662400
CL,2006-05-16,30.3,30.45,29.97,30.11,8054600
CL,2006-05-17,30.49,31.055,30.275,30.3,15771200
CL,2006-05-18,30.05,30.4,29.915,30.15,9339000
CL,2006-05-19,29.735,30.0613,29.525,30.035,6841200
CL,2006-05-22,29.995,30.185,29.735,29.74,4370200
CL,2006-05-23,29.715,30.195,29.695,30.01,4188200
CL,2006-05-24,29.895,30.03,29.595,29.76,7363800
CL,2006-05-25,29.975,30.025,29.42,29.89,2892400
CL,2006-05-26,30.365,30.435,30.0,30.05,3314400
CL,2006-05-29,30.365,30.435,30.0,30.05,0
CL,2006-05-30,30.115,30.39,30.015,30.1,3366400
CL,2006-05-31,30.17,30.245,30.01,30.115,3560200
CL,2006-06-01,30.385,30.385,30.025,30.11,2850800
CL,2006-06-02,30.11,30.5,29.855,30.5,3421200
CL,2006-06-05,29.795,30.23,29.735,30.0,3371600
CL,2006-06-06,30.105,30.13,29.755,29.8,4178200
CL,2006-06-07,30.365,30.5,30.13,30.21,4936600
CL,2006-06-08,30.535,30.55,30.16,30.3,7051800
CL,2006-06-09,30.755,30.86,30.5,30.535,5932800
CL,2006-06-12,30.66,31.16,30.65,30.8,6588800
CL,2006-06-13,30.7,30.97,30.41,30.625,5365400
CL,2006-06-14,30.175,30.72,29.875,30.65,7640000
CL,2006-06-15,30.125,30.315,29.8,30.055,6654800
CL,2006-06-16,30.345,30.635,30.17,30.2,6957200
CL,2006-06-19,30.18,30.445,30.005,30.345,3862200
CL,2006-06-20,30.085,30.325,30.045,30.165,4567000
CL,2006-06-21,30.17,30.315,30.0604,30.235,4760000
CL,2006-06-22,30.15,30.2,29.925,30.2,3118200
CL,2006-06-23,30.035,30.24,29.97,30.0,2276000
CL,2006-06-26,30.105,30.22,29.965,30.03,4063399
CL,2006-06-27,30.065,30.105,29.85,30.05,5811600
CL,2006-06-28,29.67,29.99,29.2315,29.95,5548600
CL,2006-06-29,30.075,30.13,29.62,29.65,3772800
CL,2006-06-30,29.95,30.16,29.875,30.15,4732400
CL,2006-07-03,29.94,29.985,29.635,29.635,1909000
CL,2006-07-04,29.94,29.985,29.635,29.635,0
CL,2006-07-05,29.885,29.965,29.455,29.91,4785600
CL,2006-07-06,30.515,30.53,29.93,29.95,4257800
CL,2006-07-07,30.44,30.6,30.38,30.38,2665400
CL,2006-07-10,30.81,30.88,30.45,30.45,2025200
CL,2006-07-11,30.82,30.88,30.605,30.75,1880800
CL,2006-07-12,30.71,30.925,30.61,30.875,2430600
CL,2006-07-13,30.8,30.985,30.445,30.47,3322600
CL,2006-07-14,30.505,30.66,30.205,30.66,3122400
CL,2006-07-17,30.44,30.655,30.365,30.475,3792400
CL,2006-07-18,30.435,30.54,30.16,30.54,3214800
CL,2006-07-19,31.135,31.255,30.48,30.55,3447400
CL,2006-07-20,31.225,31.355,30.805,31.04,3040200
CL,2006-07-21,31.035,31.58,30.96,31.475,4247600
CL,2006-07-24,31.045,31.2,30.995,30.995,3492200
CL,2006-07-25,30.325,30.725,30.005,30.65,7141200
CL,2006-07-26,29.725,30.065,29.6,29.9,6116400
CL,2006-07-27,29.46,29.875,29.32,29.775,5306000
