Symbol,Date,Close,High,Low,Open,Volume
CMA,2006-01-02,56.76,57.05,56.28,57.05,0
CMA,2006-01-03,57.6,57.69,56.52,56.86,1645800
CMA,2006-01-04,58.1,58.31,57.318,57.57,1172700
CMA,2006-01-05,58.45,58.5,58.03,58.05,1109500
CMA,2006-01-06,57.63,58.08,56.79,58.0,1344700
CMA,2006-01-09,58.01,58.06,57.56,57.86,941900
CMA,2006-01-10,57.93,58.02,57.61,57.91,1526600
CMA,2006-01-11,57.76,58.14,57.53,58.0,584400
CMA,2006-01-12,57.65,57.85,57.46,57.75,775900
CMA,2006-01-13,57.8,58.0,57.51,57.79,550700
CMA,2006-01-16,57.8,58.0,57.51,57.79,0
CMA,2006-01-17,57.41,57.6,57.1,57.55,810100
CMA,2006-01-18,57.4301,57.95,56.71,57.41,703300
CMA,2006-01-19,56.35,56.97,56.21,56.25,1150900
CMA,2006-01-20,54.76,56.36,54.23,56.36,2534200
CMA,2006-01-23,54.52,54.99,54.31,54.9,1336000
CMA,2006-01-24,55.48,56.03,55.03,55.8,1623800
CMA,2006-01-25,55.41,55.69,55.2,55.56,786800
CMA,2006-01-26,56.27,56.41,55.65,56.02,872400
CMA,2006-01-27,56.3,56.88,55.6,56.18,1299300
CMA,2006-01-30,55.82,56.42,55.8,56.4,799700
CMA,2006-01-31,55.47,55.99,55.45,55.93,956700
CMA,2006-02-01,55.27,55.76,55.06,55.47,996600
CMA,2006-02-02,55.23,55.53,55.03,55.53,701000
CMA,2006-02-03,55.03,55.5,54.68,54.88,648900
CMA,2006-02-06,55.03,55.08,54.79,54.97,488900
CMA,2006-02-07,54.75,55.07,54.52,54.9,907100
CMA,2006-02-08,55.38,55.38,55.18,55.18,627300
CMA,2006-02-09,55.54,56.02,55.04,55.33,1116100
CMA,2006-02-10,55.46,55.65,55.11,55.46,843300
CMA,2006-02-13,55.4,55.7,55.2,55.26,694000
CMA,2006-02-14,56.52,56.87,55.28,55.3,1042500
CMA,2006-02-15,56.47,57.07,56.12,56.4,654100
CMA,2006-02-16,57.03,57.07,56.22,56.48,690900
CMA,2006-02-17,56.78,57.04,56.4,57.0,753200
CMA,2006-02-20,56.78,57.04,56.4,57.0,0
CMA,2006-02-21,56.48,56.92,56.38,56.84,626300
CMA,2006-02-22,57.77,57.89,56.69,56.69,845400
CMA,2006-02-23,57.45,57.81,57.19,57.77,664100
CMA,2006-02-24,57.22,57.6,56.9,57.455,656200
CMA,2006-02-27,57.66,57.87,57.15,57.15,616500
CMA,2006-02-28,57.32,57.69,56.97,57.35,814300
CMA,2006-03-01,57.21,57.48,57.02,57.46,1079800
CMA,2006-03-02,56.86,56.96,56.54,56.96,861800
CMA,2006-03-03,56.92,57.1,56.38,56.82,829600
CMA,2006-03-06,56.34,56.92,56.12,56.92,1208300
CMA,2006-03-07,56.37,56.37,55.42,56.1,974200
CMA,2006-03-08,56.58,56.64,56.13,56.25,758000
CMA,2006-03-09,56.01,56.7,55.7,56.58,1337800
CMA,2006-03-10,56.4,56.4,55.74,56.0,1077000
CMA,2006-03-13,56.15,56.33,55.81,55.81,712900
CMA,2006-03-14,56.7,56.82,55.93,56.22,797600
CMA,2006-03-15,57.27,57.36,56.65,56.7,691500
