Symbol,Date,Close,High,Low,Open,Volume
CMI,2006-01-02,22.4325,22.7275,22.38,22.725,0
CMI,2006-01-03,22.7175,22.7175,22.173,22.5875,3357600
CMI,2006-01-04,23.885,24.245,22.6525,22.7175,8763200
CMI,2006-01-05,23.55,23.9675,23.4,23.8875,4429600
CMI,2006-01-06,23.825,24.13,23.61,23.875,2214800
CMI,2006-01-09,24.0625,24.2325,23.875,23.8875,3610400
CMI,2006-01-10,23.9975,24.0625,23.7225,24.0225,4468000
CMI,2006-01-11,24.2375,24.325,23.9775,24.075,2764000
CMI,2006-01-12,24.38,24.4575,24.2375,24.2375,2892000
CMI,2006-01-13,24.1425,24.4675,23.97,24.38,1880000
CMI,2006-01-16,24.1425,24.4675,23.97,24.38,0
CMI,2006-01-17,23.7675,24.0875,23.6675,24.08,2182000
CMI,2006-01-18,23.7175,24.15,23.6025,23.6175,2024400
CMI,2006-01-19,23.9375,24.1525,23.845,24.0875,2119600
CMI,2006-01-20,23.4275,23.9375,23.3475,23.9375,2582800
CMI,2006-01-23,23.35,23.43,23.125,23.4275,2731600
CMI,2006-01-24,23.6175,23.6875,23.44,23.45,2434800
CMI,2006-01-25,23.505,23.8475,23.4,23.7975,1995600
CMI,2006-01-26,23.48,23.925,23.195,23.6875,3348000
CMI,2006-01-27,24.9775,25.05,23.525,23.59,5898000
CMI,2006-01-30,24.61,25.105,24.4025,24.7475,6630000
CMI,2006-01-31,24.325,24.6125,24.07,24.61,4506800
CMI,2006-02-01,24.98,25.05,24.41,24.5125,3794400
CMI,2006-02-02,24.4625,25.4675,24.41,25.225,4628400
CMI,2006-02-03,25.025,25.08,24.25,24.4625,4034799
CMI,2006-02-06,25.5025,25.5975,24.9775,25.0,3831200
CMI,2006-02-07,24.865,25.525,24.8325,25.2875,4145600
CMI,2006-02-08,24.925,25.1125,24.6378,24.8125,2818800
CMI,2006-02-09,24.9275,25.2225,24.8675,24.95,2127200
CMI,2006-02-10,24.97,25.2275,24.675,25.0,3116800
CMI,2006-02-13,24.875,25.2,24.725,24.97,4133200
CMI,2006-02-14,25.16,25.2575,24.6375,24.8725,2910800
CMI,2006-02-15,25.975,26.175,25.0925,25.2225,4197200
CMI,2006-02-16,26.1,26.36,25.79,25.975,2715200
CMI,2006-02-17,26.1175,26.3275,25.955,25.955,2700400
CMI,2006-02-20,26.1175,26.3275,25.955,25.955,0
CMI,2006-02-21,26.2675,26.6625,26.125,26.1875,2406000
CMI,2006-02-22,26.8825,26.9025,26.33,26.33,9176800
CMI,2006-02-23,26.69,26.9625,26.63,26.8825,1516000
CMI,2006-02-24,26.885,26.9425,26.5375,26.7375,1458800
CMI,2006-02-27,27.225,27.65,26.9775,26.9925,3390800
CMI,2006-02-28,27.07,27.23,26.88,27.2275,2674800
CMI,2006-03-01,27.33,27.4825,27.04,27.055,2416800
CMI,2006-03-02,27.025,27.1975,26.8825,27.155,2816400
CMI,2006-03-03,27.145,27.3425,26.66,26.675,2027200
CMI,2006-03-06,26.45,27.08,26.3625,27.05,4212400
CMI,2006-03-07,26.35,26.675,26.0125,26.45,2611600
CMI,2006-03-08,26.16,26.28,25.77,26.175,3812000
CMI,2006-03-09,25.855,26.1875,25.845,26.1275,2176400
