Symbol,Date,Close,High,Low,Open,Volume
CMS,2006-01-02,14.51,14.56,14.25,14.31,0
CMS,2006-01-03,14.55,14.6,14.31,14.57,3943800
CMS,2006-01-04,14.48,14.61,14.34,14.61,2553200
CMS,2006-01-05,14.41,14.53,14.39,14.42,3184600
CMS,2006-01-06,14.62,14.66,14.46,14.48,2352100
CMS,2006-01-09,14.53,14.65,14.45,14.59,1358100
CMS,2006-01-10,14.55,14.6,14.41,14.43,1165400
CMS,2006-01-11,14.51,14.61,14.39,14.59,1381800
CMS,2006-01-12,14.75,14.78,14.4,14.46,2461800
CMS,2006-01-13,14.8,14.84,14.74,14.75,1188300
CMS,2006-01-16,14.8,14.84,14.74,14.75,0
CMS,2006-01-17,15.07,15.11,14.76,14.8,2400700
CMS,2006-01-18,15.07,15.14,14.91,14.92,1658300
CMS,2006-01-19,14.97,15.05,14.877,14.91,1557500
CMS,2006-01-20,15.0,15.09,14.94,15.0,1419800
CMS,2006-01-23,15.0,15.05,14.96,14.97,1510500
CMS,2006-01-24,15.22,15.25,15.03,15.08,2100100
CMS,2006-01-25,14.93,15.26,14.88,15.21,2556200
CMS,2006-01-26,14.82,15.05,14.71,15.0,1470100
CMS,2006-01-27,14.8,14.87,14.64,14.78,1661300
CMS,2006-01-30,14.58,14.8,14.56,14.75,1779000
CMS,2006-01-31,14.47,14.63,14.42,14.52,2110200
CMS,2006-02-01,14.48,14.56,14.32,14.46,2083700
CMS,2006-02-02,14.28,14.5,14.05,14.47,3803100
CMS,2006-02-03,14.26,14.36,14.01,14.17,1380600
CMS,2006-02-06,14.17,14.24,14.1,14.19,1720800
CMS,2006-02-07,14.25,14.34,14.16,14.2,1636800
CMS,2006-02-08,14.17,14.28,14.08,14.25,2104900
CMS,2006-02-09,14.28,14.37,14.11,14.22,986100
CMS,2006-02-10,14.32,14.41,14.2,14.27,1207500
CMS,2006-02-13,14.15,14.37,14.13,14.27,913000
CMS,2006-02-14,14.17,14.18,13.88,14.12,1709700
CMS,2006-02-15,14.1,14.22,13.97,14.12,1487200
CMS,2006-02-16,14.34,14.4,14.12,14.12,2119100
CMS,2006-02-17,14.56,14.59,14.32,14.35,1670100
CMS,2006-02-20,14.56,14.59,14.32,14.35,0
CMS,2006-02-21,14.74,14.79,14.57,14.64,1976700
CMS,2006-02-22,14.64,14.71,14.4,14.7,1673400
CMS,2006-02-23,14.37,14.6,14.28,14.49,3169000
CMS,2006-02-24,14.23,14.44,14.17,14.35,2099200
CMS,2006-02-27,14.13,14.3,14.09,14.23,1500900
CMS,2006-02-28,14.08,14.14,13.96,14.06,3085800
CMS,2006-03-01,14.2,14.27,14.01,14.05,2197100
CMS,2006-03-02,14.15,14.23,14.06,14.1,1507300
CMS,2006-03-03,14.14,14.33,13.98,14.04,1651100
CMS,2006-03-06,13.7,14.14,13.63,14.12,2417900
CMS,2006-03-07,13.63,13.72,13.48,13.6,2151400
CMS,2006-03-08,13.38,13.64,13.21,13.63,3087800
CMS,2006-03-09,13.68,13.74,13.36,13.43,2177800
CMS,2006-03-10,13.69,13.81,13.66,13.68,1870000
CMS,2006-03-13,13.95,14.01,13.68,13.69,1272700
CMS,2006-03-14,13.95,13.95,13.8,13.89,1392600
CMS,2006-03-15,13.8,13.94,13.66,13.94,2442200
CMS,2006-03-16,13.89,13.89,13.8,13.88,1616200
CMS,2006-03-17,13.85,14.04,13.78,14.04,3122800
CMS,2006-03-20,13.62,13.89,13.58,13.83,1226500
CMS,2006-03-21,13.45,13.65,13.36,13.55,899800
CMS,2006-03-22,13.59,13.6,13.34,13.42,1051400
CMS,2006-03-23,13.4,13.53,13.32,13.52,1738900
CMS,2006-03-24,13.32,13.42,13.17,13.42,3448100
CMS,2006-03-27,13.05,13.31,12.94,13.3,3508800
CMS,2006-03-28,13.06,13.24,12.98,13.02,2064600
CMS,2006-03-29,13.12,13.22,13.03,13.07,1391700
CMS,2006-03-30,13.01,13.19,12.97,13.06,1359700
CMS,2006-03-31,12.95,13.03,12.87,12.97,1572400
CMS,2006-04-03,13.01,13.2,12.94,12.96,1984000
CMS,2006-04-04,13.17,13.21,12.92,13.0,1893800
CMS,2006-04-05,13.13,13.21,13.0,13.14,1592200
CMS,2006-04-06,12.98,13.17,12.95,13.14,1961100
CMS,2006-04-07,12.91,13.05,12.74,13.03,3114800
CMS,2006-04-10,12.87,13.0,12.82,12.91,1569000
CMS,2006-04-11,12.56,12.9,12.55,12.8,1796900
CMS,2006-04-12,13.04,13.09,12.83,12.94,4159500
CMS,2006-04-13,13.1,13.24,12.99,13.04,2645400
CMS,2006-04-14,13.1,13.24,12.99,13.04,0
CMS,2006-04-17,12.93,13.14,12.93,13.07,1827100
CMS,2006-04-18,13.23,13.29,12.91,12.93,2238500
CMS,2006-04-19,13.32,13.39,13.2,13.22,1661000
CMS,2006-04-20,13.56,13.65,13.32,13.36,2184000
CMS,2006-04-21,13.57,13.66,13.34,13.65,2051100
CMS,2006-04-24,13.66,13.95,13.56,13.9,2067800
CMS,2006-04-25,13.31,13.63,13.28,13.63,1609600
CMS,2006-04-26,13.28,13.41,13.24,13.37,967000
CMS,2006-04-27,13.34,13.47,12.9501,13.0,1928200
CMS,2006-04-28,13.32,13.42,13.16,13.26,1480800
CMS,2006-05-01,13.25,13.45,13.07,13.37,1702300
CMS,2006-05-02,13.29,13.35,13.1,13.25,1655500
CMS,2006-05-03,12.81,13.1,12.58,12.8,7101300
CMS,2006-05-04,12.9,13.08,12.79,12.83,3230400
CMS,2006-05-05,13.13,13.25,12.95,12.95,2787100
CMS,2006-05-08,12.82,13.0948,12.75,13.03,2005100
CMS,2006-05-09,12.64,12.82,12.61,12.82,1422600
CMS,2006-05-10,12.82,12.83,12.61,12.61,1964700
CMS,2006-05-11,12.68,12.8,12.5,12.78,1631500
CMS,2006-05-12,12.51,12.71,12.49,12.7,1756600
CMS,2006-05-15,12.46,12.61,12.35,12.44,2478200
CMS,2006-05-16,12.52,12.65,12.33,12.44,3387600
CMS,2006-05-17,12.47,12.62,12.45,12.5,3363900
CMS,2006-05-18,12.73,12.87,12.09,12.43,3284900
CMS,2006-05-19,12.92,12.94,12.7,12.81,2277500
CMS,2006-05-22,12.78,12.91,12.64,12.81,2922500
CMS,2006-05-23,12.71,12.78,12.6,12.78,2913400
CMS,2006-05-24,12.66,12.74,12.52,12.7,1723600
CMS,2006-05-25,12.69,12.74,12.62,12.7,1573100
CMS,2006-05-26,12.82,12.89,12.67,12.77,1096700
CMS,2006-05-29,12.82,12.89,12.67,12.77,0
CMS,2006-05-30,12.82,12.92,12.75,12.76,1241400
CMS,2006-05-31,12.84,13.07,12.73,12.87,2177600
CMS,2006-06-01,12.95,12.98,12.67,12.67,1284300
CMS,2006-06-02,13.02,13.04,12.74,12.92,1382600
CMS,2006-06-05,12.89,13.05,12.87,12.97,1789700
CMS,2006-06-06,12.97,13.01,12.74,12.89,1916100
CMS,2006-06-07,12.93,13.14,12.9,13.0,1759000
CMS,2006-06-08,12.87,12.95,12.79,12.89,1847600
CMS,2006-06-09,12.91,12.97,12.76,12.84,1850700
CMS,2006-06-12,12.92,13.06,12.87,12.95,1394300
CMS,2006-06-13,12.73,13.04,12.73,12.92,3108700
CMS,2006-06-14,12.66,12.74,12.5,12.7,2425700
CMS,2006-06-15,12.8,12.98,12.64,12.69,3021500
CMS,2006-06-16,12.85,12.92,12.79,12.84,1990900
CMS,2006-06-19,12.75,12.94,12.7,12.94,1121500
CMS,2006-06-20,12.7,12.89,12.67,12.81,1407500
CMS,2006-06-21,12.85,13.0,12.79,12.95,2010700
CMS,2006-06-22,12.84,12.85,12.7,12.8,1034300
CMS,2006-06-23,12.7,12.84,12.66,12.82,1340700
CMS,2006-06-26,12.78,12.8,12.66,12.69,837900
CMS,2006-06-27,12.71,12.88,12.66,12.79,1207700
CMS,2006-06-28,12.64,12.76,12.61,12.74,1171600
CMS,2006-06-29,12.8,12.82,12.59,12.7,1346200
CMS,2006-06-30,12.94,13.0,12.79,12.83,1760000
CMS,2006-07-03,13.18,13.21,12.92,13.0,643300
CMS,2006-07-04,13.18,13.21,12.92,13.0,0
CMS,2006-07-05,13.01,13.16,12.98,13.07,976500
CMS,2006-07-06,12.92,13.09,12.87,13.0,1033800
CMS,2006-07-07,13.01,13.09,12.92,12.92,1872500
CMS,2006-07-10,13.13,13.21,13.04,13.04,1491900
CMS,2006-07-11,13.27,13.35,13.1,13.11,1206500
CMS,2006-07-12,13.25,13.41,13.22,13.26,2237100
CMS,2006-07-13,13.27,13.4,13.18,13.19,1710100
CMS,2006-07-14,13.13,13.29,13.03,13.22,1594200
CMS,2006-07-17,13.11,13.17,13.04,13.07,1044999
CMS,2006-07-18,13.42,13.42,13.11,13.11,1890900
CMS,2006-07-19,13.48,13.49,13.31,13.42,1446600
CMS,2006-07-20,13.73,13.74,13.45,13.47,2053599
CMS,2006-07-21,13.73,13.81,13.64,13.78,1466700
CMS,2006-07-24,13.74,13.84,13.66,13.74,927800
CMS,2006-07-25,13.98,14.13,13.79,13.84,3715800
