Symbol,Date,Close,High,Low,Open,Volume
CNC,2006-01-02,13.145,13.205,12.995,13.2,0
CNC,2006-01-03,13.225,13.41,13.08,13.18,965000
CNC,2006-01-04,13.195,13.4,13.13,13.23,763200
CNC,2006-01-05,13.225,13.37,13.07,13.17,571400
CNC,2006-01-06,13.22,13.29,12.97,13.23,807400
CNC,2006-01-09,12.705,13.13,12.65,13.1,1473000
CNC,2006-01-10,12.38,12.5,12.235,12.5,2782200
CNC,2006-01-11,11.995,12.375,11.955,12.375,2274000
CNC,2006-01-12,12.1,12.195,11.775,11.925,1510800
CNC,2006-01-13,11.73,12.1,11.59,12.1,2282200
CNC,2006-01-16,11.73,12.1,11.59,12.1,0
CNC,2006-01-17,11.425,11.7,11.36,11.615,3192000
CNC,2006-01-18,11.675,12.05,11.35,11.35,1341400
CNC,2006-01-19,12.005,12.195,11.73,12.0,1714200
CNC,2006-01-20,11.96,12.13,11.755,11.9,1295200
CNC,2006-01-23,12.095,12.135,11.975,12.005,1261600
CNC,2006-01-24,12.535,12.585,12.15,12.15,1698000
CNC,2006-01-25,12.595,12.625,12.46,12.57,2038400
CNC,2006-01-26,12.72,12.84,12.46,12.7,1266000
CNC,2006-01-27,12.985,13.01,12.635,12.745,1438800
CNC,2006-01-30,12.89,13.035,12.755,13.02,1154800
CNC,2006-01-31,13.145,13.16,12.715,12.89,957200
CNC,2006-02-01,13.72,13.95,13.16,13.225,1652600
CNC,2006-02-02,13.055,13.625,12.97,13.625,1156400
CNC,2006-02-03,13.115,13.16,12.775,12.965,1184600
CNC,2006-02-06,12.77,13.135,12.7,13.115,1300200
CNC,2006-02-07,13.195,14.05,12.475,14.05,2301000
CNC,2006-02-08,13.4,13.525,13.125,13.44,1564800
CNC,2006-02-09,13.27,13.545,13.205,13.46,609400
CNC,2006-02-10,13.07,13.175,12.865,13.175,897600
CNC,2006-02-13,12.87,13.105,12.8,13.105,792200
CNC,2006-02-14,13.085,13.125,12.89,12.905,980600
CNC,2006-02-15,13.26,13.3,12.905,12.955,580800
CNC,2006-02-16,13.0,13.005,12.48,13.0,3280400
CNC,2006-02-17,13.245,13.35,12.595,12.595,679000
CNC,2006-02-20,13.245,13.35,12.595,12.595,0
CNC,2006-02-21,13.555,13.78,13.45,13.75,1066800
CNC,2006-02-22,13.79,13.79,13.5,13.62,701000
CNC,2006-02-23,13.82,13.995,13.53,13.785,823000
CNC,2006-02-24,13.94,13.99,13.595,13.85,1236600
CNC,2006-02-27,13.9,14.095,13.805,14.0,689200
CNC,2006-02-28,13.675,13.915,13.554,13.875,1171400
CNC,2006-03-01,14.065,14.12,13.555,13.7,983200
CNC,2006-03-02,14.31,14.44,14.03,14.065,1914800
CNC,2006-03-03,14.27,14.715,14.205,14.315,1105800
CNC,2006-03-06,13.915,14.255,13.9,14.25,585400
CNC,2006-03-07,13.905,14.095,13.75,13.78,873200
CNC,2006-03-08,14.14,14.2,13.82,13.875,855000
CNC,2006-03-09,14.135,14.265,13.915,14.125,1139400
CNC,2006-03-10,14.405,14.6,14.075,14.075,1127400
CNC,2006-03-13,14.275,14.615,14.15,14.495,1637200
CNC,2006-03-14,14.5,14.63,14.23,14.25,1071200
CNC,2006-03-15,14.655,14.725,14.43,14.5,653600
CNC,2006-03-16,14.625,14.89,14.575,14.665,1108800
CNC,2006-03-17,14.23,15.13,13.8,14.695,3855600
CNC,2006-03-20,14.33,14.545,14.115,14.375,2038600
CNC,2006-03-21,14.06,14.475,13.925,14.33,1004799
CNC,2006-03-22,14.315,14.385,13.985,14.075,701600
CNC,2006-03-23,14.305,14.445,14.135,14.385,368400
CNC,2006-03-24,14.56,14.695,14.165,14.165,853400
CNC,2006-03-27,14.55,14.585,14.33,14.525,625800
CNC,2006-03-28,14.37,14.645,14.2,14.46,669600
CNC,2006-03-29,14.385,14.62,14.11,14.62,493400
CNC,2006-03-30,14.33,14.63,14.145,14.36,379000
CNC,2006-03-31,14.585,14.595,14.185,14.38,769000
CNC,2006-04-03,14.4,14.51,14.205,14.5,1061000
CNC,2006-04-04,14.535,14.615,14.24,14.435,678200
CNC,2006-04-05,14.505,14.665,14.4,14.61,723000
CNC,2006-04-06,14.35,14.52,14.25,14.505,1133400
CNC,2006-04-07,14.23,14.5,14.145,14.325,1059200
CNC,2006-04-10,14.275,14.39,14.075,14.23,866600
CNC,2006-04-11,14.13,14.325,13.995,14.275,652800
CNC,2006-04-12,14.44,14.65,14.13,14.13,1493800
CNC,2006-04-13,14.425,14.5,14.29,14.44,341000
CNC,2006-04-14,14.425,14.5,14.29,14.44,0
CNC,2006-04-17,14.24,14.44,14.005,14.425,641200
CNC,2006-04-18,14.5,14.59,14.09,14.33,1413600
CNC,2006-04-19,14.525,14.795,14.365,14.475,650600
CNC,2006-04-20,14.425,14.525,14.22,14.525,551200
CNC,2006-04-21,14.13,14.6,13.875,14.6,918800
CNC,2006-04-24,14.07,14.185,13.835,14.135,1226000
CNC,2006-04-25,13.37,13.815,12.625,13.5,4521600
CNC,2006-04-26,12.65,13.33,12.535,13.295,2977200
CNC,2006-04-27,12.305,12.745,12.05,12.525,3147200
CNC,2006-04-28,12.845,13.02,12.48,12.48,1523000
CNC,2006-05-01,12.5,12.855,12.475,12.85,1979600
CNC,2006-05-02,12.605,12.645,12.265,12.525,1988000
CNC,2006-05-03,12.515,12.525,12.285,12.525,1568600
CNC,2006-05-04,12.705,12.74,12.4601,12.54,912800
CNC,2006-05-05,12.76,12.86,12.575,12.75,890200
CNC,2006-05-08,12.66,12.815,12.6,12.68,971600
CNC,2006-05-09,12.555,12.775,12.475,12.66,1145600
CNC,2006-05-10,12.365,12.59,12.14,12.5,1572800
CNC,2006-05-11,12.105,12.355,11.98,12.32,2068800
CNC,2006-05-12,12.305,12.355,12.025,12.13,799600
CNC,2006-05-15,12.37,12.445,12.225,12.36,1090200
CNC,2006-05-16,12.805,12.935,12.3,12.395,1280800
CNC,2006-05-17,12.87,13.04,12.515,12.805,1394800
CNC,2006-05-18,13.06,13.28,12.87,12.875,1778400
CNC,2006-05-19,13.37,13.45,12.83,13.04,1697000
CNC,2006-05-22,13.425,13.545,13.075,13.31,1717600
CNC,2006-05-23,13.255,13.555,13.03,13.485,1248200
CNC,2006-05-24,13.13,13.315,12.7,13.315,1219600
CNC,2006-05-25,13.105,13.305,13.005,13.24,769000
CNC,2006-05-26,12.995,13.22,12.97,13.22,742200
CNC,2006-05-29,12.995,13.22,12.97,13.22,0
CNC,2006-05-30,13.0,13.1761,12.79,13.0,1092400
CNC,2006-05-31,13.025,13.095,12.895,13.015,975200
CNC,2006-06-01,13.195,13.235,12.93,13.095,804000
CNC,2006-06-02,13.335,13.415,13.065,13.25,1151800
CNC,2006-06-05,13.03,13.375,12.98,13.375,692800
CNC,2006-06-06,13.01,13.375,12.85,13.215,1234200
CNC,2006-06-07,13.16,13.37,12.945,13.03,617400
CNC,2006-06-08,13.515,13.61,13.09,13.16,1384400
CNC,2006-06-09,14.055,14.135,13.63,13.63,1635800
CNC,2006-06-12,13.9,14.1,13.74,13.975,1549800
CNC,2006-06-13,13.815,14.115,13.745,13.905,1119600
CNC,2006-06-14,14.11,14.11,13.825,13.825,880800
CNC,2006-06-15,14.11,14.245,13.625,14.115,1197600
CNC,2006-06-16,14.075,14.24,13.92,14.115,1546400
CNC,2006-06-19,13.81,14.15,13.7,14.125,1223600
CNC,2006-06-20,13.215,13.99,13.21,13.875,1522200
CNC,2006-06-21,12.255,12.51,12.075,12.24,5064000
CNC,2006-06-22,12.115,12.25,12.05,12.2,2924000
CNC,2006-06-23,12.4,12.725,12.265,12.5,1555800
CNC,2006-06-26,12.3,12.5,12.175,12.275,1031400
CNC,2006-06-27,11.885,12.4,11.845,12.24,1294400
CNC,2006-06-28,11.65,12.03,11.44,11.925,1572800
CNC,2006-06-29,11.97,12.0,11.58,11.77,1030600
CNC,2006-06-30,11.765,12.04,11.615,11.96,1566000
CNC,2006-07-03,11.88,11.935,11.58,11.7,363800
CNC,2006-07-04,11.88,11.935,11.58,11.7,0
CNC,2006-07-05,11.755,11.815,11.63,11.805,704800
CNC,2006-07-06,11.675,11.88,11.58,11.725,881400
CNC,2006-07-07,11.585,11.765,11.545,11.625,830600
CNC,2006-07-10,11.765,11.865,11.51,11.625,1384800
CNC,2006-07-11,11.35,11.705,11.15,11.705,2198400
CNC,2006-07-12,10.995,11.41,10.965,11.345,1921600
CNC,2006-07-13,10.47,11.0,10.23,10.995,4343200
CNC,2006-07-14,10.255,10.425,10.05,10.41,2667400
CNC,2006-07-17,10.52,10.69,10.32,10.32,1703600
CNC,2006-07-18,6.8,7.6,6.625,7.475,40176800
CNC,2006-07-19,7.415,7.495,6.65,6.8,7180400
CNC,2006-07-20,7.36,7.525,7.28,7.45,2697400
CNC,2006-07-21,7.275,7.365,7.15,7.36,3125000
CNC,2006-07-24,7.425,7.645,7.25,7.335,3733800
CNC,2006-07-25,7.98,8.4,7.345,7.7,6637000
CNC,2006-07-26,7.845,8.125,7.76,7.95,5331200
CNC,2006-07-27,7.715,8.04,7.67,7.895,2058800
CNC,2006-07-28,7.83,8.02,7.695,7.865,2275800
CNC,2006-07-31,8.125,8.18,7.805,7.855,1922400
CNC,2006-08-01,7.94,8.12,7.47,8.12,3587800
