Symbol,Date,Close,High,Low,Open,Volume
CNP,2006-01-02,12.85,12.91,12.75,12.78,0
CNP,2006-01-03,13.0,13.07,12.75,12.88,1325700
CNP,2006-01-04,13.0,13.09,12.78,13.02,1190500
CNP,2006-01-05,13.01,13.04,12.8,12.97,1631700
CNP,2006-01-06,13.1,13.25,12.98,13.03,1494600
CNP,2006-01-09,13.0,13.14,12.99,13.05,816400
CNP,2006-01-10,12.96,13.02,12.87,12.91,844500
CNP,2006-01-11,12.83,13.05,12.82,13.0,996900
CNP,2006-01-12,13.0,13.15,12.8,12.82,1287200
CNP,2006-01-13,13.0,13.1,12.91,13.0,586600
CNP,2006-01-16,13.0,13.1,12.91,13.0,0
CNP,2006-01-17,13.21,13.26,12.87,13.01,1752600
CNP,2006-01-18,13.19,13.29,13.07,13.21,1110900
CNP,2006-01-19,13.28,13.34,13.1,13.18,1749800
CNP,2006-01-20,13.2,13.38,13.16,13.23,1234900
CNP,2006-01-23,12.85,13.13,12.69,12.85,3424900
CNP,2006-01-24,12.96,12.99,12.79,12.81,1628500
CNP,2006-01-25,12.79,12.99,12.7,12.97,1455200
CNP,2006-01-26,12.78,12.88,12.58,12.87,1560300
CNP,2006-01-27,12.97,13.04,12.77,12.77,2781500
CNP,2006-01-30,12.76,13.01,12.72,13.0,2080900
CNP,2006-01-31,12.78,12.85,12.71,12.71,1193900
CNP,2006-02-01,12.83,12.9,12.71,12.71,919900
CNP,2006-02-02,12.75,12.86,12.58,12.77,1824400
CNP,2006-02-03,12.6,12.77,12.48,12.7,1489300
CNP,2006-02-06,12.66,12.7,12.57,12.6,956800
CNP,2006-02-07,12.71,12.82,12.61,12.66,1819900
CNP,2006-02-08,12.67,12.79,12.62,12.69,1355400
CNP,2006-02-09,12.58,12.65,12.55,12.63,1864200
CNP,2006-02-10,12.65,12.7,12.5,12.58,2104800
CNP,2006-02-13,12.78,12.82,12.6,12.67,1310800
CNP,2006-02-14,12.66,12.71,12.53,12.61,1226900
CNP,2006-02-15,12.85,12.87,12.613,12.69,2277700
CNP,2006-02-16,12.94,12.95,12.74,12.82,1398800
CNP,2006-02-17,13.06,13.1,12.88,12.91,1224500
CNP,2006-02-20,13.06,13.1,12.88,12.91,0
CNP,2006-02-21,13.03,13.16,12.96,13.06,1885500
CNP,2006-02-22,13.12,13.13,12.97,13.06,1265100
CNP,2006-02-23,13.19,13.28,13.01,13.09,1948000
