Symbol,Date,Close,High,Low,Open,Volume
COF,2006-01-02,86.4,86.69,85.91,86.69,0
COF,2006-01-03,86.98,86.98,84.35,86.4,1934000
COF,2006-01-04,86.42,87.18,85.59,86.98,1729800
COF,2006-01-05,86.44,86.95,86.0,86.55,1332500
COF,2006-01-06,86.44,86.85,85.69,86.8,880700
COF,2006-01-09,88.12,88.63,86.54,86.55,1585000
COF,2006-01-10,87.72,87.87,87.01,87.05,1356800
COF,2006-01-11,88.0,89.14,87.54,88.19,1717300
COF,2006-01-12,86.7,88.35,86.63,87.95,1341900
COF,2006-01-13,86.64,87.107,86.54,87.1,1517700
COF,2006-01-16,86.64,87.107,86.54,87.1,0
COF,2006-01-17,86.0,86.47,85.52,86.05,1251500
COF,2006-01-18,86.0,86.3,85.7,85.7,1243100
COF,2006-01-19,85.52,86.76,85.15,86.38,1576600
COF,2006-01-20,85.17,87.27,85.01,86.0,3760800
COF,2006-01-23,84.5,86.3,84.4,85.8,1973000
COF,2006-01-24,84.38,85.44,84.2,84.55,1792400
COF,2006-01-25,83.5,84.68,83.29,84.63,1704900
COF,2006-01-26,84.8,85.0,84.24,84.95,1915600
COF,2006-01-27,84.74,85.03,84.22,84.81,1405000
COF,2006-01-30,84.28,85.15,84.28,84.95,1013300
COF,2006-01-31,83.3,84.34,83.0,84.29,2107900
COF,2006-02-01,83.27,83.59,82.69,83.39,1941500
COF,2006-02-02,82.7,83.27,82.41,83.26,1313800
COF,2006-02-03,83.27,83.58,82.42,82.6,1345600
COF,2006-02-06,83.3,83.57,83.01,83.25,1293300
COF,2006-02-07,81.75,83.13,81.57,82.68,1517900
COF,2006-02-08,83.46,83.52,81.22,81.7,1439800
COF,2006-02-09,84.13,84.69,83.83,83.89,1795200
COF,2006-02-10,85.17,85.25,83.7,84.28,1528300
COF,2006-02-13,85.99,86.1,84.3,84.3,1796900
COF,2006-02-14,86.83,87.12,85.42,86.01,1947500
COF,2006-02-15,88.56,88.83,87.7,87.81,3199800
COF,2006-02-16,87.9,88.77,87.27,88.29,1485200
COF,2006-02-17,87.26,88.1,87.16,88.0,1195200
COF,2006-02-20,87.26,88.1,87.16,88.0,0
COF,2006-02-21,87.21,87.96,87.15,87.26,784800
COF,2006-02-22,89.68,89.85,87.21,87.21,2251600
COF,2006-02-23,89.8,89.8,88.79,89.8,1117900
COF,2006-02-24,88.85,88.94,87.41,87.8,1888200
COF,2006-02-27,88.78,89.66,88.68,89.63,1510700
COF,2006-02-28,87.6,88.88,87.15,88.82,1414000
COF,2006-03-01,88.29,88.43,87.58,87.9,1569600
COF,2006-03-02,89.16,89.3,88.3,88.3,1579700
COF,2006-03-03,88.35,89.5,88.11,89.0,980600
COF,2006-03-06,87.48,88.69,87.18,88.35,871400
COF,2006-03-07,86.8,87.47,86.46,87.35,959100
COF,2006-03-08,86.03,87.0,85.31,86.95,1195800
COF,2006-03-09,85.9,87.63,85.72,86.97,1782900
COF,2006-03-10,89.92,90.04,87.4,87.62,2831900
COF,2006-03-13,83.1,85.3,82.71,84.9,16608600
COF,2006-03-14,82.35,82.7,81.74,82.52,8625800
COF,2006-03-15,83.04,83.53,81.85,82.35,5540000
COF,2006-03-16,84.0,84.08,83.0,83.15,5839800
COF,2006-03-17,81.9,84.1,81.67,84.0,5706300
COF,2006-03-20,81.0,81.96,80.16,81.65,6062100
COF,2006-03-21,80.93,81.44,80.7,81.1,2354600
COF,2006-03-22,82.06,82.19,81.1,81.2,3963500
COF,2006-03-23,81.92,82.26,81.66,82.0,2677400
COF,2006-03-24,82.1,82.6,81.57,81.92,2230100
COF,2006-03-27,82.48,82.76,81.77,82.15,2068299
COF,2006-03-28,81.3,82.76,81.3,82.48,2512600
COF,2006-03-29,81.76,82.3,81.285,81.5,2216800
COF,2006-03-30,80.9,81.79,80.36,81.76,2255100
COF,2006-03-31,80.52,80.96,80.09,80.09,2841500
COF,2006-04-03,81.1,81.58,80.41,80.8,2267300
COF,2006-04-04,82.18,82.45,80.92,81.27,2089000
COF,2006-04-05,82.39,83.0,82.14,82.78,1629500
COF,2006-04-06,82.58,83.77,82.23,83.75,2118800
COF,2006-04-07,83.09,83.44,82.29,83.35,2180500
COF,2006-04-10,83.51,83.84,83.25,83.35,1869900
COF,2006-04-11,82.85,83.66,82.67,83.52,1535900
COF,2006-04-12,83.25,83.38,82.7,83.15,1528100
COF,2006-04-13,83.9,84.3,83.43,83.51,2949000
COF,2006-04-14,83.9,84.3,83.43,83.51,0
COF,2006-04-17,83.41,83.5,82.4,82.5,3582400
COF,2006-04-18,84.01,84.24,83.49,83.5,2476100
COF,2006-04-19,83.83,84.1,83.3,84.0,2140200
COF,2006-04-20,83.57,83.95,83.33,83.95,1679800
COF,2006-04-21,86.09,86.33,84.67,85.5,6021400
COF,2006-04-24,85.56,86.06,84.69,86.06,2571100
COF,2006-04-25,84.83,85.67,84.62,85.05,2092699
COF,2006-04-26,85.2,85.64,84.75,85.08,2638000
COF,2006-04-27,85.66,86.15,84.43,85.1,3149800
COF,2006-04-28,86.64,87.02,85.41,85.66,2904100
COF,2006-05-01,85.5,87.16,85.41,87.13,2066399
COF,2006-05-02,85.37,85.79,84.53,85.35,3099100
COF,2006-05-03,85.57,85.75,84.98,85.51,1321100
COF,2006-05-04,85.15,86.38,84.97,86.38,1486600
COF,2006-05-05,85.82,86.35,85.49,85.6,1468500
COF,2006-05-08,86.28,86.31,85.69,85.8,1211600
COF,2006-05-09,86.89,87.12,86.35,86.36,1909000
COF,2006-05-10,87.23,87.33,86.67,86.88,1911600
COF,2006-05-11,86.78,87.5,86.35,87.44,2463100
COF,2006-05-12,86.0,87.1,85.9,86.95,1909300
COF,2006-05-15,86.52,86.52,85.83,86.0,1524300
COF,2006-05-16,85.82,86.52,85.59,86.52,998300
COF,2006-05-17,84.14,85.51,83.91,85.5,2617500
COF,2006-05-18,83.87,85.04,83.47,83.47,1713000
COF,2006-05-19,83.73,84.55,83.19,84.05,1721900
COF,2006-05-22,81.92,83.35,81.69,82.9,2878700
COF,2006-05-23,82.43,83.29,82.18,82.41,1498700
COF,2006-05-24,81.91,82.46,81.05,82.3,1705600
COF,2006-05-25,83.27,83.32,81.69,82.4,2155200
COF,2006-05-26,83.55,83.86,83.06,83.2,1177200
COF,2006-05-29,83.55,83.86,83.06,83.2,0
COF,2006-05-30,82.52,83.34,82.25,83.3,1319800
COF,2006-05-31,82.77,83.03,82.2,82.7,1462200
COF,2006-06-01,83.53,83.61,82.26,82.36,1685500
COF,2006-06-02,83.71,84.35,83.12,83.98,1354100
COF,2006-06-05,82.0,83.36,81.73,83.3,1347300
COF,2006-06-06,82.68,82.68,81.87,82.15,1945700
COF,2006-06-07,83.18,83.74,82.77,82.82,2040700
COF,2006-06-08,83.38,83.5,82.04,82.85,1604900
COF,2006-06-09,83.21,84.1,82.75,83.08,1196000
COF,2006-06-12,83.09,83.98,83.02,83.88,1309800
COF,2006-06-13,82.5,84.18,82.0,83.25,2198300
COF,2006-06-14,82.56,83.06,81.8,82.3,2385100
COF,2006-06-15,83.73,83.93,82.25,82.87,2111400
COF,2006-06-16,83.82,84.0,83.18,83.6,1627800
COF,2006-06-19,84.14,84.93,83.95,84.25,2087200
COF,2006-06-20,84.0,84.76,83.75,83.77,1340600
COF,2006-06-21,85.13,85.54,84.16,84.16,1945000
COF,2006-06-22,84.96,85.66,84.81,85.36,1764700
COF,2006-06-23,85.39,85.94,84.43,85.1,1785000
COF,2006-06-26,85.9,86.06,85.65,85.95,1245700
COF,2006-06-27,84.4,86.2,84.31,85.9,1346800
COF,2006-06-28,84.89,85.0,84.05,84.5,1116500
COF,2006-06-29,86.84,87.0,85.12,85.35,2341000
COF,2006-06-30,85.45,87.11,85.45,86.83,1785200
COF,2006-07-03,86.12,86.52,85.36,85.68,1016899
COF,2006-07-04,86.12,86.52,85.36,85.68,0
COF,2006-07-05,84.28,86.12,84.06,86.12,1910900
COF,2006-07-06,84.24,84.66,83.75,84.48,1632100
COF,2006-07-07,84.72,85.09,83.77,84.24,1946000
COF,2006-07-10,84.98,85.13,84.45,84.73,1612200
COF,2006-07-11,85.05,85.5,84.42,85.5,2038900
COF,2006-07-12,84.76,85.81,84.63,85.35,1335700
COF,2006-07-13,83.63,84.76,83.52,84.76,2269000
COF,2006-07-14,83.18,83.67,82.48,83.64,1222800
COF,2006-07-17,83.07,83.37,82.6464,83.1,941100
COF,2006-07-18,82.9,84.04,82.72,83.25,2585600
COF,2006-07-19,85.87,86.12,83.25,83.25,3865700
COF,2006-07-20,86.17,87.19,85.6,85.95,3860300
COF,2006-07-21,77.7,81.06,76.7,80.95,14016300
COF,2006-07-24,77.72,78.01,76.25,77.7,4426600
COF,2006-07-25,78.33,78.52,77.3,77.3,2536200
COF,2006-07-26,78.69,79.12,77.69,78.5,2137500
COF,2006-07-27,75.66,79.24,75.31,78.8,3128400
COF,2006-07-28,77.69,78.15,74.86,74.86,2625800
COF,2006-07-31,77.35,77.98,77.23,77.69,1648200
COF,2006-08-01,78.7,79.0,77.11,78.92,2155600
COF,2006-08-02,79.48,79.65,78.84,79.15,2052600
COF,2006-08-03,80.75,80.76,78.95,79.48,3042300
COF,2006-08-04,79.15,82.25,78.93,81.5,2908700
COF,2006-08-07,78.44,78.93,77.55,78.55,1983400
COF,2006-08-08,77.29,78.55,76.82,78.33,2406500
COF,2006-08-09,74.66,77.87,74.61,77.43,2950800
COF,2006-08-10,73.4,74.66,73.33,74.66,3754100
COF,2006-08-11,71.82,73.9,71.77,73.6,4976600
COF,2006-08-14,72.88,73.31,72.0,72.21,3808900
COF,2006-08-15,73.9,74.2,73.38,73.5,2244800
COF,2006-08-16,74.43,74.98,73.66,74.7,2174800
COF,2006-08-17,75.01,75.19,74.32,74.43,2033900
COF,2006-08-18,74.29,75.2,73.95,75.2,1565900
COF,2006-08-21,73.07,74.29,73.07,74.04,1488300
COF,2006-08-22,72.1,73.17,71.99,73.0,2408900
COF,2006-08-23,71.94,72.99,71.67,72.2,1933900
COF,2006-08-24,71.0,72.26,70.85,71.85,1783700
COF,2006-08-25,69.88,70.9,69.3,70.85,3295500
COF,2006-08-28,70.98,71.13,69.5,70.15,3134000
COF,2006-08-29,72.01,72.2,70.61,70.73,3154800
COF,2006-08-30,73.38,73.99,72.02,72.2,3514200
COF,2006-08-31,73.1,73.65,72.72,73.37,1967900
COF,2006-09-01,73.46,74.03,73.08,74.0,1831200
COF,2006-09-04,73.46,74.03,73.08,74.0,0
COF,2006-09-05,74.4,74.43,73.31,73.75,1724700
COF,2006-09-06,72.82,74.37,72.64,74.34,1955200
COF,2006-09-07,72.35,73.28,72.07,72.8,1774400
COF,2006-09-08,72.46,72.54,71.9,72.15,1995700
COF,2006-09-11,71.87,72.74,71.61,72.1,1780600
COF,2006-09-12,75.95,75.95,72.36,72.4,3704300
COF,2006-09-13,75.72,76.18,75.25,75.93,1845500
COF,2006-09-14,74.47,75.93,74.02,75.88,2515400
COF,2006-09-15,76.09,76.25,74.65,74.65,3421800
COF,2006-09-18,75.81,76.9,75.6,76.6,1931500
COF,2006-09-19,75.09,75.41,74.56,75.4,2192800
COF,2006-09-20,76.92,77.17,75.15,75.15,2282000
COF,2006-09-21,76.54,77.83,76.15,77.25,2391100
COF,2006-09-22,76.95,77.43,76.5,77.0,1714500
COF,2006-09-25,77.59,77.79,76.55,77.05,2240000
COF,2006-09-26,77.67,78.07,77.25,77.65,2191100
COF,2006-09-27,78.37,78.72,77.44,77.9,1811900
COF,2006-09-28,80.1,80.1,78.31,78.31,3476500
COF,2006-09-29,78.66,80.68,78.55,80.68,2014100
COF,2006-10-02,77.31,79.05,77.13,79.0,2160300
COF,2006-10-03,78.29,78.869,77.53,77.6,1590400
COF,2006-10-04,79.29,79.3,77.81,78.29,1102800
COF,2006-10-05,79.06,79.6,78.13,79.29,1568600
COF,2006-10-06,78.61,78.77,77.56,78.55,1440500
COF,2006-10-09,79.34,79.47,78.43,78.62,1128700
COF,2006-10-10,80.3,80.6,79.65,79.7,2850300
COF,2006-10-11,79.46,79.83,77.8,79.3,3165000
COF,2006-10-12,81.23,81.25,79.8,79.99,2551100
COF,2006-10-13,81.62,81.915,81.441,81.74,1644600
COF,2006-10-16,81.56,81.62,80.91,81.59,1392700
COF,2006-10-17,81.4,81.4,80.66,81.05,1705000
COF,2006-10-18,80.11,81.6,79.03,81.6,3465600
COF,2006-10-19,81.9,82.83,79.51,81.0,4250400
COF,2006-10-20,81.24,82.3,80.69,82.15,2531100
COF,2006-10-23,80.92,82.11,80.72,81.1,1500700
COF,2006-10-24,80.65,81.48,80.53,81.48,1473600
COF,2006-10-25,82.42,82.52,80.3,80.32,2395200
COF,2006-10-26,82.72,83.0,81.6,82.5,1801700
COF,2006-10-27,81.66,82.52,81.53,82.15,2341000
COF,2006-10-30,81.21,81.74,80.5,81.72,1941600
COF,2006-10-31,79.33,81.25,78.85,81.25,4789900
COF,2006-11-01,76.86,79.96,76.4,79.95,5043500
COF,2006-11-02,76.66,77.19,75.8,76.86,2247200
COF,2006-11-03,76.56,78.03,76.35,77.5,2157300
COF,2006-11-06,78.68,78.77,76.89,77.05,2418000
COF,2006-11-07,77.57,78.89,77.46,78.5,1949700
COF,2006-11-08,77.5,77.56,76.72,77.25,1224700
COF,2006-11-09,76.42,77.83,76.22,77.75,2835700
COF,2006-11-10,77.52,77.64,76.65,76.67,1738700
COF,2006-11-13,77.5,78.27,77.3,77.5,1177000
COF,2006-11-14,77.05,77.77,76.33,77.5,2280700
COF,2006-11-15,77.09,77.25,76.51,77.0,2183500
COF,2006-11-16,75.6,77.52,75.22,77.19,4027300
COF,2006-11-17,75.5,76.06,74.0,75.2,3186100
