Symbol,Date,Close,High,Low,Open,Volume
COO,2006-01-02,51.3,51.6,51.11,51.25,0
COO,2006-01-03,51.3,51.65,50.45,51.4,549100
COO,2006-01-04,52.82,52.84,50.9,51.1,908100
COO,2006-01-05,53.39,53.85,52.76,52.82,1191700
COO,2006-01-06,53.3,53.66,53.2,53.49,744600
COO,2006-01-09,54.04,54.86,53.4,53.8,1685700
COO,2006-01-10,53.52,54.02,53.16,53.9,667100
COO,2006-01-11,53.9,54.0,53.5,53.5,577900
COO,2006-01-12,53.42,53.85,53.0,53.85,558800
COO,2006-01-13,52.83,53.81,52.77,53.75,806200
COO,2006-01-16,52.83,53.81,52.77,53.75,0
COO,2006-01-17,52.88,53.23,51.9,52.1,839300
COO,2006-01-18,52.715,53.93,52.62,52.75,542800
COO,2006-01-19,53.45,54.25,53.27,53.78,370400
COO,2006-01-20,51.84,53.44,51.7,53.2,614800
COO,2006-01-23,52.07,53.5,51.98,53.25,739500
COO,2006-01-24,53.09,53.36,51.0,51.35,1102700
COO,2006-01-25,53.96,54.02,52.94,53.09,700400
COO,2006-01-26,54.86,55.24,54.11,54.45,657500
COO,2006-01-27,55.7,55.95,54.76,55.2,565500
COO,2006-01-30,54.92,55.55,54.73,55.55,716400
COO,2006-01-31,55.43,56.04,54.91,54.91,790500
COO,2006-02-01,54.7,55.54,54.66,55.43,627400
COO,2006-02-02,53.96,54.4,53.63,54.15,424900
COO,2006-02-03,52.88,53.81,52.76,53.8,420200
COO,2006-02-06,52.69,52.98,52.51,52.8,348700
COO,2006-02-07,52.32,53.04,52.2,52.8,195800
COO,2006-02-08,52.29,52.35,51.82,52.2,306300
COO,2006-02-09,53.41,53.7,52.36,53.0,442600
COO,2006-02-10,53.35,53.75,52.95,53.45,279200
COO,2006-02-13,53.05,53.75,52.52,53.3,235500
COO,2006-02-14,52.98,53.27,52.66,52.9,309100
COO,2006-02-15,54.02,54.15,52.85,52.85,314400
COO,2006-02-16,53.55,54.41,53.28,53.95,268900
COO,2006-02-17,54.99,55.35,53.53,53.6,337500
COO,2006-02-20,54.99,55.35,53.53,53.6,0
COO,2006-02-21,55.01,55.35,54.44,55.3,357300
COO,2006-02-22,54.84,55.1,54.6,54.8,396300
COO,2006-02-23,54.2,54.95,53.87,54.55,536100
COO,2006-02-24,55.08,55.37,54.01,54.17,734800
COO,2006-02-27,53.9,55.0,53.44,55.0,882100
COO,2006-02-28,52.47,53.798,51.79,53.75,866500
COO,2006-03-01,52.9,53.56,52.68,52.85,662600
COO,2006-03-02,51.94,52.95,51.17,52.95,971700
COO,2006-03-03,52.1,52.2,51.62,51.7,430000
COO,2006-03-06,52.47,53.01,51.729,51.85,782900
COO,2006-03-07,52.77,53.1,52.22,52.47,728900
COO,2006-03-08,50.42,51.07,49.5,49.89,4914900
COO,2006-03-09,50.29,51.2,50.0,50.42,1426700
COO,2006-03-10,51.15,51.16,50.35,50.35,449900
COO,2006-03-13,52.3,52.6464,51.5,51.5,950800
COO,2006-03-14,53.21,53.36,52.27,52.35,794200
COO,2006-03-15,53.65,53.65,53.1,53.21,376000
COO,2006-03-16,53.59,54.3,53.22,53.64,383300
COO,2006-03-17,53.99,54.12,53.72,53.85,409000
COO,2006-03-20,54.42,54.43,53.94,54.35,640300
COO,2006-03-21,55.19,56.0,54.65,54.65,1006300
COO,2006-03-22,56.43,56.8,55.2,55.3,650000
COO,2006-03-23,56.3,56.51,55.15,56.38,330200
COO,2006-03-24,55.54,56.45,55.22,56.3,401600
COO,2006-03-27,54.94,55.5,54.6,54.95,438200
COO,2006-03-28,54.08,54.9,53.81,54.82,406200
COO,2006-03-29,54.28,55.11,54.06,54.2,300800
COO,2006-03-30,54.6,54.94,54.17,54.35,221900
COO,2006-03-31,54.03,54.61,53.27,54.6,701900
COO,2006-04-03,53.19,54.14,53.12,54.1,428500
COO,2006-04-04,53.0,53.63,52.8,53.1,318400
COO,2006-04-05,52.77,53.5,52.48,52.98,493300
COO,2006-04-06,53.08,53.2,52.79,52.79,315800
COO,2006-04-07,53.18,53.92,53.1,53.2,297500
COO,2006-04-10,52.4,53.1,52.17,53.1,208200
COO,2006-04-11,53.1,53.55,52.5,53.0,988800
COO,2006-04-12,54.41,54.7,52.68,52.95,753100
COO,2006-04-13,54.26,54.47,53.6,54.25,435500
COO,2006-04-14,54.26,54.47,53.6,54.25,0
COO,2006-04-17,54.1,54.36,53.74,54.16,538500
COO,2006-04-18,54.14,54.64,53.31,54.05,289200
COO,2006-04-19,53.26,54.27,53.04,54.05,374200
COO,2006-04-20,53.72,53.9,53.01,53.16,290700
COO,2006-04-21,52.9,53.82,52.53,53.72,276200
COO,2006-04-24,54.09,54.58,53.26,53.8,414500
COO,2006-04-25,52.97,53.99,52.1,53.99,538200
COO,2006-04-26,53.05,54.0,52.85,53.07,364700
COO,2006-04-27,53.75,53.82,52.77,53.0,309700
COO,2006-04-28,54.82,55.08,53.75,53.75,492600
COO,2006-05-01,54.4,55.02,54.12,54.87,420700
COO,2006-05-02,53.82,54.37,53.3,54.37,240800
COO,2006-05-03,53.14,54.2,53.09,53.66,566000
COO,2006-05-04,52.8,53.45,52.26,53.1,503399
COO,2006-05-05,53.65,53.92,52.81,52.81,253699
COO,2006-05-08,54.43,54.6,53.33,53.55,263600
COO,2006-05-09,54.61,54.9,54.24,54.43,211000
COO,2006-05-10,53.11,54.45,53.0,54.45,260900
COO,2006-05-11,54.1,54.55,53.05,53.1,481400
