Symbol,Date,Close,High,Low,Open,Volume
COST,2006-01-02,49.47,50.4,49.39,49.8,0
COST,2006-01-03,49.92,50.05,48.74,49.75,2537570
COST,2006-01-04,50.08,50.23,49.57,49.81,2284916
COST,2006-01-05,49.78,50.48,49.41,50.48,3539004
COST,2006-01-06,49.85,50.06,49.56,50.05,2611954
COST,2006-01-09,50.05,50.3,49.61,49.93,3206916
COST,2006-01-10,50.0,50.13,49.7,49.7,1458500
COST,2006-01-11,50.69,50.79,49.92,50.0,2062234
COST,2006-01-12,50.73,50.96,50.32,50.37,2193643
COST,2006-01-13,51.0,51.08,50.76,50.95,1900579
COST,2006-01-16,51.0,51.08,50.76,50.95,0
COST,2006-01-17,50.6,50.93,50.44,50.81,2506658
COST,2006-01-18,50.74,50.9,50.12,50.2,2539907
COST,2006-01-19,50.59,50.83,50.12,50.68,2172420
COST,2006-01-20,49.69,50.83,49.67,50.56,4874227
COST,2006-01-23,49.13,49.9,48.95,49.59,3512319
COST,2006-01-24,49.55,49.9,49.09,49.19,2433352
COST,2006-01-25,49.94,50.23,49.28,49.48,2046930
COST,2006-01-26,50.09,50.4,49.84,50.4,2164621
COST,2006-01-27,50.05,50.87,49.93,50.03,1733938
COST,2006-01-30,49.68,50.23,49.42,49.92,1669385
COST,2006-01-31,49.89,50.08,49.29,49.74,1832665
COST,2006-02-01,49.5,50.03,49.04,49.92,2410419
COST,2006-02-02,50.21,50.42,49.24,49.77,2266904
COST,2006-02-03,49.45,50.34,49.26,49.71,2373949
COST,2006-02-06,49.27,49.45,48.96,49.16,1399644
COST,2006-02-07,48.72,49.64,48.53,49.35,2577819
COST,2006-02-08,49.07,49.17,48.48,48.68,1416498
COST,2006-02-09,48.97,49.5,48.72,48.76,1877899
COST,2006-02-10,49.74,49.94,48.88,49.11,2008481
COST,2006-02-13,50.11,50.11,49.68,49.68,1557745
COST,2006-02-14,51.18,51.33,50.0,50.16,2960840
COST,2006-02-15,51.57,51.581,50.843,51.1,2548954
COST,2006-02-16,52.15,52.15,51.63,51.63,2294827
COST,2006-02-17,50.98,51.89,50.86,51.69,1693617
COST,2006-02-20,50.98,51.89,50.86,51.69,0
COST,2006-02-21,50.7,51.34,50.5,51.011,1755409
COST,2006-02-22,51.91,51.91,50.92,50.92,1801253
COST,2006-02-23,51.11,51.68,50.97,51.539,1640447
COST,2006-02-24,50.69,51.23,50.4,51.23,1339965
COST,2006-02-27,51.61,51.96,50.51,50.98,2212516
COST,2006-02-28,51.19,51.9,50.91,51.4,2410921
COST,2006-03-01,52.19,52.39,51.29,51.7,3634170
COST,2006-03-02,52.8,53.3,50.781,51.25,6823568
COST,2006-03-03,53.52,54.07,52.26,52.26,3834188
COST,2006-03-06,53.76,53.81,52.81,53.23,6389191
COST,2006-03-07,53.93,53.93,53.44,53.44,3352339
COST,2006-03-08,53.77,53.89,53.48,53.6,2248139
COST,2006-03-09,53.9,53.9,53.07,53.83,2053510
COST,2006-03-10,53.97,54.01,53.04,53.1,2599875
