Symbol,Date,Close,High,Low,Open,Volume
CPB,2006-01-02,29.77,30.1,29.73,29.98,0
CPB,2006-01-03,30.0,30.04,29.68,29.9,850800
CPB,2006-01-04,29.88,30.05,29.86,29.95,536700
CPB,2006-01-05,30.12,30.12,29.85,29.91,1621700
CPB,2006-01-06,30.3,30.37,30.19,30.2,1260100
CPB,2006-01-09,30.42,30.45,30.24,30.25,930300
CPB,2006-01-10,30.45,30.5,30.32,30.37,778800
CPB,2006-01-11,30.07,30.5,29.97,30.5,939000
CPB,2006-01-12,30.3,30.36,29.92,29.92,796800
CPB,2006-01-13,30.43,31.2,30.3,31.2,880800
CPB,2006-01-16,30.43,31.2,30.3,31.2,0
CPB,2006-01-17,30.36,30.4,30.13,30.23,624500
CPB,2006-01-18,30.3,30.42,30.17,30.28,504100
CPB,2006-01-19,30.4,30.42,30.27,30.35,645100
CPB,2006-01-20,30.4,30.49,30.3,30.4,1791300
CPB,2006-01-23,30.28,30.44,30.09,30.4,905500
CPB,2006-01-24,30.2,30.38,30.13,30.25,861100
CPB,2006-01-25,30.05,30.24,29.87,30.19,642000
CPB,2006-01-26,30.02,30.24,29.89,30.08,937800
CPB,2006-01-27,30.0,30.07,29.9,29.97,1854900
CPB,2006-01-30,30.04,30.06,29.7,29.97,866800
CPB,2006-01-31,29.93,30.08,29.83,30.0,1150700
CPB,2006-02-01,30.04,30.08,29.8,29.86,1496200
CPB,2006-02-02,29.84,30.1,29.77,29.92,798600
CPB,2006-02-03,29.71,29.86,29.58,29.69,817700
CPB,2006-02-06,29.6,29.75,29.56,29.6,601200
CPB,2006-02-07,29.25,29.66,29.23,29.53,1297400
CPB,2006-02-08,29.15,29.3,29.07,29.3,1153000
CPB,2006-02-09,29.23,29.23,29.1,29.17,1546800
CPB,2006-02-10,29.26,29.35,28.98,28.98,789000
CPB,2006-02-13,29.45,29.56,29.17,29.28,875300
CPB,2006-02-14,29.94,29.97,29.47,29.48,997400
CPB,2006-02-15,29.89,30.01,29.51,29.91,1022100
CPB,2006-02-16,30.46,30.49,29.85,29.96,1318400
CPB,2006-02-17,30.65,31.02,30.31,30.5,2251400
CPB,2006-02-20,30.65,31.02,30.31,30.5,0
CPB,2006-02-21,30.41,30.76,30.29,30.64,1237500
CPB,2006-02-22,30.96,30.99,30.4,30.41,1434900
CPB,2006-02-23,31.0,31.15,30.91,31.15,1296000
CPB,2006-02-24,31.15,31.16,30.9,31.06,1017500
CPB,2006-02-27,31.04,31.26,30.88,31.0,915900
CPB,2006-02-28,31.13,31.16,30.74,31.0,1353600
CPB,2006-03-01,31.14,31.14,31.04,31.14,768300
CPB,2006-03-02,31.03,31.07,30.77,30.95,1176200
CPB,2006-03-03,30.99,31.08,30.85,30.97,956700
CPB,2006-03-06,30.99,31.05,30.75,30.94,784300
CPB,2006-03-07,31.21,31.25,30.83,30.99,775900
CPB,2006-03-08,31.45,31.6,31.14,31.21,1183100
CPB,2006-03-09,31.8,31.82,31.44,31.45,837400
CPB,2006-03-10,32.0,32.01,31.75,31.8,835700
CPB,2006-03-13,31.69,32.0,31.67,32.0,1261800
CPB,2006-03-14,32.16,32.2,31.51,31.67,1039600
CPB,2006-03-15,31.95,32.27,31.77,32.2,879900
CPB,2006-03-16,32.09,32.12,31.88,31.9,1318000
CPB,2006-03-17,32.3,32.35,32.08,32.2,794800
CPB,2006-03-20,32.06,32.29,32.01,32.25,627000
CPB,2006-03-21,31.9,32.11,31.9,32.11,564500
CPB,2006-03-22,32.29,32.3,31.85,31.96,570400
CPB,2006-03-23,32.21,32.29,31.99,32.29,1308700
CPB,2006-03-24,32.58,32.65,31.92,32.21,3817100
CPB,2006-03-27,32.17,32.56,32.01,32.49,618900
CPB,2006-03-28,32.01,32.24,31.96,32.09,466800
CPB,2006-03-29,32.55,32.67,31.88,32.0,962300
CPB,2006-03-30,32.33,32.58,32.25,32.48,592400
CPB,2006-03-31,32.4,32.5,32.23,32.4,702300
CPB,2006-04-03,32.65,32.74,32.53,32.63,620100
CPB,2006-04-04,32.43,32.64,32.38,32.63,568000
CPB,2006-04-05,32.34,32.6,32.29,32.5,1027700
CPB,2006-04-06,32.28,32.3,31.99,32.16,840200
CPB,2006-04-07,31.73,32.3,31.68,32.15,762000
CPB,2006-04-10,31.79,31.85,31.55,31.71,572700
CPB,2006-04-11,31.85,32.02,31.59,31.79,873200
CPB,2006-04-12,32.2,32.32,31.88,31.93,1043600
CPB,2006-04-13,32.02,32.39,31.99,32.25,570900
CPB,2006-04-14,32.02,32.39,31.99,32.25,0
CPB,2006-04-17,32.07,32.2,31.91,31.95,419200
CPB,2006-04-18,32.08,32.17,31.81,32.11,608000
CPB,2006-04-19,32.36,32.41,31.97,31.98,664100
CPB,2006-04-20,32.23,32.5,32.19,32.36,698900
CPB,2006-04-21,32.3,32.4,32.12,32.35,729500
CPB,2006-04-24,32.05,32.29,32.05,32.2,1129500
CPB,2006-04-25,32.08,32.23,31.9,32.03,939600
CPB,2006-04-26,32.15,32.19,31.15,31.15,970300
CPB,2006-04-27,32.19,32.28,31.94,32.0,1057700
CPB,2006-04-28,32.14,32.32,32.08,32.23,606800
CPB,2006-05-01,32.53,32.66,32.14,32.2,855900
CPB,2006-05-02,32.65,32.86,32.4,32.63,1162900
CPB,2006-05-03,32.46,32.7,32.36,32.7,685700
CPB,2006-05-04,32.52,32.57,32.36,32.44,610600
CPB,2006-05-05,32.83,32.9,32.47,32.57,843200
CPB,2006-05-08,32.91,32.97,32.76,32.76,968100
CPB,2006-05-09,32.87,32.95,32.75,32.91,706100
CPB,2006-05-10,32.89,32.92,32.6,32.6,1006500
CPB,2006-05-11,32.76,32.91,32.61,32.82,693900
CPB,2006-05-12,32.6,32.92,32.5,32.75,1269500
CPB,2006-05-15,32.69,32.77,32.57,32.6,1275400
CPB,2006-05-16,32.89,33.0,32.63,32.75,1555900
CPB,2006-05-17,32.75,33.0,32.66,32.79,1063000
CPB,2006-05-18,32.74,32.98,32.67,32.74,999600
CPB,2006-05-19,32.65,32.85,32.53,32.79,1250200
CPB,2006-05-22,33.75,33.82,32.12,33.06,4312700
CPB,2006-05-23,33.79,34.03,33.5,33.55,3310100
CPB,2006-05-24,34.55,34.91,33.53,33.6,2879500
CPB,2006-05-25,34.91,35.0,34.46,34.52,2431800
CPB,2006-05-26,35.1,35.15,34.7,34.95,1442700
CPB,2006-05-29,35.1,35.15,34.7,34.95,0
CPB,2006-05-30,34.68,35.15,34.65,35.08,1451400
CPB,2006-05-31,35.19,35.21,34.71,34.75,1739700
CPB,2006-06-01,35.63,35.75,35.16,35.25,1889400
CPB,2006-06-02,35.95,36.03,35.35,35.65,1612900
CPB,2006-06-05,36.04,36.39,35.87,35.98,2160900
CPB,2006-06-06,36.12,36.36,35.82,36.1,1625800
CPB,2006-06-07,35.7,36.46,35.67,36.12,2398200
CPB,2006-06-08,35.09,35.67,34.57,35.6,3854700
CPB,2006-06-09,35.21,35.37,34.93,35.04,1849300
CPB,2006-06-12,34.92,35.49,34.92,35.25,1247400
CPB,2006-06-13,34.91,35.23,34.86,34.98,1611300
CPB,2006-06-14,35.06,35.1,34.7,34.85,1622200
CPB,2006-06-15,35.48,35.51,35.13,35.15,1581200
CPB,2006-06-16,35.23,35.75,35.23,35.35,1685800
CPB,2006-06-19,35.5,35.89,35.37,35.52,2173900
CPB,2006-06-20,35.86,36.06,35.42,35.42,1804000
CPB,2006-06-21,36.14,36.29,35.8,35.9,1489300
CPB,2006-06-22,36.01,36.22,35.95,36.11,1387000
CPB,2006-06-23,36.12,36.27,35.8,35.92,1033300
CPB,2006-06-26,36.5,36.5,35.96,36.22,1842900
CPB,2006-06-27,37.01,37.39,36.39,37.39,3082700
CPB,2006-06-28,36.79,37.24,36.75,37.1,2692600
CPB,2006-06-29,36.83,37.06,36.65,36.95,2767700
CPB,2006-06-30,37.11,37.25,36.75,36.85,1856200
CPB,2006-07-03,37.72,37.75,37.13,37.18,714200
CPB,2006-07-04,37.72,37.75,37.13,37.18,0
CPB,2006-07-05,37.7,38.02,37.47,38.0,2497800
CPB,2006-07-06,37.51,38.0,37.48,37.65,1520300
CPB,2006-07-07,36.98,37.45,36.9,37.38,2138000
CPB,2006-07-10,37.53,37.69,37.07,37.15,1571700
CPB,2006-07-11,37.91,38.0,37.54,37.6,2050100
CPB,2006-07-12,37.33,37.77,37.31,37.66,1908400
CPB,2006-07-13,36.85,37.23,36.83,37.2,2201800
CPB,2006-07-14,36.34,36.8,36.18,36.65,1559300
CPB,2006-07-17,36.6,36.87,36.34,36.34,1587700
CPB,2006-07-18,36.69,36.8,36.22,36.7,1674100
CPB,2006-07-19,36.45,36.84,36.33,36.68,1800900
CPB,2006-07-20,36.28,36.63,36.2,36.45,1119000
CPB,2006-07-21,35.95,36.26,35.93,36.23,1463200
CPB,2006-07-24,36.41,36.46,35.8,35.95,1558900
CPB,2006-07-25,36.95,37.11,36.13,36.35,2477800
CPB,2006-07-26,36.31,36.97,36.31,36.65,1991700
CPB,2006-07-27,36.4,36.74,36.3,36.45,1847000
CPB,2006-07-28,36.77,36.9,36.54,36.55,1187900
CPB,2006-07-31,36.68,36.89,36.56,36.77,1380300
CPB,2006-08-01,36.84,36.95,36.35,36.54,1105400
CPB,2006-08-02,36.76,37.01,36.72,36.85,1151800
CPB,2006-08-03,36.93,37.0,36.58,36.76,959500
CPB,2006-08-04,36.71,37.1,36.48,37.0,1089300
CPB,2006-08-07,36.34,36.69,36.34,36.65,1514300
CPB,2006-08-08,37.3,37.46,36.35,36.35,3037100
CPB,2006-08-09,37.47,37.79,37.46,37.5,1820100
CPB,2006-08-10,37.66,37.72,37.43,37.52,967200
CPB,2006-08-11,37.98,38.0,37.55,37.68,987200
CPB,2006-08-14,37.96,38.39,37.9,37.98,1018600
CPB,2006-08-15,38.11,38.49,38.02,38.1,1223000
CPB,2006-08-16,38.01,38.36,37.9,38.35,1317700
CPB,2006-08-17,37.77,38.03,37.71,37.8,1114800
CPB,2006-08-18,37.95,38.04,37.71,37.8,855800
CPB,2006-08-21,37.99,38.09,37.77,37.99,968300
CPB,2006-08-22,37.87,38.31,37.86,38.09,1203000
CPB,2006-08-23,36.79,37.46,36.62,37.25,2683900
CPB,2006-08-24,37.3,37.5,36.88,36.99,1311100
CPB,2006-08-25,37.31,37.4,36.93,37.3,1041099
CPB,2006-08-28,37.48,37.59,36.65,36.65,1469500
CPB,2006-08-29,37.54,37.59,37.25,37.34,1220200
CPB,2006-08-30,37.36,37.59,37.32,37.5,891100
CPB,2006-08-31,37.57,37.62,37.37,37.41,1016600
CPB,2006-09-01,37.82,37.86,37.43,37.5,715100
CPB,2006-09-04,37.82,37.86,37.43,37.5,0
CPB,2006-09-05,37.86,37.96,36.94,37.04,1294100
CPB,2006-09-06,38.09,38.09,37.6,37.89,1352500
CPB,2006-09-07,37.54,38.16,37.36,37.9,2031499
CPB,2006-09-08,37.18,37.45,37.1,37.2,2299200
CPB,2006-09-11,37.45,37.55,36.04,36.15,4967800
CPB,2006-09-12,37.17,37.32,37.01,37.25,3941000
CPB,2006-09-13,37.18,37.4,36.94,37.19,1711800
CPB,2006-09-14,37.39,37.74,37.24,37.24,1921000
CPB,2006-09-15,37.3,37.65,37.01,37.45,6215000
CPB,2006-09-18,37.18,37.45,37.11,37.45,2011100
CPB,2006-09-19,36.76,37.05,36.63,36.98,2622000
CPB,2006-09-20,36.41,37.01,36.39,36.76,2515200
CPB,2006-09-21,36.06,36.62,35.72,36.41,3522200
CPB,2006-09-22,36.19,36.45,35.62,35.9,3035400
CPB,2006-09-25,36.52,36.6,36.0,36.43,1373200
CPB,2006-09-26,36.24,36.45,36.08,36.45,2238600
CPB,2006-09-27,36.27,36.4,36.07,36.15,1117500
CPB,2006-09-28,35.95,36.27,35.87,36.27,2592900
CPB,2006-09-29,36.5,36.67,36.19,36.2,2072099
CPB,2006-10-02,36.22,36.54,36.04,36.52,1417000
CPB,2006-10-03,36.0,36.59,35.96,36.4,1524200
CPB,2006-10-04,36.35,36.38,35.55,35.68,1715600
CPB,2006-10-05,36.4,36.57,36.28,36.35,1227300
CPB,2006-10-06,36.39,36.57,36.2,36.34,990100
CPB,2006-10-09,36.58,36.65,36.25,36.43,1089300
CPB,2006-10-10,36.45,36.64,35.86,36.6,1613700
CPB,2006-10-11,36.42,36.55,36.2,36.4,1331400
CPB,2006-10-12,36.38,36.57,36.36,36.5,971600
CPB,2006-10-13,35.92,36.2,35.8321,36.17,1081300
CPB,2006-10-16,36.23,36.26,35.57,35.72,988300
CPB,2006-10-17,36.34,36.53,36.13,36.33,994700
CPB,2006-10-18,36.28,37.14,36.2,37.12,2867600
CPB,2006-10-19,36.29,36.37,35.98,36.2,1290000
CPB,2006-10-20,36.72,36.78,36.21,36.42,1592800
CPB,2006-10-23,36.91,36.94,36.46,36.62,1503200
CPB,2006-10-24,36.62,36.75,36.28,36.75,1211200
CPB,2006-10-25,36.45,36.66,36.39,36.62,972100
CPB,2006-10-26,36.66,36.72,36.4,36.44,622500
CPB,2006-10-27,36.49,36.77,36.29,36.5,842700
CPB,2006-10-30,36.77,36.9,36.37,36.49,1051900
CPB,2006-10-31,37.38,37.53,37.16,37.2,1790800
CPB,2006-11-01,37.27,37.5,37.15,37.3,1164700
CPB,2006-11-02,37.43,37.44,37.09,37.25,1165600
CPB,2006-11-03,37.06,37.43,36.8,37.43,1145900
CPB,2006-11-06,37.11,37.36,36.93,37.16,934400
CPB,2006-11-07,37.07,37.36,37.0,37.21,1002400
CPB,2006-11-08,37.27,37.49,37.03,37.11,1017600
CPB,2006-11-09,37.25,37.36,37.13,37.3,772700
CPB,2006-11-10,37.39,37.52,37.21,37.3,737300
CPB,2006-11-13,37.47,37.58,37.31,37.44,762600
CPB,2006-11-14,37.5,37.6,37.15,37.39,1179400
CPB,2006-11-15,37.44,37.77,37.34,37.35,1438400
CPB,2006-11-16,37.72,37.77,37.5,37.58,793000
CPB,2006-11-17,37.55,37.75,37.41,37.7,1350400
CPB,2006-11-20,37.4,38.0,37.38,37.99,2549700
CPB,2006-11-21,37.68,37.83,37.35,37.39,2006500
CPB,2006-11-22,37.5,37.67,37.31,37.58,1212700
CPB,2006-11-23,37.5,37.67,37.31,37.58,0
CPB,2006-11-24,37.5,37.68,37.39,37.4,590900
CPB,2006-11-27,37.4,37.5,37.2,37.4,1175200
CPB,2006-11-28,37.34,37.6,37.28,37.41,2363200
CPB,2006-11-29,37.65,37.75,37.4,37.5,1221100
CPB,2006-11-30,38.07,38.25,37.62,37.64,2231400
CPB,2006-12-01,38.0,38.24,37.81,38.05,2096299
CPB,2006-12-04,38.57,38.72,38.05,38.05,2295600
CPB,2006-12-05,39.04,39.05,38.56,38.7,2171100
CPB,2006-12-06,38.88,39.03,38.67,39.0,2056099
CPB,2006-12-07,38.52,38.93,38.42,38.82,1337600
CPB,2006-12-08,38.87,39.02,38.45,38.53,1313500
CPB,2006-12-11,38.92,39.04,38.75,38.87,893200
CPB,2006-12-12,39.26,39.33,38.86,38.86,1790500
CPB,2006-12-13,39.32,39.43,39.11,39.39,1659300
CPB,2006-12-14,39.46,39.6,39.31,39.4,2406700
CPB,2006-12-15,39.7,39.72,39.08,39.45,2405400
CPB,2006-12-18,39.59,39.71,39.2,39.69,1370700
CPB,2006-12-19,39.69,39.69,39.18,39.4,2021599
CPB,2006-12-20,39.76,39.85,39.52,39.65,1661600
CPB,2006-12-21,39.55,39.98,39.34,39.86,1568100
CPB,2006-12-22,39.48,39.61,39.2,39.55,1317100
CPB,2006-12-25,39.48,39.61,39.2,39.55,0
CPB,2006-12-26,39.43,39.59,39.28,39.43,997300
CPB,2006-12-27,39.4,39.68,39.26,39.62,1098300
CPB,2006-12-28,39.19,39.35,39.07,39.11,1185900
CPB,2006-12-29,38.89,39.25,38.83,39.25,1005700
CPB,2007-01-01,38.89,39.25,38.83,39.25,0
CPB,2007-01-02,38.89,39.25,38.83,39.25,0
CPB,2007-01-03,38.8,38.925,38.62,38.9,1828300
CPB,2007-01-04,38.64,38.8,38.35,38.52,1759400
