Symbol,Date,Close,High,Low,Open,Volume
CSCO,2006-01-02,17.12,17.19,17.07,17.12,0
CSCO,2006-01-03,17.45,17.49,17.179,17.21,55255380
CSCO,2006-01-04,17.85,17.93,17.46,17.48,79918206
CSCO,2006-01-05,18.35,18.48,17.93,17.94,118273113
CSCO,2006-01-06,18.77,18.88,18.47,18.51,108026293
CSCO,2006-01-09,19.06,19.11,18.92,18.97,78403017
CSCO,2006-01-10,18.97,19.15,18.78,18.87,73643904
CSCO,2006-01-11,19.4,19.43,18.939,18.98,73486695
CSCO,2006-01-12,19.2,19.35,19.08,19.27,59392376
CSCO,2006-01-13,18.92,19.33,18.89,19.13,51998451
CSCO,2006-01-16,18.92,19.33,18.89,19.13,0
CSCO,2006-01-17,18.68,18.78,18.47,18.7,52700084
CSCO,2006-01-18,18.73,18.85,18.37,18.4,69111949
CSCO,2006-01-19,19.02,19.12,18.82,18.85,54354231
CSCO,2006-01-20,18.55,18.93,18.24,18.91,77586158
CSCO,2006-01-23,18.16,18.56,18.13,18.54,54003666
CSCO,2006-01-24,18.33,18.47,18.15,18.17,49478993
CSCO,2006-01-25,18.57,18.61,18.26,18.35,51003787
CSCO,2006-01-26,18.58,18.69,18.25,18.57,64624154
CSCO,2006-01-27,18.78,18.95,18.56,18.58,48108457
CSCO,2006-01-30,18.89,18.95,18.67,18.69,41131218
CSCO,2006-01-31,18.57,18.74,18.32,18.7,63585302
CSCO,2006-02-01,18.58,18.62,18.35,18.4,53349647
CSCO,2006-02-02,18.37,18.75,18.3,18.46,39291300
CSCO,2006-02-03,18.33,18.33,18.15,18.29,71697240
CSCO,2006-02-06,17.83,18.1,17.83,18.03,51622346
CSCO,2006-02-07,18.09,18.2,17.82,17.84,68687258
CSCO,2006-02-08,19.4,19.5,19.11,19.27,200016973
CSCO,2006-02-09,19.55,19.98,19.47,19.52,119440338
CSCO,2006-02-10,19.76,19.88,19.6,19.61,72868057
CSCO,2006-02-13,19.55,19.85,19.32,19.62,57673046
CSCO,2006-02-14,19.69,19.86,19.58,19.64,51476586
CSCO,2006-02-15,19.94,19.96,19.6,19.6,58917652
CSCO,2006-02-16,19.98,20.0,19.83,19.91,44133884
CSCO,2006-02-17,19.86,19.97,19.83,19.94,34967894
CSCO,2006-02-20,19.86,19.97,19.83,19.94,0
CSCO,2006-02-21,19.58,19.9,19.45,19.71,47399130
CSCO,2006-02-22,19.67,19.93,19.57,19.57,54420877
