Symbol,Date,Close,High,Low,Open,Volume
CVS,2006-01-02,26.42,26.88,26.39,26.6,0
CVS,2006-01-03,26.35,26.7,26.06,26.67,7836700
CVS,2006-01-04,26.35,26.58,26.3,26.51,4677000
CVS,2006-01-05,26.99,27.43,26.54,26.58,8346900
CVS,2006-01-06,27.17,27.17,27.06,27.06,5625300
CVS,2006-01-09,26.95,27.07,26.81,26.89,4787200
CVS,2006-01-10,27.14,27.22,26.67,26.76,4717200
CVS,2006-01-11,27.07,27.42,26.86,27.41,6060000
CVS,2006-01-12,27.0,27.24,26.87,27.11,3701300
CVS,2006-01-13,26.75,27.13,26.55,26.96,3595900
CVS,2006-01-16,26.75,27.13,26.55,26.96,0
CVS,2006-01-17,26.86,27.0,26.53,26.59,4080899
CVS,2006-01-18,27.2,27.3,26.902,27.0,6220200
CVS,2006-01-19,27.43,27.56,27.0,27.0,4498700
CVS,2006-01-20,27.13,27.36,26.78,27.34,4994500
CVS,2006-01-23,26.96,27.14,26.43,27.0,7634500
CVS,2006-01-24,27.36,27.54,26.97,27.0,7662800
CVS,2006-01-25,27.38,27.88,27.18,27.59,5366900
CVS,2006-01-26,27.61,27.83,27.44,27.77,7239900
CVS,2006-01-27,28.07,28.5,27.92,28.48,6442000
CVS,2006-01-30,27.86,28.35,27.85,28.2,6516800
CVS,2006-01-31,27.76,28.02,27.62,27.89,4589800
CVS,2006-02-01,27.78,27.93,27.45,27.65,5354600
CVS,2006-02-02,28.71,28.81,28.1,28.1,7892700
CVS,2006-02-03,29.23,29.4,28.45,28.46,8849400
CVS,2006-02-06,28.69,29.25,28.27,29.19,4207000
CVS,2006-02-07,28.35,28.7,28.24,28.62,3086400
CVS,2006-02-08,28.52,28.52,28.2,28.23,3619900
CVS,2006-02-09,27.87,28.5,27.8,28.38,3173100
CVS,2006-02-10,27.9,28.08,27.64,27.98,2533700
CVS,2006-02-13,27.91,28.1,27.7,27.95,1870400
CVS,2006-02-14,28.61,28.63,27.72,27.93,3555700
CVS,2006-02-15,28.98,29.14,28.28,28.51,3148200
CVS,2006-02-16,29.1,29.29,28.79,28.83,3359800
CVS,2006-02-17,28.6,29.01,28.38,29.0,4579500
CVS,2006-02-20,28.6,29.01,28.38,29.0,0
CVS,2006-02-21,28.18,28.81,28.03,28.6,3177700
CVS,2006-02-22,28.46,28.56,28.1,28.34,3190100
CVS,2006-02-23,28.5,28.71,28.36,28.38,2943800
CVS,2006-02-24,28.21,28.51,28.0,28.5,2460300
CVS,2006-02-27,28.84,28.97,28.12,28.13,2687700
CVS,2006-02-28,28.33,28.79,28.3,28.6,2464600
CVS,2006-03-01,29.19,29.19,28.5,28.5,3493600
CVS,2006-03-02,29.08,29.74,28.87,29.0,4218600
CVS,2006-03-03,28.7,29.31,28.64,29.07,2618600
CVS,2006-03-06,28.47,28.92,28.32,28.75,2205400
CVS,2006-03-07,28.92,28.95,28.136,28.3,4052399
CVS,2006-03-08,30.07,30.26,29.0,29.1,8426600
CVS,2006-03-09,30.12,30.98,29.95,30.24,7802000
CVS,2006-03-10,30.4,30.54,29.94,30.29,3184500
CVS,2006-03-13,30.06,30.73,30.01,30.33,2502400
CVS,2006-03-14,30.57,30.73,30.02,30.06,4305900
CVS,2006-03-15,29.71,30.11,29.4,29.5,9213200
CVS,2006-03-16,29.6,30.18,29.5,29.88,4773700
