Symbol,Date,Close,High,Low,Open,Volume
CVX,2006-01-02,56.77,57.14,55.94,56.47,0
CVX,2006-01-03,59.08,59.1,57.06,57.25,13292700
CVX,2006-01-04,58.91,59.08,58.43,59.08,8769600
CVX,2006-01-05,58.19,58.96,57.85,58.68,8488700
CVX,2006-01-06,59.25,59.57,58.59,58.95,9183000
CVX,2006-01-09,58.95,59.58,58.55,59.49,6415600
CVX,2006-01-10,59.24,59.48,58.75,58.76,6794900
CVX,2006-01-11,59.84,60.0,58.65,59.22,6435800
CVX,2006-01-12,59.89,60.59,59.61,60.0,7462100
CVX,2006-01-13,60.36,60.62,59.75,59.89,5848100
CVX,2006-01-16,60.36,60.62,59.75,59.89,0
CVX,2006-01-17,61.86,61.9,60.72,60.9,8738500
CVX,2006-01-18,60.9,62.0,60.46,61.98,8955900
CVX,2006-01-19,61.6,61.75,60.21,60.4,7858400
CVX,2006-01-20,61.12,62.43,60.75,62.0,11180600
CVX,2006-01-23,62.21,62.38,60.52,61.09,8924400
CVX,2006-01-24,62.05,62.72,61.8,62.05,8302300
CVX,2006-01-25,61.26,62.55,60.527,62.3,12138000
CVX,2006-01-26,60.22,61.5,60.11,61.5,13546900
CVX,2006-01-27,60.38,60.76,59.8,60.1,16456199
CVX,2006-01-30,60.75,60.85,59.81,60.85,12507700
CVX,2006-01-31,59.38,60.6,59.27,60.41,13653500
CVX,2006-02-01,58.7,59.8,58.6,59.38,11100700
CVX,2006-02-02,58.51,59.05,57.75,58.71,9082000
CVX,2006-02-03,57.5,58.69,57.37,58.12,11244200
CVX,2006-02-06,58.84,59.42,58.0,58.0,9832200
CVX,2006-02-07,57.74,58.54,57.6,58.54,9476800
CVX,2006-02-08,57.89,58.18,56.8,57.74,9877700
CVX,2006-02-09,58.97,58.97,56.9,58.12,11168100
CVX,2006-02-10,56.61,58.39,56.0,57.32,12104500
CVX,2006-02-13,56.62,58.24,56.35,56.63,8078900
CVX,2006-02-14,55.72,56.3,55.41,55.85,12033400
CVX,2006-02-15,55.96,56.37,55.5,55.85,10952200
CVX,2006-02-16,56.3,56.59,55.96,56.1,10256600
CVX,2006-02-17,57.17,57.39,56.3,56.78,10276800
CVX,2006-02-20,57.17,57.39,56.3,56.78,0
CVX,2006-02-21,57.9,58.4,57.49,57.99,9294700
CVX,2006-02-22,57.24,57.9,56.91,57.9,7584600
CVX,2006-02-23,57.14,57.75,56.79,57.1,8880700
CVX,2006-02-24,57.65,57.97,57.4,57.56,8373100
CVX,2006-02-27,57.1,57.72,57.05,57.65,6155600
CVX,2006-02-28,56.48,56.84,56.23,56.69,8547500
CVX,2006-03-01,57.24,57.29,56.63,56.72,7349400
CVX,2006-03-02,57.01,57.59,56.5,57.24,9793500
CVX,2006-03-03,56.97,57.44,56.67,56.82,9373500
CVX,2006-03-06,55.85,56.86,55.81,56.75,9539900
CVX,2006-03-07,55.32,55.94,54.95,55.85,10602200
CVX,2006-03-08,55.12,55.63,54.15,55.32,12112800
CVX,2006-03-09,54.45,55.6,54.45,55.47,10820300
CVX,2006-03-10,54.08,54.6,53.76,54.15,11104300
CVX,2006-03-13,55.18,55.38,54.26,54.53,10581000
CVX,2006-03-14,56.35,56.47,55.03,55.2,9959000
CVX,2006-03-15,56.5,56.6,55.68,56.5,8732500
CVX,2006-03-16,57.74,58.03,56.28,56.51,11223400
CVX,2006-03-17,57.18,58.04,57.02,57.98,9379800
CVX,2006-03-20,56.75,57.43,56.65,57.0,6837000
CVX,2006-03-21,56.57,57.1,56.15,56.6,6214500
CVX,2006-03-22,56.49,57.24,56.25,56.42,6397900
CVX,2006-03-23,56.63,56.87,56.2,56.66,7369000
CVX,2006-03-24,57.57,57.8,56.65,56.7,9402600
CVX,2006-03-27,58.21,58.42,57.33,57.85,7282200
CVX,2006-03-28,57.86,58.87,57.82,58.41,8736000
CVX,2006-03-29,58.63,58.83,57.545,57.545,7315100
CVX,2006-03-30,58.51,59.29,58.4,58.75,6675000
CVX,2006-03-31,57.97,58.42,57.66,58.26,7254300
CVX,2006-04-03,58.34,59.2,58.23,58.35,6915600
CVX,2006-04-04,58.91,59.15,58.06,58.35,5391500
CVX,2006-04-05,59.5,59.51,58.61,58.91,6868800
CVX,2006-04-06,59.41,59.84,58.96,59.65,5101100
CVX,2006-04-07,58.65,59.69,58.39,59.68,6828100
CVX,2006-04-10,59.72,59.82,59.11,59.14,7322800
CVX,2006-04-11,59.46,60.53,59.28,59.9,7469300
CVX,2006-04-12,58.67,59.76,58.25,59.21,7077000
CVX,2006-04-13,58.78,58.95,58.0,58.4,5243200
CVX,2006-04-14,58.78,58.95,58.0,58.4,0
