Symbol,Date,Close,High,Low,Open,Volume
D,2006-01-02,38.6,38.75,38.4,38.65,0
D,2006-01-03,39.58,39.605,38.75,38.805,2088000
D,2006-01-04,39.685,39.765,39.24,39.5,2225000
D,2006-01-05,38.745,39.76,38.735,39.55,3628200
D,2006-01-06,39.13,39.245,38.65,38.975,1769400
D,2006-01-09,39.035,39.2,38.545,39.18,1614800
D,2006-01-10,39.38,39.4,38.73,38.73,1792000
D,2006-01-11,39.175,39.4,39.03,39.385,1728200
D,2006-01-12,38.76,39.3,38.75,39.175,2427800
D,2006-01-13,39.055,39.13,38.64,38.76,2285200
D,2006-01-16,39.055,39.13,38.64,38.76,0
D,2006-01-17,39.7,39.705,38.73,38.75,2475800
D,2006-01-18,39.78,39.875,39.225,39.7,2286000
D,2006-01-19,40.055,40.1,39.35,39.46,2912600
D,2006-01-20,39.32,40.21,39.255,39.875,2754000
D,2006-01-23,39.065,39.66,39.05,39.315,2234000
D,2006-01-24,39.125,39.275,38.81,39.095,2025999
D,2006-01-25,38.54,39.245,38.265,39.0,5579000
D,2006-01-26,37.75,38.43,37.375,38.425,13729000
D,2006-01-27,37.63,38.0,37.2,37.8,6754600
D,2006-01-30,37.82,38.11,37.535,37.63,3899600
D,2006-01-31,37.765,37.96,37.565,37.6,4578400
D,2006-02-01,37.975,38.025,37.565,37.765,3420400
D,2006-02-02,37.665,38.225,37.455,38.2,2819000
D,2006-02-03,37.525,37.725,37.3,37.525,3376600
D,2006-02-06,37.585,37.86,37.51,37.525,5387800
D,2006-02-07,37.525,37.675,37.32,37.605,2655400
D,2006-02-08,37.64,37.68,37.3,37.425,2131400
D,2006-02-09,37.725,37.88,37.55,37.65,3257800
D,2006-02-10,37.22,37.92,37.21,37.625,2182600
D,2006-02-13,36.95,37.3,36.755,37.225,3930000
D,2006-02-14,36.825,36.95,36.39,36.95,5475200
D,2006-02-15,36.915,37.045,36.7,36.825,2762600
D,2006-02-16,37.285,37.315,36.975,37.05,1693600
D,2006-02-17,37.375,37.87,37.275,37.285,2614400
D,2006-02-20,37.375,37.87,37.275,37.285,0
D,2006-02-21,37.835,37.965,37.515,37.575,2822600
D,2006-02-22,37.49,37.62,37.3,37.505,1911000
D,2006-02-23,37.12,37.495,37.12,37.495,2356200
D,2006-02-24,37.175,37.415,37.165,37.225,1757200
D,2006-02-27,37.665,37.815,37.15,37.175,2292400
D,2006-02-28,37.55,37.58,37.275,37.47,3715400
D,2006-03-01,37.335,37.59,37.285,37.53,1647600
D,2006-03-02,37.165,37.24,36.97,37.125,4072000
D,2006-03-03,36.925,37.255,36.825,36.825,2544800
D,2006-03-06,36.035,36.735,35.975,36.7,4731800
D,2006-03-07,35.98,36.315,35.685,36.3,2980800
D,2006-03-08,36.095,36.385,35.6,35.875,2634400
D,2006-03-09,35.825,36.24,35.725,36.17,1792200
D,2006-03-10,35.705,35.86,35.525,35.65,2908600
D,2006-03-13,36.035,36.12,35.655,35.705,2120800
D,2006-03-14,36.54,36.54,35.83,36.125,2105000
D,2006-03-15,36.44,36.595,36.225,36.475,3000200
D,2006-03-16,36.925,37.07,36.56,36.61,2136400
D,2006-03-17,36.625,37.15,36.62,37.15,3096600
D,2006-03-20,36.025,36.93,35.92,36.825,3485200
D,2006-03-21,35.875,36.375,35.74,36.2,3382000
D,2006-03-22,35.995,36.13,35.625,35.825,1461800
D,2006-03-23,35.52,35.94,35.425,35.925,4177600
D,2006-03-24,35.775,35.975,35.5,35.515,2496200
D,2006-03-27,35.3,35.795,35.22,35.795,2028600
D,2006-03-28,35.2,35.575,35.075,35.2,3160800
D,2006-03-29,35.175,35.535,35.04,35.125,1797800
D,2006-03-30,34.85,35.26,34.83,35.025,3375000
D,2006-03-31,34.515,35.09,34.44,35.025,2603400
D,2006-04-03,35.2,35.3,34.36,34.405,3754400
D,2006-04-04,35.855,35.905,35.0,35.15,4036200
D,2006-04-05,35.965,36.02,35.66,35.775,2803600
D,2006-04-06,35.72,35.975,35.325,35.965,2678200
D,2006-04-07,35.48,35.73,35.31,35.67,3083400
D,2006-04-10,36.0,36.375,35.45,35.505,3663200
D,2006-04-11,35.825,36.21,35.765,36.045,2718400
D,2006-04-12,35.75,36.065,35.545,35.83,2690800
D,2006-04-13,35.385,35.815,35.255,35.75,2132800
D,2006-04-14,35.385,35.815,35.255,35.75,0
D,2006-04-17,35.575,35.6,35.22,35.22,2644200
D,2006-04-18,36.715,36.77,35.59,35.605,3931400
D,2006-04-19,36.735,36.84,36.5,36.665,2492000
D,2006-04-20,36.695,37.31,36.62,36.675,3010800
D,2006-04-21,37.145,37.275,36.625,36.925,6570200
D,2006-04-24,37.025,37.125,36.845,37.02,3505800
D,2006-04-25,37.09,37.205,36.815,36.925,3744000
D,2006-04-26,37.2,37.375,37.095,37.35,4325800
D,2006-04-27,37.585,37.875,36.88,37.2,4521000
D,2006-04-28,37.435,37.55,37.25,37.46,4089400
D,2006-05-01,37.165,37.59,37.075,37.445,3373600
D,2006-05-02,37.365,37.475,36.965,37.25,3688600
D,2006-05-03,37.23,37.475,36.8,37.365,3086200
D,2006-05-04,37.18,37.645,37.13,37.315,2422200
D,2006-05-05,37.95,38.01,37.335,37.375,2521800
D,2006-05-08,37.43,37.805,37.285,37.7,2185000
D,2006-05-09,37.13,37.37,37.12,37.305,2701200
D,2006-05-10,37.765,37.845,37.0,37.135,3258600
D,2006-05-11,37.565,37.825,37.24,37.8,1970600
D,2006-05-12,36.785,37.505,36.715,37.5,2525800
D,2006-05-15,36.67,36.945,36.38,36.785,2232800
D,2006-05-16,36.295,36.72,36.28,36.68,2293600
D,2006-05-17,35.915,36.37,35.785,36.02,3854600
