Symbol,Date,Close,High,Low,Open,Volume
DGX,2006-01-02,51.48,51.72,51.41,51.7,0
DGX,2006-01-03,51.33,51.82,50.64,51.63,706700
DGX,2006-01-04,51.54,51.84,51.24,51.4,670700
DGX,2006-01-05,51.61,51.75,51.4,51.5,464400
DGX,2006-01-06,52.01,52.14,51.67,51.99,798300
DGX,2006-01-09,51.96,52.04,51.37,51.94,718000
DGX,2006-01-10,50.92,51.94,50.56,51.94,1261800
DGX,2006-01-11,50.92,51.12,50.59,50.97,682100
DGX,2006-01-12,50.73,51.29,50.51,50.93,817900
DGX,2006-01-13,50.78,51.12,50.53,50.86,1280200
DGX,2006-01-16,50.78,51.12,50.53,50.86,0
DGX,2006-01-17,51.28,51.42,50.9,50.9,690400
DGX,2006-01-18,51.64,52.18,51.24,51.28,740200
DGX,2006-01-19,51.17,51.95,51.12,51.9,969700
DGX,2006-01-20,50.4,51.12,50.18,51.05,1313500
DGX,2006-01-23,49.0,50.53,48.79,50.35,1851300
DGX,2006-01-24,49.59,49.99,48.95,48.95,1242000
DGX,2006-01-25,49.46,49.7,49.24,49.59,1245100
DGX,2006-01-26,50.55,51.27,50.23,51.12,2205000
DGX,2006-01-27,50.36,50.91,49.76,50.8,1525100
DGX,2006-01-30,49.52,50.36,49.0,50.35,1248100
DGX,2006-01-31,49.43,49.59,49.2,49.32,1481900
DGX,2006-02-01,50.09,50.16,49.23,49.25,1188500
DGX,2006-02-02,50.85,50.86,49.5,49.97,2733400
DGX,2006-02-03,50.67,51.189,50.45,50.5,1212700
DGX,2006-02-06,50.18,50.63,50.0,50.5,927400
DGX,2006-02-07,50.28,50.49,49.95,50.18,792200
DGX,2006-02-08,51.45,51.96,50.99,51.4,1776100
DGX,2006-02-09,51.85,52.25,51.37,51.6,1013300
DGX,2006-02-10,51.78,51.99,51.5,51.7,647800
DGX,2006-02-13,52.02,52.02,51.81,51.81,961700
DGX,2006-02-14,51.98,52.23,51.56,51.83,1050900
DGX,2006-02-15,52.48,52.67,51.8,51.85,760400
DGX,2006-02-16,53.1,53.17,52.54,52.63,1399700
DGX,2006-02-17,52.8,53.169,52.73,53.09,700700
DGX,2006-02-20,52.8,53.169,52.73,53.09,0
DGX,2006-02-21,52.79,52.96,52.4,52.6,578800
DGX,2006-02-22,52.95,53.49,52.88,53.08,690100
DGX,2006-02-23,53.57,53.85,52.48,52.85,1078900
DGX,2006-02-24,53.06,53.32,52.37,53.32,707800
DGX,2006-02-27,52.92,53.35,52.74,52.9,477200
DGX,2006-02-28,52.87,53.09,52.41,52.62,964900
DGX,2006-03-01,53.15,53.5,52.87,52.87,674000
DGX,2006-03-02,53.65,53.77,53.11,53.16,967400
DGX,2006-03-03,53.77,54.33,53.34,53.4,845700
DGX,2006-03-06,53.54,54.16,53.216,54.0,725100
DGX,2006-03-07,53.1,54.1,52.68,53.54,852400
DGX,2006-03-08,53.1,53.53,52.85,53.1,918900
DGX,2006-03-09,52.83,53.36,52.71,53.1,528300
DGX,2006-03-10,52.8,53.03,52.68,52.84,902500
DGX,2006-03-13,52.44,53.09,52.2,52.95,823700
DGX,2006-03-14,52.28,52.68,52.24,52.37,1024400
DGX,2006-03-15,52.23,52.5832,52.14,52.28,942600
DGX,2006-03-16,51.94,52.42,51.94,52.37,798200
DGX,2006-03-17,51.86,52.14,51.49,51.98,1463200
DGX,2006-03-20,51.91,52.25,51.79,52.08,921900
DGX,2006-03-21,51.72,52.04,51.44,51.98,1098400
DGX,2006-03-22,52.02,52.19,51.73,51.8,829600
DGX,2006-03-23,51.97,52.06,51.8,51.9,680700
DGX,2006-03-24,52.38,52.67,51.61,51.61,980500
DGX,2006-03-27,52.33,52.71,52.2,52.38,744300
DGX,2006-03-28,52.05,52.42,51.84,52.15,687900
DGX,2006-03-29,51.88,52.15,51.76,52.05,710500
DGX,2006-03-30,51.59,51.9,51.33,51.69,836900
DGX,2006-03-31,51.3,51.66,51.26,51.5,722300
DGX,2006-04-03,51.2,51.62,50.89,51.6,982700
DGX,2006-04-04,51.37,51.64,50.82,51.17,993200
DGX,2006-04-05,51.28,51.36,51.12,51.36,653300
DGX,2006-04-06,50.73,51.18,50.3748,51.18,579300
DGX,2006-04-07,50.25,51.06,50.01,50.75,621100
DGX,2006-04-10,50.09,50.28,49.65,50.21,612400
DGX,2006-04-11,49.75,50.4,49.5,50.19,900800
DGX,2006-04-12,49.91,50.33,49.83,49.95,582200
DGX,2006-04-13,49.73,50.11,49.46,49.91,659900
DGX,2006-04-14,49.73,50.11,49.46,49.91,0
DGX,2006-04-17,49.48,49.92,49.26,49.63,539700
DGX,2006-04-18,50.45,50.6,49.62,49.62,1245100
DGX,2006-04-19,50.48,50.9,50.11,50.42,1629400
DGX,2006-04-20,55.19,56.94,54.45,56.9,3984800
DGX,2006-04-21,54.81,55.52,54.06,55.4,1607500
DGX,2006-04-24,54.87,55.43,54.7,54.75,1703500
DGX,2006-04-25,56.18,56.95,55.18,55.35,2225000
DGX,2006-04-26,55.87,56.14,55.38,56.1,811400
DGX,2006-04-27,55.77,56.33,55.17,55.88,1075900
DGX,2006-04-28,55.73,56.1,55.27,55.77,1270900
DGX,2006-05-01,54.79,55.72,54.67,55.68,1199000
DGX,2006-05-02,54.94,55.34,54.59,55.15,995500
DGX,2006-05-03,55.11,55.24,54.46,54.69,1234800
DGX,2006-05-04,55.59,55.97,54.83,55.04,1195100
DGX,2006-05-05,56.7,56.93,55.65,55.65,1813200
DGX,2006-05-08,56.46,56.9,56.2756,56.58,711300
DGX,2006-05-09,57.48,57.65,56.57,56.58,1989700
DGX,2006-05-10,58.37,58.8,57.48,57.48,2155200
DGX,2006-05-11,57.7,58.37,57.19,58.37,1608100
DGX,2006-05-12,57.9,58.62,57.39,57.7,1860300
DGX,2006-05-15,58.42,58.65,57.75,57.91,1324400
DGX,2006-05-16,58.65,59.0,58.06,58.42,1346000
DGX,2006-05-17,58.64,58.94,58.17,58.59,1374000
DGX,2006-05-18,58.03,58.86,57.98,58.64,1616700
DGX,2006-05-19,57.53,58.2,57.29,58.03,1543400
DGX,2006-05-22,57.07,57.35,56.14,56.7,1380200
DGX,2006-05-23,57.1,57.75,57.01,57.3,1035400
DGX,2006-05-24,56.49,57.1,55.87,57.1,1115700
DGX,2006-05-25,56.96,57.24,56.4,56.68,657100
DGX,2006-05-26,56.24,57.14,56.08,57.02,1076700
DGX,2006-05-29,56.24,57.14,56.08,57.02,0
DGX,2006-05-30,55.84,56.5,55.73,56.3,826800
DGX,2006-05-31,55.74,56.22,55.1,55.7,1467300
DGX,2006-06-01,56.81,57.02,55.76,55.8,1516000
DGX,2006-06-02,57.21,57.56,56.7,56.8,1035400
DGX,2006-06-05,56.92,57.15,56.79,57.05,678000
DGX,2006-06-06,57.3,57.39,56.81,57.02,1166700
DGX,2006-06-07,56.95,57.44,56.86,57.29,1312500
DGX,2006-06-08,57.18,57.61,56.81,57.15,1114300
DGX,2006-06-09,56.93,57.18,56.25,57.05,922900
DGX,2006-06-12,56.71,58.36,56.71,57.15,1183400
DGX,2006-06-13,57.1,57.5,56.44,56.72,1255300
DGX,2006-06-14,57.62,57.7,56.7384,57.05,1153900
DGX,2006-06-15,57.75,57.99,56.37,57.94,1463500
DGX,2006-06-16,57.31,58.22,57.27,57.65,1094300
DGX,2006-06-19,57.25,57.53,57.01,57.5,729700
DGX,2006-06-20,57.36,57.54,57.03,57.22,1125200
DGX,2006-06-21,58.46,58.87,57.25,57.36,1412900
DGX,2006-06-22,58.01,58.79,57.84,58.47,854100
