Symbol,Date,Close,High,Low,Open,Volume
DLTR,2006-01-02,7.98,8.15,7.9067,8.0,0
DLTR,2006-01-03,8.0667,8.0867,7.8333,7.99,3038274
DLTR,2006-01-04,8.13,8.19,7.96,8.0433,2928531
DLTR,2006-01-05,8.11,8.17,8.0667,8.1167,3519849
DLTR,2006-01-06,8.08,8.29,7.9767,8.1667,2892792
DLTR,2006-01-09,8.32,8.4933,8.04,8.0967,5308413
DLTR,2006-01-10,8.2533,8.3467,8.2167,8.3267,2719965
DLTR,2006-01-11,8.21,8.2933,8.1633,8.2767,2402358
DLTR,2006-01-12,8.1867,8.3333,8.11,8.1667,3539700
DLTR,2006-01-13,8.2833,8.3233,8.1333,8.1333,1488387
DLTR,2006-01-16,8.2833,8.3233,8.1333,8.1333,0
DLTR,2006-01-17,8.1567,8.28,8.1133,8.25,1807530
DLTR,2006-01-18,8.1867,8.27,8.03,8.0733,1524207
DLTR,2006-01-19,8.22,8.2633,8.16,8.1867,1585467
DLTR,2006-01-20,8.1033,8.2733,8.0633,8.15,1735827
DLTR,2006-01-23,8.09,8.1867,8.09,8.16,1356900
DLTR,2006-01-24,8.25,8.25,8.1567,8.1567,1603422
DLTR,2006-01-25,8.1767,8.2733,8.1467,8.19,1312266
DLTR,2006-01-26,8.2767,8.3133,8.1967,8.2333,1631910
DLTR,2006-01-27,8.3433,8.4067,8.2733,8.3,1995063
DLTR,2006-01-30,8.22,8.3733,8.1967,8.3267,1125966
DLTR,2006-01-31,8.2667,8.3367,8.15,8.2033,2164314
DLTR,2006-02-01,8.1967,8.2733,8.1133,8.2167,2558574
DLTR,2006-02-02,8.86,8.93,8.5,8.55,6895437
DLTR,2006-02-03,9.0667,9.23,8.8433,8.8933,7240065
DLTR,2006-02-06,8.9967,9.0667,8.96,9.04,2998872
DLTR,2006-02-07,9.03,9.1367,8.8767,8.9633,2392677
DLTR,2006-02-08,9.0733,9.2033,9.03,9.1,4808634
DLTR,2006-02-09,9.0,9.22,8.99,9.1067,3074064
DLTR,2006-02-10,9.0367,9.0533,8.9467,8.98,2083146
DLTR,2006-02-13,9.0333,9.1,8.9633,9.0,2831778
DLTR,2006-02-14,9.35,9.43,9.0333,9.0333,3625677
DLTR,2006-02-15,9.4467,9.5367,9.2567,9.3333,3787569
DLTR,2006-02-16,9.4633,9.4767,9.3467,9.4467,2059343
DLTR,2006-02-17,9.5233,9.55,9.3833,9.4633,3328455
DLTR,2006-02-20,9.5233,9.55,9.3833,9.4633,0
DLTR,2006-02-21,9.5167,9.56,9.44,9.55,5323683
DLTR,2006-02-22,9.2067,9.2867,9.1267,9.1667,14446521
DLTR,2006-02-23,9.19,9.3533,9.07,9.14,7459146
DLTR,2006-02-24,9.15,9.1667,8.9867,9.08,4013229
DLTR,2006-02-27,9.1667,9.2433,9.11,9.13,2221314
DLTR,2006-02-28,9.14,9.24,9.0467,9.17,2811273
DLTR,2006-03-01,9.2767,9.3267,9.1033,9.1833,2657829
DLTR,2006-03-02,9.0267,9.2567,8.9967,9.21,2902404
DLTR,2006-03-03,9.1133,9.22,8.94,8.99,2721153
DLTR,2006-03-06,9.15,9.2133,9.0333,9.1467,2050212
DLTR,2006-03-07,8.8033,9.0967,8.76,9.05,4135719
DLTR,2006-03-08,8.8,8.9,8.75,8.7633,4481778
DLTR,2006-03-09,8.6967,8.83,8.6833,8.7867,2273172
DLTR,2006-03-10,8.8233,8.9367,8.6167,8.7133,3837138
DLTR,2006-03-13,8.8967,8.9833,8.8167,8.8167,2540748
DLTR,2006-03-14,8.88,8.9333,8.76,8.86,2182011
DLTR,2006-03-15,8.9433,8.9667,8.8633,8.9033,2298561
DLTR,2006-03-16,9.0467,9.0833,8.9267,8.94,2167122
DLTR,2006-03-17,9.1233,9.1633,9.0233,9.0367,2051898
DLTR,2006-03-20,9.13,9.1533,9.0067,9.1533,1611861
DLTR,2006-03-21,8.97,9.0733,8.9267,9.0567,5149011
DLTR,2006-03-22,8.8867,8.9533,8.8133,8.94,3639021
DLTR,2006-03-23,9.1833,9.3267,8.8433,8.85,4430652
DLTR,2006-03-24,9.1967,9.27,9.1333,9.1933,3067479
DLTR,2006-03-27,9.2567,9.2933,9.1767,9.1767,1389615
DLTR,2006-03-28,9.2333,9.2733,9.19,9.2267,3007476
DLTR,2006-03-29,9.32,9.3233,9.2033,9.2633,1468032
DLTR,2006-03-30,9.33,9.3833,9.2767,9.3333,2905221
DLTR,2006-03-31,9.2233,9.3667,9.1967,9.3667,2332584
DLTR,2006-04-03,9.24,9.3333,9.23,9.2367,3183165
DLTR,2006-04-04,9.3867,9.4633,9.2033,9.2333,3406512
DLTR,2006-04-05,9.4033,9.4033,9.3,9.3767,3128919
DLTR,2006-04-06,9.34,9.34,9.3033,9.3167,3516048
DLTR,2006-04-07,9.2233,9.4633,9.1767,9.3667,1970220
DLTR,2006-04-10,9.0133,9.2467,8.9833,9.2467,3592797
DLTR,2006-04-11,8.67,8.9933,8.6533,8.99,5759643
DLTR,2006-04-12,8.77,8.77,8.6383,8.6383,2627154
DLTR,2006-04-13,8.72,8.7633,8.65,8.6967,2448450
DLTR,2006-04-14,8.72,8.7633,8.65,8.6967,0
DLTR,2006-04-17,8.67,8.7533,8.6,8.69,2981007
DLTR,2006-04-18,8.79,8.79,8.6567,8.6567,2626722
DLTR,2006-04-19,8.68,8.7167,8.6267,8.6667,3407541
DLTR,2006-04-20,8.9167,8.9167,8.6267,8.6267,3354063
DLTR,2006-04-21,8.65,8.8967,8.6,8.84,2823612
DLTR,2006-04-24,8.6167,8.7133,8.5333,8.6333,2479974
DLTR,2006-04-25,8.5867,8.72,8.5667,8.6133,2558799
DLTR,2006-04-26,8.6667,8.75,8.58,8.6167,1786614
DLTR,2006-04-27,8.8133,8.8333,8.5867,8.68,1926936
DLTR,2006-04-28,8.69,8.8033,8.67,8.7567,1661979
DLTR,2006-05-01,8.6367,8.8333,8.58,8.6867,3783930
DLTR,2006-05-02,8.8003,8.8003,8.6867,8.6867,1990767
DLTR,2006-05-03,8.7633,8.8,8.6667,8.7633,1634925
DLTR,2006-05-04,8.9133,9.08,8.7967,8.9933,2096148
DLTR,2006-05-05,8.85,8.9833,8.77,8.9267,2728401
DLTR,2006-05-08,9.27,9.27,8.87,8.87,3857595
DLTR,2006-05-09,9.1433,9.2967,9.0867,9.1433,3097314
DLTR,2006-05-10,9.1567,9.2267,9.0133,9.1233,2402325
DLTR,2006-05-11,9.04,9.1967,9.03,9.12,1836126
DLTR,2006-05-12,8.9367,9.0567,8.91,9.0333,1759320
DLTR,2006-05-15,8.96,8.96,8.8667,8.8667,2890314
DLTR,2006-05-16,8.84,8.98,8.76,8.9367,1939872
DLTR,2006-05-17,8.7833,8.8567,8.66,8.81,2146179
DLTR,2006-05-18,8.7667,8.8633,8.72,8.8267,2673060
DLTR,2006-05-19,8.8167,8.8667,8.6667,8.8033,1430076
DLTR,2006-05-22,8.7767,8.8367,8.5567,8.71,3168117
DLTR,2006-05-23,8.7967,8.9167,8.6867,8.8,2686947
DLTR,2006-05-24,8.47,9.0833,8.2567,9.0133,8814912
DLTR,2006-05-25,8.61,8.7033,8.51,8.5833,3434838
