Symbol,Date,Close,High,Low,Open,Volume
DOV,2006-01-02,33.5878,33.7288,33.4302,33.7288,0
DOV,2006-01-03,34.4173,34.4671,33.4302,33.6708,1190910
DOV,2006-01-04,35.0063,35.1639,34.3427,34.4173,1403077
DOV,2006-01-05,34.8321,35.4045,34.7326,34.9482,979225
DOV,2006-01-06,35.4128,35.4626,35.0478,35.0893,631680
DOV,2006-01-09,35.9105,35.9105,35.222,35.3215,1167282
DOV,2006-01-10,35.9271,35.9354,35.3796,35.7031,891947
DOV,2006-01-11,36.1677,36.2091,35.5289,36.0017,1216467
DOV,2006-01-12,35.811,36.4663,35.4957,35.4957,1126898
DOV,2006-01-13,35.8358,35.9188,35.5455,35.8358,804789
DOV,2006-01-16,35.8358,35.9188,35.5455,35.8358,0
DOV,2006-01-17,35.7944,35.8524,35.4377,35.7114,643494
DOV,2006-01-18,35.952,36.0847,35.6699,35.7695,897974
DOV,2006-01-19,36.458,36.5409,35.869,36.0017,1390420
DOV,2006-01-20,35.952,36.4746,35.7861,36.4746,1580647
DOV,2006-01-23,35.9271,36.0681,35.5289,36.0266,1283251
DOV,2006-01-24,36.234,36.4497,35.8856,35.952,1198505
DOV,2006-01-25,36.3087,36.4995,35.8773,36.3336,697138
DOV,2006-01-26,36.3087,36.5824,36.2506,36.4995,1155227
DOV,2006-01-27,37.4037,37.7272,36.1925,36.2174,1977979
DOV,2006-01-30,38.3659,38.9051,37.4451,37.4866,1904444
DOV,2006-01-31,38.1005,38.3079,37.7604,38.1254,1257453
DOV,2006-02-01,38.2332,38.8056,37.9014,38.1917,1952664
DOV,2006-02-02,38.2498,38.5733,37.9926,38.2415,1609217
DOV,2006-02-03,38.2332,38.3825,38.0341,38.0341,1005143
DOV,2006-02-06,38.3659,38.4323,38.059,38.1834,676645
DOV,2006-02-07,37.4949,38.4986,37.412,38.2415,1329180
DOV,2006-02-08,37.553,37.6193,36.9225,37.5364,1491079
DOV,2006-02-09,37.918,38.1088,37.6027,37.611,853250
DOV,2006-02-10,37.8516,38.0673,37.0221,37.6027,1550630
