Symbol,Date,Close,High,Low,Open,Volume
DRE,2006-01-02,33.4,33.95,33.36,33.82,0
DRE,2006-01-03,34.41,34.5,33.311,33.32,643000
DRE,2006-01-04,34.54,34.63,34.2,34.3,462500
DRE,2006-01-05,34.96,35.19,34.48,34.48,707600
DRE,2006-01-06,35.38,35.47,35.0,35.16,590800
DRE,2006-01-09,35.75,35.75,35.23,35.42,588400
DRE,2006-01-10,35.97,36.3,35.5,35.5,529700
DRE,2006-01-11,35.82,36.2,35.66,35.95,788100
DRE,2006-01-12,35.88,35.93,35.53,35.75,688900
DRE,2006-01-13,35.47,35.79,35.22,35.76,659400
DRE,2006-01-16,35.47,35.79,35.22,35.76,0
DRE,2006-01-17,35.62,35.65,34.96,34.97,437000
DRE,2006-01-18,35.4,35.77,35.22,35.37,333600
DRE,2006-01-19,36.16,36.17,35.3,35.3,381400
DRE,2006-01-20,35.69,36.18,35.55,36.04,486000
DRE,2006-01-23,35.9,36.03,35.65,35.65,322300
DRE,2006-01-24,35.97,36.1,35.77,35.8,577300
DRE,2006-01-25,36.02,36.22,35.72,35.85,449400
DRE,2006-01-26,35.83,36.31,35.51,36.15,920800
DRE,2006-01-27,36.24,36.43,35.84,36.0,632200
DRE,2006-01-30,36.22,36.3,35.94,36.19,646900
DRE,2006-01-31,36.28,36.5,35.96,36.05,896300
DRE,2006-02-01,35.74,36.85,35.58,36.28,3887300
DRE,2006-02-02,35.5,35.62,35.25,35.6,858400
DRE,2006-02-03,34.96,35.3,34.57,35.01,738800
DRE,2006-02-06,35.15,35.25,34.93,35.03,677200
DRE,2006-02-07,34.8,35.22,34.79,35.13,550500
DRE,2006-02-08,34.68,34.87,34.37,34.83,533200
DRE,2006-02-09,34.8,34.94,34.51,34.7,396100
DRE,2006-02-10,34.13,34.57,34.02,34.33,471100
DRE,2006-02-13,34.18,34.33,34.07,34.1,375400
DRE,2006-02-14,34.45,34.5,33.72,34.15,1793600
DRE,2006-02-15,34.62,34.73,34.15,34.25,466700
DRE,2006-02-16,34.59,34.82,34.34,34.67,394300
DRE,2006-02-17,34.89,34.91,34.4,34.56,414200
DRE,2006-02-20,34.89,34.91,34.4,34.56,0
DRE,2006-02-21,35.06,35.14,34.66,35.05,686700
DRE,2006-02-22,35.43,35.59,34.96,35.0,428200
DRE,2006-02-23,35.64,35.85,35.22,35.5,461800
DRE,2006-02-24,35.36,35.7,35.27,35.63,471000
DRE,2006-02-27,35.32,35.61,35.21,35.45,395400
DRE,2006-02-28,35.1,35.45,34.96,35.3,1033800
DRE,2006-03-01,35.3,35.33,34.94,35.17,452400
DRE,2006-03-02,35.5,35.5,35.12,35.22,476800
DRE,2006-03-03,35.27,35.55,35.2,35.3,519400
DRE,2006-03-06,36.09,36.09,35.34,35.36,337400
DRE,2006-03-07,35.67,36.1,35.62,36.05,558100
DRE,2006-03-08,35.82,35.85,35.26,35.55,457000
DRE,2006-03-09,36.51,36.55,35.8,35.85,420300
DRE,2006-03-10,36.76,36.87,36.22,36.35,1052700
DRE,2006-03-13,37.06,37.3,36.8,36.81,667100
DRE,2006-03-14,36.94,37.14,36.74,36.9,443600
DRE,2006-03-15,37.57,37.8,36.88,36.88,482100
DRE,2006-03-16,37.78,38.09,37.59,37.65,499200
DRE,2006-03-17,37.97,38.09,37.62,37.9,565600
DRE,2006-03-20,37.52,38.05,37.2,37.88,418300
DRE,2006-03-21,37.39,37.78,36.9,37.55,679300
DRE,2006-03-22,37.66,37.72,37.14,37.45,348400
DRE,2006-03-23,37.87,37.95,37.48,37.61,375900
DRE,2006-03-24,37.5,37.84,37.3,37.8,624800
DRE,2006-03-27,36.82,37.48,36.8,37.4,432400
DRE,2006-03-28,37.73,37.85,36.6,36.65,637100
DRE,2006-03-29,38.5,38.52,37.85,37.85,476100
DRE,2006-03-30,37.96,38.55,37.57,38.41,570500
DRE,2006-03-31,37.95,38.14,37.48,37.85,656300
DRE,2006-04-03,37.02,37.9,36.94,37.9,817100
DRE,2006-04-04,37.14,37.45,36.6,36.95,539200
DRE,2006-04-05,37.32,37.57,37.102,37.15,275300
DRE,2006-04-06,37.1,37.41,36.99,37.25,488300
DRE,2006-04-07,36.83,37.22,36.67,37.0,534100
DRE,2006-04-10,36.2,36.73,36.09,36.7,507900
DRE,2006-04-11,35.93,36.34,35.86,36.28,503700
DRE,2006-04-12,35.86,36.18,35.57,35.91,599800
DRE,2006-04-13,35.25,35.75,34.88,35.7,599300
DRE,2006-04-14,35.25,35.75,34.88,35.7,0
DRE,2006-04-17,35.2,35.5,35.09,35.15,455700
DRE,2006-04-18,35.72,35.94,35.03,35.26,787300
DRE,2006-04-19,36.15,36.35,35.48,35.67,596600
DRE,2006-04-20,36.04,36.2,35.55,36.16,433600
DRE,2006-04-21,35.9,36.1,35.76,36.04,429200
DRE,2006-04-24,35.7,35.91,35.43,35.86,312600
DRE,2006-04-25,35.24,35.81,35.22,35.81,509300
DRE,2006-04-26,35.15,35.45,35.01,35.34,698100
DRE,2006-04-27,35.46,35.62,34.51,34.9,590400
DRE,2006-04-28,35.4,35.97,35.35,35.55,587700
DRE,2006-05-01,35.31,35.86,35.15,35.39,611000
DRE,2006-05-02,34.83,35.31,34.45,35.31,795300
DRE,2006-05-03,35.23,35.31,34.6,34.63,515499
DRE,2006-05-04,35.6,35.9,35.22,35.22,326200
DRE,2006-05-05,35.95,36.3,35.8,35.87,328400
DRE,2006-05-08,36.08,36.15,35.79,35.95,311700
DRE,2006-05-09,36.13,36.39,35.7,36.07,351400
DRE,2006-05-10,35.16,35.6,35.0,35.6,445300
DRE,2006-05-11,34.69,35.31,34.53,35.25,402700
DRE,2006-05-12,34.02,34.44,33.41,34.44,484600
DRE,2006-05-15,34.62,34.75,33.3,33.9,433500
DRE,2006-05-16,34.65,34.95,34.6,34.72,324900
DRE,2006-05-17,34.23,34.6,33.96,34.31,474000
DRE,2006-05-18,34.29,34.89,34.18,34.48,483800
DRE,2006-05-19,33.72,34.41,33.59,34.35,714100
DRE,2006-05-22,33.73,33.82,33.33,33.55,449100
DRE,2006-05-23,33.33,34.2,33.17,33.98,356000
DRE,2006-05-24,33.55,33.61,32.88,32.91,451300
DRE,2006-05-25,34.2,34.52,33.67,33.78,474300
DRE,2006-05-26,34.59,34.59,34.03,34.2,277000
DRE,2006-05-29,34.59,34.59,34.03,34.2,0
DRE,2006-05-30,33.98,34.6,33.89,34.6,387800
DRE,2006-05-31,33.94,34.49,33.5,34.17,829000
DRE,2006-06-01,34.78,34.78,33.97,34.04,371400
DRE,2006-06-02,34.89,35.14,34.54,34.95,527000
DRE,2006-06-05,35.31,35.74,34.78,34.85,529100
DRE,2006-06-06,34.68,35.46,34.55,35.45,312300
DRE,2006-06-07,34.89,35.2,34.4,34.64,305800
DRE,2006-06-08,34.66,34.94,34.01,34.83,413300
DRE,2006-06-09,34.98,35.12,34.65,34.77,279300
DRE,2006-06-12,34.28,34.93,34.13,34.93,469200
DRE,2006-06-13,33.86,34.4,33.61,34.18,687300
DRE,2006-06-14,33.89,34.0,33.61,33.8,317600
DRE,2006-06-15,34.5,34.5,33.84,34.0,344600
DRE,2006-06-16,34.35,34.6,33.99,34.2,639200
DRE,2006-06-19,34.16,34.55,34.01,34.55,270200
DRE,2006-06-20,33.79,34.19,33.73,34.1,329900
DRE,2006-06-21,34.35,34.35,33.6,33.75,274200
DRE,2006-06-22,33.91,34.28,33.71,34.15,391100
DRE,2006-06-23,33.55,33.85,33.44,33.85,388800
DRE,2006-06-26,33.85,34.01,33.42,33.57,457800
DRE,2006-06-27,34.35,34.35,33.79,33.8,1034600
DRE,2006-06-28,34.35,34.52,34.1,34.34,383700
DRE,2006-06-29,34.9,35.01,34.14,34.45,531800
DRE,2006-06-30,35.15,35.5,35.05,35.34,1097700
DRE,2006-07-03,35.52,35.55,35.2,35.38,237200
DRE,2006-07-04,35.52,35.55,35.2,35.38,0
DRE,2006-07-05,35.27,35.37,34.6,35.2,495100
DRE,2006-07-06,35.55,35.57,35.0,35.26,404300
DRE,2006-07-07,35.46,35.67,35.36,35.54,294100
DRE,2006-07-10,35.99,35.99,35.48,35.49,292200
DRE,2006-07-11,36.03,36.19,35.72,35.99,273900
DRE,2006-07-12,36.05,36.24,35.7,36.15,309000
DRE,2006-07-13,35.5,36.06,35.31,35.75,315100
DRE,2006-07-14,34.98,35.57,34.9,35.41,416900
DRE,2006-07-17,35.03,35.13,34.7,34.86,382100
DRE,2006-07-18,35.51,35.51,34.92,35.07,312800
DRE,2006-07-19,36.19,36.22,35.3,35.3,465400
DRE,2006-07-20,35.91,36.48,35.8125,36.48,380900
DRE,2006-07-21,34.9,35.95,34.83,35.95,498000
DRE,2006-07-24,35.46,35.46,34.76,34.95,279400
DRE,2006-07-25,35.96,36.03,35.24,35.3,287600
DRE,2006-07-26,36.8,36.8,35.74,35.78,473900
DRE,2006-07-27,36.9,37.43,36.19,36.25,487900
DRE,2006-07-28,37.38,37.38,36.89,37.15,500600
DRE,2006-07-31,37.26,37.49,37.0,37.45,497600
DRE,2006-08-01,36.95,37.21,36.7,37.0,907500
DRE,2006-08-02,36.64,37.02,36.6,36.99,376700
DRE,2006-08-03,37.17,37.17,36.35,36.39,376600
DRE,2006-08-04,37.93,37.93,37.38,37.43,307600
DRE,2006-08-07,37.55,37.83,37.4,37.83,258600
DRE,2006-08-08,36.88,37.73,36.71,37.4,374700
DRE,2006-08-09,36.62,37.0,36.52,36.98,492700
DRE,2006-08-10,36.04,36.29,35.55,36.14,502100
DRE,2006-08-11,36.0,36.08,35.75,36.04,353600
DRE,2006-08-14,36.42,36.59,36.08,36.1,522800
DRE,2006-08-15,36.73,36.9,36.54,36.7,477100
DRE,2006-08-16,36.69,36.85,36.62,36.78,159400
DRE,2006-08-17,36.74,36.91,36.62,36.75,215300
DRE,2006-08-18,36.81,36.85,36.55,36.8,287300
DRE,2006-08-21,36.84,36.91,36.68,36.9,213200
DRE,2006-08-22,37.19,37.19,36.62,36.83,263300
DRE,2006-08-23,36.98,37.3,36.74,37.3,183400
DRE,2006-08-24,37.15,37.15,36.8,36.95,229200
DRE,2006-08-25,37.02,37.22,36.93,37.05,138100
DRE,2006-08-28,37.59,37.59,37.0301,37.17,285800
DRE,2006-08-29,37.7,37.71,37.25,37.59,252500
DRE,2006-08-30,37.92,37.92,37.65,37.72,281800
DRE,2006-08-31,37.98,38.2,37.84,37.97,339600
DRE,2006-09-01,37.56,38.0,37.47,38.0,287800
DRE,2006-09-04,37.56,38.0,37.47,38.0,0
DRE,2006-09-05,37.69,37.97,37.5,37.58,446800
DRE,2006-09-06,37.26,37.59,37.23,37.44,481900
DRE,2006-09-07,36.95,37.25,36.53,37.07,505000
DRE,2006-09-08,37.37,37.4,36.55,36.9,244000
DRE,2006-09-11,37.47,37.47,36.8201,37.12,267200
DRE,2006-09-12,37.98,37.98,37.11,37.3,363200
DRE,2006-09-13,38.05,38.05,37.75,37.87,266600
DRE,2006-09-14,37.9,37.9,37.51,37.8,303200
DRE,2006-09-15,37.97,38.19,37.7,37.9,569300
