Symbol,Date,Close,High,Low,Open,Volume
DTE,2006-01-02,43.19,43.28,42.97,43.12,0
DTE,2006-01-03,43.72,43.75,42.83,43.22,620400
DTE,2006-01-04,43.61,43.71,42.86,43.65,790900
DTE,2006-01-05,43.24,43.7,43.16,43.42,375600
DTE,2006-01-06,43.7,43.71,43.26,43.49,397400
DTE,2006-01-09,43.66,43.7,43.22,43.62,543600
DTE,2006-01-10,43.57,43.57,43.22,43.4,446700
DTE,2006-01-11,43.58,43.67,43.27,43.6,579900
DTE,2006-01-12,43.64,44.0,43.32,43.45,1026200
DTE,2006-01-13,43.86,43.9,43.5,43.64,532100
DTE,2006-01-16,43.86,43.9,43.5,43.64,0
DTE,2006-01-17,44.08,44.23,43.714,43.79,786300
DTE,2006-01-18,43.98,44.17,43.75,44.0,749700
DTE,2006-01-19,43.86,44.1,43.72,43.99,542700
DTE,2006-01-20,43.37,43.93,43.25,43.72,569000
DTE,2006-01-23,43.25,43.56,43.05,43.25,396200
DTE,2006-01-24,43.95,44.0,43.2,43.25,1001300
DTE,2006-01-25,42.76,44.05,42.44,43.95,1196900
DTE,2006-01-26,42.57,43.1,42.4,42.9,683500
DTE,2006-01-27,42.48,43.1,42.45,42.58,570300
DTE,2006-01-30,42.26,42.49,42.21,42.4,528200
DTE,2006-01-31,42.2,42.44,42.08,42.17,527900
DTE,2006-02-01,42.33,42.51,42.19,42.2,772100
DTE,2006-02-02,41.74,42.29,41.53,42.2,789000
DTE,2006-02-03,41.17,41.7,41.17,41.5,672100
DTE,2006-02-06,42.03,42.04,41.06,41.1,999400
DTE,2006-02-07,42.1,42.16,41.84,41.95,730600
DTE,2006-02-08,42.04,42.15,41.8,42.09,1141600
DTE,2006-02-09,41.99,42.35,41.95,42.02,687700
DTE,2006-02-10,42.05,42.22,41.95,41.98,917600
DTE,2006-02-13,42.23,42.27,41.91,42.0,449400
DTE,2006-02-14,42.19,42.26,41.8,42.23,658800
DTE,2006-02-15,41.98,42.34,41.85,42.15,766800
DTE,2006-02-16,42.65,42.67,41.95,42.0,532600
DTE,2006-02-17,42.87,43.02,42.478,42.65,730200
DTE,2006-02-20,42.87,43.02,42.478,42.65,0
DTE,2006-02-21,42.85,43.35,42.75,42.98,838900
DTE,2006-02-22,43.23,43.27,42.91,42.95,611200
DTE,2006-02-23,43.39,43.45,42.92,43.13,748800
DTE,2006-02-24,43.43,43.44,43.2,43.3,664000
DTE,2006-02-27,43.78,43.8,43.31,43.55,748300
DTE,2006-02-28,43.3,43.77,43.07,43.7,871500
DTE,2006-03-01,43.08,43.35,42.86,43.25,547500
DTE,2006-03-02,43.03,43.06,42.48,42.65,674500
DTE,2006-03-03,42.98,43.05,42.58,42.85,666900
DTE,2006-03-06,42.51,42.98,42.23,42.98,1501900
DTE,2006-03-07,42.34,43.14,42.13,42.51,517100
DTE,2006-03-08,42.25,42.66,41.85,42.23,679600
DTE,2006-03-09,42.04,42.37,41.97,42.2,885300
DTE,2006-03-10,42.22,42.43,42.03,42.3,842000
DTE,2006-03-13,42.57,42.69,42.09,42.21,665900
DTE,2006-03-14,42.77,42.79,42.35,42.52,582200
DTE,2006-03-15,43.19,43.23,42.67,42.7,729900
DTE,2006-03-16,42.72,43.02,42.56,42.72,1011300
DTE,2006-03-17,42.93,42.93,42.89,42.9,774400
DTE,2006-03-20,42.25,42.89,42.09,42.88,580000
DTE,2006-03-21,41.96,42.28,41.89,42.28,521100
DTE,2006-03-22,42.07,42.15,41.8,41.98,453300
DTE,2006-03-23,41.9,42.08,41.75,41.95,579800
DTE,2006-03-24,41.38,41.85,41.32,41.8,1065900
DTE,2006-03-27,41.0,41.4,40.96,41.3,719000
DTE,2006-03-28,40.84,41.12,40.62,40.99,858400
DTE,2006-03-29,41.11,41.19,40.7,40.98,848000
DTE,2006-03-30,40.71,41.16,40.39,41.02,711300
DTE,2006-03-31,40.09,40.91,40.0,40.71,1089400
DTE,2006-04-03,40.82,41.14,40.37,40.5,1081400
DTE,2006-04-04,41.16,41.23,40.41,40.9,709600
DTE,2006-04-05,41.6,41.62,40.92,41.07,769100
DTE,2006-04-06,41.34,41.55,40.9448,41.55,856000
DTE,2006-04-07,40.51,41.34,40.27,41.34,920100
DTE,2006-04-10,40.05,40.71,40.0,40.71,677600
DTE,2006-04-11,39.61,40.3,39.4,40.2,982800
DTE,2006-04-12,39.92,39.94,39.42,39.71,835200
DTE,2006-04-13,39.67,39.97,39.51,39.92,512900
DTE,2006-04-14,39.67,39.97,39.51,39.92,0
DTE,2006-04-17,39.73,39.94,39.58,39.75,886900
DTE,2006-04-18,39.89,39.95,39.16,39.72,1557400
DTE,2006-04-19,39.72,40.08,39.27,39.89,1075300
DTE,2006-04-20,40.21,40.21,39.57,39.71,1026999
DTE,2006-04-21,40.52,40.69,40.27,40.43,974200
DTE,2006-04-24,40.95,41.02,40.35,40.55,809400
DTE,2006-04-25,40.28,40.89,40.09,40.85,827100
DTE,2006-04-26,40.16,40.58,39.85,40.28,687800
DTE,2006-04-27,41.04,41.2,39.75,40.16,1087800
DTE,2006-04-28,40.78,41.0,40.58,41.0,618900
DTE,2006-05-01,40.14,40.99,40.04,40.89,891000
DTE,2006-05-02,40.53,40.56,40.28,40.39,534000
DTE,2006-05-03,40.36,40.63,40.12,40.53,494900
DTE,2006-05-04,40.56,40.67,40.3258,40.35,374000
DTE,2006-05-05,40.87,41.02,40.36,40.8,589900
DTE,2006-05-08,41.01,41.11,40.78,40.87,537800
DTE,2006-05-09,40.42,41.11,40.36,41.11,843700
DTE,2006-05-10,40.61,40.84,40.45,40.5,694300
DTE,2006-05-11,40.35,40.65,39.99,40.57,594900
DTE,2006-05-12,39.7,40.45,39.69,40.35,548300
DTE,2006-05-15,39.98,40.3,39.67,39.75,728400
DTE,2006-05-16,39.58,40.15,39.52,40.03,439000
DTE,2006-05-17,39.0,39.74,38.77,39.4,705900
DTE,2006-05-18,39.15,39.52,38.89,39.0,629300
DTE,2006-05-19,39.58,39.74,38.89,39.35,1005200
DTE,2006-05-22,40.18,40.34,39.42,39.58,1120200
DTE,2006-05-23,39.43,40.34,39.38,40.18,701700
DTE,2006-05-24,39.74,39.82,39.0,39.43,818000
DTE,2006-05-25,40.24,40.24,39.72,40.03,627700
DTE,2006-05-26,40.41,40.42,40.13,40.4,529400
DTE,2006-05-29,40.41,40.42,40.13,40.4,0
DTE,2006-05-30,39.85,40.32,39.81,40.2,726100
DTE,2006-05-31,40.42,40.72,39.89,39.89,743100
DTE,2006-06-01,40.69,40.7,40.25,40.39,645400
DTE,2006-06-02,40.98,41.09,40.55,40.8,629500
DTE,2006-06-05,40.65,41.06,40.6,40.98,541600
DTE,2006-06-06,40.34,40.8,39.93,40.8,697200
DTE,2006-06-07,40.7,41.07,40.38,40.44,736600
DTE,2006-06-08,41.34,41.34,40.82,40.82,892900
DTE,2006-06-09,41.4,41.48,41.0,41.05,992600
DTE,2006-06-12,41.69,41.91,41.33,41.5,718200
DTE,2006-06-13,41.34,41.83,41.3,41.75,976200
DTE,2006-06-14,41.15,41.42,40.94,41.34,879400
DTE,2006-06-15,40.68,40.96,40.35,40.63,942000
DTE,2006-06-16,40.75,41.02,40.55,40.6,593600
DTE,2006-06-19,40.23,40.84,40.05,40.83,717500
DTE,2006-06-20,40.2,40.31,39.95,40.25,830500
DTE,2006-06-21,39.93,40.32,39.87,40.05,928800
DTE,2006-06-22,39.77,39.89,39.59,39.89,1002200
DTE,2006-06-23,39.67,39.93,39.5,39.77,811200
DTE,2006-06-26,39.82,39.95,39.62,39.67,618000
DTE,2006-06-27,39.76,40.01,39.63,39.87,580400
DTE,2006-06-28,39.94,39.99,39.65,39.88,535200
DTE,2006-06-29,40.6,40.7,40.0,40.19,825600
DTE,2006-06-30,40.74,40.77,40.35,40.63,897300
DTE,2006-07-03,40.96,40.98,40.59,40.74,321100
DTE,2006-07-04,40.96,40.98,40.59,40.74,0
DTE,2006-07-05,40.77,40.94,40.64,40.68,536800
DTE,2006-07-06,40.81,40.87,40.59,40.85,356600
DTE,2006-07-07,41.18,41.4,40.65,40.81,649200
DTE,2006-07-10,41.48,41.57,41.1,41.38,444200
