Symbol,Date,Close,High,Low,Open,Volume
DVA,2006-01-02,25.32,25.36,25.155,25.325,0
DVA,2006-01-03,25.76,25.815,25.25,25.32,1304200
DVA,2006-01-04,25.91,26.5,25.78,25.825,1293000
DVA,2006-01-05,27.125,27.555,26.73,27.0,3161400
DVA,2006-01-06,27.695,27.95,27.21,27.3,1717800
DVA,2006-01-09,27.325,27.685,27.27,27.66,1204200
DVA,2006-01-10,27.02,27.495,26.955,27.325,1355200
DVA,2006-01-11,27.05,27.15,26.95,27.02,1246600
DVA,2006-01-12,27.085,27.36,26.9755,27.01,1076800
DVA,2006-01-13,27.12,27.45,27.06,27.125,496600
DVA,2006-01-16,27.12,27.45,27.06,27.125,0
DVA,2006-01-17,26.74,26.975,26.49,26.95,1100400
DVA,2006-01-18,26.79,27.28,26.705,26.715,1801200
DVA,2006-01-19,27.4,27.595,27.29,27.365,1836000
DVA,2006-01-20,27.43,27.87,27.375,27.395,1381400
DVA,2006-01-23,27.345,27.665,27.21,27.5,664600
DVA,2006-01-24,28.03,28.05,27.3,27.3,1957800
DVA,2006-01-25,27.46,27.99,27.255,27.94,2532400
DVA,2006-01-26,27.585,28.035,27.425,27.535,1408400
DVA,2006-01-27,27.45,27.91,27.44,27.71,1044600
DVA,2006-01-30,27.515,27.61,27.3,27.6,1464000
DVA,2006-01-31,27.375,27.655,27.32,27.59,1484200
DVA,2006-02-01,27.095,27.375,27.025,27.305,1782200
DVA,2006-02-02,26.89,27.025,26.79,27.0,778600
DVA,2006-02-03,26.845,26.95,26.75,26.89,774400
DVA,2006-02-06,28.6,29.005,26.3855,26.845,7888200
DVA,2006-02-07,27.615,28.6,27.14,28.595,4707000
DVA,2006-02-08,27.6,27.99,27.515,27.99,885600
DVA,2006-02-09,27.83,28.06,27.62,27.62,829000
DVA,2006-02-10,27.635,27.9,27.45,27.9,925400
DVA,2006-02-13,27.74,27.82,27.44,27.775,756800
DVA,2006-02-14,27.665,27.875,27.525,27.725,1450800
DVA,2006-02-15,29.605,29.97,28.755,28.8,4826200
DVA,2006-02-16,29.57,29.62,29.135,29.605,1411600
DVA,2006-02-17,29.38,29.525,29.035,29.035,1404000
DVA,2006-02-20,29.38,29.525,29.035,29.035,0
DVA,2006-02-21,29.495,29.825,29.25,29.505,1456200
DVA,2006-02-22,29.445,29.64,29.255,29.26,1076600
DVA,2006-02-23,29.41,29.475,29.25,29.445,659400
DVA,2006-02-24,29.56,29.595,29.26,29.415,851200
DVA,2006-02-27,29.535,29.62,29.27,29.485,853800
DVA,2006-02-28,29.195,29.55,29.07,29.5,1329200
DVA,2006-03-01,29.085,29.22,28.95,29.22,964600
DVA,2006-03-02,29.18,29.29,28.96,29.085,900000
DVA,2006-03-03,29.26,29.63,29.075,29.175,1028200
DVA,2006-03-06,29.08,29.33,28.515,29.26,2435600
DVA,2006-03-07,29.14,29.505,28.775,29.105,1181000
DVA,2006-03-08,29.22,29.23,28.88,29.13,726800
DVA,2006-03-09,28.95,29.25,28.875,29.19,1058000
DVA,2006-03-10,29.075,29.155,28.885,28.955,570000
DVA,2006-03-13,29.25,29.37,28.925,29.125,584200
DVA,2006-03-14,29.55,29.695,29.21,29.3,962600
DVA,2006-03-15,30.05,30.105,29.52,29.585,1147600
DVA,2006-03-16,30.135,30.175,29.81,30.095,717200
DVA,2006-03-17,30.01,30.225,29.835,30.225,828800
DVA,2006-03-20,29.885,30.125,29.75,30.11,1448200
DVA,2006-03-21,29.92,30.045,29.7,29.8,1140600
DVA,2006-03-22,29.625,29.825,28.95,29.795,2085600
DVA,2006-03-23,29.32,29.52,29.16,29.52,949400
DVA,2006-03-24,29.54,29.64,29.3,29.375,561200
DVA,2006-03-27,29.725,29.9,29.38,29.475,917400
DVA,2006-03-28,30.015,30.19,29.525,29.675,1088200
DVA,2006-03-29,30.045,30.235,29.89,30.05,1136000
DVA,2006-03-30,29.975,30.35,29.93,30.13,892200
DVA,2006-03-31,30.105,30.325,29.935,30.04,1136000
DVA,2006-04-03,29.375,30.055,29.08,30.03,2345400
DVA,2006-04-04,29.05,29.525,28.8,29.375,1261000
DVA,2006-04-05,29.16,29.645,29.06,29.1,1059000
DVA,2006-04-06,28.915,29.26,28.815,29.035,1143400
DVA,2006-04-07,28.08,29.16,27.86,28.885,2294800
DVA,2006-04-10,27.71,28.1,27.21,27.99,2167000
DVA,2006-04-11,27.535,27.715,27.285,27.57,1433800
DVA,2006-04-12,27.795,28.0,27.5,27.5,694400
DVA,2006-04-13,27.55,27.875,27.45,27.775,806200
DVA,2006-04-14,27.55,27.875,27.45,27.775,0
DVA,2006-04-17,27.58,27.7195,27.28,27.35,946200
DVA,2006-04-18,27.29,27.8,26.92,27.575,1697400
DVA,2006-04-19,27.525,27.645,27.19,27.28,2354400
DVA,2006-04-20,28.395,28.68,27.64,27.64,2041599
DVA,2006-04-21,28.81,29.15,28.57,28.65,1740600
DVA,2006-04-24,28.585,28.99,28.5,28.855,583400
DVA,2006-04-25,28.25,29.06,28.055,29.06,674800
DVA,2006-04-26,28.425,28.625,28.15,28.4,766000
DVA,2006-04-27,28.29,28.625,28.215,28.425,1117400
DVA,2006-04-28,28.13,28.325,28.04,28.315,931600
DVA,2006-05-01,27.975,28.44,27.885,28.25,923400
DVA,2006-05-02,27.41,28.035,27.315,27.8,1276000
DVA,2006-05-03,27.12,27.8,26.75,27.375,3510000
DVA,2006-05-04,25.475,27.115,24.83,27.04,9272400
DVA,2006-05-05,26.665,26.71,25.45,26.235,7345800
DVA,2006-05-08,26.79,27.135,26.595,26.665,1727200
DVA,2006-05-09,26.585,27.025,26.51,26.89,2041799
DVA,2006-05-10,26.505,26.9,26.4,26.51,749200
DVA,2006-05-11,26.155,26.495,26.005,26.425,1360000
DVA,2006-05-12,26.1,26.245,25.9,26.245,959600
DVA,2006-05-15,25.975,26.1,25.615,25.88,1611000
DVA,2006-05-16,26.255,26.5,25.925,26.0,1251600
DVA,2006-05-17,26.145,26.36,25.945,26.26,750600
DVA,2006-05-18,26.235,26.535,26.07,26.235,1052600
DVA,2006-05-19,25.825,26.33,25.7,26.3,806200
DVA,2006-05-22,25.645,25.86,25.58,25.825,1288000
DVA,2006-05-23,25.615,25.9,25.38,25.735,1717600
DVA,2006-05-24,25.215,25.715,24.95,25.61,1850000
DVA,2006-05-25,25.63,25.8,25.215,25.215,1304800
DVA,2006-05-26,25.645,25.85,25.48,25.65,755600
DVA,2006-05-29,25.645,25.85,25.48,25.65,0
DVA,2006-05-30,25.67,25.99,25.285,25.645,984600
DVA,2006-05-31,26.48,26.495,25.62,25.65,2936000
DVA,2006-06-01,26.355,26.63,25.385,26.48,4718600
DVA,2006-06-02,26.35,26.63,26.325,26.46,1663800
DVA,2006-06-05,25.595,26.25,25.535,26.25,1810400
DVA,2006-06-06,25.155,25.575,24.815,25.575,1652800
DVA,2006-06-07,25.085,25.44,24.925,25.095,1150200
DVA,2006-06-08,24.45,24.995,23.875,24.98,3625400
DVA,2006-06-09,24.505,24.9,24.315,24.39,1920600
DVA,2006-06-12,23.795,24.6,23.73,24.51,1170000
DVA,2006-06-13,23.8,24.065,23.35,23.615,2197600
DVA,2006-06-14,24.105,24.115,23.655,23.82,1657800
DVA,2006-06-15,24.54,24.625,24.01,24.15,2452200
DVA,2006-06-16,24.445,24.755,24.3,24.525,1074200
DVA,2006-06-19,23.97,24.58,23.84,24.445,1391400
DVA,2006-06-20,23.865,24.125,23.77,24.0,871400
DVA,2006-06-21,25.02,25.115,23.89,23.91,2044200
DVA,2006-06-22,24.82,25.075,24.63,24.96,1041199
DVA,2006-06-23,24.4,24.77,24.345,24.77,1570200
DVA,2006-06-26,24.265,24.4,24.175,24.325,1411400
DVA,2006-06-27,23.995,24.465,23.785,23.785,644000
DVA,2006-06-28,23.9,24.165,23.655,24.03,933400
DVA,2006-06-29,24.2,24.295,23.92,23.95,1717800
DVA,2006-06-30,24.85,25.37,24.245,24.275,2576200
DVA,2006-07-03,24.99,25.05,24.725,25.05,499000
DVA,2006-07-04,24.99,25.05,24.725,25.05,0
DVA,2006-07-05,25.095,25.155,24.82,24.985,1076200
DVA,2006-07-06,25.095,25.425,24.95,24.95,728800
DVA,2006-07-07,24.675,25.085,24.58,25.08,606400
DVA,2006-07-10,24.45,24.73,24.36,24.64,868200
DVA,2006-07-11,24.215,24.4,24.11,24.37,1278200
DVA,2006-07-12,24.31,24.65,24.25,24.3,1062200
DVA,2006-07-13,24.16,24.465,24.015,24.33,575000
DVA,2006-07-14,24.41,24.43,24.005,24.165,1190200
DVA,2006-07-17,24.765,25.245,24.7,24.785,2390800
DVA,2006-07-18,24.6,24.8,24.075,24.77,1118200
DVA,2006-07-19,25.43,25.575,24.65,24.65,1481000
DVA,2006-07-20,25.49,25.72,25.265,25.36,780200
DVA,2006-07-21,25.5,25.56,25.11,25.53,686400
DVA,2006-07-24,25.905,26.39,25.55,25.585,1590800
DVA,2006-07-25,26.29,26.38,25.74,25.95,961400
DVA,2006-07-26,25.77,26.305,25.535,26.275,1119800
DVA,2006-07-27,25.045,26.08,24.87,25.805,2072600
DVA,2006-07-28,25.085,25.215,24.845,25.175,1004999
DVA,2006-07-31,25.01,25.12,24.855,25.02,636800
DVA,2006-08-01,24.505,25.0,24.45,25.0,1099400
DVA,2006-08-02,27.16,28.99,26.625,27.5,7008400
DVA,2006-08-03,27.5,27.9448,27.09,27.12,2226800
DVA,2006-08-04,27.945,28.25,27.61,27.8,1269200
DVA,2006-08-07,27.77,27.87,27.385,27.87,987400
DVA,2006-08-08,27.89,28.145,27.795,27.875,789200
DVA,2006-08-09,27.7,27.955,27.56,27.9,930800
DVA,2006-08-10,28.315,28.35,27.675,27.7,1695400
DVA,2006-08-11,28.025,28.445,27.75,28.37,931400
DVA,2006-08-14,27.905,28.155,27.785,28.05,1044400
DVA,2006-08-15,27.62,28.0,27.47,27.96,1349200
DVA,2006-08-16,27.935,27.955,27.72,27.72,1129600
DVA,2006-08-17,27.795,28.055,27.79,27.94,1309600
DVA,2006-08-18,27.8,27.97,27.64,27.795,756600
DVA,2006-08-21,28.05,28.105,27.79,27.79,856600
