Symbol,Date,Close,High,Low,Open,Volume
DVN,2006-01-02,62.54,63.35,61.49,61.95,0
DVN,2006-01-03,64.69,64.99,62.61,62.76,3988300
DVN,2006-01-04,65.99,66.26,64.0,64.69,5458200
DVN,2006-01-05,65.17,66.0,64.31,65.99,5334200
DVN,2006-01-06,66.59,67.16,65.89,66.25,3425500
DVN,2006-01-09,66.45,67.1,65.86,67.1,2995800
DVN,2006-01-10,66.55,67.6,66.21,66.45,3385300
DVN,2006-01-11,65.38,66.2,64.54,66.1,3960600
DVN,2006-01-12,65.49,67.09,65.17,65.5,4493500
DVN,2006-01-13,65.64,66.05,64.92,65.48,3197200
DVN,2006-01-16,65.64,66.05,64.92,65.48,0
DVN,2006-01-17,67.52,67.66,66.5,67.0,2938300
DVN,2006-01-18,66.96,67.48,64.882,67.45,3329000
DVN,2006-01-19,68.26,68.27,65.38,65.92,4174900
DVN,2006-01-20,67.87,69.97,67.47,68.98,4423800
DVN,2006-01-23,67.95,68.39,66.58,67.73,3977400
DVN,2006-01-24,67.71,68.44,66.9,66.95,2895200
DVN,2006-01-25,65.05,67.9,64.05,67.85,4613600
DVN,2006-01-26,64.62,65.31,63.1,65.25,5126700
DVN,2006-01-27,65.46,66.6,64.72,65.5,3315200
DVN,2006-01-30,67.7,68.4,65.75,65.75,2864000
DVN,2006-01-31,68.21,68.53,66.91,66.96,2990500
DVN,2006-02-01,65.99,69.3,65.72,69.0,4696700
DVN,2006-02-02,65.27,66.59,64.48,65.71,5109300
DVN,2006-02-03,64.35,65.3,63.8,65.01,3480800
DVN,2006-02-06,65.66,66.65,64.97,64.98,3950600
DVN,2006-02-07,62.09,64.51,61.59,64.5,5220900
DVN,2006-02-08,61.5,62.5,60.31,62.1,5010100
DVN,2006-02-09,59.23,63.2,59.0,61.85,5592700
DVN,2006-02-10,58.92,59.93,57.59,59.93,5565700
DVN,2006-02-13,58.0,59.35,57.71,59.17,4297900
DVN,2006-02-14,58.76,59.2,56.6,57.75,6084500
DVN,2006-02-15,58.29,59.73,57.4,59.18,4959800
DVN,2006-02-16,60.46,60.87,58.44,58.44,4434900
DVN,2006-02-17,60.71,61.75,60.36,61.05,3082700
DVN,2006-02-20,60.71,61.75,60.36,61.05,0
DVN,2006-02-21,62.19,63.5,61.78,63.0,3478600
DVN,2006-02-22,60.0,62.09,59.64,60.75,3576800
DVN,2006-02-23,60.01,61.28,59.06,59.95,4664600
DVN,2006-02-24,60.98,61.38,60.79,61.1,2993500
DVN,2006-02-27,59.88,61.19,59.67,60.99,3448600
DVN,2006-02-28,58.63,59.72,58.38,59.4,5241700
DVN,2006-03-01,59.17,59.57,58.58,59.12,4294400
DVN,2006-03-02,60.49,60.75,59.0,59.0,4574800
DVN,2006-03-03,60.81,61.13,60.05,60.05,2648600
DVN,2006-03-06,58.03,60.32,57.68,60.2,4368800
DVN,2006-03-07,57.01,58.21,56.23,58.03,4181899
DVN,2006-03-08,57.53,57.89,55.6,56.19,4392700
DVN,2006-03-09,56.7,58.5,56.67,58.18,3776100
DVN,2006-03-10,56.84,57.2,55.3,56.35,4447500
DVN,2006-03-13,59.13,59.4,57.4,57.72,4509500
DVN,2006-03-14,60.45,60.67,58.67,59.2,3593000
DVN,2006-03-15,60.38,60.64,59.71,60.34,2734400
DVN,2006-03-16,61.21,61.7,59.84,60.32,3601500
DVN,2006-03-17,60.5,61.53,60.3,61.53,2932900
DVN,2006-03-20,58.9,60.51,58.5,60.5,3888600
DVN,2006-03-21,58.75,60.07,58.19,58.51,3706400
DVN,2006-03-22,58.27,60.23,58.03,58.52,4864200
DVN,2006-03-23,59.85,60.33,58.71,58.77,3674200
DVN,2006-03-24,60.96,62.0,59.93,59.95,4048700
DVN,2006-03-27,60.61,60.97,59.7,60.96,3288600
DVN,2006-03-28,61.79,62.54,60.91,61.0,3536400
DVN,2006-03-29,63.01,63.25,61.29,61.29,2954900
DVN,2006-03-30,62.56,63.65,62.13,63.01,3534100
DVN,2006-03-31,61.17,62.2,60.5,61.95,3851600
DVN,2006-04-03,61.78,63.0,61.65,62.25,3536600
DVN,2006-04-04,62.12,62.55,60.26,60.8,3984200
DVN,2006-04-05,62.58,62.82,61.16,62.42,2862200
DVN,2006-04-06,61.53,63.08,61.05,62.8,3939200
DVN,2006-04-07,59.8,61.15,59.16,60.95,4772700
DVN,2006-04-10,61.1,61.8,60.36,60.99,3436500
DVN,2006-04-11,60.47,62.27,60.4,61.76,2968100
DVN,2006-04-12,60.0,60.9,59.51,60.15,3022400
DVN,2006-04-13,60.11,60.79,58.45,59.5,3546100
DVN,2006-04-14,60.11,60.79,58.45,59.5,0
DVN,2006-04-17,61.83,61.89,60.75,61.25,2557000
DVN,2006-04-18,63.77,64.12,62.2,62.2,4562800
DVN,2006-04-19,64.7,65.15,63.16,63.21,3625900
DVN,2006-04-20,63.25,65.25,62.16,65.25,4272400
DVN,2006-04-21,64.15,64.4,62.98,63.5,5207100
DVN,2006-04-24,62.53,64.0,61.85,64.0,3431000
DVN,2006-04-25,61.9,63.82,60.86,62.94,3786700
DVN,2006-04-26,59.92,62.65,59.41,61.9,5736800
DVN,2006-04-27,59.53,60.78,58.06,59.1,4037000
DVN,2006-04-28,60.11,61.24,59.45,59.96,3787900
DVN,2006-05-01,60.78,61.5,60.48,60.84,3073500
DVN,2006-05-02,62.79,63.67,61.43,61.5,5700600
DVN,2006-05-03,63.09,63.8,61.84,62.3,6086000
DVN,2006-05-04,62.07,63.33,61.23,62.45,4810900
DVN,2006-05-05,63.26,63.47,62.41,62.9,3685100
DVN,2006-05-08,62.92,63.1,61.16,61.5,2970900
DVN,2006-05-09,62.34,63.33,61.66,62.92,4244900
DVN,2006-05-10,63.1,63.1,61.51,62.0,3914500
DVN,2006-05-11,62.47,64.07,62.0,63.73,4715900
DVN,2006-05-12,59.75,61.9,59.56,61.69,5506900
DVN,2006-05-15,58.15,59.26,57.15,59.25,5055800
DVN,2006-05-16,58.66,59.2,57.56,58.8,4439700
DVN,2006-05-17,56.4,58.85,55.8,58.09,5112700
DVN,2006-05-18,55.44,57.43,55.24,57.0,4881600
DVN,2006-05-19,57.12,57.54,54.85,55.65,7299400
DVN,2006-05-22,57.34,57.76,54.47,55.85,4903900
DVN,2006-05-23,56.23,59.2,55.85,58.15,3965600
DVN,2006-05-24,54.5,56.57,53.57,55.2,6866100
DVN,2006-05-25,56.12,56.63,54.58,55.5,3825000
DVN,2006-05-26,57.02,57.52,55.77,56.25,2170600
DVN,2006-05-29,57.02,57.52,55.77,56.25,0
DVN,2006-05-30,56.15,58.2,56.04,57.9,2287700
DVN,2006-05-31,57.36,57.41,55.64,56.16,4433500
DVN,2006-06-01,57.34,58.45,56.35,56.75,3647500
DVN,2006-06-02,58.07,58.23,56.79,57.65,3743700
DVN,2006-06-05,56.08,59.02,56.08,58.8,3668000
DVN,2006-06-06,56.69,57.35,55.6,56.0,4119300
DVN,2006-06-07,54.14,56.35,54.0,56.19,4520500
DVN,2006-06-08,54.59,54.82,52.09,53.25,7459900
DVN,2006-06-09,53.09,55.09,52.7,55.09,5203500
DVN,2006-06-12,51.9,53.8,51.85,53.12,4740100
DVN,2006-06-13,49.1,51.53,48.94,51.02,7980700
DVN,2006-06-14,52.18,52.21,49.12,49.33,6821500
DVN,2006-06-15,54.65,55.08,52.8,52.95,6498400
DVN,2006-06-16,54.58,55.0,52.82,54.0,4873100
DVN,2006-06-19,52.27,54.26,52.14,54.25,3997400
DVN,2006-06-20,52.14,53.38,52.02,52.38,3664400
DVN,2006-06-21,53.57,54.46,52.28,52.35,3778100
