Symbol,Date,Close,High,Low,Open,Volume
ECL,2006-01-02,36.27,36.54,36.26,36.54,0
ECL,2006-01-03,35.7,35.72,34.8,34.99,1552600
ECL,2006-01-04,35.37,35.66,35.24,35.65,1181500
ECL,2006-01-05,35.67,35.73,35.18,35.37,920500
ECL,2006-01-06,36.05,36.07,35.37,35.92,993500
ECL,2006-01-09,35.86,36.1,35.48,36.01,633900
ECL,2006-01-10,35.56,35.69,35.15,35.61,454700
ECL,2006-01-11,35.96,36.02,35.47,35.56,879600
ECL,2006-01-12,35.34,35.95,35.28,35.94,440900
ECL,2006-01-13,35.22,35.53,35.15,35.38,335600
ECL,2006-01-16,35.22,35.53,35.15,35.38,0
ECL,2006-01-17,35.26,35.34,34.94,35.0,395500
ECL,2006-01-18,35.2,35.28,34.8,35.2,544300
ECL,2006-01-19,35.42,35.47,35.17,35.21,611500
ECL,2006-01-20,35.01,35.42,35.01,35.42,672200
ECL,2006-01-23,35.48,35.64,35.02,35.02,513100
ECL,2006-01-24,35.92,35.97,35.44,35.6,538700
ECL,2006-01-25,35.79,36.2,35.72,35.92,848500
ECL,2006-01-26,35.78,36.13,35.74,35.9,686300
ECL,2006-01-27,35.71,36.18,35.48,35.78,498500
ECL,2006-01-30,35.73,35.9,35.55,35.72,311500
ECL,2006-01-31,35.81,36.0,35.36,35.51,445200
ECL,2006-02-01,35.8,35.83,34.86,34.91,890600
ECL,2006-02-02,35.11,35.92,35.03,35.75,634400
ECL,2006-02-03,35.18,35.41,34.65,35.05,557700
ECL,2006-02-06,35.3,35.4,34.96,35.09,416700
ECL,2006-02-07,35.15,35.74,34.86,35.38,933900
ECL,2006-02-08,35.01,35.2,34.83,35.2,531800
ECL,2006-02-09,35.03,35.48,34.84,34.85,653400
ECL,2006-02-10,34.6,35.8,34.2,34.8,1049100
ECL,2006-02-13,33.85,34.38,33.64,34.38,831300
ECL,2006-02-14,34.88,35.0,33.79,33.8,866300
ECL,2006-02-15,35.05,35.15,34.68,34.97,506300
ECL,2006-02-16,35.61,35.69,34.95,35.0,618400
ECL,2006-02-17,35.69,35.9,35.61,35.62,566400
ECL,2006-02-20,35.69,35.9,35.61,35.62,0
ECL,2006-02-21,35.92,36.07,35.74,35.87,652800
ECL,2006-02-22,36.36,36.4,36.03,36.03,825000
ECL,2006-02-23,36.5,36.57,36.05,36.15,850200
ECL,2006-02-24,36.51,36.6,36.26,36.51,371200
ECL,2006-02-27,36.41,36.78,36.3,36.5,362400
ECL,2006-02-28,36.19,36.33,36.02,36.13,637500
ECL,2006-03-01,36.15,36.32,35.94,36.15,549700
ECL,2006-03-02,36.02,36.15,35.66,35.95,578400
ECL,2006-03-03,35.9,36.12,35.59,35.75,364800
ECL,2006-03-06,35.74,35.98,35.55,35.85,330400
ECL,2006-03-07,36.05,36.16,34.96,35.75,484100
ECL,2006-03-08,36.48,36.51,35.8,36.05,802600
ECL,2006-03-09,38.94,40.5,38.75,39.5,2883300
ECL,2006-03-10,39.25,39.45,39.0,39.1,1746500
ECL,2006-03-13,38.78,39.39,38.56,39.27,1203700
ECL,2006-03-14,38.93,39.03,38.64,38.66,809400
ECL,2006-03-15,39.3,39.48,38.8,39.03,701400
ECL,2006-03-16,39.25,39.55,39.12,39.35,756500
ECL,2006-03-17,39.29,39.55,39.15,39.35,1087000
ECL,2006-03-20,39.04,39.54,38.95,39.29,745500
ECL,2006-03-21,38.76,39.28,38.63,39.0,1002400
ECL,2006-03-22,38.68,38.79,38.28,38.45,902000
ECL,2006-03-23,39.05,39.07,38.51,38.58,576500
ECL,2006-03-24,39.0,39.35,38.84,39.3,615400
ECL,2006-03-27,38.9,39.05,38.56,39.0,525000
ECL,2006-03-28,38.73,38.98,38.47,38.8,578300
ECL,2006-03-29,38.63,38.84,38.26,38.59,424200
ECL,2006-03-30,38.57,38.9,38.41,38.55,498700
ECL,2006-03-31,38.2,38.79,38.2,38.47,455500
ECL,2006-04-03,38.51,38.81,38.1,38.1,725700
ECL,2006-04-04,38.79,38.85,38.34,38.5,580200
ECL,2006-04-05,38.42,38.72,38.17,38.65,609300
ECL,2006-04-06,38.3,38.4964,38.04,38.37,545200
ECL,2006-04-07,37.94,38.58,37.86,38.25,593400
ECL,2006-04-10,37.92,38.24,37.81,38.04,451800
ECL,2006-04-11,37.39,37.99,37.3,37.94,672400
ECL,2006-04-12,37.77,37.9,37.4,37.42,523300
ECL,2006-04-13,38.0,38.11,37.63,37.63,487300
ECL,2006-04-14,38.0,38.11,37.63,37.63,0
ECL,2006-04-17,37.93,38.12,37.76,37.93,318000
ECL,2006-04-18,38.1,38.23,37.84,37.84,495600
ECL,2006-04-19,38.02,38.23,37.88,38.03,555700
ECL,2006-04-20,38.67,38.99,38.02,38.02,560200
ECL,2006-04-21,38.01,39.1,37.97,39.1,1013700
ECL,2006-04-24,38.4,38.66,37.92,38.0,497700
ECL,2006-04-25,37.86,38.48,37.65,38.42,516300
ECL,2006-04-26,38.18,38.34,38.0,38.0,390900
