Symbol,Date,Close,High,Low,Open,Volume
ED,2006-01-02,46.33,46.54,46.28,46.51,0
ED,2006-01-03,46.7,46.9,46.25,46.43,1418300
ED,2006-01-04,46.7,46.81,46.06,46.75,1510200
ED,2006-01-05,46.67,46.88,46.5,46.65,644600
ED,2006-01-06,46.81,46.89,46.52,46.8,650100
ED,2006-01-09,46.75,46.9,46.55,46.9,758700
ED,2006-01-10,46.62,46.8,46.53,46.61,502100
ED,2006-01-11,46.45,46.72,46.3,46.64,620400
ED,2006-01-12,46.3,46.58,46.3,46.5,804700
ED,2006-01-13,46.3,47.09,46.16,47.09,740300
ED,2006-01-16,46.3,47.09,46.16,47.09,0
ED,2006-01-17,46.8,46.8,46.2,46.3,919400
ED,2006-01-18,46.88,47.0,46.72,46.85,1022100
ED,2006-01-19,47.09,47.14,46.76,46.88,948400
ED,2006-01-20,46.73,47.14,46.53,47.09,1273400
ED,2006-01-23,46.69,46.93,46.54,46.7,963500
ED,2006-01-24,46.94,47.01,46.68,46.69,1173700
ED,2006-01-25,46.82,47.14,46.51,46.94,1422500
ED,2006-01-26,46.85,47.33,46.65,47.18,2469800
ED,2006-01-27,47.29,47.52,47.01,47.05,2043899
ED,2006-01-30,47.08,47.23,46.91,47.22,1052600
ED,2006-01-31,47.01,47.26,46.91,47.1,743000
ED,2006-02-01,47.04,47.19,46.83,47.05,1092600
ED,2006-02-02,46.56,46.94,46.18,46.85,1446600
ED,2006-02-03,46.1,46.38,45.85,46.2,1092800
ED,2006-02-06,46.13,46.24,45.89,46.02,654900
ED,2006-02-07,45.84,46.22,45.743,46.1,775000
ED,2006-02-08,46.28,46.28,45.82,45.82,1164500
ED,2006-02-09,46.05,46.31,45.89,46.05,730400
ED,2006-02-10,46.14,46.4,46.03,46.05,906400
ED,2006-02-13,45.53,45.65,45.43,45.54,1059100
ED,2006-02-14,45.27,45.61,45.12,45.56,1248300
ED,2006-02-15,45.12,45.33,44.93,45.31,1033199
ED,2006-02-16,45.35,45.37,44.95,45.1,789100
ED,2006-02-17,45.45,45.58,45.0,45.3,1582600
ED,2006-02-20,45.45,45.58,45.0,45.3,0
ED,2006-02-21,45.99,46.06,45.43,45.47,1086500
ED,2006-02-22,46.24,46.31,45.91,46.1,667400
ED,2006-02-23,45.86,46.21,45.85,46.12,549600
ED,2006-02-24,46.49,46.49,45.81,45.81,979500
