Symbol,Date,Close,High,Low,Open,Volume
EIX,2006-01-02,43.61,43.72,43.18,43.54,0
EIX,2006-01-03,44.77,44.81,43.16,43.66,1537100
EIX,2006-01-04,45.25,46.0,44.13,44.98,2264300
EIX,2006-01-05,44.83,46.0,44.7,45.6,1814600
EIX,2006-01-06,45.01,45.09,44.5,44.9,1433400
EIX,2006-01-09,44.48,45.05,44.41,44.88,969000
EIX,2006-01-10,45.29,45.42,44.12,44.24,2121200
EIX,2006-01-11,45.2,45.85,45.08,45.43,1975000
EIX,2006-01-12,45.56,45.9,45.26,45.48,1627700
EIX,2006-01-13,45.77,45.9,45.39,45.71,909300
EIX,2006-01-16,45.77,45.9,45.39,45.71,0
EIX,2006-01-17,46.31,46.45,45.4,45.53,1040400
EIX,2006-01-18,46.3,46.6,45.59,46.31,1952900
EIX,2006-01-19,46.07,46.15,45.22,45.6,1425700
EIX,2006-01-20,45.95,46.59,45.67,46.15,2155900
EIX,2006-01-23,45.63,46.28,45.47,45.99,1084500
EIX,2006-01-24,46.2,46.35,45.65,45.78,757900
EIX,2006-01-25,45.39,46.5,45.24,46.23,1347800
EIX,2006-01-26,45.23,46.39,44.9,46.39,1167300
EIX,2006-01-27,44.66,45.63,44.48,45.21,2244300
EIX,2006-01-30,44.31,44.54,44.06,44.54,1760000
EIX,2006-01-31,43.82,44.1,43.65,43.93,1820300
EIX,2006-02-01,43.84,43.95,43.35,43.75,1660500
EIX,2006-02-02,43.54,43.9,43.11,43.7,1328900
EIX,2006-02-03,43.03,43.29,42.8,43.26,1190200
EIX,2006-02-06,43.07,43.3,42.85,42.92,1308700
EIX,2006-02-07,43.0,43.15,42.76,42.96,1236400
EIX,2006-02-08,43.2,43.21,42.61,42.91,1770000
EIX,2006-02-09,43.48,43.81,43.07,43.21,945000
EIX,2006-02-10,43.22,43.88,42.72,42.72,880200
EIX,2006-02-13,43.58,43.76,43.32,43.7,1064700
EIX,2006-02-14,43.62,43.8,43.11,43.25,1099300
EIX,2006-02-15,43.86,44.19,43.56,43.56,1819500
EIX,2006-02-16,44.14,44.2,43.65,43.68,1447400
EIX,2006-02-17,44.1,44.68,43.89,44.06,1183300
EIX,2006-02-20,44.1,44.68,43.89,44.06,0
EIX,2006-02-21,44.0,44.45,43.91,44.26,992600
EIX,2006-02-22,45.22,45.27,43.96,44.0,1532000
EIX,2006-02-23,44.97,45.24,44.74,45.04,1329300
EIX,2006-02-24,45.01,45.23,44.83,44.9,826100
EIX,2006-02-27,44.97,45.35,44.46,44.97,1294600
